Date,Subs
2014-04-19,5
2014-04-20,5
2014-04-21,5
2014-04-22,5
2014-04-23,5
2014-04-24,5
2014-04-25,5
2014-04-26,5
2014-04-27,5
2014-04-28,5
2014-04-29,5
2014-04-30,5
2014-05-01,5
2014-05-02,5
2014-05-03,5
2014-05-04,5
2014-05-05,5
2014-05-06,5
2014-05-07,5
2014-05-08,5
2014-05-09,5
2014-05-10,5
2014-05-11,5
2014-05-12,5
2014-05-13,5
2014-05-14,5
2014-05-15,5
2014-05-16,5
2014-05-17,5
2014-05-18,5
2014-05-19,5
2014-05-20,5
2014-05-21,5
2014-05-22,5
2014-05-23,5
2014-05-24,5
2014-05-25,5
2014-05-26,5
2014-05-27,5
2014-05-28,5
2014-05-29,5
2014-05-30,5
2014-05-31,5
2014-06-01,5
2014-06-02,5
2014-06-03,5
2014-06-04,5
2014-06-05,5
2014-06-06,5
2014-06-07,5
2014-06-08,5
2014-06-09,5
2014-06-10,5
2014-06-11,5
2014-06-12,5
2014-06-13,5
2014-06-14,5
2014-06-15,5
2014-06-16,5
2014-06-17,5
2014-06-18,5
2014-06-19,5
2014-06-20,5
2014-06-21,5
2014-06-22,5
2014-06-23,5
2014-06-24,5
2014-06-25,5
2014-06-26,5
2014-06-27,5
2014-06-28,5
2014-06-29,5
2014-06-30,5
2014-07-01,5
2014-07-02,5
2014-07-03,5
2014-07-04,5
2014-07-05,5
2014-07-06,5
2014-07-07,5
2014-07-08,5
2014-07-09,5
2014-07-10,5
2014-07-11,5
2014-07-12,5
2014-07-13,5
2014-07-14,5
2014-07-15,5
2014-07-16,5
2014-07-17,5
2014-07-18,5
2014-07-19,5
2014-07-20,5
2014-07-21,5
2014-07-22,5
2014-07-23,5
2014-07-24,5
2014-07-25,5
2014-07-26,5
2014-07-27,5
2014-07-28,5
2014-07-29,5
2014-07-30,5
2014-07-31,5
2014-08-01,5
2014-08-02,5
2014-08-03,5
2014-08-04,5
2014-08-05,5
2014-08-06,5
2014-08-07,5
2014-08-08,5
2014-08-09,5
2014-08-10,5
2014-08-11,5
2014-08-12,5
2014-08-13,5
2014-08-14,5
2014-08-15,5
2014-08-16,5
2014-08-17,5
2014-08-18,5
2014-08-19,5
2014-08-20,5
2014-08-21,5
2014-08-22,5
2014-08-23,5
2014-08-24,5
2014-08-25,5
2014-08-26,5
2014-08-27,5
2014-08-28,5
2014-08-29,5
2014-08-30,5
2014-08-31,5
2014-09-01,5
2014-09-02,5
2014-09-03,5
2014-09-04,5
2014-09-05,5
2014-09-06,5
2014-09-07,5
2014-09-08,5
2014-09-09,5
2014-09-10,5
2014-09-11,5
2014-09-12,5
2014-09-13,5
2014-09-14,5
2014-09-15,5
2014-09-16,5
2014-09-17,5
2014-09-18,5
2014-09-19,5
2014-09-20,5
2014-09-21,5
2014-09-22,5
2014-09-23,5
2014-09-24,5
2014-09-25,5
2014-09-26,5
2014-09-27,5
2014-09-28,5
2014-09-29,5
2014-09-30,5
2014-10-01,5
2014-10-02,5
2014-10-03,5
2014-10-04,5
2014-10-05,5
2014-10-06,5
2014-10-07,5
2014-10-08,5
2014-10-09,5
2014-10-10,5
2014-10-11,5
2014-10-12,5
2014-10-13,5
2014-10-14,5
2014-10-15,5
2014-10-16,5
2014-10-17,5
2014-10-18,5
2014-10-19,5
2014-10-20,5
2014-10-21,6
2014-10-22,6
2014-10-23,6
2014-10-24,6
2014-10-25,6
2014-10-26,6
2014-10-27,6
2014-10-28,6
2014-10-29,6
2014-10-30,6
2014-10-31,6
2014-11-01,6
2014-11-02,6
2014-11-03,6
2014-11-04,6
2014-11-05,6
2014-11-06,6
2014-11-07,6
2014-11-08,6
2014-11-09,6
2014-11-10,6
2014-11-11,5
2014-11-12,5
2014-11-13,6
2014-11-14,6
2014-11-15,6
2014-11-16,6
2014-11-17,6
2014-11-18,6
2014-11-19,6
2014-11-20,7
2014-11-21,7
2014-11-22,7
2014-11-23,7
2014-11-24,7
2014-11-25,7
2014-11-26,7
2014-11-27,7
2014-11-28,7
2014-11-29,7
2014-11-30,7
2014-12-01,7
2014-12-02,7
2014-12-03,7
2014-12-04,7
2014-12-05,7
2014-12-06,7
2014-12-07,7
2014-12-08,7
2014-12-09,7
2014-12-10,7
2014-12-11,7
2014-12-12,7
2014-12-13,7
2014-12-14,7
2014-12-15,7
2014-12-16,7
2014-12-17,7
2014-12-18,7
2014-12-19,7
2014-12-20,7
2014-12-21,7
2014-12-22,7
2014-12-23,7
2014-12-24,7
2014-12-25,7
2014-12-26,7
2014-12-27,7
2014-12-28,7
2014-12-29,7
2014-12-30,7
2014-12-31,7
2015-01-01,7
2015-01-02,7
2015-01-03,7
2015-01-04,7
2015-01-05,8
2015-01-06,8
2015-01-07,8
2015-01-08,8
2015-01-09,8
2015-01-10,8
2015-01-11,8
2015-01-12,8
2015-01-13,8
2015-01-14,8
2015-01-15,8
2015-01-16,8
2015-01-17,8
2015-01-18,8
2015-01-19,8
2015-01-20,8
2015-01-21,8
2015-01-22,8
2015-01-23,8
2015-01-24,8
2015-01-25,8
2015-01-26,8
2015-01-27,8
2015-01-28,8
2015-01-29,8
2015-01-30,9
2015-01-31,9
2015-02-01,9
2015-02-02,9
2015-02-03,9
2015-02-04,9
2015-02-05,9
2015-02-06,9
2015-02-07,9
2015-02-08,9
2015-02-09,9
2015-02-10,9
2015-02-11,9
2015-02-12,9
2015-02-13,10
2015-02-14,10
2015-02-15,10
2015-02-16,10
2015-02-17,10
2015-02-18,10
2015-02-19,10
2015-02-20,10
2015-02-21,10
2015-02-22,10
2015-02-23,10
2015-02-24,10
2015-02-25,10
2015-02-26,10
2015-02-27,10
2015-02-28,10
2015-03-01,10
2015-03-02,10
2015-03-03,10
2015-03-04,10
2015-03-05,10
2015-03-06,10
2015-03-07,10
2015-03-08,10
2015-03-09,10
2015-03-10,10
2015-03-11,10
2015-03-12,10
2015-03-13,10
2015-03-14,10
2015-03-15,10
2015-03-16,10
2015-03-17,10
2015-03-18,10
2015-03-19,10
2015-03-20,10
2015-03-21,10
2015-03-22,10
2015-03-23,10
2015-03-24,10
2015-03-25,10
2015-03-26,10
2015-03-27,10
2015-03-28,10
2015-03-29,10
2015-03-30,10
2015-03-31,10
2015-04-01,10
2015-04-02,10
2015-04-03,10
2015-04-04,10
2015-04-05,11
2015-04-06,11
2015-04-07,11
2015-04-08,11
2015-04-09,11
2015-04-10,11
2015-04-11,11
2015-04-12,11
2015-04-13,11
2015-04-14,11
2015-04-15,12
2015-04-16,12
2015-04-17,12
2015-04-18,12
2015-04-19,12
2015-04-20,12
2015-04-21,12
2015-04-22,12
2015-04-23,12
2015-04-24,12
2015-04-25,12
2015-04-26,12
2015-04-27,12
2015-04-28,12
2015-04-29,12
2015-04-30,12
2015-05-01,12
2015-05-02,12
2015-05-03,12
2015-05-04,12
2015-05-05,12
2015-05-06,12
2015-05-07,12
2015-05-08,12
2015-05-09,12
2015-05-10,12
2015-05-11,12
2015-05-12,12
2015-05-13,12
2015-05-14,12
2015-05-15,12
2015-05-16,12
2015-05-17,12
2015-05-18,12
2015-05-19,12
2015-05-20,12
2015-05-21,12
2015-05-22,12
2015-05-23,12
2015-05-24,12
2015-05-25,12
2015-05-26,12
2015-05-27,12
2015-05-28,12
2015-05-29,12
2015-05-30,12
2015-05-31,12
2015-06-01,12
2015-06-02,12
2015-06-03,12
2015-06-04,12
2015-06-05,12
2015-06-06,12
2015-06-07,12
2015-06-08,12
2015-06-09,12
2015-06-10,12
2015-06-11,12
2015-06-12,12
2015-06-13,12
2015-06-14,12
2015-06-15,12
2015-06-16,12
2015-06-17,12
2015-06-18,12
2015-06-19,12
2015-06-20,12
2015-06-21,12
2015-06-22,12
2015-06-23,12
2015-06-24,12
2015-06-25,12
2015-06-26,12
2015-06-27,12
2015-06-28,12
2015-06-29,9
2015-06-30,9
2015-07-01,9
2015-07-02,9
2015-07-03,9
2015-07-04,9
2015-07-05,9
2015-07-06,9
2015-07-07,9
2015-07-08,9
2015-07-09,9
2015-07-10,9
2015-07-11,9
2015-07-12,9
2015-07-13,9
2015-07-14,9
2015-07-15,9
2015-07-16,9
2015-07-17,10
2015-07-18,10
2015-07-19,10
2015-07-20,10
2015-07-21,10
2015-07-22,10
2015-07-23,9
2015-07-24,9
2015-07-25,9
2015-07-26,9
2015-07-27,9
2015-07-28,9
2015-07-29,9
2015-07-30,9
2015-07-31,9
2015-08-01,9
2015-08-02,9
2015-08-03,9
2015-08-04,9
2015-08-05,9
2015-08-06,9
2015-08-07,9
2015-08-08,9
2015-08-09,9
2015-08-10,9
2015-08-11,9
2015-08-12,9
2015-08-13,9
2015-08-14,9
2015-08-15,9
2015-08-16,9
2015-08-17,9
2015-08-18,9
2015-08-19,9
2015-08-20,9
2015-08-21,9
2015-08-22,9
2015-08-23,9
2015-08-24,10
2015-08-25,10
2015-08-26,10
2015-08-27,10
2015-08-28,11
2015-08-29,12
2015-08-30,12
2015-08-31,12
2015-09-01,13
2015-09-02,13
2015-09-03,13
2015-09-04,13
2015-09-05,13
2015-09-06,13
2015-09-07,14
2015-09-08,14
2015-09-09,14
