Date,Subs
2014-04-28,807006
2014-04-29,809643
2014-04-30,812670
2014-05-01,816718
2014-05-02,817798
2014-05-03,818613
2014-05-04,819750
2014-05-05,821742
2014-05-06,824005
2014-05-07,826320
2014-05-08,827735
2014-05-09,828522
2014-05-10,828776
2014-05-11,829313
2014-05-12,829250
2014-05-13,830378
2014-05-14,832349
2014-05-15,833959
2014-05-16,835090
2014-05-17,836396
2014-05-18,837785
2014-05-19,839181
2014-05-20,840953
2014-05-21,842295
2014-05-22,843735
2014-05-23,845550
2014-05-24,848064
2014-05-25,849262
2014-05-26,851213
2014-05-27,853284
2014-05-28,856451
2014-05-29,860907
2014-05-30,861314
2014-05-31,862200
2014-06-01,864084
2014-06-02,866344
2014-06-03,868057
2014-06-04,870335
2014-06-05,871916
2014-06-06,873231
2014-06-07,875356
2014-06-08,877041
2014-06-09,878585
2014-06-10,880300
2014-06-11,882425
2014-06-12,884082
2014-06-13,886303
2014-06-14,888500
2014-06-15,894381
2014-06-16,896084
2014-06-17,897674
2014-06-18,899584
2014-06-19,902294
2014-06-20,904713
2014-06-21,907706
2014-06-22,911001
2014-06-23,913775
2014-06-24,916356
2014-06-25,918583
2014-06-26,921115
2014-06-27,923030
2014-06-28,925294
2014-06-29,927714
2014-06-30,930547
2014-07-01,931967
2014-07-02,934730
2014-07-03,938656
2014-07-04,941084
2014-07-05,942603
2014-07-06,944066
2014-07-07,951513
2014-07-08,957597
2014-07-09,965815
2014-07-10,969477
2014-07-11,974949
2014-07-12,981424
2014-07-13,987587
2014-07-14,993796
2014-07-15,1002252
2014-07-16,1009890
2014-07-17,1018271
2014-07-18,1024729
2014-07-19,1029932
2014-07-20,1034022
2014-07-21,1038608
2014-07-22,1043919
2014-07-23,1051644
2014-07-24,1057429
2014-07-25,1062343
2014-07-26,1067876
2014-07-27,1073029
2014-07-28,1077611
2014-07-29,1084439
2014-07-30,1090018
2014-07-31,1094271
2014-08-01,1100588
2014-08-02,1103764
2014-08-03,1106558
2014-08-04,1109896
2014-08-05,1115212
2014-08-06,1122688
2014-08-07,1127238
2014-08-08,1131177
2014-08-09,1135782
2014-08-10,1139924
2014-08-11,1143881
2014-08-12,1149944
2014-08-13,1157990
2014-08-14,1165556
2014-08-15,1176486
2014-08-16,1181319
2014-08-17,1185943
2014-08-18,1190251
2014-08-19,1196048
2014-08-20,1201487
2014-08-21,1208208
2014-08-22,1214079
2014-08-23,1218716
2014-08-24,1221905
2014-08-25,1224925
2014-08-26,1229033
2014-08-27,1239323
2014-08-28,1245400
2014-08-29,1249964
2014-08-30,1253886
2014-08-31,1257813
2014-09-01,1261556
2014-09-02,1265088
2014-09-03,1271690
2014-09-04,1276632
2014-09-05,1280958
2014-09-06,1286145
2014-09-07,1291798
2014-09-08,1295322
2014-09-09,1299906
2014-09-10,1305301
2014-09-11,1310019
2014-09-12,1312635
2014-09-13,1318353
2014-09-14,1320784
2014-09-15,1325458
2014-09-16,1333161
2014-09-17,1338959
2014-09-18,1344054
2014-09-19,1347599
2014-09-20,1350892
2014-09-21,1353955
2014-09-22,1357809
2014-09-23,1361593
2014-09-24,1366319
2014-09-25,1369839
2014-09-26,1374495
2014-09-27,1378208
2014-09-28,1382365
2014-09-29,1385732
2014-09-30,1390804
2014-10-01,1396603
2014-10-02,1400234
2014-10-03,1405890
2014-10-04,1410366
2014-10-05,1414266
2014-10-06,1417976
2014-10-07,1420312
2014-10-08,1422600
2014-10-09,1425954
2014-10-10,1428864
2014-10-11,1432663
2014-10-12,1438183
2014-10-13,1443742
2014-10-14,1449906
2014-10-15,1454286
2014-10-16,1457714
2014-10-17,1460462
2014-10-18,1464033
2014-10-19,1468534
2014-10-20,1472670
2014-10-21,1477334
2014-10-22,1484889
2014-10-23,1494779
2014-10-24,1501862
2014-10-25,1508426
2014-10-26,1512994
2014-10-27,1516598
2014-10-28,1521919
2014-10-29,1525954
2014-10-30,1530535
2014-10-31,1539262
2014-11-01,1546243
2014-11-02,1554193
2014-11-03,1560667
2014-11-04,1567303
2014-11-05,1572196
2014-11-06,1575864
2014-11-07,1579761
2014-11-08,1586113
2014-11-09,1591281
2014-11-10,1593123
2014-11-11,1598194
2014-11-12,1606570
2014-11-13,1612655
2014-11-14,1624105
2014-11-15,1632529
2014-11-16,1637233
2014-11-17,1643687
2014-11-18,1650833
2014-11-19,1657998
2014-11-20,1665046
2014-11-21,1670609
2014-11-22,1679326
2014-11-23,1685661
2014-11-24,1690987
2014-11-25,1696725
2014-11-26,1701321
2014-11-27,1706714
2014-11-28,1711580
2014-11-29,1723676
2014-11-30,1729442
2014-12-01,1734615
2014-12-02,1743287
2014-12-03,1755616
2014-12-04,1764097
2014-12-05,1770899
2014-12-06,1778126
2014-12-07,1782958
2014-12-08,1795662
2014-12-09,1801658
2014-12-10,1810132
2014-12-11,1820844
2014-12-12,1826763
2014-12-13,1832739
2014-12-14,1837286
2014-12-15,1842301
2014-12-16,1847252
2014-12-17,1850845
2014-12-18,1746437
2014-12-19,1750457
2014-12-20,1754145
2014-12-21,1760279
2014-12-22,1766414
2014-12-23,1772601
2014-12-24,1779835
2014-12-25,1782851
2014-12-26,1787347
2014-12-27,1791742
2014-12-28,1796341
2014-12-29,1801642
2014-12-30,1807332
2014-12-31,1814179
2015-01-01,1818331
2015-01-02,1828728
2015-01-03,1836798
2015-01-04,1846913
2015-01-05,1854785
2015-01-06,1867182
2015-01-07,1876953
2015-01-08,1886401
2015-01-09,1896374
2015-01-10,1905396
2015-01-11,1911530
2015-01-12,1917965
2015-01-13,1924901
2015-01-14,1931740
2015-01-15,1941430
2015-01-16,1947312
2015-01-17,1955537
2015-01-18,1967397
2015-01-19,1973262
2015-01-20,1979364
2015-01-21,1987838
2015-01-22,1994011
2015-01-23,2000043
2015-01-24,2009069
2015-01-25,2017141
2015-01-26,2022583
