Date,Subs
2014-04-10,11291240
2014-04-11,11316433
2014-04-12,11332768
2014-04-13,11349590
2014-04-14,11367218
2014-04-15,11384919
2014-04-16,11412184
2014-04-17,11433364
2014-04-18,11452061
2014-04-19,11468629
2014-04-20,11487917
2014-04-21,11518235
2014-04-22,11550633
2014-04-23,11575087
2014-04-24,11600243
2014-04-25,11620443
2014-04-26,11638502
2014-04-27,11658152
2014-04-28,11686368
2014-04-29,11707967
2014-04-30,11724830
2014-05-01,11747005
2014-05-02,11770071
2014-05-03,11799854
2014-05-04,11828138
2014-05-05,11854605
2014-05-06,11907816
2014-05-07,11931096
2014-05-08,11958879
2014-05-09,11976240
2014-05-10,12018341
2014-05-11,12052088
2014-05-12,12087364
2014-05-13,12150459
2014-05-14,12254715
2014-05-15,12300064
2014-05-16,12322698
2014-05-17,12343145
2014-05-18,12373566
2014-05-19,12395192
2014-05-20,12411954
2014-05-21,12427849
2014-05-22,12444178
2014-05-23,12460075
2014-05-24,12501654
2014-05-25,12545179
2014-05-26,12572785
2014-05-27,12596852
2014-05-28,12613413
2014-05-29,12631057
2014-05-30,12648039
2014-05-31,12664618
2014-06-01,12683525
2014-06-02,12701385
2014-06-03,12719768
2014-06-04,12756655
2014-06-05,12776355
2014-06-06,12791589
2014-06-07,12823738
2014-06-08,12837253
2014-06-09,12851335
2014-06-10,12863795
2014-06-11,12877350
2014-06-12,12890804
2014-06-13,12910521
2014-06-14,12924782
2014-06-15,12943974
2014-06-16,12960121
2014-06-17,12972846
2014-06-18,12988485
2014-06-19,13003908
2014-06-20,13019961
2014-06-21,13034278
2014-06-22,13057847
2014-06-23,13075559
2014-06-24,13091368
2014-06-25,13109653
2014-06-26,13133847
2014-06-27,13157680
2014-06-28,13176967
2014-06-29,13198426
2014-06-30,13219050
2014-07-01,13247601
2014-07-02,13281040
2014-07-03,13306307
2014-07-04,13322005
2014-07-05,13341705
2014-07-06,13363901
2014-07-07,13385458
2014-07-08,13405597
2014-07-09,13427512
2014-07-10,13448104
2014-07-11,13476524
2014-07-12,13522343
2014-07-13,13576535
2014-07-14,13626337
2014-07-15,13672513
2014-07-16,13721033
2014-07-17,13764320
2014-07-18,13807937
2014-07-19,13850614
2014-07-20,13923051
2014-07-21,13980142
2014-07-22,14048933
2014-07-23,14108609
2014-07-24,14175231
2014-07-25,14235140
2014-07-26,14281101
2014-07-27,14341357
2014-07-28,14396649
2014-07-29,14444994
2014-07-30,14500353
2014-07-31,14549729
2014-08-01,14609124
2014-08-02,14655401
2014-08-03,14719422
2014-08-04,14796059
2014-08-05,14856056
2014-08-06,14908362
2014-08-07,14962927
2014-08-08,15020201
2014-08-09,15070224
2014-08-10,15143863
2014-08-11,15210553
2014-08-12,15256681
2014-08-13,15303561
2014-08-14,15344058
2014-08-15,15373908
2014-08-16,15406801
