Date,Subs
2014-04-10,4289690
2014-04-11,4296181
2014-04-12,4301610
2014-04-13,4309154
2014-04-14,4316688
2014-04-15,4330880
2014-04-16,4355528
2014-04-17,4387523
2014-04-18,4404216
2014-04-19,4417567
2014-04-20,4430649
2014-04-21,4443333
2014-04-22,4455246
2014-04-23,4473556
2014-04-24,4490957
2014-04-25,4517213
2014-04-26,4538088
2014-04-27,4552553
2014-04-28,4580434
2014-04-29,4609499
2014-04-30,4636723
2014-05-01,4656591
2014-05-02,4670950
2014-05-03,4683730
2014-05-04,4695306
2014-05-05,4706419
2014-05-06,4717272
2014-05-07,4727877
2014-05-08,4741179
2014-05-09,4744820
2014-05-10,4760648
2014-05-11,4772951
2014-05-12,4782821
2014-05-13,4792767
2014-05-14,4802814
2014-05-15,4811753
2014-05-16,4822600
2014-05-17,4832963
2014-05-18,4841898
2014-05-19,4864607
2014-05-20,4891504
2014-05-21,4913254
2014-05-22,4927167
2014-05-23,4947614
2014-05-24,5000912
2014-05-25,5066155
2014-05-26,5096537
2014-05-27,5112388
2014-05-28,5136070
2014-05-29,5157053
2014-05-30,5172912
2014-05-31,5195827
2014-06-01,5221673
2014-06-02,5259004
2014-06-03,5289280
2014-06-04,5308449
2014-06-05,5326715
2014-06-06,5340157
2014-06-07,5361939
2014-06-08,5379106
2014-06-09,5397067
2014-06-10,5417315
2014-06-11,5444366
2014-06-12,5473823
2014-06-13,5500206
2014-06-14,5526043
2014-06-15,5549782
2014-06-16,5616375
2014-06-17,5646316
2014-06-18,5670173
2014-06-19,5688550
2014-06-20,5708812
2014-06-21,5734277
2014-06-22,5776775
2014-06-23,5815107
2014-06-24,5852005
2014-06-25,5884976
2014-06-26,5921051
2014-06-27,5947910
2014-06-28,5973348
2014-06-29,5996701
2014-06-30,6014259
2014-07-01,6034017
2014-07-02,6048166
2014-07-03,6070241
2014-07-04,6097302
2014-07-05,6123052
2014-07-06,6150102
2014-07-07,6188443
2014-07-08,6224533
2014-07-09,6254103
2014-07-10,6279013
2014-07-11,6310742
2014-07-12,6342903
2014-07-13,6382942
2014-07-14,6423781
2014-07-15,6456411
2014-07-16,6488691
2014-07-17,6526321
2014-07-18,6552666
2014-07-19,6575033
2014-07-20,6597322
2014-07-21,6641938
2014-07-22,6684719
2014-07-23,6722790
2014-07-24,6746624
2014-07-25,6766049
2014-07-26,6847872
2014-07-27,6980367
2014-07-28,7026923
2014-07-29,7069126
2014-07-30,7102256
2014-07-31,7130691
2014-08-01,7164961
2014-08-02,7200677
2014-08-03,7229794
2014-08-04,7255849
2014-08-05,7283498
2014-08-06,7306997
2014-08-07,7327148
2014-08-08,7363067
2014-08-09,7386123
2014-08-10,7403468
2014-08-11,7422141
2014-08-12,7461065
2014-08-13,7506194
2014-08-14,7533639
2014-08-15,7570860
2014-08-16,7590556
2014-08-17,7623270
2014-08-18,7659909
2014-08-19,7690160
2014-08-20,7717603
2014-08-21,7741893
2014-08-22,7759753
2014-08-23,7777427
2014-08-24,7793971
2014-08-25,7810313
2014-08-26,7833854
2014-08-27,7872621
2014-08-28,7911652
2014-08-29,7942170
2014-08-30,7962724
2014-08-31,7979872
2014-09-01,7996564
2014-09-02,8013504
2014-09-03,8027801
2014-09-04,8042188
2014-09-05,8069769
2014-09-06,8083027
2014-09-07,8095926
2014-09-08,8115473
2014-09-09,8240255
2014-09-10,8254275
2014-09-11,8268792
2014-09-12,8281248
2014-09-13,8311180
2014-09-14,8325922
2014-09-15,8340484
2014-09-16,8356485
2014-09-17,8371620
2014-09-18,8386304
2014-09-19,8399524
2014-09-20,8418199
2014-09-21,8432440
2014-09-22,8447033
2014-09-23,8464640
2014-09-24,8481192
2014-09-25,8500694
2014-09-26,8516058
2014-09-27,8532659
2014-09-28,8547503
2014-09-29,8559638
2014-09-30,8586359
2014-10-01,8608475
2014-10-02,8627832
2014-10-03,8643559
2014-10-04,8660041
2014-10-05,8692653
2014-10-06,8727663
2014-10-07,8749345
2014-10-08,8768646
2014-10-09,8790588
2014-10-10,8806497
2014-10-11,8824654
2014-10-12,8830810
2014-10-13,8868193
2014-10-14,8882753
2014-10-15,8903089
2014-10-16,8919592
2014-10-17,8937970
2014-10-18,8960747
2014-10-19,8979656
2014-10-20,8994884
2014-10-21,9008328
2014-10-22,9028301
2014-10-23,9061705
2014-10-24,9068655
2014-10-25,9110253
2014-10-26,9142815
2014-10-27,9165709
2014-10-28,9191392
2014-10-29,9208273
2014-10-30,9231318
2014-10-31,9245479
2014-11-01,9261555
2014-11-02,9278853
2014-11-03,9296806
2014-11-04,9319467
2014-11-05,9347823
2014-11-06,9369185
2014-11-07,9396229
2014-11-08,9421743
2014-11-09,9442792
2014-11-10,9461407
2014-11-11,9478417
2014-11-12,9494946
2014-11-13,9517382
2014-11-14,9536230
2014-11-15,9567396
2014-11-16,9592840
2014-11-17,9621101
2014-11-18,9648646
2014-11-19,9669969
2014-11-20,9686039
2014-11-21,9706185
2014-11-22,9729856
2014-11-23,9752184
2014-11-24,9769175
2014-11-25,9787094
2014-11-26,9805548
2014-11-27,9823098
2014-11-28,9839408
2014-11-29,9857809
2014-11-30,9875460
2014-12-01,9897616
2014-12-02,9915798
2014-12-03,9939837
2014-12-04,9958532
2014-12-05,9979032
2014-12-06,10008898
2014-12-07,10034541
2014-12-08,10061170
2014-12-09,10087705
2014-12-10,10110750
2014-12-11,10131795
2014-12-12,10153013
2014-12-13,10177470
2014-12-14,10203385
2014-12-15,10226034
2014-12-16,10250174
2014-12-17,10275217
2014-12-18,9971962
2014-12-19,9993764
2014-12-20,10023242
2014-12-21,10055244
2014-12-22,10078455
2014-12-23,10107547
2014-12-24,10129462
2014-12-25,10155729
2014-12-26,10184551
2014-12-27,10221951
2014-12-28,10247849
2014-12-29,10275011
2014-12-30,10313398
2014-12-31,10344774
2015-01-01,10375581
2015-01-02,10404199
2015-01-03,10431592
2015-01-04,10458610
2015-01-05,10485750
2015-01-06,10517805
2015-01-07,10547798
2015-01-08,10575593
2015-01-09,10605733
2015-01-10,10634527
2015-01-11,10668265
2015-01-12,10803022
2015-01-13,10892127
2015-01-14,10954499
2015-01-15,11022094
2015-01-16,11069208
2015-01-17,11125893
2015-01-18,11199241
2015-01-19,11261344
2015-01-20,11316072
2015-01-21,11367013
2015-01-22,11417292
2015-01-23,11462887
2015-01-24,11516654
2015-01-25,11566389
2015-01-26,11610393
2015-01-27,11648444
2015-01-28,11684093
2015-01-29,11721668
2015-01-30,11750025
2015-01-31,11792390
2015-02-01,11832674
2015-02-02,11866394
2015-02-03,11908058
2015-02-04,11956617
2015-02-05,12055953
2015-02-06,12111246
2015-02-07,12160422
2015-02-08,12210084
2015-02-09,12246556
2015-02-10,12283881
2015-02-11,12314111
2015-02-12,12338322
2015-02-13,12364833
2015-02-14,12393684
2015-02-15,12427305
2015-02-16,12464188
2015-02-17,12495399
2015-02-18,12526605
2015-02-19,12560427
2015-02-20,12589596
2015-02-21,12623369
2015-02-22,12654018
2015-02-23,12690248
2015-02-24,12723487
2015-02-25,12758738
2015-02-26,12792295
2015-02-27,12824064
2015-02-28,12856743
2015-03-01,12894816
2015-03-02,12928088
2015-03-03,12962831
2015-03-04,13009998
2015-03-05,13049937
2015-03-06,13090707
2015-03-07,13133045
2015-03-08,13172420
2015-03-09,13228607
2015-03-10,13275368
2015-03-11,13322210
2015-03-12,13363169
2015-03-13,13399174
2015-03-14,13439108
2015-03-15,13480043
2015-03-16,13518767
2015-03-17,13553931
2015-03-18,13598401
2015-03-19,13639973
2015-03-20,13673920
2015-03-21,13714682
2015-03-22,13778539
2015-03-23,13829196
2015-03-24,13886661
2015-03-25,13971033
2015-03-26,14068656
2015-03-27,14164572
2015-03-28,14257229
2015-03-29,14346740
2015-03-30,14428629
2015-03-31,14509444
2015-04-01,14575952
2015-04-02,14646417
2015-04-03,14724484
2015-04-04,14797113
2015-04-05,14857081
2015-04-06,14957413
2015-04-07,15021461
2015-04-08,15118422
2015-04-09,15177215
2015-04-10,15232606
2015-04-11,15292606
2015-04-12,15351826
2015-04-13,15405349
2015-04-14,15456497
2015-04-15,15504519
2015-04-16,15548290
2015-04-17,15598986
2015-04-18,15650265
2015-04-19,15702667
2015-04-20,15735661
2015-04-21,15797717
2015-04-22,15846857
2015-04-23,15904337
2015-04-24,15967244
2015-04-25,16029282
2015-04-26,16092131
2015-04-27,16148197
2015-04-28,16195472
2015-04-29,16271069
2015-04-30,16320478
2015-05-01,16404458
2015-05-02,16517884
2015-05-03,16611644
2015-05-04,16736348
2015-05-05,16880666
2015-05-06,17011920
2015-05-07,17122385
2015-05-08,17228838
2015-05-09,17355770
2015-05-10,17478756
2015-05-11,17584899
2015-05-12,17703259
2015-05-13,17820701
2015-05-14,17946751
2015-05-15,18076718
2015-05-16,18212172
2015-05-17,18349074
2015-05-18,18470725
2015-05-19,18562028
2015-05-20,18653033
2015-05-21,18735641
2015-05-22,18825174
2015-05-23,18939952
2015-05-24,19044414
2015-05-25,19142604
2015-05-26,19204269
2015-05-27,19335659
2015-05-28,19420719
2015-05-29,19500852
2015-05-30,19549967
2015-05-31,19685025
2015-06-01,19787131
2015-06-02,19875000
2015-06-03,19959863
2015-06-04,20049631
2015-06-05,20139771
2015-06-06,20233686
2015-06-07,20333886
2015-06-08,20420804
2015-06-09,20515425
2015-06-10,20598538
2015-06-11,20685971
2015-06-12,20793040
2015-06-13,20891848
2015-06-14,20999840
2015-06-15,21106564
2015-06-16,21208348
2015-06-17,21312471
2015-06-18,21406490
2015-06-19,21498849
2015-06-20,21604324
2015-06-21,21628364
2015-06-22,21797866
2015-06-23,21916801
2015-06-24,22006691
2015-06-25,22102851
2015-06-26,22195155
2015-06-27,22254799
2015-06-28,22338527
2015-06-29,22392998
2015-06-30,22501685
2015-07-01,22582223
2015-07-02,22644137
2015-07-03,22708033
2015-07-04,22775914
2015-07-05,22877015
2015-07-06,22946582
2015-07-07,23036501
2015-07-08,23123786
2015-07-09,23222014
2015-07-10,23778799
2015-07-11,23367963
2015-07-12,23439984
2015-07-13,23510921
2015-07-14,23585243
2015-07-15,23631714
2015-07-16,23735634
2015-07-17,23787597
2015-07-18,23880356
2015-07-19,23955725
2015-07-20,24042831
2015-07-21,24155033
2015-07-22,24281065
2015-07-23,24385680
2015-07-24,24458935
2015-07-25,24588255
2015-07-26,24691915
2015-07-27,24760228
2015-07-28,24889606
2015-07-29,24962150
2015-07-30,25045367
2015-07-31,25170469
2015-08-01,25270737
2015-08-02,25384530
2015-08-03,25481508
2015-08-04,25594465
2015-08-05,25698335
2015-08-06,25802880
2015-08-07,25917222
2015-08-08,26038064
2015-08-09,26151657
2015-08-10,26251708
2015-08-11,26358813
2015-08-12,26471447
2015-08-13,26586564
2015-08-14,26766462
2015-08-15,26912123
2015-08-16,27050831
2015-08-17,27175812
2015-08-18,27281812
2015-08-19,27404645
2015-08-20,27517331
2015-08-21,27623530
2015-08-22,27758318
2015-08-23,27872256
2015-08-24,27965840
2015-08-25,28072605
2015-08-26,28185805
2015-08-27,28274699
2015-08-28,28360104
2015-08-29,28439400
2015-08-30,28515005
