Date,Subs
2014-04-18,1335634
2014-04-19,1351133
2014-04-20,1363198
2014-04-21,1372421
2014-04-22,1379730
2014-04-23,1395312
2014-04-24,1432010
2014-04-25,1491113
2014-04-26,1540454
2014-04-27,1567773
2014-04-28,1597594
2014-04-29,1619546
2014-04-30,1643864
2014-05-01,1659799
2014-05-02,1686811
2014-05-03,1717040
2014-05-04,1734997
2014-05-05,1774287
2014-05-06,1787743
2014-05-07,1808121
2014-05-08,1825580
2014-05-09,1836300
2014-05-10,1848460
2014-05-11,1864692
2014-05-12,1880794
2014-05-13,1893679
2014-05-14,1944758
2014-05-15,1974947
2014-05-16,2010139
2014-05-17,2030091
2014-05-18,2052330
2014-05-19,2076154
2014-05-20,2100792
2014-05-21,2125482
2014-05-22,2155759
2014-05-23,2180618
2014-05-24,2204482
2014-05-25,2224586
2014-05-26,2258242
2014-05-27,2293199
2014-05-28,2335041
2014-05-29,2363466
2014-05-30,2384176
2014-05-31,2404999
2014-06-01,2440243
2014-06-02,2471119
2014-06-03,2491858
2014-06-04,2508078
2014-06-05,2527302
2014-06-06,2545700
2014-06-07,2564003
2014-06-08,2580458
2014-06-09,2592826
2014-06-10,2613100
2014-06-11,2632003
2014-06-12,2650733
2014-06-13,2665150
2014-06-14,2686788
2014-06-15,2716052
2014-06-16,2751504
2014-06-17,2776607
2014-06-18,2799756
2014-06-19,2816735
2014-06-20,2838022
2014-06-21,2883536
2014-06-22,2919900
2014-06-23,2937619
2014-06-24,2954826
2014-06-25,2971836
2014-06-26,2985336
2014-06-27,3000622
2014-06-28,3014463
2014-06-29,3028413
2014-06-30,3043694
2014-07-01,3058419
2014-07-02,3084418
2014-07-03,3101259
2014-07-04,3116441
2014-07-05,3128133
2014-07-06,3140546
2014-07-07,3152601
2014-07-08,3161372
2014-07-09,3172783
2014-07-10,3188494
2014-07-11,3197299
2014-07-12,3210568
2014-07-13,3224367
2014-07-14,3234003
2014-07-15,3244555
2014-07-16,3280723
2014-07-17,3315894
2014-07-18,3337697
2014-07-19,3369252
2014-07-20,3391979
2014-07-21,3410489
2014-07-22,3443864
2014-07-23,3467269
2014-07-24,3490908
2014-07-25,3514983
2014-07-26,3544698
2014-07-27,3593596
2014-07-28,3628647
2014-07-29,3654796
2014-07-30,3672581
2014-07-31,3690739
2014-08-01,3717955
2014-08-02,3737252
2014-08-03,3755179
2014-08-04,3771258
2014-08-05,3785360
2014-08-06,3795755
2014-08-07,3805299
