Date,Subs
2014-04-18,3083277
2014-04-19,3093938
2014-04-20,3099781
2014-04-21,3107353
2014-04-22,3122465
2014-04-23,3138582
2014-04-24,3153642
2014-04-25,3164907
2014-04-26,3176844
2014-04-27,3188964
2014-04-28,3202272
2014-04-29,3218818
2014-04-30,3233924
2014-05-01,3248142
2014-05-02,3255934
2014-05-03,3268512
2014-05-04,3278758
2014-05-05,3288141
2014-05-06,3300782
2014-05-07,3314525
2014-05-08,3324818
2014-05-09,3333252
2014-05-10,3344239
2014-05-11,3350391
2014-05-12,3357548
2014-05-13,3365889
2014-05-14,3373767
2014-05-15,3381161
2014-05-16,3387560
2014-05-17,3393357
2014-05-18,3399392
2014-05-19,3404573
2014-05-20,3414099
2014-05-21,3424878
2014-05-22,3433839
2014-05-23,3445076
2014-05-24,3455633
2014-05-25,3463586
2014-05-26,3472440
2014-05-27,3479324
2014-05-28,3485620
2014-05-29,3493833
2014-05-30,3504656
2014-05-31,3510297
2014-06-01,3515485
2014-06-02,3521157
2014-06-03,3529344
2014-06-04,3537084
2014-06-05,3552143
2014-06-06,3559473
2014-06-07,3569088
2014-06-08,3577145
2014-06-09,3584988
2014-06-10,3593811
2014-06-11,3604752
2014-06-12,3610954
2014-06-13,3617063
2014-06-14,3620393
2014-06-15,3625144
2014-06-16,3632077
2014-06-17,3638693
2014-06-18,3647347
2014-06-19,3654081
2014-06-20,3659118
2014-06-21,3662536
2014-06-22,3673004
2014-06-23,3682116
2014-06-24,3689200
2014-06-25,3696886
2014-06-26,3708476
2014-06-27,3721582
2014-06-28,3731352
2014-06-29,3736614
2014-06-30,3744632
2014-07-01,3757484
2014-07-02,3767325
2014-07-03,3773711
2014-07-04,3782646
2014-07-05,3785561
2014-07-06,3794992
2014-07-07,3806174
2014-07-08,3818828
2014-07-09,3833818
2014-07-10,3842936
2014-07-11,3849551
2014-07-12,3854142
2014-07-13,3862513
2014-07-14,3870429
2014-07-15,3878306
2014-07-16,3886018
2014-07-17,3894236
2014-07-18,3899579
2014-07-19,3904263
2014-07-20,3909241
2014-07-21,3919930
2014-07-22,3927693
2014-07-23,3941633
2014-07-24,3953478
2014-07-25,3970216
2014-07-26,3978258
2014-07-27,3983382
2014-07-28,3991265
2014-07-29,3998291
2014-07-30,4005035
2014-07-31,4018260
2014-08-01,4032876
2014-08-02,4039092
2014-08-03,4049730
2014-08-04,4058380
2014-08-05,4063844
2014-08-06,4068626
2014-08-07,4074697
2014-08-08,4079543
2014-08-09,4084656
2014-08-10,4146367
2014-08-11,4162513
2014-08-12,4177116
2014-08-13,4188898
2014-08-14,4200102
2014-08-15,4211788
2014-08-16,4227455
2014-08-17,4247176
2014-08-18,4260985
2014-08-19,4280828
2014-08-20,4303415
2014-08-21,4319578
2014-08-22,4334068
2014-08-23,4356502
2014-08-24,4365616
2014-08-25,4373444
2014-08-26,4387234
2014-08-27,4398353
2014-08-28,4408872
2014-08-29,4417677
2014-08-30,4422583
2014-08-31,4427862
2014-09-01,4433057
2014-09-02,4438781
2014-09-03,4444604
2014-09-04,4453884
2014-09-05,4460981
2014-09-06,4466048
2014-09-07,4469804
2014-09-08,4473583
2014-09-09,4481693
2014-09-10,4489027
2014-09-11,4495050
2014-09-12,4499861
2014-09-13,4511308
2014-09-14,4518133
2014-09-15,4525117
2014-09-16,4534449
2014-09-17,4539998
2014-09-18,4547050
2014-09-19,4554862
2014-09-20,4560613
2014-09-21,4573104
2014-09-22,4577293
2014-09-23,4580872
2014-09-24,4586280
2014-09-25,4591526
2014-09-26,4595897
2014-09-27,4599083
2014-09-28,4604238
2014-09-29,4609222
2014-09-30,4615965
2014-10-01,4624843
2014-10-02,4634327
2014-10-03,4646990
2014-10-04,4653917
2014-10-05,4658410
2014-10-06,4665108
2014-10-07,4671749
2014-10-08,4679270
2014-10-09,4684254
2014-10-10,4689225
2014-10-11,4693229
2014-10-12,4696426
2014-10-13,4699847
2014-10-14,4704556
2014-10-15,4710682
2014-10-16,4716441
2014-10-17,4723742
2014-10-18,4728405
2014-10-19,4732813
2014-10-20,4748424
2014-10-21,4757712
2014-10-22,4765742
2014-10-23,4772696
2014-10-24,4778293
2014-10-25,4782864
2014-10-26,4788305
2014-10-27,4793005
2014-10-28,4797047
2014-10-29,4800247
2014-10-30,4808384
2014-10-31,4814932
2014-11-01,4817890
2014-11-02,4823688
2014-11-03,4830002
2014-11-04,4835193
2014-11-05,4841927
2014-11-06,4846401
2014-11-07,4849742
2014-11-08,4852561
2014-11-09,4853583
2014-11-10,4858075
2014-11-11,4866617
2014-11-12,4871730
2014-11-13,4875317
2014-11-14,4883367
2014-11-15,4887652
2014-11-16,4891836
2014-11-17,4899189
2014-11-18,4904348
2014-11-19,4908562
2014-11-20,4912491
2014-11-21,4918546
2014-11-22,4923974
2014-11-23,4931980
2014-11-24,4937800
2014-11-25,4942454
2014-11-26,4945911
2014-11-27,4963435
2014-11-28,4974165
2014-11-29,4987540
2014-11-30,4991605
2014-12-01,4997632
2014-12-02,5006686
2014-12-03,5013562
2014-12-04,5023279
2014-12-05,5029311
2014-12-06,5036171
2014-12-07,5041102
2014-12-08,5048879
2014-12-09,5054324
2014-12-10,5060186
2014-12-11,5067476
2014-12-12,5073471
2014-12-13,5078511
2014-12-14,5083506
2014-12-15,5086906
2014-12-16,5093308
2014-12-17,5098245
2014-12-18,4910365
2014-12-19,4910624
2014-12-20,4913288
2014-12-21,4917829
2014-12-22,4922461
2014-12-23,4928888
2014-12-24,4931547
2014-12-25,4935044
2014-12-26,4939368
2014-12-27,4967837
2014-12-28,4982601
2014-12-29,4991474
2014-12-30,5002545
2014-12-31,5008353
2015-01-01,5017214
2015-01-02,5026654
2015-01-03,5036075
2015-01-04,5045979
2015-01-05,5059024
2015-01-06,5068056
2015-01-07,5074980
2015-01-08,5083950
2015-01-09,5088275
2015-01-10,5094824
2015-01-11,5104203
2015-01-12,5111814
2015-01-13,5123528
2015-01-14,5130081
2015-01-15,5138608
2015-01-16,5144737
2015-01-17,5156435
2015-01-18,5163052
2015-01-19,5178823
2015-01-20,5186799
2015-01-21,5194074
2015-01-22,5200600
2015-01-23,5205532
2015-01-24,5208185
2015-01-25,5210846
2015-01-26,5213849
2015-01-27,5217405
2015-01-28,5224802
2015-01-29,5229317
2015-01-30,5233686
2015-01-31,5240335
