Date,Subs
2014-04-10,9367653
2014-04-11,9375221
2014-04-12,9383769
2014-04-13,9405976
2014-04-14,9420764
2014-04-15,9430025
2014-04-16,9438581
2014-04-17,9449954
2014-04-18,9459926
2014-04-19,9467292
2014-04-20,9476451
2014-04-21,9487429
2014-04-22,9495079
2014-04-23,9502146
2014-04-24,9516175
2014-04-25,9524903
2014-04-26,9534359
2014-04-27,9542652
2014-04-28,9549986
2014-04-29,9556120
2014-04-30,9566093
2014-05-01,9576923
2014-05-02,9588745
2014-05-03,9597647
2014-05-04,9610479
2014-05-05,9645401
2014-05-06,9716422
2014-05-07,9751763
2014-05-08,9766066
2014-05-09,9775229
2014-05-10,9783561
2014-05-11,9802905
2014-05-12,9816374
2014-05-13,9835062
2014-05-14,9845447
2014-05-15,9862793
2014-05-16,9876343
2014-05-17,9885440
2014-05-18,9922068
2014-05-19,9973656
2014-05-20,9994889
2014-05-21,10031956
2014-05-22,10070926
2014-05-23,10118870
2014-05-24,10146742
2014-05-25,10176379
2014-05-26,10195876
2014-05-27,10222830
2014-05-28,10242175
2014-05-29,10264017
2014-05-30,10289825
2014-05-31,10301985
2014-06-01,10313107
2014-06-02,10323046
2014-06-03,10351634
2014-06-04,10392308
2014-06-05,10416218
2014-06-06,10428275
2014-06-07,10443208
2014-06-08,10462850
2014-06-09,10483091
2014-06-10,10498315
2014-06-11,10513860
2014-06-12,10539619
2014-06-13,10556532
2014-06-14,10569168
2014-06-15,10591844
2014-06-16,10647105
2014-06-17,10679207
2014-06-18,10701276
2014-06-19,10718216
2014-06-20,10730311
2014-06-21,10748302
2014-06-22,10764801
2014-06-23,10780275
2014-06-24,10793387
2014-06-25,10806088
2014-06-26,10819412
2014-06-27,10847018
2014-06-28,10871262
2014-06-29,10886832
2014-06-30,10900209
2014-07-01,10911834
2014-07-02,10922187
2014-07-03,10933828
2014-07-04,10941968
2014-07-05,10950176
2014-07-06,10959844
2014-07-07,10982910
2014-07-08,11008701
2014-07-09,11049059
2014-07-10,11082788
2014-07-11,11110823
2014-07-12,11137100
2014-07-13,11160483
2014-07-14,11192914
2014-07-15,11218926
2014-07-16,11247080
2014-07-17,11272819
2014-07-18,11303332
2014-07-19,11333791
2014-07-20,11374481
2014-07-21,11414756
2014-07-22,11463070
2014-07-23,11496780
2014-07-24,11529627
2014-07-25,11557839
2014-07-26,11568154
2014-07-27,11596740
2014-07-28,11627886
2014-07-29,11651573
2014-07-30,11674275
2014-07-31,11717868
2014-08-01,11798898
2014-08-02,11871454
2014-08-03,11940960
2014-08-04,11988048
2014-08-05,12035342
2014-08-06,12073835
2014-08-07,12110672
2014-08-08,12143239
2014-08-09,12167737
2014-08-10,12246559
2014-08-11,12307102
2014-08-12,12353124
2014-08-13,12387115
2014-08-14,12416406
2014-08-15,12438582
2014-08-16,12464194
2014-08-17,12497323
2014-08-18,12533179
2014-08-19,12564410
2014-08-20,12607096
2014-08-21,12637293
2014-08-22,12664126
2014-08-23,12690858
2014-08-24,12718806
2014-08-25,12799243
2014-08-26,12829394
2014-08-27,12861019
2014-08-28,12890090
2014-08-29,12916413
2014-08-30,12940767
2014-08-31,12964780
2014-09-01,12991386
2014-09-02,13019542
2014-09-03,13052959
2014-09-04,13089960
2014-09-05,13116648
2014-09-06,13148670
2014-09-07,13208516
2014-09-08,13250370
2014-09-09,13292090
2014-09-10,13321169
2014-09-11,13354229
2014-09-12,13384249
2014-09-13,13414815
2014-09-14,13445624
2014-09-15,13470838
2014-09-16,13491531
2014-09-17,13522630
2014-09-18,13581139
2014-09-19,13617449
2014-09-20,13667602
2014-09-21,13716608
2014-09-22,13748453
2014-09-23,13784609
2014-09-24,13824329
2014-09-25,13859259
2014-09-26,13894267
2014-09-27,13936264
2014-09-28,13979651
2014-09-29,14030581
2014-09-30,14074463
2014-10-01,14112631
2014-10-02,14149150
2014-10-03,14182297
2014-10-04,14216603
2014-10-05,14245876
2014-10-06,14270746
2014-10-07,14296511
2014-10-08,14431496
2014-10-09,14452002
2014-10-10,14474738
2014-10-11,14499219
2014-10-12,14522663
2014-10-13,14553924
2014-10-14,14580858
2014-10-15,14610200
2014-10-16,14635385
2014-10-17,14689464
2014-10-18,14725700
2014-10-19,14757854
2014-10-20,14783512
2014-10-21,14817484
2014-10-22,14842455
2014-10-23,14867321
2014-10-24,14884301
2014-10-25,14910806
2014-10-26,14934780
2014-10-27,14957285
2014-10-28,14984297
2014-10-29,15018021
2014-10-30,15058738
2014-10-31,15086670
2014-11-01,15133200
2014-11-02,15171113
2014-11-03,15244190
2014-11-04,15300308
2014-11-05,15339450
2014-11-06,15372417
2014-11-07,15406729
2014-11-08,15441418
2014-11-09,15476605
2014-11-10,15516247
2014-11-11,15557105
2014-11-12,15624562
2014-11-13,15671317
2014-11-14,15721113
2014-11-15,15782114
2014-11-16,15828062
2014-11-17,15875138
2014-11-18,15913976
2014-11-19,15967373
2014-11-20,16003871
2014-11-21,16036719
2014-11-22,16080479
2014-11-23,16124856
2014-11-24,16182256
2014-11-25,16216356
2014-11-26,16249615
2014-11-27,16280320
2014-11-28,16341743
2014-11-29,16383004
2014-11-30,16419011
2014-12-01,16457558
2014-12-02,16500788
2014-12-03,16535782
2014-12-04,16580273
2014-12-05,16618198
2014-12-06,16652586
2014-12-07,16690148
