Date,Subs
2014-04-10,8817706
2014-04-11,8824801
2014-04-12,8832166
2014-04-13,8840814
2014-04-14,8850719
2014-04-15,8858180
2014-04-16,8869508
2014-04-17,8884522
2014-04-18,8896356
2014-04-19,8902815
2014-04-20,8909216
2014-04-21,8918263
2014-04-22,8932278
2014-04-23,8943080
2014-04-24,8958466
2014-04-25,8969866
2014-04-26,8982490
2014-04-27,8989610
2014-04-28,8998823
2014-04-29,9006585
2014-04-30,9013661
2014-05-01,9020091
2014-05-02,9042280
2014-05-03,9070604
2014-05-04,9094471
2014-05-05,9110374
2014-05-06,9131491
2014-05-07,9146216
2014-05-08,9157370
2014-05-09,9172055
2014-05-10,9180039
2014-05-11,9190709
2014-05-12,9197323
2014-05-13,9207371
2014-05-14,9216346
2014-05-15,9228265
2014-05-16,9246885
2014-05-17,9256136
2014-05-18,9269114
2014-05-19,9286493
2014-05-20,9297534
2014-05-21,9330954
2014-05-22,9360656
2014-05-23,9394728
2014-05-24,9424097
2014-05-25,9454185
2014-05-26,9478925
2014-05-27,9506910
2014-05-28,9527126
2014-05-29,9547804
2014-05-30,9561562
2014-05-31,9571365
2014-06-01,9581035
2014-06-02,9594195
2014-06-03,9606490
2014-06-04,9619815
2014-06-05,9633259
2014-06-06,9642502
2014-06-07,9660772
2014-06-08,9685620
2014-06-09,9704730
2014-06-10,9720437
2014-06-11,9738073
2014-06-12,9761578
2014-06-13,9778200
2014-06-14,9791487
2014-06-15,9805247
2014-06-16,9821609
2014-06-17,9838122
2014-06-18,9851379
2014-06-19,9862440
2014-06-20,9871283
2014-06-21,9880931
2014-06-22,9900529
2014-06-23,9921939
2014-06-24,9941186
2014-06-25,9955984
2014-06-26,9981585
2014-06-27,10121256
2014-06-28,10161109
2014-06-29,10179010
2014-06-30,10192512
2014-07-01,10201405
2014-07-02,10214507
2014-07-03,10230896
2014-07-04,10242193
2014-07-05,10257171
2014-07-06,10275866
2014-07-07,10348893
2014-07-08,10367524
2014-07-09,10387504
2014-07-10,10405863
2014-07-11,10434885
2014-07-12,10466551
2014-07-13,10496839
2014-07-14,10531762
2014-07-15,10559779
2014-07-16,10591330
2014-07-17,10619402
2014-07-18,10649299
2014-07-19,10688191
2014-07-20,10725482
2014-07-21,10780015
2014-07-22,10815512
2014-07-23,10849597
2014-07-24,10886754
2014-07-25,10929396
2014-07-26,10967448
2014-07-27,11011958
2014-07-28,11058638
2014-07-29,11096033
2014-07-30,11128784
2014-07-31,11164826
2014-08-01,11220303
2014-08-02,11277016
2014-08-03,11323436
2014-08-04,11366309
2014-08-05,11408813
2014-08-06,11452559
2014-08-07,11489436
2014-08-08,11528935
2014-08-09,11559063
2014-08-10,11626394
2014-08-11,11681840
2014-08-12,11728382
2014-08-13,11767930
2014-08-14,11802618
2014-08-15,11830443
2014-08-16,11854531
2014-08-17,11898426
2014-08-18,11947423
2014-08-19,12004447
2014-08-20,12029544
2014-08-21,12065268
2014-08-22,12096607
2014-08-23,12125143
2014-08-24,12153142
2014-08-25,12212087
2014-08-26,12240026
2014-08-27,12267974
2014-08-28,12292521
2014-08-29,12316045
2014-08-30,12337279
2014-08-31,12363679
2014-09-01,12391921
2014-09-02,12422812
2014-09-03,12458814
2014-09-04,12496507
2014-09-05,12522103
2014-09-06,12550409
2014-09-07,12581515
2014-09-08,12607182
2014-09-09,12634778
2014-09-10,12660225
2014-09-11,12685074
2014-09-12,12714754
2014-09-13,12738078
