Date,Subs
2014-04-10,13799363
2014-04-11,13823885
2014-04-12,13836108
2014-04-13,13852139
2014-04-14,13866704
2014-04-15,13867330
2014-04-16,13874259
2014-04-17,13885771
2014-04-18,13899659
2014-04-19,13910339
2014-04-20,13920791
2014-04-21,13930772
2014-04-22,13940617
2014-04-23,13953256
2014-04-24,13959203
2014-04-25,13971575
2014-04-26,13984283
2014-04-27,13994525
2014-04-28,14003432
2014-04-29,14013274
2014-04-30,14021120
2014-05-01,14029375
2014-05-02,14042647
2014-05-03,14058218
2014-05-04,14069661
2014-05-05,14087158
2014-05-06,14095684
2014-05-07,14111096
2014-05-08,14116440
2014-05-09,14122491
2014-05-10,14123991
2014-05-11,14162722
2014-05-12,14187251
2014-05-13,14217184
2014-05-14,14243365
2014-05-15,14261884
2014-05-16,14278732
2014-05-17,14294664
2014-05-18,14310160
2014-05-19,14353007
2014-05-20,14376666
2014-05-21,14403691
2014-05-22,14427572
2014-05-23,14471022
2014-05-24,14539549
2014-05-25,14587501
2014-05-26,14617521
2014-05-27,14738587
2014-05-28,14793380
2014-05-29,14827207
2014-05-30,14865117
2014-05-31,14904960
2014-06-01,14927918
2014-06-02,14949275
2014-06-03,14966889
2014-06-04,14985235
2014-06-05,15000684
2014-06-06,15015048
2014-06-07,15038187
2014-06-08,15071350
2014-06-09,15096384
2014-06-10,15114452
2014-06-11,15139024
2014-06-12,15173966
2014-06-13,15208244
2014-06-14,15235945
2014-06-15,15265885
2014-06-16,15319481
2014-06-17,15344111
2014-06-18,15372758
2014-06-19,15394499
2014-06-20,15412273
2014-06-21,15427043
2014-06-22,15445192
2014-06-23,15481291
2014-06-24,15506739
2014-06-25,15538082
2014-06-26,15594868
2014-06-27,15633086
2014-06-28,15673816
2014-06-29,15698578
2014-06-30,15721941
2014-07-01,15738754
2014-07-02,15754702
2014-07-03,15786660
2014-07-04,15810677
2014-07-05,15825782
2014-07-06,15843135
2014-07-07,15866531
2014-07-08,15884527
2014-07-09,15910413
2014-07-10,15915946
2014-07-11,15935321
2014-07-12,15966083
2014-07-13,15992241
2014-07-14,16019981
2014-07-15,16048315
2014-07-16,16081423
2014-07-17,16109731
2014-07-18,16153824
2014-07-19,16203215
2014-07-20,16247474
2014-07-21,16287929
2014-07-22,16326820
2014-07-23,16364278
2014-07-24,16416702
2014-07-25,16466877
2014-07-26,16497004
2014-07-27,16560859
2014-07-28,16603600
2014-07-29,16637847
2014-07-30,16672145
2014-07-31,16706836
2014-08-01,16769963
2014-08-02,16850478
2014-08-03,16927677
2014-08-04,16992910
2014-08-05,17051961
2014-08-06,17106761
2014-08-07,17155505
2014-08-08,17202163
2014-08-09,17229352
2014-08-10,17273753
2014-08-11,17332556
2014-08-12,17384480
2014-08-13,17437401
2014-08-14,17472890
2014-08-15,17504083
2014-08-16,17532275
2014-08-17,17559753
2014-08-18,17589360
2014-08-19,17621889
2014-08-20,17646801
2014-08-21,17685351
2014-08-22,17730657
2014-08-23,17768466
2014-08-24,17806012
2014-08-25,17913722
2014-08-26,17953369
2014-08-27,17990503
2014-08-28,18014935
2014-08-29,18047797
2014-08-30,18080290
2014-08-31,18111290
2014-09-01,18143802
2014-09-02,18189088
2014-09-03,18240097
2014-09-04,18303111
2014-09-05,18345110
2014-09-06,18394531
2014-09-07,18431216
2014-09-08,18463103
2014-09-09,18492412
2014-09-10,18520731
2014-09-11,18554170
2014-09-12,18581290
2014-09-13,18606758
2014-09-14,18636369
2014-09-15,18667459
2014-09-16,18694273
2014-09-17,18738895
2014-09-18,18785885
2014-09-19,18842922
2014-09-20,18899596
2014-09-21,18949587
2014-09-22,18991706
2014-09-23,19064143
2014-09-24,19110547
2014-09-25,19161492
2014-09-26,19202817
2014-09-27,19246801
2014-09-28,19297838
2014-09-29,19357903
2014-09-30,19417532
2014-10-01,19448871
2014-10-02,19482825
2014-10-03,19518960
2014-10-04,19559992
2014-10-05,19609322
2014-10-06,19649173
2014-10-07,19695742
2014-10-08,19736411
2014-10-09,19776736
2014-10-10,19817578
2014-10-11,19861346
2014-10-12,19894118
2014-10-13,19934129
2014-10-14,19965325
2014-10-15,20000133
2014-10-16,20035488
2014-10-17,20074883
2014-10-18,20116799
2014-10-19,20157516
2014-10-20,20196466
2014-10-21,20286340
2014-10-22,20370231
2014-10-23,20400570
2014-10-24,20422417
2014-10-25,20430527
2014-10-26,20460554
2014-10-27,20489601
2014-10-28,20512253
2014-10-29,20551480
2014-10-30,20603577
2014-10-31,20660229
2014-11-01,20726477
2014-11-02,20774188
2014-11-03,20808343
2014-11-04,20843892
2014-11-05,20893135
2014-11-06,20939476
2014-11-07,20973138
2014-11-08,21017742
2014-11-09,21061070
2014-11-10,21109981
2014-11-11,21169576
2014-11-12,21334469
2014-11-13,21473817
2014-11-14,21572740
2014-11-15,21656980
2014-11-16,21731074
2014-11-17,21786388
2014-11-18,21835003
2014-11-19,21947151
2014-11-20,22018512
2014-11-21,22074659
2014-11-22,22140199
2014-11-23,22204974
2014-11-24,22274143
2014-11-25,22339847
2014-11-26,22391559
2014-11-27,22446034
2014-11-28,22552448
2014-11-29,22604743
2014-11-30,22660531
2014-12-01,22710690
2014-12-02,22766644
2014-12-03,22797932
2014-12-04,22836870
2014-12-05,22888966
2014-12-06,22956768
2014-12-07,23012486
