Date,Subs
2014-04-19,972016
2014-04-20,975773
2014-04-21,981105
2014-04-22,985575
2014-04-23,989823
2014-04-24,994093
2014-04-25,1004381
2014-04-26,1021321
2014-04-27,1029692
2014-04-28,1034871
2014-04-29,1038039
2014-04-30,1041109
2014-05-01,1043607
2014-05-02,1046041
2014-05-03,1048834
2014-05-04,1054367
2014-05-05,1057469
2014-05-06,1061953
2014-05-07,1065079
2014-05-08,1067860
2014-05-09,1080290
2014-05-10,1100707
2014-05-11,1105713
2014-05-12,1109596
2014-05-13,1114818
2014-05-14,1117453
2014-05-15,1119122
2014-05-16,1122057
2014-05-17,1125570
2014-05-18,1128514
2014-05-19,1132127
2014-05-20,1136449
2014-05-21,1141343
2014-05-22,1147564
2014-05-23,1153178
2014-05-24,1161792
2014-05-25,1167379
2014-05-26,1169149
2014-05-27,1185686
2014-05-28,1207432
2014-05-29,1226332
2014-05-30,1240848
2014-05-31,1256291
2014-06-01,1267889
2014-06-02,1277988
2014-06-03,1284977
2014-06-04,1291336
2014-06-05,1298765
2014-06-06,1303295
2014-06-07,1315709
2014-06-08,1319644
2014-06-09,1322892
2014-06-10,1326487
2014-06-11,1335018
2014-06-12,1340589
2014-06-13,1345046
2014-06-14,1348913
2014-06-15,1352831
2014-06-16,1356145
2014-06-17,1358764
2014-06-18,1363698
2014-06-19,1367828
2014-06-20,1372222
2014-06-21,1375796
2014-06-22,1378712
2014-06-23,1385103
2014-06-24,1388511
2014-06-25,1391629
2014-06-26,1393855
2014-06-27,1396166
2014-06-28,1399448
2014-06-29,1402437
2014-06-30,1410505
2014-07-01,1416550
2014-07-02,1421792
2014-07-03,1428321
2014-07-04,1432460
2014-07-05,1436890
2014-07-06,1442336
2014-07-07,1461971
2014-07-08,1471807
2014-07-09,1480492
2014-07-10,1488439
2014-07-11,1495648
2014-07-12,1505859
2014-07-13,1514334
2014-07-14,1521107
2014-07-15,1532834
2014-07-16,1546259
2014-07-17,1559871
2014-07-18,1567673
2014-07-19,1574274
2014-07-20,1579976
2014-07-21,1586240
2014-07-22,1591813
2014-07-23,1596991
2014-07-24,1601079
2014-07-25,1605595
2014-07-26,1612444
2014-07-27,1616873
2014-07-28,1623934
2014-07-29,1630438
2014-07-30,1639612
2014-07-31,1652760
2014-08-01,1660994
2014-08-02,1666590
2014-08-03,1676385
2014-08-04,1685127
2014-08-05,1694176
2014-08-06,1704138
2014-08-07,1711138
2014-08-08,1718356
2014-08-09,1725223
2014-08-10,1732298
2014-08-11,1745651
2014-08-12,1753765
2014-08-13,1764186
2014-08-14,1771154
2014-08-15,1780812
2014-08-16,1789195
2014-08-17,1797705
2014-08-18,1808518
2014-08-19,1824380
2014-08-20,1834006
2014-08-21,1842439
2014-08-22,1851568
2014-08-23,1861220
2014-08-24,1869450
2014-08-25,1878237
2014-08-26,1884841
2014-08-27,1890603
2014-08-28,1895508
2014-08-29,1901203
2014-08-30,1905690
2014-08-31,1911560
2014-09-01,1918767
2014-09-02,1924509
2014-09-03,1928841
2014-09-04,1934430
2014-09-05,1938812
2014-09-06,1944506
2014-09-07,1948625
2014-09-08,1982163
2014-09-09,1989247
2014-09-10,1996119
2014-09-11,2002243
2014-09-12,2006879
2014-09-13,2016496
2014-09-14,2022983
2014-09-15,2026728
2014-09-16,2032640
2014-09-17,2038890
2014-09-18,2042310
2014-09-19,2049551
2014-09-20,2056613
2014-09-21,2066777
2014-09-22,2071685
2014-09-23,2077033
2014-09-24,2083010
2014-09-25,2090933
2014-09-26,2098267
2014-09-27,2103682
2014-09-28,2109850
2014-09-29,2114695
2014-09-30,2120568
2014-10-01,2125502
2014-10-02,2130037
2014-10-03,2134272
2014-10-04,2139442
2014-10-05,2144037
2014-10-06,2149113
2014-10-07,2156185
2014-10-08,2162673
2014-10-09,2167027
2014-10-10,2171988
2014-10-11,2177924
2014-10-12,2186954
2014-10-13,2191515
2014-10-14,2196414
2014-10-15,2199697
2014-10-16,2203148
2014-10-17,2214325
2014-10-18,2221503
2014-10-19,2227120
2014-10-20,2231161
2014-10-21,2237025
2014-10-22,2241984
2014-10-23,2250301
2014-10-24,2252997
2014-10-25,2256405
2014-10-26,2260910
2014-10-27,2264075
2014-10-28,2268740
2014-10-29,2275114
2014-10-30,2278418
2014-10-31,2282595
2014-11-01,2288948
2014-11-02,2293820
2014-11-03,2296295
2014-11-04,2301119
2014-11-05,2306394
2014-11-06,2312402
2014-11-07,2317225
2014-11-08,2322872
2014-11-09,2332543
2014-11-10,2339774
2014-11-11,2347965
2014-11-12,2355350
2014-11-13,2360966
2014-11-14,2367408
2014-11-15,2380906
2014-11-16,2395073
2014-11-17,2402533
2014-11-18,2409745
2014-11-19,2416127
2014-11-20,2421155
2014-11-21,2425712
2014-11-22,2431659
2014-11-23,2437938
2014-11-24,2443128
2014-11-25,2449941
2014-11-26,2459914
2014-11-27,2473813
2014-11-28,2482756
2014-11-29,2491982
2014-11-30,2498101
2014-12-01,2504086
2014-12-02,2510910
2014-12-03,2515753
2014-12-04,2520460
2014-12-05,2525800
2014-12-06,2536062
2014-12-07,2543251
2014-12-08,2554063
2014-12-09,2565178
2014-12-10,2572013
2014-12-11,2578196
2014-12-12,2582442
2014-12-13,2591422
2014-12-14,2595820
2014-12-15,2600803
2014-12-16,2605692
2014-12-17,2611236
2014-12-18,2520162
2014-12-19,2525547
2014-12-20,2530040
2014-12-21,2535379
2014-12-22,2543521
2014-12-23,2551945
2014-12-24,2559519
2014-12-25,2566322
2014-12-26,2572186
2014-12-27,2578020
2014-12-28,2583463
2014-12-29,2588710
2014-12-30,2595154
2014-12-31,2601243
2015-01-01,2606495
2015-01-02,2615168
2015-01-03,2622255
2015-01-04,2628414
2015-01-05,2636415
2015-01-06,2642809
2015-01-07,2648079
2015-01-08,2653119
2015-01-09,2656909
2015-01-10,2664198
2015-01-11,2669608
2015-01-12,2672551
2015-01-13,2678407
2015-01-14,2683940
2015-01-15,2688086
2015-01-16,2693767
2015-01-17,2699721
2015-01-18,2705344
2015-01-19,2711618
2015-01-20,2716214
2015-01-21,2720688
2015-01-22,2725799
2015-01-23,2735638
2015-01-24,2745936
2015-01-25,2757194
2015-01-26,2775037
2015-01-27,2783142
2015-01-28,2790974
2015-01-29,2796557
2015-01-30,2803861
2015-01-31,2811564
2015-02-01,2817782
2015-02-02,2815296
2015-02-03,2822374
2015-02-04,2851953
2015-02-05,2853758
2015-02-06,2856487
2015-02-07,2860903
2015-02-08,2865965
2015-02-09,2869961
2015-02-10,2873048
2015-02-11,2876243
2015-02-12,2879877
2015-02-13,2883088
2015-02-14,2886000
2015-02-15,2889414
2015-02-16,2893899
2015-02-17,2898615
2015-02-18,2902126
2015-02-19,2905665
2015-02-20,2909695
2015-02-21,2916256
2015-02-22,2923806
2015-02-23,2927811
2015-02-24,2932003
2015-02-25,2936654
2015-02-26,2940619
2015-02-27,2945154
2015-02-28,2948714
2015-03-01,2953836
2015-03-02,2957003
2015-03-03,2962751
2015-03-04,2967963
2015-03-05,2975560
2015-03-06,2982516
2015-03-07,2987799
2015-03-08,2995349
2015-03-09,3000928
2015-03-10,3005786
2015-03-11,3012942
2015-03-12,3019202
2015-03-13,3025955
2015-03-14,3031061
2015-03-15,3036212
2015-03-16,3040523
2015-03-17,3044455
2015-03-18,3047949
2015-03-19,3052727
2015-03-20,3056702
2015-03-21,3063293
2015-03-22,3069774
2015-03-23,3073400
2015-03-24,3079253
2015-03-25,3085090
2015-03-26,3094677
2015-03-27,3106660
2015-03-28,3117853
2015-03-29,3131322
2015-03-30,3140366
2015-03-31,3149946
2015-04-01,3157523
2015-04-02,3163725
2015-04-03,3171757
2015-04-04,3177221
2015-04-05,3181874
2015-04-06,3186517
2015-04-07,3194211
2015-04-08,3203346
2015-04-09,3210208
2015-04-10,3216803
2015-04-11,3225830
2015-04-12,3237012
2015-04-13,3251360
2015-04-14,3258650
2015-04-15,3265467
2015-04-16,3271715
2015-04-17,3277745
2015-04-18,3287559
2015-04-19,3294205
2015-04-20,3300016
2015-04-21,3304225
2015-04-22,3309295
2015-04-23,3313146
2015-04-24,3317790
2015-04-25,3322645
2015-04-26,3327386
2015-04-27,3332596
2015-04-28,3337937
2015-04-29,3347685
2015-04-30,3355726
2015-05-01,3363249
2015-05-02,3373850
2015-05-03,3381512
2015-05-04,3387610
2015-05-05,3395465
2015-05-06,3395263
2015-05-07,3399413
2015-05-08,3403866
2015-05-09,3409256
2015-05-10,3414902
2015-05-11,3419867
2015-05-12,3424496
2015-05-13,3430047
2015-05-14,3435676
2015-05-15,3442682
2015-05-16,3449995
2015-05-17,3455962
2015-05-18,3461618
2015-05-19,3468952
2015-05-20,3475888
2015-05-21,3477950
2015-05-22,3488432
2015-05-23,3496030
2015-05-24,3505093
2015-05-25,3514805
2015-05-26,3528544
2015-05-27,3536190
2015-05-28,3542772
2015-05-29,3548746
2015-05-30,3550146
2015-05-31,3560830
2015-06-01,3568256
2015-06-02,3575002
2015-06-03,3584202
2015-06-04,3591159
2015-06-05,3602078
2015-06-06,3611552
2015-06-07,3621689
2015-06-08,3631927
2015-06-09,3642715
2015-06-10,3657100
2015-06-11,3667970
2015-06-12,3677194
2015-06-13,3685173
2015-06-14,3693274
2015-06-15,3702283
2015-06-16,3714781
2015-06-17,3723797
2015-06-18,3733635
2015-06-19,3741486
2015-06-20,3753625
2015-06-21,3762605
2015-06-22,3773169
2015-06-23,3783181
2015-06-24,3791528
2015-06-25,3797721
2015-06-26,3802961
2015-06-27,3803642
2015-06-28,3809503
