Date,Subs
2014-07-04,3321068
2014-07-05,3323848
2014-07-06,3330326
2014-07-07,3338068
2014-07-08,3358448
2014-07-09,3365702
2014-07-10,3373625
2014-07-11,3384844
2014-07-12,3398992
2014-07-13,3411742
2014-07-14,3422998
2014-07-15,3434173
2014-07-16,3445275
2014-07-17,3453094
2014-07-18,3464695
2014-07-19,3490116
2014-07-20,3504103
2014-07-21,3518866
2014-07-22,3535333
2014-07-23,3548240
2014-07-24,3557812
2014-07-25,3569032
2014-07-26,3579559
2014-07-27,3592397
2014-07-28,3605571
2014-07-29,3613992
2014-07-30,3622883
2014-07-31,3632635
2014-08-01,3654348
2014-08-02,3675208
2014-08-03,3694856
2014-08-04,3708682
2014-08-05,3719759
2014-08-06,3730185
2014-08-07,3744703
2014-08-08,3754354
2014-08-09,3760318
2014-08-10,3782332
2014-08-11,3805224
2014-08-12,3818908
2014-08-13,3830424
2014-08-14,3842434
2014-08-15,3850398
2014-08-16,3869228
2014-08-17,3882583
2014-08-18,3895667
2014-08-19,3903738
2014-08-20,3909422
2014-08-21,3923237
2014-08-22,3931286
2014-08-23,3938546
2014-08-24,3945434
2014-08-25,3958101
2014-08-26,3964175
2014-08-27,3969786
2014-08-28,3975862
2014-08-29,3980265
2014-08-30,3985116
2014-08-31,3992358
2014-09-01,4005123
2014-09-02,4017164
2014-09-03,4027284
2014-09-04,4039326
2014-09-05,4049403
2014-09-06,4056211
2014-09-07,4066904
2014-09-08,4076384
2014-09-09,4088720
2014-09-10,4098546
2014-09-11,4112991
2014-09-12,4122760
2014-09-13,4130878
2014-09-14,4147860
2014-09-15,4154515
2014-09-16,4159713
2014-09-17,4164035
2014-09-18,4169914
2014-09-19,4177480
2014-09-20,4185326
2014-09-21,4194559
2014-09-22,4200820
2014-09-23,4208166
2014-09-24,4219171
2014-09-25,4230497
2014-09-26,4237956
2014-09-27,4254522
2014-09-28,4272331
2014-09-29,4281743
2014-09-30,4293397
2014-10-01,4306583
2014-10-02,4314715
2014-10-03,4322051
2014-10-04,4328492
2014-10-05,4334150
2014-10-06,4341504
2014-10-07,4350448
2014-10-08,4358121
2014-10-09,4378385
2014-10-10,4386242
2014-10-11,4392737
2014-10-12,4397633
2014-10-13,4414122
2014-10-14,4419991
2014-10-15,4432057
2014-10-16,4436317
2014-10-17,4442420
2014-10-18,4448660
2014-10-19,4455627
2014-10-20,4460035
2014-10-21,4473430
2014-10-22,4482022
2014-10-23,4489549
2014-10-24,4495158
2014-10-25,4506403
2014-10-26,4517685
2014-10-27,4524562
2014-10-28,4532062
2014-10-29,4540369
2014-10-30,4549795
2014-10-31,4555449
2014-11-01,4562929
2014-11-02,4569051
2014-11-03,4577099
2014-11-04,4590382
2014-11-05,4623004
2014-11-06,4642708
2014-11-07,4652406
2014-11-08,4663151
2014-11-09,4671492
2014-11-10,4683609
2014-11-11,4693850
2014-11-12,4708588
2014-11-13,4719169
2014-11-14,4731405
2014-11-15,4742906
2014-11-16,4754266
2014-11-17,4760625
2014-11-18,4768777
2014-11-19,4785402
2014-11-20,4792835
2014-11-21,4802156
2014-11-22,4814192
2014-11-23,4824141
2014-11-24,4837601
2014-11-25,4845897
2014-11-26,4847655
2014-11-27,4854635
2014-11-28,4865392
2014-11-29,4874394
2014-11-30,4883502
2014-12-01,4890448
2014-12-02,4900262
2014-12-03,4912181
2014-12-04,4925457
2014-12-05,4932450
2014-12-06,4941975
2014-12-07,4947242
2014-12-08,4957778
2014-12-09,4963731
2014-12-10,4979478
2014-12-11,4988294
2014-12-12,4995890
2014-12-13,5004928
2014-12-14,5018608
2014-12-15,5028068
2014-12-16,5037060
2014-12-17,5046163
2014-12-18,4825177
2014-12-19,4831461
2014-12-20,4840894
2014-12-21,4848743
2014-12-22,4857667
2014-12-23,4866008
2014-12-24,4877447
2014-12-25,4897977
2014-12-26,4909959
2014-12-27,4923296
