Date,Subs
2014-04-10,8036455
2014-04-11,8049424
2014-04-12,8067154
2014-04-13,8092076
2014-04-14,8106619
2014-04-15,8120182
2014-04-16,8132160
2014-04-17,8142242
2014-04-18,8154793
2014-04-19,8166323
2014-04-20,8187656
2014-04-21,8200509
2014-04-22,8214091
2014-04-23,8229102
2014-04-24,8240168
2014-04-25,8246277
2014-04-26,8253031
2014-04-27,8259648
2014-04-28,8265217
2014-04-29,8277809
2014-04-30,8287377
2014-05-01,8302982
2014-05-02,8311182
2014-05-03,8326923
2014-05-04,8386505
2014-05-05,8408136
2014-05-06,8441206
2014-05-07,8475139
2014-05-08,8491915
2014-05-09,8503656
2014-05-10,8519540
2014-05-11,8537488
2014-05-12,8551324
2014-05-13,8566268
2014-05-14,8578804
2014-05-15,8591859
2014-05-16,8600214
2014-05-17,8608142
2014-05-18,8649391
2014-05-19,8706389
2014-05-20,8730401
2014-05-21,8765638
2014-05-22,8816190
2014-05-23,8850364
2014-05-24,8876527
2014-05-25,8899713
2014-05-26,8917383
2014-05-27,8941307
2014-05-28,8966317
2014-05-29,8992521
2014-05-30,9033489
2014-05-31,9050460
2014-06-01,9069255
2014-06-02,9082665
2014-06-03,9101799
2014-06-04,9131565
2014-06-05,9154367
2014-06-06,9168688
2014-06-07,9182998
2014-06-08,9203584
2014-06-09,9222519
2014-06-10,9238727
2014-06-11,9267342
2014-06-12,9301636
2014-06-13,9329830
2014-06-14,9350540
2014-06-15,9378244
2014-06-16,9420279
2014-06-17,9450398
2014-06-18,9468736
2014-06-19,9495230
2014-06-20,9511939
2014-06-21,9530974
2014-06-22,9547650
2014-06-23,9564102
2014-06-24,9583738
2014-06-25,9597564
2014-06-26,9617637
2014-06-27,9641229
2014-06-28,9670291
2014-06-29,9690610
2014-06-30,9717221
2014-07-01,9731660
2014-07-02,9744635
2014-07-03,9755755
2014-07-04,9763274
2014-07-05,9771344
2014-07-06,9786413
2014-07-07,9853215
2014-07-08,9866794
2014-07-09,9885235
2014-07-10,9903301
2014-07-11,9924731
2014-07-12,9944527
2014-07-13,9963177
2014-07-14,9990987
2014-07-15,10008045
2014-07-16,10028075
2014-07-17,10045195
2014-07-18,10070389
2014-07-19,10090768
2014-07-20,10117043
2014-07-21,10149566
2014-07-22,10173623
2014-07-23,10202809
2014-07-24,10231037
2014-07-25,10265768
2014-07-26,10288936
2014-07-27,10318532
2014-07-28,10349002
2014-07-29,10394500
2014-07-30,10414947
2014-07-31,10439073
2014-08-01,10488815
2014-08-02,10531293
2014-08-03,10569368
2014-08-04,10597362
2014-08-05,10622747
2014-08-06,10664578
2014-08-07,10690286
2014-08-08,10721583
2014-08-09,10742079
2014-08-10,10902523
2014-08-11,10980508
2014-08-12,11025311
2014-08-13,11057143
2014-08-14,11082052
2014-08-15,11102600
2014-08-16,11129431
2014-08-17,11158792
2014-08-18,11193096
2014-08-19,11218753
2014-08-20,11238950
2014-08-21,11262792
2014-08-22,11285449
2014-08-23,11315763
2014-08-24,11345876
2014-08-25,11419763
2014-08-26,11455594
2014-08-27,11518204
2014-08-28,11547434
2014-08-29,11571104
2014-08-30,11596099
2014-08-31,11622276
2014-09-01,11646807
2014-09-02,11669790
2014-09-03,11697698
2014-09-04,11722423
2014-09-05,11747149
2014-09-06,11772877
2014-09-07,11809936
2014-09-08,11836564
2014-09-09,11859908
2014-09-10,11880828
2014-09-11,11908722
2014-09-12,11931728
2014-09-13,11956391
2014-09-14,11987288
2014-09-15,12011839
2014-09-16,12036639
2014-09-17,12064154
2014-09-18,12095797
2014-09-19,12123035
2014-09-20,12168192
2014-09-21,12208383
2014-09-22,12236058
2014-09-23,12272978
2014-09-24,12327016
2014-09-25,12387898
2014-09-26,12422407
2014-09-27,12467135
2014-09-28,12508404
2014-09-29,12546607
2014-09-30,12586859
2014-10-01,12618189
2014-10-02,12647480
2014-10-03,12672700
2014-10-04,12697769
2014-10-05,12721821
2014-10-06,12743145
2014-10-07,12769168
2014-10-08,12822061
2014-10-09,12861521
2014-10-10,12883114
2014-10-11,12908579
2014-10-12,12932818
2014-10-13,12955422
2014-10-14,12977641
2014-10-15,13000993
2014-10-16,13027591
2014-10-17,13060729
2014-10-18,13092919
2014-10-19,13120463
2014-10-20,13142134
2014-10-21,13171438
2014-10-22,13194694
2014-10-23,13213561
2014-10-24,13250932
2014-10-25,13278242
2014-10-26,13306163
2014-10-27,13332170
2014-10-28,13370815
2014-10-29,13416728
2014-10-30,13466711
2014-10-31,13508312
2014-11-01,13558061
2014-11-02,13611245
2014-11-03,13650828
2014-11-04,13696792
2014-11-05,13736979
2014-11-06,13771901
2014-11-07,13809392
2014-11-08,13855700
2014-11-09,13899769
2014-11-10,13956067
2014-11-11,13998945
2014-11-12,14067621
2014-11-13,14123492
2014-11-14,14194250
2014-11-15,14250079
2014-11-16,14295316
2014-11-17,14332945
2014-11-18,14368051
2014-11-19,14419490
2014-11-20,14451430
2014-11-21,14493376
2014-11-22,14551584
2014-11-23,14604609
2014-11-24,14673384
2014-11-25,14729225
2014-11-26,14772797
2014-11-27,14821553
2014-11-28,14897204
2014-11-29,14948217
2014-11-30,15000044
2014-12-01,15034475
2014-12-02,15064876
2014-12-03,15111918
2014-12-04,15175490
2014-12-05,15214214
2014-12-06,15251787
2014-12-07,15285327
2014-12-08,15316197
2014-12-09,15343464
2014-12-10,15379118
2014-12-11,15416956
2014-12-12,15455216
