Date,Subs
2014-07-31,1833
2014-08-01,1834
2014-08-02,1842
2014-08-03,1846
2014-08-04,1849
2014-08-05,1851
2014-08-06,1853
2014-08-07,1855
2014-08-08,1858
2014-08-09,1864
2014-08-10,1864
2014-08-11,1871
2014-08-12,1873
2014-08-13,1881
2014-08-14,1889
2014-08-15,1905
2014-08-16,1912
2014-08-17,1908
2014-08-18,1907
2014-08-19,1908
2014-08-20,1910
2014-08-21,1909
2014-08-22,1912
2014-08-23,1912
2014-08-24,1910
2014-08-25,1914
2014-08-26,1921
2014-08-27,1926
2014-08-28,1928
2014-08-29,1927
2014-08-30,1927
2014-08-31,1926
2014-09-01,1923
2014-09-02,1924
2014-09-03,1927
2014-09-04,1930
2014-09-05,1932
2014-09-06,1931
2014-09-07,1927
2014-09-08,1925
2014-09-09,1927
2014-09-10,1930
2014-09-11,1939
2014-09-12,1935
2014-09-13,1933
2014-09-14,1937
2014-09-15,1943
2014-09-16,1944
2014-09-17,1953
2014-09-18,1954
2014-09-19,1957
2014-09-20,1957
2014-09-21,1959
2014-09-22,1961
2014-09-23,1964
2014-09-24,1965
2014-09-25,1971
2014-09-26,1975
2014-09-27,1980
2014-09-28,1980
2014-09-29,1985
2014-09-30,1983
2014-10-01,1984
2014-10-02,1989
2014-10-03,1989
2014-10-04,1989
2014-10-05,1993
2014-10-06,1998
2014-10-07,1996
2014-10-08,1995
2014-10-09,1998
2014-10-10,2001
2014-10-11,2001
2014-10-12,2000
2014-10-13,2000
2014-10-14,2002
2014-10-15,2002
2014-10-16,2010
2014-10-17,2012
2014-10-18,2007
2014-10-19,2013
2014-10-20,2017
2014-10-21,2019
2014-10-22,2023
2014-10-23,2024
2014-10-24,2026
2014-10-25,2025
2014-10-26,2029
2014-10-27,2031
2014-10-28,2040
2014-10-29,2043
2014-10-30,2051
2014-10-31,2054
2014-11-01,2059
2014-11-02,2058
2014-11-03,2060
2014-11-04,2070
2014-11-05,2078
2014-11-06,2081
2014-11-07,2089
2014-11-08,2094
2014-11-09,2099
2014-11-10,2106
2014-11-11,2112
2014-11-12,2121
2014-11-13,2125
2014-11-14,2134
2014-11-15,2135
2014-11-16,2141
2014-11-17,2145
2014-11-18,2150
2014-11-19,2153
2014-11-20,2160
2014-11-21,2161
2014-11-22,2163
2014-11-23,2166
2014-11-24,2173
2014-11-25,2173
2014-11-26,2178
2014-11-27,2180
2014-11-28,2183
2014-11-29,2186
2014-11-30,2189
2014-12-01,2192
2014-12-02,2199
2014-12-03,2207
2014-12-04,2212
2014-12-05,2214
2014-12-06,2223
2014-12-07,2226
2014-12-08,2230
2014-12-09,2233
2014-12-10,2235
2014-12-11,2238
2014-12-12,2242
2014-12-13,2247
2014-12-14,2250
2014-12-15,2252
2014-12-16,2255
2014-12-17,2256
2014-12-18,2010
2014-12-19,2008
2014-12-20,2012
2014-12-21,2016
2014-12-22,2018
2014-12-23,2017
2014-12-24,2019
2014-12-25,2028
2014-12-26,2035
2014-12-27,2036
2014-12-28,2037
2014-12-29,2036
2014-12-30,2036
2014-12-31,2042
2015-01-01,2044
2015-01-02,2054
2015-01-03,2055
2015-01-04,2064
2015-01-05,2065
2015-01-06,2068
2015-01-07,2076
2015-01-08,2076
2015-01-09,2085
2015-01-10,2089
