Date,Subs
2014-04-04,1436020
2014-04-05,1445280
2014-04-06,1452772
2014-04-07,1458342
2014-04-08,1463162
2014-04-09,1468597
2014-04-10,1473379
2014-04-11,1477068
2014-04-12,1480342
2014-04-13,1485406
2014-04-14,1497264
2014-04-15,1503173
2014-04-16,1508557
2014-04-17,1513652
2014-04-18,1519826
2014-04-19,1525312
2014-04-20,1531737
2014-04-21,1537065
2014-04-22,1542045
2014-04-23,1546505
2014-04-24,1556510
2014-04-25,1562401
2014-04-26,1569019
2014-04-27,1575605
2014-04-28,1580795
2014-04-29,1586035
2014-04-30,1594023
2014-05-01,1598878
2014-05-02,1603052
2014-05-03,1608223
2014-05-04,1613872
2014-05-05,1618818
2014-05-06,1623325
2014-05-07,1627596
2014-05-08,1631387
2014-05-09,1635611
2014-05-10,1640374
2014-05-11,1645335
2014-05-12,1649675
2014-05-13,1654109
2014-05-14,1658764
2014-05-15,1663396
2014-05-16,1667795
2014-05-17,1672810
2014-05-18,1677641
2014-05-19,1685256
2014-05-20,1691010
2014-05-21,1696250
2014-05-22,1700650
2014-05-23,1704746
2014-05-24,1709767
2014-05-25,1715010
2014-05-26,1720148
2014-05-27,1725183
2014-05-28,1729942
2014-05-29,1738688
2014-05-30,1743990
2014-05-31,1751003
2014-06-01,1757135
2014-06-02,1764019
2014-06-03,1769724
2014-06-04,1782746
2014-06-05,1792071
2014-06-06,1800884
2014-06-07,1813690
2014-06-08,1827226
2014-06-09,1838704
2014-06-10,1845572
2014-06-11,1851830
2014-06-12,1857940
2014-06-13,1863274
2014-06-14,1869066
2014-06-15,1874398
2014-06-16,1881079
2014-06-17,1886567
2014-06-18,1891748
2014-06-19,1897108
2014-06-20,1902125
2014-06-21,1908335
2014-06-22,1914010
2014-06-23,1919932
2014-06-24,1925543
2014-06-25,1931145
2014-06-26,1936174
2014-06-27,1941492
2014-06-28,1947680
2014-06-29,1953355
2014-06-30,1958838
2014-07-01,1967045
2014-07-02,1974389
2014-07-03,1980343
2014-07-04,1985220
2014-07-05,1993699
2014-07-06,2004660
2014-07-07,2017332
2014-07-08,2026718
2014-07-09,2036028
2014-07-10,2043759
2014-07-11,2050616
2014-07-12,2064847
2014-07-13,2074594
2014-07-14,2083054
2014-07-15,2090539
2014-07-16,2103748
2014-07-17,2111085
2014-07-18,2118268
2014-07-19,2125255
