Date,Subs
2014-04-10,3165694
2014-04-11,3174617
2014-04-12,3179488
2014-04-13,3184932
2014-04-14,3192900
2014-04-15,3201864
2014-04-16,3209323
2014-04-17,3215443
2014-04-18,3233241
2014-04-19,3240260
2014-04-20,3256317
2014-04-21,3264043
2014-04-22,3269154
2014-04-23,3276275
2014-04-24,3283253
2014-04-25,3289537
2014-04-26,3296346
2014-04-27,3306714
2014-04-28,3319760
2014-04-29,3327035
2014-04-30,3336720
2014-05-01,3347043
2014-05-02,3362221
2014-05-03,3371525
2014-05-04,3385252
2014-05-05,3392676
2014-05-06,3397993
2014-05-07,3401506
2014-05-08,3404707
2014-05-09,3407671
2014-05-10,3414394
2014-05-11,3425968
2014-05-12,3431807
2014-05-13,3436069
2014-05-14,3439156
2014-05-15,3458267
2014-05-16,3462973
2014-05-17,3469260
2014-05-18,3476642
2014-05-19,3487637
2014-05-20,3494003
2014-05-21,3500820
2014-05-22,3507051
2014-05-23,3514367
2014-05-24,3519174
2014-05-25,3526467
2014-05-26,3536129
2014-05-27,3543905
2014-05-28,3549447
2014-05-29,3559448
2014-05-30,3577497
2014-05-31,3592151
2014-06-01,3597983
2014-06-02,3604736
2014-06-03,3610084
2014-06-04,3617795
2014-06-05,3643979
2014-06-06,3655445
2014-06-07,3662981
2014-06-08,3671342
2014-06-09,3680761
2014-06-10,3687580
2014-06-11,3693605
2014-06-12,3703787
2014-06-13,3708872
2014-06-14,3713890
2014-06-15,3718419
2014-06-16,3724140
2014-06-17,3728036
2014-06-18,3738517
2014-06-19,3750994
2014-06-20,3759352
2014-06-21,3763719
2014-06-22,3767437
2014-06-23,3775140
2014-06-24,3780516
2014-06-25,3788395
2014-06-26,3796337
2014-06-27,3801322
2014-06-28,3806758
2014-06-29,3819058
2014-06-30,3833325
2014-07-01,3841347
2014-07-02,3854648
2014-07-03,3862424
2014-07-04,3869501
2014-07-05,3874134
2014-07-06,3883514
2014-07-07,3896255
2014-07-08,3904986
2014-07-09,3921938
2014-07-10,3931014
2014-07-11,3938633
2014-07-12,3949398
2014-07-13,3961429
2014-07-14,3975881
2014-07-15,3990225
2014-07-16,4011946
2014-07-17,4055016
2014-07-18,4074194
2014-07-19,4096063
2014-07-20,4121570
2014-07-21,4142777
2014-07-22,4167526
2014-07-23,4198838
2014-07-24,4227292
2014-07-25,4266428
2014-07-26,4289546
2014-07-27,4313461
2014-07-28,4337554
2014-07-29,4351616
2014-07-30,4363978
2014-07-31,4391577
2014-08-01,4404625
2014-08-02,4418699
2014-08-03,4432221
2014-08-04,4445294
2014-08-05,4456611
2014-08-06,4467971
2014-08-07,4488511
2014-08-08,4514888
2014-08-09,4544758
2014-08-10,4579899
2014-08-11,4603817
2014-08-12,4618815
2014-08-13,4630558
2014-08-14,4639949
2014-08-15,4662543
2014-08-16,4671606
2014-08-17,4685040
2014-08-18,4752184
2014-08-19,4792579
2014-08-20,4821830
2014-08-21,4852065
2014-08-22,4867311
2014-08-23,4880286
2014-08-24,4894403
2014-08-25,4903576
2014-08-26,4914108
2014-08-27,4922659
2014-08-28,4931542
2014-08-29,4938450
2014-08-30,4944494
2014-08-31,4949817
2014-09-01,4963104
2014-09-02,4974597
2014-09-03,4983481
2014-09-04,4989831
2014-09-05,4995615
2014-09-06,5000623
2014-09-07,5006854
2014-09-08,5013495
2014-09-09,5020241
2014-09-10,5024398
2014-09-11,5038024
2014-09-12,5053876
2014-09-13,5069578
2014-09-14,5075267
2014-09-15,5088829
2014-09-16,5112546
2014-09-17,5127917
2014-09-18,5137736
2014-09-19,5145590
2014-09-20,5151402
2014-09-21,5156004
2014-09-22,5160907
2014-09-23,5164336
2014-09-24,5168227
2014-09-25,5183682
2014-09-26,5197009
2014-09-27,5204730
2014-09-28,5212526
2014-09-29,5220630
