Date,Subs
2016-06-20,43300987
2016-06-21,43339292
2016-06-22,43379823
2016-06-23,43415036
2016-06-24,43447074
2016-06-25,43482873
2016-06-26,43517947
2016-06-27,43560592
2016-06-28,43604790
2016-06-29,43623527
2016-06-30,43683380
2016-07-01,43723860
2016-07-02,43759366
2016-07-03,43796581
2016-07-04,43834946
2016-07-05,43873935
2016-07-06,43912889
2016-07-07,43945932
2016-07-08,43975353
2016-07-09,44005061
2016-07-10,44143819
2016-07-11,44219187
2016-07-12,44263410
2016-07-13,44297556
2016-07-14,44330739
2016-07-15,44363974
2016-07-16,44396650
2016-07-17,44426388
2016-07-18,44433419
2016-07-19,44471110
2016-07-20,44504561
2016-07-22,44571349
2016-07-23,44606686
2016-07-24,44641092
2016-07-25,44678751
2016-07-26,44715736
2016-07-27,44752551
2016-07-28,44786742
2016-07-29,44819662
2016-07-30,44851570
2016-07-31,44888313
2016-08-01,44922604
2016-08-02,44957937
2016-08-03,44992843
2016-08-04,45026952
2016-08-05,45060696
2016-08-06,45094240
2016-08-07,45127580
2016-08-08,45160459
2016-08-09,45196138
2016-08-10,45230023
2016-08-11,45266308
2016-08-12,45301984
2016-08-13,45338637
2016-08-14,45376063
2016-08-15,45412632
2016-08-16,45446006
2016-08-17,45473999
2016-08-18,45500749
2016-08-19,45527633
2016-08-20,45561539
2016-08-21,45600699
2016-08-22,45631175
2016-08-23,45661603
2016-08-24,45691257
2016-08-25,45725148
2016-08-26,45763289
2016-08-27,45799086
2016-08-28,45834249
2016-08-29,45870074
2016-08-30,45906553
2016-08-31,45927850
2016-09-01,45965992
2016-09-02,46016447
2016-09-03,46065271
2016-09-04,46112492
2016-09-05,46156667
2016-09-06,46199982
2016-09-07,46248714
2016-09-08,46287868
2016-09-09,46331333
2016-09-10,46377998
2016-09-11,46423992
2016-09-12,46466396
2016-09-13,46509723
2016-09-14,46561019
2016-09-15,46605004
2016-09-16,46649266
2016-09-17,46695000
2016-09-18,46741800
2016-09-19,46779275
2016-09-20,46806557
2016-09-21,46844664
2016-09-22,46874880
2016-09-23,46905333
2016-09-24,46937639
2016-09-25,46970792
2016-09-26,47000235
2016-09-27,47023632
2016-09-28,47062918
2016-09-29,47085933
2016-09-30,47108757
2016-10-01,47132628
2016-10-02,47158751
2016-10-03,47181962
2016-10-04,47204749
2016-10-05,47233235
2016-10-06,47256406
2016-10-07,47278599
2016-10-08,47299176
2016-10-09,47319685
2016-10-10,47338654
2016-10-11,47358447
2016-10-12,47389425
2016-10-13,47411740
2016-10-14,47431392
2016-10-15,47452398
2016-10-16,47476624
2016-10-17,47500438
2016-10-18,47524087
2016-10-19,47548054
2016-10-20,47570846
2016-10-21,47591932
2016-10-22,47616430
2016-10-23,47641221
2016-10-24,47664017
2016-10-25,47675284
2016-10-26,47690075
2016-10-27,47706878
2016-10-28,47724693
2016-10-29,47745573
2016-10-30,47764767
2016-10-31,47782702
2016-11-01,47793670
2016-11-02,47814689
2016-11-03,47832414
2016-11-04,47850541
2016-11-05,47872259
2016-11-06,47891523
2016-11-07,47913241
2016-11-08,47932553
2016-11-09,47961951
2016-11-10,47985634
2016-11-11,48009155
2016-11-12,48031405
2016-11-13,48054264
2016-11-14,48074914
2016-11-15,48091908
2016-11-16,48111124
2016-11-17,48130725
2016-11-18,48150889
2016-11-19,48177945
2016-11-20,48201086
2016-11-21,48220176
2016-11-22,48235967
2016-11-23,48265808
2016-11-24,48292884
2016-11-25,48318334
2016-11-26,48346050
2016-11-27,48373114
2016-11-28,48398644
2016-11-29,48440703
2016-11-30,48478101
2016-12-01,48505725
2016-12-02,48533560
2016-12-03,48567152
2016-12-04,48596865
2016-12-05,48624236
2016-12-06,48649616
2016-12-07,48669289
2016-12-08,48686990
2016-12-09,48703385
2016-12-10,48723626
2016-12-11,48743033
2016-12-12,48767682
2016-12-13,48783308
2016-12-14,48805302
2016-12-15,48820166
2016-12-16,48837925
2016-12-17,48856384
2016-12-18,48883621
2016-12-19,48904258
2016-12-20,48923354
2016-12-21,48953240
2016-12-22,48970048
2016-12-23,48983213
2016-12-24,49001146
2016-12-25,49020394
2016-12-26,49039590
2016-12-27,49058885
2016-12-28,49092352
2016-12-29,49110338
2016-12-30,49128117
2016-12-31,49144978
2017-01-01,49161706
2017-01-02,49181193
2017-01-03,49200481
2017-01-04,49215406
2017-01-05,49241633
2017-01-06,49260181
2017-01-07,49280468
2017-01-08,49301743
2017-01-09,49327155
2017-01-10,49348877
2017-01-11,49369144
2017-01-12,49389875
2017-01-13,49408913
2017-01-14,49426847
2017-01-15,49447268
2017-01-16,49464794
2017-01-17,49483598
2017-01-18,49512116
2017-01-19,49530405
2017-01-20,49548778
2017-01-21,49568348
2017-01-22,49581756
2017-01-23,49599603
2017-01-24,49616605
2017-01-25,49616657
2017-01-26,49645808
2017-01-27,49662885
2017-01-28,49678047
2017-01-29,49693402
2017-01-30,49709558
2017-01-31,49721707
2017-02-01,49732624
2017-02-02,49738812
2017-02-03,49739332
2017-02-04,49753093
2017-02-05,49771478
2017-02-06,49789949
2017-02-07,49805649
2017-02-08,49819428
2017-02-09,49827290
2017-02-10,49840543
2017-02-11,49854166
2017-02-12,49870916
2017-02-13,49885224
2017-02-14,49894822
2017-02-15,49908008
2017-02-16,49917258
2017-02-17,49932861
2017-02-18,49948042
2017-02-19,49964022
2017-02-20,49981281
2017-02-21,49992715
2017-02-22,50006705
2017-02-23,50012279
2017-02-24,50042826
2017-02-25,50066775
2017-02-26,50094783
2017-02-27,50123195
2017-02-28,50149448
2017-03-01,50175382
2017-03-02,50191554
2017-03-03,50226898
2017-03-04,50256225
2017-03-05,50287946
2017-03-06,50317951
2017-03-07,50347134
2017-03-08,50377576
2017-03-09,50426058
2017-03-10,50455540
2017-03-11,50483689
2017-03-12,50511572
2017-03-13,50541414
2017-03-14,50569080
2017-03-15,50580321
2017-03-16,50609924
2017-03-17,50643345
2017-03-18,50671621
2017-03-19,50701321
2017-03-20,50728826
2017-03-21,50756053
2017-03-22,50781804
2017-03-23,50793606
2017-03-24,50825287
2017-03-25,50844020
2017-03-26,50863334
2017-03-27,50882961
2017-03-28,50902266
2017-03-29,50925434
2017-03-30,50944355
2017-03-31,50958780
2017-04-01,50983790
2017-04-02,51004024
2017-04-03,51024662
2017-04-04,51042733
2017-04-05,51059590
2017-04-06,51065135
2017-04-07,51090937
2017-04-08,51109661
2017-04-09,51130178
2017-04-10,51149206
2017-04-11,51169606
2017-04-12,51192040
2017-04-13,51206988
2017-04-14,51230370
2017-04-15,51251445
2017-04-16,51273718
2017-04-17,51295302
2017-04-18,51316739
2017-04-19,51352804
2017-04-20,51381711
2017-04-21,51410037
2017-04-22,51443306
2017-04-23,51481999
2017-04-24,51528556
2017-04-25,51566153
2017-04-26,51598217
2017-04-27,51625301
2017-04-28,51658434
2017-04-29,51692047
2017-04-30,51727101
2017-05-01,51762473
2017-05-02,51797223
2017-05-03,51841606
2017-05-04,51884696
2017-05-05,51929299
2017-05-06,51970903
2017-05-07,52012353
2017-05-08,52052219
2017-05-09,52081583
2017-05-10,52109410
2017-05-11,52144817
2017-05-12,52176989
2017-05-13,52209591
2017-05-14,52242111
2017-05-15,52275984
2017-05-16,52309630
2017-05-17,52344313
