Date,Subs
2016-06-20,83293630
2016-06-21,83347920
2016-06-22,83396112
2016-06-23,83443884
2016-06-24,83490923
2016-06-25,83541498
2016-06-26,83593603
2016-06-27,83646254
2016-06-28,83709852
2016-06-29,83738071
2016-06-30,83814172
2016-07-01,83867176
2016-07-02,83916252
2016-07-03,83968642
2016-07-04,84022263
2016-07-05,84078901
2016-07-06,84122102
2016-07-07,84167341
2016-07-08,84213207
2016-07-09,84258228
2016-07-10,84301753
2016-07-11,84343931
2016-07-12,84412822
2016-07-13,84461122
2016-07-14,84513065
2016-07-15,84566746
2016-07-16,84619745
2016-07-17,84668929
2016-07-18,84694728
2016-07-19,84767815
2016-07-20,84840210
2016-07-21,84896495
2016-07-22,84955544
2016-07-23,85017115
2016-07-24,85076961
2016-07-25,85137982
2016-07-26,85201813
2016-07-27,85270553
2016-07-28,85336381
2016-07-29,85397604
2016-07-30,85452079
2016-07-31,85518780
2016-08-01,85580556
2016-08-02,85647951
2016-08-03,85706987
2016-08-04,85766173
2016-08-05,85826188
2016-08-06,85884751
2016-08-07,85943935
2016-08-08,86002679
2016-08-09,86063018
2016-08-10,86121027
2016-08-11,86175923
2016-08-12,86230587
2016-08-13,86287218
2016-08-14,86345948
2016-08-15,86403205
2016-08-16,86470190
2016-08-17,86518965
2016-08-18,86563265
2016-08-19,86604550
2016-08-20,86652094
2016-08-21,86702181
2016-08-22,86746915
2016-08-23,86793263
2016-08-24,86835156
2016-08-25,86875898
2016-08-26,86918697
2016-08-27,86956241
2016-08-28,87001490
2016-08-29,87050586
2016-08-30,87096600
2016-08-31,87106332
2016-09-01,87155063
2016-09-02,87193940
2016-09-03,87263147
2016-09-04,87318248
2016-09-05,87370701
2016-09-06,87415000
2016-09-07,87468365
2016-09-08,87504504
2016-09-09,87554080
2016-09-10,87605184
2016-09-11,87658763
2016-09-12,87706367
2016-09-13,87748667
2016-09-14,87801974
2016-09-15,87848230
2016-09-16,87891630
2016-09-17,87941149
2016-09-18,87994919
2016-09-19,88037323
2016-09-20,88065879
2016-09-21,88111552
2016-09-22,88147559
2016-09-23,88183601
2016-09-24,88222429
2016-09-25,88262899
2016-09-26,88296793
2016-09-27,88334433
2016-09-28,88395750
2016-09-29,88434034
2016-09-30,88472844
2016-10-01,88514092
2016-10-02,88556064
2016-10-03,88589972
2016-10-04,88608694
2016-10-05,88642500
2016-10-06,88663432
2016-10-07,88683377
2016-10-08,88704354
2016-10-09,88724392
2016-10-10,88742293
2016-10-11,88756387
2016-10-12,88782487
2016-10-13,88803980
2016-10-14,88822613
2016-10-15,88841357
2016-10-16,88866964
2016-10-17,88889080
2016-10-18,88910186
2016-10-19,88934902
2016-10-20,88955799
2016-10-21,88976852
2016-10-22,89004540
2016-10-23,89031156
2016-10-24,89055397
2016-10-25,89075002
2016-10-26,89100890
2016-10-27,89124680
2016-10-28,89149734
2016-10-29,89176575
2016-10-30,89202662
2016-10-31,89229515
2016-11-01,89242525
2016-11-02,89270777
2016-11-03,89294154
2016-11-04,89318474
2016-11-05,89346170
2016-11-06,89368609
2016-11-07,89391873
2016-11-08,89414536
2016-11-09,89457233
2016-11-10,89484107
2016-11-11,89511383
2016-11-12,89541244
2016-11-13,89571047
2016-11-14,89596004
2016-11-15,89618868
2016-11-16,89650921
2016-11-17,89674436
2016-11-18,89697196
2016-11-19,89722299
2016-11-20,89748298
2016-11-21,89777366
2016-11-22,89796576
2016-11-23,89855504
2016-11-24,89879524
2016-11-25,89902352
2016-11-26,89927329
2016-11-27,89951160
2016-11-28,89972439
2016-11-29,89997958
2016-11-30,90045076
2016-12-01,90068543
2016-12-02,90092160
2016-12-03,90116422
2016-12-04,90139752
2016-12-05,90162749
2016-12-06,90181555
2016-12-07,90208803
2016-12-08,90231528
2016-12-09,90258406
2016-12-10,90285022
2016-12-11,90310768
2016-12-12,90332634
2016-12-13,90350285
2016-12-14,90379474
2016-12-15,90392813
2016-12-16,90414571
2016-12-17,90438297
2016-12-18,90463156
2016-12-19,90488475
2016-12-20,90512520
2016-12-21,90551092
2016-12-22,90576052
2016-12-23,90595059
2016-12-24,90617440
2016-12-25,90639906
2016-12-26,90666075
2016-12-27,90693730
2016-12-28,90724640
2016-12-29,90749412
2016-12-30,90776511
2016-12-31,90804504
2017-01-01,90830130
2017-01-02,90859039
2017-01-03,90887398
2017-01-04,90892447
2017-01-05,90931344
2017-01-06,90958503
2017-01-07,90989588
2017-01-08,91021007
2017-01-09,91049203
2017-01-10,91072260
2017-01-11,91100735
2017-01-12,91139427
2017-01-13,91167744
2017-01-14,91180176
2017-01-15,91202928
2017-01-16,91224369
2017-01-17,91250294
2017-01-18,91272031
2017-01-19,91293708
2017-01-20,91314849
2017-01-21,91338328
2017-01-22,91355471
2017-01-23,91375483
2017-01-24,91395120
2017-01-25,91384201
2017-01-26,91416626
2017-01-27,91438343
2017-01-28,91458571
2017-01-29,91478902
2017-01-30,91497574
2017-01-31,91513384
