Date,Subs
2016-06-20,46061102
2016-06-21,46077955
2016-06-22,46094721
2016-06-23,46112723
2016-06-24,46129797
2016-06-25,46150109
2016-06-26,46168724
2016-06-27,46188236
2016-06-28,46211603
2016-06-29,46222378
2016-06-30,46250734
2016-07-01,46270734
2016-07-02,46288969
2016-07-03,46306518
2016-07-04,46325356
2016-07-05,46347288
2016-07-06,46364483
2016-07-07,46382828
2016-07-08,46402898
2016-07-09,46421146
2016-07-10,46438872
2016-07-11,46453925
2016-07-12,46474837
2016-07-13,46493118
2016-07-14,46512180
2016-07-15,46531885
2016-07-16,46550421
2016-07-17,46568020
2016-07-18,46712105
2016-07-19,46773159
2016-07-20,46810607
2016-07-21,46836748
2016-07-22,46860220
2016-07-23,46882128
2016-07-24,46903259
2016-07-25,46925561
2016-07-26,46949971
2016-07-27,46976628
2016-07-28,46999260
2016-07-29,47019837
2016-07-30,47038220
2016-07-31,47060043
2016-08-01,47078022
2016-08-02,47100395
2016-08-03,47120744
2016-08-04,47140871
2016-08-05,47157925
2016-08-06,47175508
2016-08-07,47196050
2016-08-08,47214564
2016-08-09,47235089
2016-08-10,47254265
2016-08-11,47275317
2016-08-12,47295829
2016-08-13,47315930
2016-08-14,47336637
2016-08-15,47358510
2016-08-16,47382999
2016-08-17,47403021
2016-08-18,47422164
2016-08-19,47439543
2016-08-20,47458664
2016-08-21,47478856
2016-08-22,47499647
2016-08-23,47521436
2016-08-24,47538881
2016-08-25,47556226
2016-08-26,47573735
2016-08-27,47586732
2016-08-28,47606527
2016-08-29,47631567
2016-08-30,47652248
2016-08-31,47656762
2016-09-01,47674276
2016-09-02,47695827
2016-09-03,47715833
2016-09-04,47736523
2016-09-05,47755980
2016-09-06,47772359
2016-09-07,47792315
2016-09-08,47805576
2016-09-09,47824306
2016-09-10,47843660
2016-09-11,47863737
2016-09-12,47880890
2016-09-13,47896389
2016-09-14,47915370
2016-09-15,47933197
2016-09-16,47952554
2016-09-17,47972947
2016-09-18,47996010
2016-09-19,48013657
2016-09-20,48027383
2016-09-21,48046690
2016-09-22,48062680
2016-09-23,48078192
2016-09-24,48094793
2016-09-25,48111496
2016-09-26,48125383
2016-09-27,48147543
2016-09-28,48169982
2016-09-29,48187435
2016-09-30,48206429
2016-10-01,48224318
2016-10-02,48242745
2016-10-03,48283658
2016-10-04,48305351
2016-10-05,48328916
2016-10-06,48345808
2016-10-07,48361274
2016-10-08,48376610
2016-10-09,48392039
2016-10-10,48407649
2016-10-11,48421514
2016-10-12,48439177
2016-10-13,48454768
2016-10-14,48468704
2016-10-15,48481623
2016-10-16,48497166
2016-10-17,48511841
2016-10-18,48526726
2016-10-19,48542758
2016-10-20,48558893
2016-10-21,48575066
2016-10-22,48595872
2016-10-23,48613853
2016-10-24,48630440
2016-10-25,48644822
2016-10-26,48663657
2016-10-27,48682220
2016-10-28,48698539
2016-10-29,48715241
2016-10-30,48731789
2016-10-31,48747167
2016-11-01,48757220
2016-11-02,48775696
2016-11-03,48790150
2016-11-04,48806334
2016-11-05,48823329
2016-11-06,48840819
2016-11-07,48856871
2016-11-08,48876228
2016-11-09,48924027
2016-11-10,48950292
2016-11-11,48973911
2016-11-12,48994371
2016-11-13,49014724
2016-11-14,49032085
2016-11-15,49048987
2016-11-16,49066667
2016-11-17,49083473
2016-11-18,49099088
2016-11-19,49115806
2016-11-20,49133664
2016-11-21,49149435
2016-11-22,49165363
2016-11-23,49190494
2016-11-24,49206836
2016-11-25,49222422
2016-11-26,49239175
2016-11-27,49255327
2016-11-28,49270398
2016-11-29,49286996
2016-11-30,49307236
2016-12-01,49319828
2016-12-02,49319614
2016-12-03,49319247
2016-12-04,49318867
2016-12-05,49317796
2016-12-06,49306908
2016-12-07,49305677
2016-12-08,49304764
2016-12-09,49304384
2016-12-10,49304228
2016-12-11,49303561
2016-12-12,49302284
2016-12-13,49308086
2016-12-14,49303384
2016-12-15,49300348
2016-12-16,49299823
2016-12-17,49299859
2016-12-18,49300524
2016-12-19,49300116
2016-12-20,49299346
2016-12-21,49299838
2016-12-22,49299111
2016-12-23,49297272
2016-12-24,49297864
2016-12-25,49297905
2016-12-26,49298011
2016-12-27,49297769
2016-12-28,49292532
2016-12-29,49291895
2016-12-30,49291763
2016-12-31,49291732
2017-01-01,49291590
2017-01-02,49290722
2017-01-03,49295647
2017-01-04,49310581
2017-01-05,49338743
2017-01-06,49363428
2017-01-07,49390337
2017-01-08,49413737
2017-01-09,49437237
2017-01-10,49457551
2017-01-11,49480070
2017-01-12,49504114
2017-01-13,49520717
2017-01-14,49534501
2017-01-15,49552240
2017-01-16,49570210
2017-01-17,49589424
2017-01-18,49612384
2017-01-19,49629981
2017-01-20,49651561
2017-01-21,49674752
2017-01-22,49691010
2017-01-23,49710824
2017-01-24,49729096
2017-01-25,49743399
2017-01-26,49771432
2017-01-27,49787372
2017-01-28,49801630
2017-01-29,49820264
2017-01-30,49846090
2017-01-31,49862345
2017-02-01,49872714
