Date,Subs
2016-06-11,7763521
2016-06-12,7774984
2016-06-13,7785176
2016-06-14,7794663
2016-06-15,7804123
2016-06-16,7811490
2016-06-17,7817611
2016-06-18,7828780
2016-06-19,7837748
2016-06-20,7848207
2016-06-21,7859701
2016-06-22,7868591
2016-06-23,7878811
2016-06-24,7885900
2016-06-25,7894736
2016-06-26,7903223
2016-06-27,7913194
2016-06-28,7926378
2016-06-29,7931098
2016-06-30,7945063
2016-07-01,7954512
2016-07-02,7962745
2016-07-03,7970989
2016-07-04,7982114
2016-07-05,7992459
2016-07-06,8001917
2016-07-07,8011125
2016-07-08,8019511
2016-07-09,8027975
2016-07-10,8037097
2016-07-11,8045541
2016-07-12,8054813
2016-07-13,8063687
2016-07-14,8073710
2016-07-15,8085621
2016-07-16,8095071
2016-07-17,8104168
2016-07-18,8107196
2016-07-19,8117874
2016-07-20,8129405
2016-07-21,8137990
2016-07-22,8148039
2016-07-23,8158026
2016-07-24,8168072
2016-07-25,8178121
2016-07-26,8189439
2016-07-27,8202368
2016-07-28,8216774
2016-07-29,8230669
2016-07-30,8242804
2016-07-31,8257000
2016-08-01,8269443
2016-08-02,8281203
2016-08-03,8292694
2016-08-04,8302781
2016-08-05,8312365
2016-08-06,8322050
2016-08-07,8333158
2016-08-08,8344069
2016-08-09,8354642
2016-08-10,8364807
2016-08-11,8384461
2016-08-12,8402034
2016-08-13,8417801
2016-08-14,8434623
2016-08-15,8451252
2016-08-16,8465714
2016-08-17,8477512
2016-08-18,8488650
2016-08-19,8499220
2016-08-20,8512141
2016-08-21,8525316
2016-08-22,8536603
2016-08-23,8548035
2016-08-24,8557467
2016-08-25,8566249
2016-08-26,8575173
2016-08-27,8585516
2016-08-28,8596666
2016-08-29,8607801
2016-08-30,8621279
2016-08-31,7033930
2016-09-01,1784986
2016-09-02,913922
2016-09-03,7166520
2016-09-04,8724080
2016-09-05,8743905
2016-09-06,8760824
2016-09-07,8779902
2016-09-08,8797957
2016-09-09,8815210
2016-09-10,8831956
2016-09-11,8848009
2016-09-12,8863081
2016-09-13,8879209
2016-09-14,8897011
2016-09-15,8910474
2016-09-16,8923605
2016-09-17,8939675
2016-09-18,8955040
2016-09-19,8965911
2016-09-20,8975793
2016-09-21,8985753
2016-09-22,8993270
2016-09-23,9000411
2016-09-24,9008809
2016-09-25,8998092
2016-09-26,8992772
2016-09-27,8992417
2016-09-28,8996606
2016-09-29,9002368
2016-09-30,9010534
2016-10-01,9021117
2016-10-02,9032066
2016-10-03,9041311
2016-10-04,9050181
2016-10-05,9061210
2016-10-06,9069655
2016-10-07,9078295
2016-10-08,9086558
2016-10-09,9095049
2016-10-10,9102502
2016-10-11,9108216
2016-10-12,9117586
2016-10-13,9125111
2016-10-14,9132150
2016-10-15,9140130
2016-10-16,9150316
2016-10-17,9158928
2016-10-18,9167044
2016-10-19,9174687
2016-10-20,9182358
2016-10-21,9190147
2016-10-22,9199780
2016-10-23,9208998
2016-10-24,9218302
2016-10-25,9225779
2016-10-26,9234429
2016-10-27,9242885
2016-10-28,9252628
2016-10-29,9263804
2016-10-30,9275029
2016-10-31,9284448
2016-11-01,9291576
2016-11-02,9303614
2016-11-03,9313798
