Date,Subs
2011-09-15,285093
2011-09-16,285250
2011-09-17,285441
2011-09-18,285628
2011-09-19,285806
2011-09-20,285958
2011-09-21,286106
2011-09-22,286231
2011-09-23,286387
2011-09-24,286552
2011-09-25,286732
2011-09-26,286858
2011-09-27,286988
2011-09-28,287098
2011-09-29,287205
2011-09-30,287355
2011-10-01,287517
2011-10-02,287678
2011-10-03,287803
2011-10-04,287913
2011-10-05,288059
2011-10-06,288287
2011-10-07,288614
2011-10-08,288888
2011-10-09,289120
2011-10-10,289354
2011-10-11,289602
2011-10-12,289787
2011-10-13,289956
2011-10-14,290127
2011-10-15,290331
2011-10-16,290531
2011-10-17,290724
2011-10-18,290924
2011-10-19,291133
2011-10-20,291325
2011-10-21,291535
2011-10-22,291729
2011-10-23,291948
2011-10-24,292118
2011-10-25,292299
2011-10-26,292509
2011-10-27,292744
2011-10-28,292929
2011-10-29,293140
2011-10-30,293347
2011-10-31,293498
2011-11-01,293666
2011-11-02,293839
2011-11-03,293905
2011-11-04,294026
2011-11-05,294217
2011-11-06,294437
2011-11-07,294634
2011-11-08,294819
2011-11-09,295054
2011-11-10,295447
2011-11-11,295669
2011-11-12,295905
2011-11-13,296126
2011-11-14,296342
2011-11-15,296524
2011-11-16,296706
2011-11-17,296969
2011-11-18,297200
2011-11-19,297431
2011-11-20,297663
2011-11-21,297895
2011-11-22,298158
2011-11-23,298386
2011-11-24,298607
2011-11-25,298857
2011-11-26,299121
2011-11-27,299351
2011-11-28,299614
2011-11-29,299913
2011-11-30,300288
2011-12-01,300579
2011-12-02,301010
2011-12-03,301511
2011-12-04,301896
2011-12-05,302213
2011-12-06,302403
2011-12-07,302722
2011-12-08,302963
2011-12-09,303300
2011-12-10,303680
2011-12-11,304035
2011-12-12,304354
2011-12-13,304655
2011-12-14,304930
2011-12-15,305444
2011-12-16,305847
2011-12-17,306376
2011-12-18,306795
2011-12-19,307170
2011-12-20,307554
2011-12-21,307911
2011-12-22,308328
2011-12-23,308713
2011-12-24,309015
2011-12-25,309308
2011-12-26,309645
2011-12-27,309971
2011-12-28,310301
2011-12-29,310684
2011-12-30,311088
2011-12-31,311396
2012-01-01,311732
2012-01-02,312125
2012-01-03,312478
2012-01-04,312846
2012-01-05,313150
2012-01-06,313466
2012-01-07,313857
2012-01-08,314210
2012-01-09,314524
2012-01-10,314895
2012-01-11,315221
2012-01-12,309765
2012-01-13,310084
2012-01-14,310434
2012-01-15,310816
2012-01-16,311122
2012-01-17,311391
2012-01-18,311721
2012-01-19,311959
2012-01-20,312204
2012-01-21,312561
2012-01-22,312903
2012-01-23,313185
2012-01-24,313445
2012-01-25,313668
2012-01-26,313895
2012-01-27,314133
2012-01-28,314341
2012-01-29,314533
2012-01-30,314728
2012-01-31,314975
2012-02-01,315241
