Date,Subs
2010-07-21,53262
2010-07-22,53361
2010-07-23,53421
2010-07-24,53501
2010-07-25,53586
2010-07-26,53679
2010-07-27,53784
2010-07-28,53870
2010-07-29,53953
2010-07-30,54051
2010-07-31,54126
2010-08-01,54218
2010-08-02,54288
2010-08-03,54382
2010-08-04,54466
2010-08-05,54533
2010-08-06,54621
2010-08-07,54699
2010-08-08,54774
2010-08-09,54856
2010-08-10,54925
2010-08-11,55006
2010-08-12,55090
2010-08-13,55165
2010-08-14,55230
2010-08-15,55297
2010-08-16,55373
2010-08-17,55448
2010-08-18,55534
2010-08-19,55597
2010-08-20,55661
2010-08-21,55715
2010-08-22,55793
2010-08-23,55865
2010-08-24,55912
2010-08-25,55967
2010-08-26,56015
2010-08-27,56078
2010-08-28,56133
2010-08-29,56186
2010-08-30,56239
2010-08-31,56305
2010-09-01,56368
2010-09-02,56415
2010-09-03,56479
2010-09-04,56545
2010-09-05,56595
2010-09-06,56645
2010-09-07,56690
2010-09-08,56734
2010-09-09,56786
2010-09-10,56852
2010-09-11,56923
2010-09-12,56996
2010-09-13,57065
2010-09-14,57123
2010-09-15,57180
2010-09-16,57224
2010-09-17,57286
2010-09-18,57348
2010-09-19,57428
2010-09-20,57484
2010-09-21,57529
2010-09-22,57598
2010-09-23,57644
2010-09-24,57716
2010-09-25,57782
2010-09-26,57825
2010-09-27,57870
2010-09-28,57906
2010-09-29,57951
2010-09-30,58006
2010-10-01,58057
2010-10-02,58101
2010-10-03,58141
2010-10-04,58171
2010-10-05,58220
2010-10-06,58281
2010-10-07,58321
2010-10-08,58371
2010-10-09,58421
2010-10-10,58470
2010-10-11,58525
2010-10-12,58569
2010-10-13,58621
2010-10-14,58669
2010-10-15,58722
2010-10-16,58777
2010-10-17,58823
2010-10-18,58870
2010-10-19,58910
2010-10-20,58953
2010-10-21,59001
2010-10-22,59069
2010-10-23,59136
2010-10-24,59209
2010-10-25,59254
2010-10-26,59300
2010-10-27,59352
2010-10-28,59416
2010-10-29,59470
2010-10-30,59531
2010-10-31,59586
2010-11-01,59643
2010-11-02,59694
2010-11-03,59742
2010-11-04,59801
2010-11-05,59853
2010-11-06,59918
2010-11-07,59997
2010-11-08,60052
2010-11-09,60096
2010-11-10,60131
2010-11-11,60186
2010-11-12,60231
2010-11-13,60278
2010-11-14,60332
2010-11-15,60377
2010-11-16,60447
2010-11-17,60491
2010-11-18,60532
2010-11-19,60580
2010-11-20,60629
2010-11-21,60699
2010-11-22,60737
2010-11-23,60800
2010-11-24,60855
2010-11-25,60892
2010-11-26,60949
2010-11-27,61003
2010-11-28,61056
2010-11-29,61102
2010-11-30,61144
2010-12-01,61228
2010-12-02,61513
2010-12-03,61698
2010-12-04,61888
2010-12-05,62057
2010-12-06,62223
2010-12-07,62355
2010-12-08,62667
2010-12-09,62996
2010-12-10,63315
2010-12-11,63591
2010-12-12,63846
2010-12-13,64058
2010-12-14,64249
2010-12-15,64456
2010-12-16,64642
2010-12-17,64790
2010-12-18,65466
2010-12-19,65729
2010-12-20,65866
2010-12-21,66044
2010-12-22,66195
2010-12-23,66338
2010-12-24,66471
2010-12-25,66627
2010-12-26,66836
2010-12-27,67036
2010-12-28,67323
2010-12-29,67634
2010-12-30,67854
2010-12-31,68006
2011-01-01,68141
2011-01-02,68304
2011-01-03,68481
2011-01-04,68708
2011-01-05,68892
2011-01-06,69051
2011-01-07,69193
2011-01-08,69307
2011-01-09,69434
2011-01-10,69544
2011-01-11,69642
2011-01-12,69741
2011-01-13,69914
2011-01-14,70034
2011-01-15,70216
2011-01-16,70335
2011-01-17,70442
2011-01-18,70559
2011-01-19,70651
2011-01-20,70735
2011-01-21,70840
2011-01-22,70981
2011-01-23,71128
2011-01-24,71342
2011-01-25,71454
2011-01-26,71551
2011-01-27,71636
2011-01-28,71734
2011-01-29,71833
2011-01-30,71922
2011-01-31,72039
2011-02-01,72177
2011-02-02,72327
2011-02-03,72462
2011-02-04,72558
2011-02-05,72647
2011-02-06,72707
2011-02-07,72801
2011-02-08,72849
2011-02-09,72912
2011-02-10,72982
2011-02-11,73043
2011-02-12,73138
2011-02-13,73232
2011-02-14,73338
2011-02-15,73463
2011-02-16,73570
2011-02-17,73664
2011-02-18,73739
2011-02-19,73841
2011-02-20,73980
2011-02-21,74099
2011-02-22,74136
2011-02-23,74254
2011-02-24,74343
2011-02-25,74433
2011-02-26,74540
2011-02-27,74620
2011-02-28,74754
2011-03-01,74870
2011-03-02,74997
2011-03-03,75124
2011-03-04,75256
2011-03-05,75408
2011-03-06,75515
2011-03-07,75643
2011-03-08,75740
2011-03-09,75852
2011-03-10,75963
2011-03-11,76088
2011-03-12,76199
2011-03-13,76309
2011-03-14,76483
2011-03-15,76579
2011-03-16,76662
2011-03-17,76761
2011-03-18,76857
2011-03-19,76961
2011-03-20,77059
2011-03-21,77137
2011-03-22,77237
2011-03-23,77378
2011-03-24,77500
2011-03-25,77613
2011-03-26,77763
2011-03-27,78218
2011-03-28,78403
2011-03-29,78496
2011-03-30,78607
2011-03-31,78702
2011-04-01,78781
2011-04-02,78855
2011-04-03,78960
2011-04-04,79042
2011-04-05,79127
2011-04-06,79197
2011-04-07,79285
2011-04-08,79381
2011-04-09,79490
2011-04-10,79594
2011-04-11,79655
2011-04-12,79802
2011-04-13,79873
2011-04-14,79967
2011-04-15,80087
2011-04-16,80180
2011-04-17,80284
2011-04-18,80382
2011-04-19,80457
2011-04-20,80547
2011-04-21,80642
2011-04-22,80760
2011-04-23,80841
2011-04-24,80930
2011-04-25,81017
2011-04-26,81095
2011-04-27,81183
2011-04-28,81310
2011-04-29,81399
2011-04-30,81499
2011-05-01,81589
2011-05-02,81649
2011-05-03,81720
2011-05-04,81774
2011-05-05,81831
2011-05-06,81894
2011-05-07,81986
2011-05-08,82057
2011-05-09,82121
2011-05-10,82170
2011-05-11,82234
2011-05-12,82292
2011-05-13,82347
2011-05-14,82417
2011-05-15,82500
2011-05-16,82572
2011-05-17,82630
2011-05-18,82679
2011-05-19,82741
2011-05-20,82801
2011-05-21,82874
2011-05-22,82939
2011-05-23,83024
2011-05-24,83094
2011-05-25,83155
2011-05-26,83214
2011-05-27,83296
2011-05-28,83367
2011-05-29,83431
2011-05-30,83499
2011-05-31,83716
2011-06-01,83833
2011-06-02,83921
2011-06-03,84015
2011-06-04,84101
2011-06-05,84228
2011-06-06,84322
2011-06-07,84404
2011-06-08,84482
2011-06-09,84587
2011-06-10,84653
2011-06-11,84740
2011-06-12,84813
2011-06-13,84889
2011-06-14,84979
2011-06-15,85124
2011-06-16,85224
2011-06-17,85318
2011-06-18,85415
2011-06-19,85495
2011-06-20,85596
2011-06-21,85715
2011-06-22,85885
2011-06-23,85983
2011-06-24,86070
2011-06-25,86140
2011-06-26,86222
2011-06-27,86305
2011-06-28,86384
2011-06-29,86456
2011-06-30,86539
2011-07-01,86625
2011-07-02,86686
2011-07-03,86763
2011-07-04,86867
2011-07-05,87034
2011-07-06,87137
2011-07-07,87294
2011-07-08,87385
2011-07-09,87461
2011-07-10,87525
2011-07-11,87605
2011-07-12,87660
2011-07-13,87748
2011-07-14,87810
2011-07-15,87864
2011-07-16,87931
2011-07-17,88017
2011-07-18,88103
2011-07-19,88175
2011-07-20,88249
2011-07-21,88304
2011-07-22,88382
2011-07-23,88458
2011-07-24,88529
2011-07-25,88609
2011-07-26,88684
2011-07-27,88750
2011-07-28,88815
2011-07-29,88872
2011-07-30,88937
2011-07-31,88995
2011-08-01,89070
2011-08-02,89131
2011-08-03,89193
2011-08-04,89254
2011-08-05,89295
2011-08-06,89344
2011-08-07,89433
2011-08-08,89556
2011-08-09,89663
2011-08-10,89757
2011-08-11,89866
2011-08-12,89979
2011-08-13,90101
2011-08-14,90227
2011-08-15,90344
2011-08-16,90441
2011-08-17,90522
2011-08-18,90622
2011-08-19,90715
2011-08-20,90837
2011-08-21,90955
2011-08-22,91064
2011-08-23,91148
2011-08-24,91238
2011-08-25,91318
2011-08-26,91400
2011-08-27,91489
2011-08-28,91583
2011-08-29,91673
2011-08-30,91762
2011-08-31,91836
2011-09-01,91928
2011-09-02,92041
2011-09-03,92144
2011-09-04,92243
2011-09-05,92314
2011-09-06,92404
2011-09-07,92492
2011-09-08,92606
2011-09-09,92684
2011-09-10,92795
2011-09-11,92912
2011-09-12,93008
2011-09-13,93090
2011-09-14,93164
2011-09-15,93245
2011-09-16,93331
2011-09-17,93429
2011-09-18,93529
2011-09-19,93615
2011-09-20,93683
2011-09-21,93784
2011-09-22,93886
2011-09-23,93981
2011-09-24,94073
2011-09-25,94143
2011-09-26,94226
2011-09-27,94322
2011-09-28,94410
2011-09-29,94488
2011-09-30,94575
2011-10-01,94660
2011-10-02,94774
2011-10-03,94841
2011-10-04,94905
2011-10-05,94971
2011-10-06,95039
2011-10-07,95108
2011-10-08,95178
2011-10-09,95250
2011-10-10,95316
2011-10-11,95380
2011-10-12,95448
2011-10-13,95514
2011-10-14,95577
2011-10-15,95640
2011-10-16,95710
2011-10-17,95748
2011-10-18,95809
2011-10-19,95874
2011-10-20,95932
2011-10-21,95991
2011-10-22,96077
2011-10-23,96144
2011-10-24,96200
2011-10-25,96260
2011-10-26,96317
2011-10-27,96375
2011-10-28,96448
2011-10-29,96526
2011-10-30,96592
2011-10-31,96654
2011-11-01,96716
2011-11-02,96773
2011-11-03,96831
2011-11-04,96898
2011-11-05,96972
2011-11-06,97062
2011-11-07,97103
2011-11-08,97158
2011-11-09,97226
2011-11-10,97308
2011-11-11,97401
2011-11-12,97483
2011-11-13,97542
2011-11-14,97621
2011-11-15,97690
2011-11-16,97796
2011-11-17,97915
2011-11-18,97987
2011-11-19,98070
2011-11-20,98153
2011-11-21,98207
2011-11-22,98275
2011-11-23,98329
2011-11-24,98389
2011-11-25,98443
2011-11-26,98512
2011-11-27,98595
2011-11-28,98650
2011-11-29,98703
2011-11-30,98770
2011-12-01,98814
2011-12-02,98872
2011-12-03,98965
2011-12-04,99027
2011-12-05,99104
2011-12-06,99164
2011-12-07,99237
2011-12-08,99309
2011-12-09,99400
2011-12-10,99488
2011-12-11,99562
2011-12-12,99621
2011-12-13,99701
2011-12-14,99755
2011-12-15,99843
2011-12-16,99919
2011-12-17,100006
2011-12-18,100076
2011-12-19,100153
2011-12-20,100203
2011-12-21,100281
2011-12-22,100369
2011-12-23,100451
2011-12-24,100516
2011-12-25,100573
2011-12-26,100636
2011-12-27,100708
2011-12-28,100803
2011-12-29,100872
2011-12-30,100938
2011-12-31,101004
2012-01-01,101063
2012-01-02,101147
2012-01-03,101221
2012-01-04,101284
2012-01-05,101359
2012-01-06,101439
2012-01-07,101517
2012-01-08,101577
2012-01-09,101657
2012-01-10,101753
2012-01-11,101854
2012-01-12,99774
2012-01-13,99833
2012-01-14,99897
2012-01-15,99986
2012-01-16,100059
2012-01-17,100121
2012-01-18,100193
2012-01-19,100236
2012-01-20,100308
2012-01-21,100397
2012-01-22,100460
2012-01-23,100516
2012-01-24,100574
2012-01-25,100639
2012-01-26,100695
2012-01-27,100735
2012-01-28,100780
2012-01-29,100795
2012-01-30,100823
2012-01-31,100884
2012-02-01,100929
2012-02-02,100943
2012-02-03,100994
2012-02-04,101054
2012-02-05,101127
2012-02-06,101206
2012-02-07,101287
2012-02-08,101385
2012-02-09,101498
2012-02-10,101602
2012-02-11,101702
2012-02-12,101789
2012-02-13,101862
2012-02-14,101938
2012-02-15,102013
2012-02-16,102084
2012-02-17,102157
2012-02-18,102252
2012-02-19,102325
2012-02-20,102410
2012-02-21,102472
2012-02-22,102555
2012-02-23,102618
2012-02-24,102686
2012-02-25,102748
2012-02-26,102817
2012-02-27,102887
2012-02-28,102949
2012-02-29,103013
2012-03-01,103067
2012-03-02,103140
2012-03-03,103204
2012-03-04,103273
2012-03-05,103349
2012-03-06,103411
2012-03-07,103468
2012-03-08,103534
2012-03-09,103605
2012-03-10,103704
2012-03-11,103790
2012-03-12,103883
2012-03-13,103940
2012-03-14,104021
2012-03-15,104088
2012-03-16,104138
2012-03-17,104195
2012-03-18,104233
2012-03-19,104293
2012-03-20,104341
2012-03-21,104398
2012-03-22,104458
2012-03-23,104519
2012-03-24,104591
2012-03-25,104656
2012-03-26,104721
2012-03-27,104786
2012-03-28,104846
2012-03-29,104900
2012-03-30,104948
2012-03-31,105061
2012-04-01,105112
2012-04-02,105144
2012-04-03,105193
2012-04-04,105234
2012-04-05,105322
2012-04-06,105393
2012-04-07,105463
2012-04-08,105552
2012-04-09,105616
2012-04-10,105697
2012-04-11,105774
2012-04-12,105846
2012-04-13,105910
2012-04-14,105956
2012-04-15,105983
2012-04-16,106048
2012-04-17,106118
2012-04-18,106176
2012-04-19,106221
2012-04-20,106302
2012-04-21,106377
2012-04-22,106447
2012-04-23,106527
2012-04-24,106558
2012-04-25,106547
2012-04-26,106605
2012-04-27,106645
2012-04-28,106663
2012-04-29,106710
2012-04-30,106758
2012-05-01,106784
2012-05-02,106777
2012-05-03,106813
2012-05-04,106862
2012-05-05,106878
2012-05-06,106957
2012-05-07,106965
2012-05-08,106992
2012-05-09,107001
2012-05-10,107005
2012-05-11,107067
2012-05-12,107065
2012-05-13,107095
2012-05-14,107125
2012-05-15,107135
2012-05-16,107167
2012-05-17,107178
2012-05-18,107091
2012-05-19,107004
2012-05-20,106861
2012-05-21,106625
2012-05-22,105568
2012-05-23,105364
2012-05-24,105024
2012-05-25,104083
2012-05-26,104008
2012-05-27,104011
2012-05-28,104037
2012-05-29,104046
2012-05-30,104056
2012-05-31,104104
2012-06-01,104155
2012-06-02,104145
2012-06-03,104238
2012-06-04,104296
2012-06-05,104339
2012-06-06,104401
2012-06-07,104473
2012-06-08,104481
2012-06-09,104560
2012-06-10,104610
2012-06-11,104697
2012-06-12,104769
2012-06-13,104876
2012-06-14,104956
2012-06-15,105019
2012-06-16,105097
2012-06-17,105177
2012-06-18,105236
2012-06-19,105342
2012-06-20,105404
2012-06-21,105436
2012-06-22,105562
2012-06-23,105626
2012-06-24,105713
2012-06-25,105783
2012-06-26,105798
2012-06-27,105873
2012-06-28,105975
2012-06-29,106004
2012-06-30,106032
2012-07-01,106071
2012-07-02,106125
2012-07-03,106183
2012-07-04,106235
2012-07-05,106341
