Date,Subs
2010-07-27,111726
2010-07-28,112004
2010-07-29,112262
2010-07-30,112481
2010-07-31,113112
2010-08-01,113415
2010-08-02,113785
2010-08-03,114141
2010-08-04,114426
2010-08-05,114650
2010-08-06,114908
2010-08-07,115129
2010-08-08,115340
2010-08-09,115562
2010-08-10,115797
2010-08-11,116012
2010-08-12,116205
2010-08-13,116433
2010-08-14,116675
2010-08-15,116929
2010-08-16,117138
2010-08-17,117339
2010-08-18,117501
2010-08-19,117675
2010-08-20,117834
2010-08-21,118006
2010-08-22,118205
2010-08-23,118363
2010-08-24,118527
2010-08-25,118464
2010-08-26,118621
2010-08-27,118777
2010-08-28,118940
2010-08-29,119114
2010-08-30,119267
2010-08-31,119384
2010-09-01,119511
2010-09-02,119644
2010-09-03,119723
2010-09-04,119803
2010-09-05,119896
2010-09-06,119964
2010-09-07,120033
2010-09-08,120072
2010-09-09,120135
2010-09-10,120186
2010-09-11,120393
2010-09-12,120523
2010-09-13,120606
2010-09-14,120658
2010-09-15,120708
2010-09-16,120755
2010-09-17,120812
2010-09-18,120879
2010-09-19,120929
2010-09-20,120977
2010-09-21,121014
2010-09-22,121043
2010-09-23,121075
2010-09-24,121100
2010-09-25,121137
2010-09-26,121181
2010-09-27,121218
2010-09-28,121253
2010-09-29,121284
2010-09-30,121332
2010-10-01,121373
2010-10-02,121429
2010-10-03,121470
2010-10-04,121506
2010-10-05,121547
2010-10-06,121574
2010-10-07,121600
2010-10-08,121620
2010-10-09,121664
2010-10-10,121714
2010-10-11,121752
2010-10-12,121786
2010-10-13,121802
2010-10-14,121828
2010-10-15,121862
2010-10-16,121905
2010-10-17,121940
2010-10-18,121985
2010-10-19,122023
2010-10-20,122040
2010-10-21,122060
2010-10-22,122092
2010-10-23,122132
2010-10-24,122178
2010-10-25,122224
2010-10-26,122250
2010-10-27,122279
2010-10-28,122319
2010-10-29,122353
2010-10-30,122391
2010-10-31,122438
2010-11-01,122466
2010-11-02,122507
2010-11-03,122536
2010-11-04,122582
2010-11-05,122619
2010-11-06,122674
2010-11-07,122718
2010-11-08,122750
2010-11-09,122794
2010-11-10,122829
2010-11-11,122875
2010-11-12,122909
2010-11-13,122947
2010-11-14,122990
2010-11-15,123026
2010-11-16,123044
2010-11-17,123069
2010-11-18,123098
2010-11-19,123118
2010-11-20,123150
2010-11-21,123189
2010-11-22,123217
2010-11-23,123259
2010-11-24,123294
2010-11-25,123338
2010-11-26,123381
2010-11-27,123428
2010-11-28,123483
2010-11-29,123511
2010-11-30,123558
2010-12-01,123584
2010-12-02,123631
2010-12-03,123661
2010-12-04,123707
2010-12-05,123779
2010-12-06,123822
2010-12-07,124011
2010-12-08,125202
2010-12-09,126156
2010-12-10,126949
2010-12-11,127789
2010-12-12,128558
2010-12-13,129009
2010-12-14,129380
2010-12-15,129409
2010-12-16,129445
2010-12-17,129482
2010-12-18,129519
2010-12-19,129557
2010-12-20,129607
2010-12-21,129655
2010-12-22,129689
2010-12-23,129731
2010-12-24,129795
2010-12-25,129825
2010-12-26,129878
2010-12-27,129947
2010-12-28,129997
2010-12-29,130044
2010-12-30,130105
2010-12-31,130170
2011-01-01,130241
2011-01-02,130297
2011-01-03,130344
2011-01-04,130386
2011-01-05,130430
2011-01-06,130481
2011-01-07,130527
2011-01-08,130582
2011-01-09,130637
2011-01-10,130683
2011-01-11,130729
2011-01-12,130771
2011-01-13,130814
2011-01-14,130850
2011-01-15,130896
2011-01-16,130934
2011-01-17,130974
2011-01-18,131002
2011-01-19,131033
2011-01-20,131075
2011-01-21,131096
2011-01-22,131160
2011-01-23,131207
2011-01-24,131255
2011-01-25,131286
2011-01-26,131316
2011-01-27,131333
2011-01-28,131365
2011-01-29,131396
2011-01-30,131432
2011-01-31,131476
2011-02-01,131494
2011-02-02,131517
2011-02-03,131540
2011-02-04,131587
2011-02-05,131642
2011-02-06,131703
2011-02-07,131738
2011-02-08,131785
2011-02-09,131821
2011-02-10,131858
2011-02-11,131923
2011-02-12,132010
2011-02-13,132092
2011-02-14,132171
2011-02-15,132219
2011-02-16,132286
2011-02-17,133396
2011-02-18,133601
2011-02-19,133740
2011-02-20,133874
2011-02-21,133987
2011-02-22,134041
2011-02-23,134145
2011-02-24,134235
2011-02-25,134331
2011-02-26,134447
2011-02-27,134589
2011-02-28,134679
2011-03-01,134779
2011-03-02,134858
2011-03-03,134923
2011-03-04,134972
2011-03-05,135038
2011-03-06,135101
2011-03-07,135141
2011-03-08,135194
2011-03-09,135246
2011-03-10,135294
2011-03-11,135347
2011-03-12,135403
2011-03-13,135352
2011-03-14,135482
2011-03-15,135516
2011-03-16,135560
2011-03-17,135599
2011-03-18,135632
2011-03-19,135695
2011-03-20,135749
2011-03-21,135786
2011-03-22,135831
2011-03-23,135866
2011-03-24,135918
2011-03-25,135962
2011-03-26,136024
2011-03-27,136105
2011-03-28,136147
2011-03-29,136199
2011-03-30,136318
2011-03-31,136366
2011-04-01,136412
2011-04-02,136466
2011-04-03,136523
2011-04-04,136578
2011-04-05,136639
2011-04-06,136695
2011-04-07,136743
2011-04-08,136789
2011-04-09,136859
2011-04-10,136911
2011-04-11,136953
2011-04-12,137000
2011-04-13,137042
2011-04-14,137101
2011-04-15,137173
2011-04-16,137250
2011-04-17,137312
2011-04-18,137366
2011-04-19,137421
2011-04-20,137483
2011-04-21,137555
2011-04-22,137637
2011-04-23,137702
2011-04-24,137759
2011-04-25,137813
2011-04-26,137868
2011-04-27,137916
2011-04-28,137975
2011-04-29,138057
2011-04-30,138291
2011-05-01,138535
2011-05-02,138660
2011-05-03,138730
2011-05-04,138770
2011-05-05,138801
2011-05-06,138851
2011-05-07,138932
2011-05-08,138997
2011-05-09,139034
2011-05-10,139079
2011-05-11,139131
2011-05-12,139168
2011-05-13,139221
2011-05-14,139330
2011-05-15,139424
2011-05-16,139473
2011-05-17,139573
2011-05-18,139697
2011-05-19,139778
2011-05-20,139901
2011-05-21,140005
2011-05-22,140085
2011-05-23,140140
2011-05-24,140191
2011-05-25,140252
2011-05-26,140313
2011-05-27,140367
2011-05-28,140453
2011-05-29,140543
2011-05-30,140603
2011-05-31,140646
2011-06-01,140684
2011-06-02,140734
2011-06-03,140765
2011-06-04,140805
2011-06-05,140855
2011-06-06,140900
2011-06-07,140943
2011-06-08,140973
2011-06-09,141021
2011-06-10,141073
2011-06-11,141118
2011-06-12,141163
2011-06-13,141233
2011-06-14,141276
2011-06-15,141332
2011-06-16,141373
2011-06-17,141432
2011-06-18,141491
2011-06-19,141534
2011-06-20,141574
2011-06-21,141621
2011-06-22,141672
2011-06-23,141699
2011-06-24,141748
2011-06-25,141784
2011-06-26,141828
2011-06-27,141863
2011-06-28,141908
2011-06-29,141944
2011-06-30,141978
2011-07-01,142018
2011-07-02,142054
2011-07-03,142095
2011-07-04,142135
2011-07-05,142169
2011-07-06,142215
2011-07-07,142267
2011-07-08,142323
2011-07-09,142369
2011-07-10,142405
2011-07-11,142440
2011-07-12,142474
2011-07-13,142505
2011-07-14,142545
2011-07-15,142590
2011-07-16,142621
2011-07-17,142686
2011-07-18,142733
2011-07-19,142776
2011-07-20,142833
2011-07-21,142872
2011-07-22,142916
2011-07-23,142956
2011-07-24,142995
2011-07-25,143054
2011-07-26,143097
2011-07-27,143132
2011-07-28,143170
2011-07-29,143213
2011-07-30,143257
2011-07-31,143293
2011-08-01,143333
2011-08-02,143376
2011-08-03,143438
2011-08-04,143479
2011-08-05,143523
2011-08-06,143560
2011-08-07,143597
2011-08-08,143655
2011-08-09,143721
2011-08-10,143762
2011-08-11,143815
2011-08-12,143880
2011-08-13,143933
2011-08-14,143974
2011-08-15,144031
2011-08-16,144090
2011-08-17,144155
2011-08-18,144217
2011-08-19,144267
2011-08-20,144324
2011-08-21,144362
2011-08-22,144423
2011-08-23,144468
2011-08-24,144514
2011-08-25,144552
2011-08-26,144600
2011-08-27,144638
2011-08-28,144688
2011-08-29,144772
2011-08-30,144819
2011-08-31,144851
2011-09-01,144881
2011-09-02,144917
2011-09-03,144964
2011-09-04,144998
2011-09-05,145042
2011-09-06,145070
2011-09-07,145100
2011-09-08,145128
2011-09-09,145162
2011-09-10,145199
2011-09-11,145233
2011-09-12,145250
2011-09-13,145258
2011-09-14,145274
2011-09-15,145306
2011-09-16,145335
2011-09-17,145374
