Date,Subs
2016-06-12,45369964
2016-06-13,45411660
2016-06-14,45530781
2016-06-15,45583132
2016-06-16,45625541
2016-06-17,45671517
2016-06-18,45745993
2016-06-19,45811407
2016-06-20,45868507
2016-06-21,45918558
2016-06-22,45960985
2016-06-23,46001031
2016-06-24,46036151
2016-06-25,46074020
2016-06-26,46118946
2016-06-27,46170415
2016-06-28,45611749
2016-06-29,45666849
2016-06-30,45741165
2016-07-01,45799660
2016-07-02,45846987
2016-07-03,45885549
2016-07-04,45927670
2016-07-05,45975303
2016-07-06,46014316
2016-07-07,46049620
2016-07-08,46085216
2016-07-09,46122809
2016-07-10,46161749
2016-07-11,46197922
2016-07-12,46236234
2016-07-13,46281761
2016-07-14,46332498
2016-07-15,46375172
2016-07-16,46408427
2016-07-17,46442151
2016-07-18,46477816
2016-07-19,46514409
2016-07-20,46546759
2016-07-21,46581733
2016-07-22,46616079
2016-07-23,46639970
2016-07-24,46674332
2016-07-25,46704318
2016-07-26,46736546
2016-07-27,46776124
2016-07-28,46815766
2016-07-29,46851071
2016-07-30,46891235
2016-07-31,46926967
2016-08-01,46967345
2016-08-02,47002812
2016-08-03,47022688
2016-08-04,47049995
2016-08-05,47038509
2016-08-06,47047342
2016-08-07,47065955
2016-08-08,47091720
2016-08-09,47114307
2016-08-10,47134548
2016-08-11,47154674
2016-08-12,47176548
2016-08-13,47183205
2016-08-14,47201542
2016-08-15,47225221
2016-08-16,47255078
2016-08-17,47283736
2016-08-18,47305248
2016-08-19,47330959
2016-08-20,47357327
2016-08-21,47385045
2016-08-22,47412882
2016-08-23,47441091
2016-08-24,47467463
2016-08-25,47489798
2016-08-26,47515779
2016-08-27,47536992
2016-08-28,47560537
2016-08-29,47575701
2016-08-30,47591980
2016-08-31,47611016
2016-09-01,47643920
2016-09-02,47680194
2016-09-03,47716174
2016-09-04,47747358
2016-09-05,47775704
2016-09-06,47793144
2016-09-07,47810535
2016-09-08,47829380
2016-09-09,47850807
2016-09-10,47874932
2016-09-11,47892496
2016-09-12,47909029
2016-09-13,47926821
2016-09-14,47929662
2016-09-15,47933293
2016-09-16,47954540
2016-09-17,47972660
2016-09-18,47988737
2016-09-19,48001944
2016-09-20,48016366
2016-09-21,48028847
2016-09-22,48035860
2016-09-23,48049390
2016-09-24,48065550
2016-09-25,48085738
2016-09-26,48100283
2016-09-27,48112251
2016-09-28,48117355
2016-09-29,48128955
2016-09-30,48148226
2016-10-01,48172216
2016-10-02,48199043
2016-10-03,48220545
2016-10-04,48242405
2016-10-05,48264340
2016-10-06,48287510
2016-10-07,48314078
2016-10-08,48345310
2016-10-09,48376625
2016-10-10,48406798
2016-10-11,48438503
2016-10-12,48471839
2016-10-13,48502759
2016-10-14,48528555
2016-10-15,48564434
2016-10-16,48603902
2016-10-17,48636802
2016-10-18,48663410
2016-10-19,48679470
2016-10-20,48705640
2016-10-21,48742824
2016-10-22,48768805
2016-10-23,48804044
2016-10-24,48832019
2016-10-25,48858773
2016-10-26,48877517
2016-10-27,48896797
2016-10-28,48912960
2016-10-29,48942345
2016-10-30,48977638
2016-10-31,48995235
2016-11-01,49015370
2016-11-02,49009701
2016-11-03,49026472
2016-11-04,49045435
2016-11-05,49070741
2016-11-06,49090881
2016-11-07,49103307
2016-11-08,49118183
2016-11-09,49122509
2016-11-10,49128926
2016-11-11,49139304
2016-11-12,49151178
2016-11-13,49165650
2016-11-14,49174909
2016-11-15,49180046
2016-11-16,49190032
2016-11-17,49196052
2016-11-18,49212908
2016-11-19,49227357
2016-11-20,49242525
2016-11-21,49255205
2016-11-22,49267572
2016-11-23,49274265
2016-11-24,49287064
2016-11-25,49297389
2016-11-26,49316096
2016-11-27,49332315
2016-11-28,49344197
2016-11-29,49354902
2016-11-30,49363761
2016-12-01,49375095
2016-12-02,49416285
2016-12-03,49524991
2016-12-04,49609803
2016-12-05,49683135
2016-12-06,49768312
2016-12-07,49878589
2016-12-08,50055994
2016-12-09,50200018
2016-12-10,50380310
2016-12-11,50500214
2016-12-12,50576602
2016-12-13,50621015
2016-12-14,50658317
2016-12-15,50684012
2016-12-16,50715470
2016-12-17,50750808
2016-12-18,50837741
2016-12-19,50947205
2016-12-20,51089797
2016-12-21,51196902
2016-12-22,51260675
2016-12-23,51375876
2016-12-24,51444481
2016-12-25,51493693
2016-12-26,51545841
2016-12-27,51602822
2016-12-28,51655769
2016-12-29,51700894
2016-12-30,51741269
2016-12-31,51781225
2017-01-01,51813425
2017-01-02,51846910
2017-01-03,51909592
2017-01-04,51953136
2017-01-05,51989675
2017-01-06,52036525
2017-01-07,52093543
2017-01-08,52158796
2017-01-09,52197722
2017-01-10,52237684
2017-01-11,52280696
2017-01-12,52329883
