Date,Subs
2011-09-30,14359
2011-10-01,14365
2011-10-02,14389
2011-10-03,14404
2011-10-04,14420
2011-10-05,14441
2011-10-06,14459
2011-10-07,14479
2011-10-08,14499
2011-10-09,14539
2011-10-10,14547
2011-10-11,14562
2011-10-12,14585
2011-10-13,14601
2011-10-14,14626
2011-10-15,14639
2011-10-16,14665
2011-10-17,14684
2011-10-18,14706
2011-10-19,14725
2011-10-20,14752
2011-10-21,14768
2011-10-22,14788
2011-10-23,14809
2011-10-24,14839
2011-10-25,14911
2011-10-26,14929
2011-10-27,14946
2011-10-28,14968
2011-10-29,14993
2011-10-30,15020
2011-10-31,15044
2011-11-01,15071
2011-11-02,15090
2011-11-03,15108
2011-11-04,15148
2011-11-05,15170
2011-11-06,15186
2011-11-07,15234
2011-11-08,15242
2011-11-09,15252
2011-11-10,15268
2011-11-11,15277
2011-11-12,15422
2011-11-13,15464
2011-11-14,15496
2011-11-15,15556
2011-11-16,15617
2011-11-17,15641
2011-11-18,15673
2011-11-19,15678
2011-11-20,15720
2011-11-21,15766
2011-11-22,15811
2011-11-23,15855
2011-11-24,15885
2011-11-25,15907
2011-11-26,15929
2011-11-27,15961
2011-11-28,15995
2011-11-29,16016
2011-11-30,16036
2011-12-01,16077
2011-12-02,16074
2011-12-03,16092
2011-12-04,16103
2011-12-05,16107
2011-12-06,16110
2011-12-07,16121
2011-12-08,16140
2011-12-09,16168
2011-12-10,16189
2011-12-11,16211
2011-12-12,16232
2011-12-13,16257
2011-12-14,16265
2011-12-15,16276
2011-12-16,16311
2011-12-17,16331
2011-12-18,16356
2011-12-19,16378
2011-12-20,16395
2011-12-21,16402
2011-12-22,16418
2011-12-23,16435
2011-12-24,16449
2011-12-25,16466
2011-12-26,16476
2011-12-27,16498
2011-12-28,16518
2011-12-29,16530
2011-12-30,16546
2011-12-31,16557
2012-01-01,16570
2012-01-02,16578
2012-01-03,16589
2012-01-04,16603
2012-01-05,16619
2012-01-06,16632
2012-01-07,16642
2012-01-08,16659
2012-01-09,16675
2012-01-10,16691
2012-01-11,16696
2012-01-12,16227
2012-01-13,16229
2012-01-14,16293
2012-01-15,16343
2012-01-16,16365
2012-01-17,16377
2012-01-18,16395
2012-01-19,16424
2012-01-20,16432
2012-01-21,16437
2012-01-22,16443
2012-01-23,16459
2012-01-24,16473
2012-01-25,16482
2012-01-26,16496
2012-01-27,16515
2012-01-28,16517
2012-01-29,16526
2012-01-30,16542
2012-01-31,16597
2012-02-01,16601
2012-02-02,16870
2012-02-03,16980
2012-02-04,17141
2012-02-05,17230
2012-02-06,17327
2012-02-07,17374
2012-02-08,17418
2012-02-09,17445
2012-02-10,17481
2012-02-11,17517
2012-02-12,17529
2012-02-13,17569
2012-02-14,17590
2012-02-15,17614
2012-02-16,17662
2012-02-17,17671
2012-02-18,17692
2012-02-19,17710
2012-02-20,17739
2012-02-21,17766
2012-02-22,17797
2012-02-23,17828
2012-02-24,17851
2012-02-25,17940
2012-02-26,18002
2012-02-27,18042
2012-02-28,18078
2012-02-29,18111
2012-03-01,18151
2012-03-02,18178
2012-03-03,18196
2012-03-04,18235
2012-03-05,18236
2012-03-06,18251
2012-03-07,18265
2012-03-08,18300
2012-03-09,18303
2012-03-10,18307
2012-03-11,18316
2012-03-12,18324
2012-03-13,18333
2012-03-14,18352
2012-03-15,18365
2012-03-16,18368
2012-03-17,18376
2012-03-18,18388
2012-03-19,18394
2012-03-20,18398
2012-03-21,18406
2012-03-22,18418
2012-03-23,18422
2012-03-24,18431
2012-03-25,18438
2012-03-26,18450
2012-03-27,18465
2012-03-28,18474
2012-03-30,18489
2012-03-31,18504
2012-04-01,18516
2012-04-02,18535
2012-04-03,18563
2012-04-04,18567
2012-04-05,18573
2012-04-06,18590
2012-04-07,18597
2012-04-08,18606
2012-04-09,18614
2012-04-10,18626
2012-04-11,18634
2012-04-12,18644
2012-04-13,18650
2012-04-14,18656
2012-04-15,18652
2012-04-16,18652
2012-04-17,18657
2012-04-18,18667
2012-04-19,18662
2012-04-20,18671
2012-04-21,18681
2012-04-22,18689
2012-04-23,18702
2012-04-24,18715
2012-04-25,18717
2012-04-26,18719
2012-04-27,18721
2012-04-28,18731
2012-04-29,18730
2012-04-30,18726
2012-05-01,18719
2012-05-02,18732
2012-05-03,18759
2012-05-04,18767
2012-05-05,18774
2012-05-06,18778
2012-05-07,18785
2012-05-08,18790
2012-05-09,18799
2012-05-10,18803
2012-05-11,18807
2012-05-12,18805
2012-05-13,18807
2012-05-14,18809
2012-05-15,18812
2012-05-16,18817
2012-05-17,18814
2012-05-18,18824
2012-05-19,18827
2012-05-20,18824
2012-05-21,18830
2012-05-22,18829
2012-05-23,18831
2012-05-24,18832
2012-05-25,18828
2012-05-26,18805
2012-05-27,18797
2012-05-28,18809
2012-05-29,18813
2012-05-30,18813
2012-05-31,18820
2012-06-01,18822
2012-06-02,18840
2012-06-03,18845
2012-06-04,18850
2012-06-05,18851
2012-06-06,18850
2012-06-07,18853
2012-06-08,18858
2012-06-09,18869
2012-06-10,18866
2012-06-11,18893
2012-06-12,18959
2012-06-13,18977
2012-06-14,18979
2012-06-15,18987
2012-06-16,18988
2012-06-17,18989
2012-06-18,18992
2012-06-19,18992
2012-06-20,18995
2012-06-21,19002
2012-06-22,19004
2012-06-23,19016
2012-06-24,19020
2012-06-25,19029
2012-06-26,19026
2012-06-27,19026
2012-06-28,19031
2012-06-29,19035
2012-06-30,19049
2012-07-01,19044
2012-07-02,19051
2012-07-03,19050
2012-07-04,19049
2012-07-05,19057
2012-07-06,19059
2012-07-07,19072
2012-07-08,19079
2012-07-09,19086
2012-07-10,19095
2012-07-11,19109
2012-07-12,19117
2012-07-13,19131
2012-07-14,19130
2012-07-15,19135
2012-07-16,19511
2012-07-17,19550
2012-07-18,19579
2012-07-19,19608
2012-07-20,19616
2012-07-21,19625
2012-07-22,19639
2012-07-23,19657
2012-07-24,19673
2012-07-25,19681
2012-07-26,19701
2012-07-27,19725
2012-07-28,19741
2012-07-29,19754
2012-07-30,19789
2012-07-31,19810
2012-08-01,19831
2012-08-02,19842
2012-08-03,19851
2012-08-04,19871
2012-08-05,19874
2012-08-06,19894
2012-08-07,19911
2012-08-08,19927
2012-08-09,19937
2012-08-10,19955
2012-08-11,19969
2012-08-12,19986
2012-08-13,20018
2012-08-14,20023
2012-08-15,20036
2012-08-16,20042
2012-08-17,20050
2012-08-18,20059
2012-08-19,20063
2012-08-20,20080
2012-08-21,20094
2012-08-22,20107
2012-08-23,20118
2012-08-24,20125
2012-08-25,20129
2012-08-26,20140
2012-08-27,20146
2012-08-28,20158
2012-08-29,20162
2012-08-30,20165
2012-08-31,20185
2012-09-01,20197
2012-09-02,20211
2012-09-03,20224
2012-09-04,20252
2012-09-05,20262
2012-09-06,20316
2012-09-07,20340
2012-09-08,20348
2012-09-09,20354
2012-09-10,20365
2012-09-11,20377
2012-09-12,20389
2012-09-13,20399
2012-09-14,20416
2012-09-15,20426
2012-09-16,20439
2012-09-17,20460
2012-09-18,20472
2012-09-19,20484
2012-09-20,20449
2012-09-21,20454
2012-09-22,20460
2012-09-23,20466
2012-09-24,20477
2012-09-25,20481
2012-09-26,20488
2012-09-27,20497
2012-09-28,20537
2012-09-29,20541
2012-09-30,20570
2012-10-01,20585
2012-10-02,20583
2012-10-03,20592
2012-10-04,20601
2012-10-05,20612
2012-10-06,20622
2012-10-07,20642
2012-10-08,20646
2012-10-09,20652
2012-10-10,20671
2012-10-11,20671
2012-10-12,20675
2012-10-13,20684
2012-10-14,20684
2012-10-15,20699
2012-10-16,20703
2012-10-17,20714
2012-10-18,20726
2012-10-19,20734
2012-10-20,20738
2012-10-21,20747
2012-10-22,20748
2012-10-23,20740
2012-10-24,20751
2012-10-25,20766
2012-10-26,20753
2012-10-27,20764
2012-10-29,20774
2012-10-30,20782
2012-10-31,20790
2012-11-01,20792
2012-11-02,20809
2012-11-03,20815
2012-11-04,20832
2012-11-05,20837
2012-11-06,20842
2012-11-07,20850
2012-11-08,20863
2012-11-09,20875
2012-11-10,20874
2012-11-11,20887
2012-11-12,20895
2012-11-13,20901
2012-11-14,20909
2012-11-15,20917
2012-11-16,20923
2012-11-17,20935
2012-11-18,20949
2012-11-19,20961
2012-11-20,20972
2012-11-21,20979
2012-11-22,20981
2012-11-23,20988
2012-11-24,21000
2012-11-25,21005
2012-11-27,21013
2012-11-28,21016
2012-11-29,21105
2012-11-30,21118
2012-12-01,21126
2012-12-02,21125
2012-12-03,21130
2012-12-04,21139
2012-12-05,21147
2012-12-06,21159
2012-12-07,21165
2012-12-08,21175
2012-12-09,21185
2012-12-10,21207
2012-12-11,21234
2012-12-12,21238
2012-12-13,21259
2012-12-14,21259
2012-12-15,21276
2012-12-16,21297
2012-12-17,21322
2012-12-18,21336
2012-12-19,21343
2012-12-20,21360
2012-12-21,21374
2012-12-22,21395
2012-12-23,21410
2012-12-24,21435
2012-12-25,21447
2012-12-26,21459
2012-12-27,21467
2012-12-28,21474
2012-12-29,21490
2012-12-30,21496
2012-12-31,21542
2013-01-01,21544
2013-01-02,21561
2013-01-03,21581
2013-01-04,21601
2013-01-05,21629
2013-01-06,21652
2013-01-07,21683
2013-01-08,21712
2013-01-09,21740
2013-01-10,21767
2013-01-11,21788
2013-01-12,21809
2013-01-13,21824
2013-01-14,21836
2013-01-15,21866
2013-01-16,21883
2013-01-17,21897
2013-01-18,21913
2013-01-19,21926
2013-01-20,21943
2013-01-21,21955
2013-01-22,21961
2013-01-23,21963
2013-01-24,22005
2013-01-25,22023
2013-01-26,22049
2013-01-27,22635
2013-01-28,22770
2013-01-29,22840
2013-01-30,22918
2013-01-31,22956
2013-02-01,22998
2013-02-02,23019
2013-02-03,23060
2013-02-04,23113
2013-02-05,23163
2013-02-06,23204
2013-02-07,23252
2013-02-08,23335
2013-02-09,23385
2013-02-10,23415
2013-02-11,23462
2013-02-12,23503
2013-02-13,23531
2013-02-14,23575
2013-02-15,23601
2013-02-16,23635
2013-02-17,23695
2013-02-18,23734
2013-02-19,23781
2013-02-20,23841
2013-02-21,23865
2013-02-22,23880
2013-02-23,23905
2013-02-24,23924
2013-02-25,23942
2013-02-26,23951
2013-02-27,23997
2013-02-28,24002
2013-03-01,24052
2013-03-02,24085
2013-03-03,24124
2013-03-04,24145
2013-03-05,24176
2013-03-06,24200
2013-03-07,24207
2013-03-08,24220
2013-03-09,24223
2013-03-10,24241
2013-03-11,24257
2013-03-12,24274
2013-03-13,24291
2013-03-14,24304
2013-03-15,24318
2013-03-16,24323
2013-03-17,24335
2013-03-18,24341
2013-03-19,24353
2013-03-20,24365
2013-03-21,24377
2013-03-22,24389
2013-03-23,24399
2013-03-24,24427
2013-03-25,24444
2013-03-26,24465
2013-03-27,24470
2013-03-28,24495
2013-03-29,24514
2013-03-30,24515
2013-03-31,24524
2013-04-01,24542
2013-04-02,24554
2013-04-03,24585
2013-04-04,24598
2013-04-05,24603
2013-04-06,24603
2013-04-07,24620
2013-04-08,24652
2013-04-09,24665
2013-04-10,24679
2013-04-11,24686
2013-04-12,24693
2013-04-13,24705
2013-04-14,24708
2013-04-15,24717
2013-04-16,24719
2013-04-17,24723
2013-04-18,24733
2013-04-19,24744
2013-04-20,24746
2013-04-21,24753
2013-04-22,24770
2013-04-23,24779
2013-04-24,24795
2013-04-25,24801
2013-04-26,24820
2013-04-27,24833
2013-04-28,24845
2013-04-29,24859
2013-04-30,24867
2013-05-01,24875
2013-05-02,24891
2013-05-03,24933
2013-05-04,24941
2013-05-05,24945
2013-05-06,24955
2013-05-07,24962
2013-05-08,24961
2013-05-09,24986
2013-05-10,25005
2013-05-11,25013
2013-05-12,25021
2013-05-13,25021
2013-05-14,25032
2013-05-15,25037
2013-05-16,25047
2013-05-17,25059
2013-05-18,25061
2013-05-19,25072
2013-05-20,25077
2013-05-21,25079
2013-05-22,25091
2013-05-23,25093
2013-05-24,25096
2013-05-25,25097
2013-05-26,25115
2013-05-27,25129
2013-05-28,25148
2013-05-29,25158
2013-05-30,25172
2013-05-31,25194
2013-06-01,25201
2013-06-02,25212
2013-06-03,25230
2013-06-04,25243
2013-06-05,25269
2013-06-06,25278
2013-06-07,25299
2013-06-08,25305
2013-06-09,25310
2013-06-10,25320
2013-06-11,25343
2013-06-12,25358
2013-06-13,25368
2013-06-14,25380
2013-06-15,25400
2013-06-16,25410
2013-06-17,25430
2013-06-18,25441
2013-06-19,25447
2013-06-20,25460
2013-06-21,25464
2013-06-22,25471
2013-06-23,25480
2013-06-24,25480
2013-06-25,25483
2013-06-26,25495
2013-06-27,25504
2013-06-28,25515
2013-06-29,25515
2013-06-30,25520
2013-07-01,25527
2013-07-02,25542
2013-07-03,25540
2013-07-04,25556
2013-07-05,25558
2013-07-06,25562
2013-07-07,25563
2013-07-08,25556
2013-07-09,25563
2013-07-10,25567
2013-07-11,25576
2013-07-12,25580
2013-07-13,25593
2013-07-14,25604
2013-07-15,25614
2013-07-17,25634
2013-07-18,25640
2013-07-19,25655
2013-07-20,25695
2013-07-21,26279
2013-07-23,26465
2013-07-24,26474
2013-07-25,26541
2013-07-26,26576
2013-07-27,26613
2013-07-28,26641
2013-07-29,26681
2013-07-30,26696
2013-07-31,26707
2013-08-01,26721
2013-08-02,26737
2013-08-03,26753
2013-08-04,26768
2013-08-05,26787
2013-08-06,26801
2013-08-07,26816
2013-08-08,26831
2013-08-09,26842
2013-08-11,26875
2013-08-12,26894
2013-08-13,26920
2013-08-15,26964
2013-08-16,26985
2013-08-17,27032
2013-08-18,27043
2013-08-19,27066
2013-08-20,27091
2013-08-21,27121
2013-08-22,27136
2013-08-23,27165
2013-08-24,27189
2013-08-25,27212
2013-08-26,27237
2013-08-28,27258
2013-08-30,27300
2013-08-31,27320
2013-09-01,27346
2013-09-02,27388
2013-09-03,27423
2013-09-04,27429
2013-09-05,27453
2013-09-06,27459
2013-09-07,27483
2013-09-08,27504
2013-09-10,27546
2013-09-11,27561
2013-09-13,27588
2013-09-14,27600
