Date,Followers
2020-05-07,2820000
2020-05-06,2820000
2020-05-05,2810000
2020-05-04,2810000
2020-05-03,2810000
2020-05-02,2810000
2020-05-01,2800000
2020-04-30,2800000
2020-04-29,2800000
2020-04-28,2800000
2020-04-27,2790000
2020-04-26,2790000
2020-04-25,2790000
2020-04-24,2790000
2020-04-23,2780000
2020-04-22,2780000
2020-04-21,2780000
2020-04-20,2780000
2020-04-19,2770000
2020-04-18,2770000
2020-04-17,2770000
2020-04-16,2760000
2020-04-15,2760000
2020-04-14,2760000
2020-04-13,2750000
2020-04-12,2750000
2020-04-11,2750000
2020-04-10,2740000
2020-04-09,2740000
2020-04-08,2740000
2020-04-07,2730000
2020-04-06,2730000
2020-04-05,2720000
2020-04-04,2720000
2020-04-03,2720000
2020-04-02,2720000
2020-04-01,2710000
2020-03-31,2710000
2020-03-30,2710000
2020-03-29,2700000
2020-03-28,2700000
2020-03-27,2700000
2020-03-26,2700000
2020-03-25,2700000
2020-03-24,2690000
2020-03-23,2690000
2020-03-22,2690000
2020-03-21,2690000
2020-03-20,2690000
2020-03-19,2690000
2020-03-18,2690000
2020-03-17,2680000
2020-03-16,2680000
2020-03-15,2680000
2020-03-14,2680000
2020-03-13,2680000
2020-03-12,2680000
2020-03-11,2680000
2020-03-10,2680000
2020-03-09,2680000
2020-03-08,2670000
2020-03-07,2670000
2020-03-06,2670000
2020-03-05,2670000
2020-03-04,2670000
2020-03-03,2670000
2020-03-02,2670000
2020-03-01,2670000
2020-02-29,2670000
2020-02-28,2670000
2020-02-27,2670000
2020-02-26,2670000
2020-02-25,2670000
2020-02-24,2660000
2020-02-23,2660000
2020-02-22,2660000
2020-02-21,2660000
2020-02-20,2660000
2020-02-19,2660000
2020-02-18,2660000
2020-02-17,2660000
2020-02-16,2650000
2020-02-15,2650000
2020-02-14,2650000
2020-02-13,2640000
2020-02-12,2640000
2020-02-11,2640000
2020-02-10,2630000
2020-02-09,2630000
2020-02-08,2620000
2020-02-07,2610000
2020-02-06,2600000
2020-02-05,2600000
2020-02-04,2600000
2020-02-03,2590000
2020-02-02,2590000
2020-02-01,2580000
2020-01-31,2580000
2020-01-30,2580000
2020-01-29,2570000
2020-01-28,2570000
2020-01-27,2570000
2020-01-26,2570000
2020-01-25,2570000
2020-01-24,2570000
2020-01-23,2570000
2020-01-22,2570000
2020-01-21,2560000
2020-01-20,2560000
2020-01-19,2560000
2020-01-18,2560000
2020-01-17,2550000
2020-01-16,2550000
2020-01-15,2550000
2020-01-14,2550000
2020-01-13,2550000
2020-01-12,2540000
2020-01-11,2540000
2020-01-10,2540000
2020-01-09,2540000
2020-01-08,2540000
2020-01-07,2540000
2020-01-06,2540000
2020-01-05,2540000
2020-01-04,2530000
2020-01-03,2530000
2020-01-02,2530000
2020-01-01,2530000
2019-12-31,2520000
2019-12-30,2520000
2019-12-29,2520000
2019-12-28,2510000
2019-12-27,2510000
2019-12-26,2510000
2019-12-25,2510000
2019-12-24,2510000
2019-12-23,2500000
2019-12-22,2500000
2019-12-21,2500000
2019-12-20,2500000
2019-12-19,2500000
2019-12-18,2490000
2019-12-17,2490000
2019-12-16,2490000
2019-12-15,2480000
2019-12-14,2480000
2019-12-13,2480000
2019-12-12,2480000
2019-12-11,2480000
2019-12-10,2480000
2019-12-09,2480000
2019-12-08,2470000
2019-12-07,2470000
2019-12-06,2470000
2019-12-05,2470000
2019-12-04,2460000
2019-12-03,2470000
2019-12-02,2470000
2019-12-01,2460000
2019-11-30,2460000
2019-11-29,2460000
2019-11-28,2460000
2019-11-27,2450000
2019-11-26,2450000
2019-11-25,2450000
2019-11-24,2450000
2019-11-23,2440000
2019-11-22,2440000
2019-11-21,2440000
2019-11-20,2440000
2019-11-19,2440000
2019-11-18,2440000
2019-11-17,2430000
2019-11-16,2430000
2019-11-15,2430000
2019-11-14,2430000
2019-11-13,2430000
2019-11-12,2420000
2019-11-11,2420000
2019-11-10,2420000
2019-11-09,2410000
2019-11-08,2410000
2019-11-07,2410000
2019-11-06,2400000
2019-11-05,2400000
2019-11-04,2390000
2019-11-03,2390000
2019-11-02,2380000
2019-11-01,2380000
2019-10-31,2370000
2019-10-30,2370000
2019-10-29,2370000
2019-10-28,2360000
2019-10-27,2360000
2019-10-26,2350000
2019-10-25,2350000
2019-10-24,2350000
2019-10-23,2350000
2019-10-22,2350000
2019-10-21,2350000
2019-10-20,2350000
2019-10-19,2350000
2019-10-18,2350000
2019-10-17,2350000
2019-10-16,2340000
2019-10-15,2340000
2019-10-14,2340000
2019-10-13,2340000
2019-10-12,2340000
2019-10-11,2340000
2019-10-10,2340000
2019-10-09,2340000
2019-10-08,2340000
2019-10-07,2340000
2019-10-06,2340000
2019-10-05,2340000
2019-10-04,2340000
2019-10-03,2330000
2019-10-02,2330000
2019-10-01,2330000
2019-09-30,2330000
