Date,Followers
2020-05-07,6770000
2020-05-06,6770000
2020-05-05,6770000
2020-05-04,6760000
2020-05-03,6760000
2020-05-02,6750000
2020-05-01,6750000
2020-04-30,6740000
2020-04-29,6730000
2020-04-28,6720000
2020-04-27,6720000
2020-04-26,6710000
2020-04-25,6700000
2020-04-24,6700000
2020-04-23,6690000
2020-04-22,6690000
2020-04-21,6680000
2020-04-20,6680000
2020-04-19,6680000
2020-04-18,6670000
2020-04-17,6670000
2020-04-16,6660000
2020-04-15,6660000
2020-04-14,6650000
2020-04-13,6640000
2020-04-12,6640000
2020-04-11,6630000
2020-04-10,6630000
2020-04-09,6620000
2020-04-08,6620000
2020-04-07,6610000
2020-04-06,6610000
2020-04-05,6600000
2020-04-04,6600000
2020-04-03,6600000
2020-04-02,6590000
2020-04-01,6590000
2020-03-31,6580000
2020-03-30,6570000
2020-03-29,6570000
2020-03-28,6560000
2020-03-27,6550000
2020-03-26,6550000
2020-03-25,6540000
2020-03-24,6530000
2020-03-23,6530000
2020-03-22,6520000
2020-03-21,6510000
2020-03-20,6500000
2020-03-19,6500000
2020-03-18,6490000
2020-03-17,6490000
2020-03-16,6480000
2020-03-15,6480000
2020-03-14,6470000
2020-03-13,6470000
2020-03-12,6460000
2020-03-11,6460000
2020-03-10,6460000
2020-03-09,6450000
2020-03-08,6450000
2020-03-07,6440000
2020-03-06,6440000
2020-03-05,6430000
2020-03-04,6430000
2020-03-03,6430000
2020-03-02,6420000
2020-03-01,6420000
2020-02-29,6420000
2020-02-28,6410000
2020-02-27,6410000
2020-02-26,6400000
2020-02-25,6400000
2020-02-24,6390000
2020-02-23,6390000
2020-02-22,6380000
2020-02-21,6370000
2020-02-20,6370000
2020-02-19,6360000
2020-02-18,6360000
2020-02-17,6350000
2020-02-16,6350000
2020-02-15,6340000
2020-02-14,6330000
2020-02-13,6330000
2020-02-12,6320000
2020-02-11,6320000
2020-02-10,6310000
2020-02-09,6310000
2020-02-08,6310000
2020-02-07,6300000
2020-02-06,6300000
2020-02-05,6300000
2020-02-04,6290000
2020-02-03,6290000
2020-02-02,6290000
2020-02-01,6280000
2020-01-31,6280000
2020-01-30,6270000
2020-01-29,6270000
2020-01-28,6270000
2020-01-27,6260000
2020-01-26,6260000
2020-01-25,6250000
2020-01-24,6250000
2020-01-23,6240000
2020-01-22,6240000
2020-01-21,6230000
2020-01-20,6230000
2020-01-19,6220000
2020-01-18,6220000
2020-01-17,6210000
2020-01-16,6210000
2020-01-15,6200000
2020-01-14,0
2020-01-13,0
2020-01-12,0
2020-01-11,0
2020-01-10,6180000
2020-01-09,6170000
2020-01-08,6160000
2020-01-07,6160000
2020-01-06,6150000
2020-01-05,6140000
2020-01-04,6140000
2020-01-03,6130000
2020-01-02,6130000
2020-01-01,6120000
2019-12-31,6110000
2019-12-30,6100000
2019-12-29,6100000
2019-12-28,6100000
2019-12-27,6090000
2019-12-26,6080000
2019-12-25,6070000
2019-12-24,6070000
2019-12-23,6060000
2019-12-22,6060000
2019-12-21,6050000
2019-12-20,6040000
2019-12-19,6030000
2019-12-18,6030000
2019-12-17,6020000
2019-12-16,6000000
2019-12-15,5980000
2019-12-14,5960000
2019-12-13,5940000
2019-12-12,5930000
2019-12-11,5920000
2019-12-10,5920000
2019-12-09,5910000
2019-12-08,5910000
2019-12-07,5900000
2019-12-06,5900000
2019-12-05,5890000
2019-12-04,5880000
2019-12-03,5870000
2019-12-02,5860000
2019-12-01,5850000
2019-11-30,5840000
2019-11-29,5840000
2019-11-28,5830000
2019-11-27,5820000
2019-11-26,5810000
2019-11-25,5800000
2019-11-24,5790000
2019-11-23,5780000
2019-11-22,5770000
2019-11-21,5760000
2019-11-20,5750000
2019-11-19,5740000
2019-11-18,5730000
2019-11-17,5720000
2019-11-16,5710000
2019-11-15,5710000
2019-11-14,5700000
2019-11-13,5690000
2019-11-12,5690000
2019-11-11,5680000
2019-11-10,5670000
2019-11-09,5670000
2019-11-08,5660000
2019-11-07,5660000
2019-11-06,5660000
2019-11-05,5650000
2019-11-04,5650000
2019-11-03,5640000
2019-11-02,5620000
2019-11-01,5610000
2019-10-31,5600000
2019-10-30,5590000
2019-10-29,5580000
2019-10-28,5560000
2019-10-27,5540000
2019-10-26,5520000
2019-10-25,5490000
2019-10-24,5470000
2019-10-23,5440000
2019-10-22,5410000
2019-10-21,5380000
2019-10-20,5340000
2019-10-19,5310000
2019-10-18,5290000
2019-10-17,5270000
2019-10-16,5260000
2019-10-15,5260000
