Date,Followers
2020-05-07,2680000
2020-05-06,2680000
2020-05-05,2680000
2020-05-04,2680000
2020-05-03,2680000
2020-05-02,2670000
2020-05-01,2670000
2020-04-30,2670000
2020-04-29,2670000
2020-04-28,2670000
2020-04-27,2670000
2020-04-26,2670000
2020-04-25,2670000
2020-04-24,2660000
2020-04-23,2660000
2020-04-22,2660000
2020-04-21,2660000
2020-04-20,2660000
2020-04-19,2660000
2020-04-18,2660000
2020-04-17,2660000
2020-04-16,2650000
2020-04-15,2650000
2020-04-14,2650000
2020-04-13,2650000
2020-04-12,2650000
2020-04-11,2650000
2020-04-10,2640000
2020-04-09,2640000
2020-04-08,2640000
2020-04-07,2630000
2020-04-06,2630000
2020-04-05,2630000
2020-04-04,2630000
2020-04-03,2630000
2020-04-02,2620000
2020-04-01,2620000
2020-03-31,2620000
2020-03-30,2620000
2020-03-29,2620000
2020-03-28,2620000
2020-03-27,2620000
2020-03-26,2620000
2020-03-25,2620000
2020-03-24,2610000
2020-03-23,2610000
2020-03-22,2610000
2020-03-21,2610000
2020-03-20,2610000
2020-03-19,2610000
2020-03-18,2610000
2020-03-17,2610000
2020-03-16,2610000
2020-03-15,2600000
2020-03-14,2600000
2020-03-13,2600000
2020-03-12,2600000
2020-03-11,2600000
2020-03-10,2600000
2020-03-09,2600000
2020-03-08,2600000
2020-03-07,2600000
2020-03-06,2600000
2020-03-05,2600000
2020-03-04,2600000
2020-03-03,2600000
2020-03-02,2600000
2020-03-01,2600000
2020-02-29,2590000
2020-02-28,2590000
2020-02-27,2590000
2020-02-26,2590000
2020-02-25,2590000
2020-02-24,2590000
2020-02-23,2590000
2020-02-22,2590000
2020-02-21,2590000
2020-02-20,2590000
2020-02-19,2590000
2020-02-18,2590000
2020-02-17,2590000
2020-02-16,2580000
2020-02-15,2580000
2020-02-14,2580000
2020-02-13,2580000
2020-02-12,2580000
2020-02-11,2580000
2020-02-10,2580000
2020-02-09,2580000
2020-02-08,2580000
2020-02-07,2580000
2020-02-06,2580000
2020-02-05,2580000
2020-02-04,2580000
2020-02-03,2570000
2020-02-02,2570000
2020-02-01,2570000
2020-01-31,2570000
2020-01-30,2570000
2020-01-29,2570000
2020-01-28,2570000
2020-01-27,2570000
2020-01-26,2570000
2020-01-25,2570000
2020-01-24,2560000
2020-01-23,2560000
2020-01-22,2560000
2020-01-21,2560000
2020-01-20,2560000
2020-01-19,2560000
2020-01-18,2560000
2020-01-17,2560000
2020-01-16,2560000
2020-01-15,2560000
2020-01-14,2560000
2020-01-13,2560000
2020-01-12,2550000
2020-01-11,2550000
2020-01-10,2550000
2020-01-09,2550000
2020-01-08,2550000
2020-01-07,2550000
2020-01-06,2550000
2020-01-05,2550000
2020-01-04,2550000
2020-01-03,2550000
2020-01-02,2550000
2020-01-01,2550000
2019-12-31,2540000
2019-12-30,2540000
2019-12-29,2540000
2019-12-28,2540000
2019-12-27,2540000
2019-12-26,2540000
