Date,Followers
2020-05-07,3210000
2020-05-06,3210000
2020-05-05,3210000
2020-05-04,3210000
2020-05-03,3210000
2020-05-02,3210000
2020-05-01,3210000
2020-04-30,3210000
2020-04-29,3200000
2020-04-28,3200000
2020-04-27,3200000
2020-04-26,3200000
2020-04-25,3200000
2020-04-24,3200000
2020-04-23,3200000
2020-04-22,3200000
2020-04-21,3200000
2020-04-20,3200000
2020-04-19,3200000
2020-04-18,3200000
2020-04-17,3200000
2020-04-16,3200000
2020-04-15,3200000
2020-04-14,3200000
2020-04-13,3200000
2020-04-12,3200000
2020-04-11,3200000
2020-04-10,3190000
2020-04-09,3190000
2020-04-08,3190000
2020-04-07,3190000
2020-04-06,3190000
2020-04-05,3190000
2020-04-04,3190000
2020-04-03,3190000
2020-04-02,3190000
2020-04-01,3190000
2020-03-31,3190000
2020-03-30,3190000
2020-03-29,3190000
2020-03-28,3190000
2020-03-27,3190000
2020-03-26,3190000
2020-03-25,3190000
2020-03-24,3190000
2020-03-23,3180000
2020-03-22,3180000
2020-03-21,3180000
2020-03-20,3180000
2020-03-19,3180000
2020-03-18,3180000
2020-03-17,3180000
2020-03-16,3180000
2020-03-15,3180000
2020-03-14,3180000
2020-03-13,3180000
2020-03-12,3180000
2020-03-11,3180000
2020-03-10,3180000
2020-03-09,3180000
2020-03-08,3180000
2020-03-07,3180000
2020-03-06,3180000
2020-03-05,3180000
2020-03-04,3180000
2020-03-03,3180000
2020-03-02,3180000
2020-03-01,3180000
2020-02-29,3180000
2020-02-28,3180000
2020-02-27,3180000
2020-02-26,3180000
2020-02-25,3180000
2020-02-24,3180000
2020-02-23,3180000
2020-02-22,3180000
2020-02-21,3180000
2020-02-20,3180000
2020-02-19,3180000
2020-02-18,3180000
2020-02-17,3180000
2020-02-16,3180000
2020-02-15,3180000
2020-02-14,3180000
2020-02-13,3180000
2020-02-12,3180000
2020-02-11,3180000
2020-02-10,3180000
2020-02-09,3180000
2020-02-08,3180000
2020-02-07,3180000
2020-02-06,3180000
2020-02-05,3180000
2020-02-04,3180000
2020-02-03,3180000
2020-02-02,3180000
2020-02-01,3180000
2020-01-31,3180000
2020-01-30,3180000
2020-01-29,3170000
2020-01-28,3170000
2020-01-27,3170000
2020-01-26,3170000
2020-01-25,3170000
2020-01-24,3170000
2020-01-23,3170000
2020-01-22,3170000
2020-01-21,3170000
2020-01-20,3170000
2020-01-19,3170000
2020-01-18,3170000
2020-01-17,3170000
2020-01-16,3170000
2020-01-15,3170000
2020-01-14,3170000
2020-01-13,3160000
2020-01-12,3160000
2020-01-11,3160000
2020-01-10,3160000
2020-01-09,3160000
2020-01-08,3160000
2020-01-07,3160000
2020-01-06,3160000
2020-01-05,3160000
2020-01-04,3160000
2020-01-03,3160000
2020-01-02,3160000
2020-01-01,3160000
2019-12-31,3160000
2019-12-30,3160000
2019-12-29,3160000
2019-12-28,3160000
2019-12-27,3160000
2019-12-26,3160000
2019-12-25,3150000
2019-12-24,3150000
2019-12-23,3150000
2019-12-22,3150000
2019-12-21,3150000
2019-12-20,3150000
2019-12-19,3150000
2019-12-18,3150000
2019-12-17,3150000
2019-12-16,3150000
2019-12-15,3150000
2019-12-14,3150000
2019-12-13,3150000
2019-12-12,3150000
2019-12-11,3150000
2019-12-10,3150000
2019-12-09,3150000
2019-12-08,3150000
2019-12-07,3150000
2019-12-06,3150000
2019-12-05,3150000
2019-12-04,3150000
2019-12-03,3180000
2019-12-02,3180000
2019-12-01,3180000
2019-11-30,3170000
2019-11-29,3170000
2019-11-28,3170000
2019-11-27,3170000
2019-11-26,3170000
2019-11-25,3170000
2019-11-24,3170000
2019-11-23,3170000
2019-11-22,3170000
2019-11-21,3170000
2019-11-20,3170000
2019-11-19,3170000
2019-11-18,3170000
2019-11-17,3170000
2019-11-16,3170000
2019-11-15,3170000
2019-11-14,3170000
2019-11-13,3170000
2019-11-12,3170000
2019-11-11,3170000
2019-11-10,3170000
2019-11-09,3170000
2019-11-08,3170000
2019-11-07,3170000
2019-11-06,3170000
2019-11-05,3170000
2019-11-04,3170000
2019-11-03,3170000
2019-11-02,3170000
2019-11-01,3170000
2019-10-31,3170000
2019-10-30,3160000
2019-10-29,3160000
2019-10-28,3160000
2019-10-27,3160000
2019-10-26,3160000
2019-10-25,3160000
2019-10-24,3160000
2019-10-23,3160000
2019-10-22,3160000
2019-10-21,3160000
2019-10-20,3160000
2019-10-19,3160000
2019-10-18,3160000
2019-10-17,3160000
2019-10-16,3160000
2019-10-15,3160000
2019-10-14,3160000
2019-10-13,3160000
2019-10-12,3160000
2019-10-11,3160000
2019-10-10,3160000
2019-10-09,3160000
2019-10-08,3160000
2019-10-07,3160000
