Date,Followers
2020-05-07,3340000
2020-05-06,3340000
2020-05-05,3340000
2020-05-04,3340000
2020-05-03,3340000
2020-05-02,3340000
2020-05-01,3340000
2020-04-30,3340000
2020-04-29,3340000
2020-04-28,3340000
2020-04-27,3340000
2020-04-26,3340000
2020-04-25,3340000
2020-04-24,3340000
2020-04-23,3340000
2020-04-22,3340000
2020-04-21,3340000
2020-04-20,3340000
2020-04-19,3340000
2020-04-18,3340000
2020-04-17,3340000
2020-04-16,3340000
2020-04-15,3340000
2020-04-14,3340000
2020-04-13,3340000
2020-04-12,3340000
2020-04-11,3340000
2020-04-10,3340000
2020-04-09,3340000
2020-04-08,3340000
2020-04-07,3340000
2020-04-06,3340000
2020-04-05,3340000
2020-04-04,3340000
2020-04-03,3340000
2020-04-02,3340000
2020-04-01,3340000
2020-03-31,3340000
2020-03-30,3340000
2020-03-29,3340000
2020-03-28,3340000
2020-03-27,3340000
2020-03-26,3340000
2020-03-25,3340000
2020-03-24,3340000
2020-03-23,3340000
2020-03-22,3340000
2020-03-21,3340000
2020-03-20,3340000
2020-03-19,3340000
2020-03-18,3340000
2020-03-17,3340000
2020-03-16,3340000
2020-03-15,3340000
2020-03-14,3340000
2020-03-13,3340000
2020-03-12,3340000
2020-03-11,3340000
2020-03-10,3340000
2020-03-09,3340000
2020-03-08,3340000
2020-03-07,3340000
2020-03-06,3340000
2020-03-05,3340000
2020-03-04,3340000
2020-03-03,3340000
2020-03-02,3340000
2020-03-01,3340000
2020-02-29,3340000
2020-02-28,3340000
2020-02-27,3340000
2020-02-26,3340000
2020-02-25,3340000
2020-02-24,3340000
2020-02-23,3340000
2020-02-22,3340000
2020-02-21,3340000
2020-02-20,3340000
2020-02-19,3340000
2020-02-18,3340000
2020-02-17,3340000
2020-02-16,3340000
2020-02-15,3340000
2020-02-14,3340000
2020-02-13,3340000
2020-02-12,3340000
2020-02-11,3340000
2020-02-10,3330000
2020-02-09,3330000
2020-02-08,3340000
2020-02-07,3340000
2020-02-06,3340000
2020-02-05,3340000
2020-02-04,3340000
2020-02-03,3330000
2020-02-02,3330000
2020-02-01,3330000
2020-01-31,3330000
2020-01-30,3330000
2020-01-29,3330000
2020-01-28,3330000
2020-01-27,3330000
2020-01-26,3330000
2020-01-25,3330000
2020-01-24,3330000
2020-01-23,3330000
2020-01-22,3330000
2020-01-21,3330000
2020-01-20,3330000
2020-01-19,3330000
2020-01-18,3330000
2020-01-17,3330000
2020-01-16,3330000
2020-01-15,3330000
2020-01-14,3330000
2020-01-13,3330000
2020-01-12,3330000
2020-01-11,3330000
2020-01-10,3330000
2020-01-09,3330000
2020-01-08,3330000
2020-01-07,3330000
2020-01-06,3330000
2020-01-05,3330000
2020-01-04,3330000
2020-01-03,3330000
2020-01-02,3330000
2020-01-01,3330000
2019-12-31,3330000
2019-12-30,3330000
2019-12-29,3330000
2019-12-28,3330000
2019-12-27,3330000
2019-12-26,3330000
2019-12-25,3330000
2019-12-24,3330000
2019-12-23,3330000
2019-12-22,3330000
2019-12-21,3330000
2019-12-20,3330000
2019-12-19,3330000
2019-12-18,3330000
2019-12-17,3330000
2019-12-16,3330000
2019-12-15,3330000
2019-12-14,3330000
2019-12-13,3330000
2019-12-12,3330000
2019-12-11,3330000
