Date,Followers
2020-05-07,1070000
2020-05-06,1070000
2020-05-05,1070000
2020-05-04,1070000
2020-05-03,1070000
2020-05-02,1070000
2020-05-01,1070000
2020-04-30,1070000
2020-04-29,1070000
2020-04-28,1070000
2020-04-27,1070000
2020-04-26,1070000
2020-04-25,1070000
2020-04-24,1070000
2020-04-23,1070000
2020-04-22,1070000
2020-04-21,1060000
2020-04-20,1060000
2020-04-19,1060000
2020-04-18,1060000
2020-04-17,1060000
2020-04-16,1060000
2020-04-15,1060000
2020-04-14,1060000
2020-04-13,1060000
2020-04-12,1060000
2020-04-11,1060000
2020-04-10,1060000
2020-04-09,1060000
2020-04-08,1060000
2020-04-07,1060000
2020-04-06,1060000
2020-04-05,1060000
2020-04-04,1050000
2020-04-03,1050000
2020-04-02,1050000
2020-04-01,1050000
2020-03-31,1050000
2020-03-30,1050000
2020-03-29,1050000
2020-03-28,1050000
2020-03-27,1050000
2020-03-26,1050000
2020-03-25,1040000
2020-03-24,1040000
2020-03-23,1040000
2020-03-22,1040000
2020-03-21,1040000
2020-03-20,1040000
2020-03-19,1040000
2020-03-18,1040000
2020-03-17,1040000
2020-03-16,1030000
2020-03-15,1030000
2020-03-14,1030000
2020-03-13,1030000
2020-03-12,1030000
2020-03-11,1030000
2020-03-10,1030000
2020-03-09,1030000
2020-03-08,1030000
2020-03-07,1030000
2020-03-06,1030000
2020-03-05,1030000
2020-03-04,1030000
2020-03-03,1030000
2020-03-02,1030000
2020-03-01,1030000
2020-02-29,1030000
2020-02-28,1030000
2020-02-27,1030000
2020-02-26,1030000
2020-02-25,1030000
2020-02-24,1030000
2020-02-23,1030000
2020-02-22,1030000
2020-02-21,1030000
2020-02-20,1030000
2020-02-19,1030000
2020-02-18,1030000
2020-02-17,1030000
2020-02-16,1030000
2020-02-15,1030000
2020-02-14,1030000
2020-02-13,1030000
2020-02-12,1030000
2020-02-11,1030000
2020-02-10,1020000
2020-02-09,1020000
2020-02-08,1020000
2020-02-07,1020000
2020-02-06,1020000
2020-02-05,1020000
2020-02-04,1020000
2020-02-03,1020000
2020-02-02,1020000
2020-02-01,1020000
2020-01-31,1020000
2020-01-30,1020000
2020-01-29,1020000
2020-01-28,1020000
2020-01-27,1020000
2020-01-26,1020000
2020-01-25,1020000
2020-01-24,1020000
2020-01-23,1020000
2020-01-22,1010000
2020-01-21,1010000
2020-01-20,1010000
2020-01-19,1010000
2020-01-18,1010000
2020-01-17,1010000
2020-01-16,1010000
2020-01-15,1010000
2020-01-14,1010000
2020-01-13,1010000
2020-01-12,1010000
2020-01-11,1010000
2020-01-10,1010000
2020-01-09,1010000
2020-01-08,1010000
2020-01-07,1010000
2020-01-06,1010000
2020-01-05,1010000
2020-01-04,1010000
2020-01-03,1000000
2020-01-02,1000000
2020-01-01,1000000
2019-12-31,1000000
2019-12-30,1000000
2019-12-29,1000000
2019-12-28,1000000
2019-12-27,1000000
2019-12-26,1000000
2019-12-25,1000000
