Date,Followers
2020-05-07,1430000
2020-05-06,1430000
2020-05-05,1430000
2020-05-04,1430000
2020-05-03,1430000
2020-05-02,1430000
2020-05-01,1430000
2020-04-30,1430000
2020-04-29,1430000
2020-04-28,1430000
2020-04-27,1430000
2020-04-26,1430000
2020-04-25,1430000
2020-04-24,1430000
2020-04-23,1430000
2020-04-22,1430000
2020-04-21,1430000
2020-04-20,1430000
2020-04-19,1430000
2020-04-18,1430000
2020-04-17,1430000
2020-04-16,1430000
2020-04-15,1430000
2020-04-14,1430000
2020-04-13,1430000
2020-04-12,1430000
2020-04-11,1430000
2020-04-10,1430000
2020-04-09,1430000
2020-04-08,1430000
2020-04-07,1430000
2020-04-06,1430000
2020-04-05,1430000
2020-04-04,1430000
2020-04-03,1430000
2020-04-02,1430000
2020-04-01,1430000
2020-03-31,1430000
2020-03-30,1430000
2020-03-29,1430000
2020-03-28,1430000
2020-03-27,1430000
2020-03-26,1430000
2020-03-25,1430000
2020-03-24,1430000
2020-03-23,1430000
2020-03-22,1430000
2020-03-21,1430000
2020-03-20,1430000
2020-03-19,1430000
2020-03-18,1430000
2020-03-17,1430000
2020-03-16,1430000
2020-03-15,1430000
2020-03-14,1430000
2020-03-13,1430000
2020-03-12,1430000
2020-03-11,1430000
2020-03-10,1430000
2020-03-09,1430000
2020-03-08,1430000
2020-03-07,1430000
2020-03-06,1430000
2020-03-05,1430000
2020-03-04,1430000
2020-03-03,1430000
2020-03-02,1430000
2020-03-01,1430000
2020-02-29,1430000
2020-02-28,1430000
2020-02-27,1430000
2020-02-26,1430000
2020-02-25,1430000
2020-02-24,1430000
2020-02-23,1430000
2020-02-22,1430000
2020-02-21,1430000
2020-02-20,1430000
2020-02-19,1430000
2020-02-18,1430000
2020-02-17,1430000
2020-02-16,1430000
2020-02-15,1430000
2020-02-14,1430000
2020-02-13,1430000
2020-02-12,1430000
2020-02-11,1430000
2020-02-10,1430000
2020-02-09,1430000
2020-02-08,1430000
2020-02-07,1430000
2020-02-06,1430000
2020-02-05,1430000
2020-02-04,1430000
2020-02-03,1430000
2020-02-02,1420000
2020-02-01,1420000
2020-01-31,1420000
2020-01-30,1420000
2020-01-29,1420000
2020-01-28,1420000
2020-01-27,1420000
2020-01-26,1420000
2020-01-25,1420000
2020-01-24,1420000
2020-01-23,1420000
2020-01-22,1420000
2020-01-21,1420000
2020-01-20,1420000
2020-01-19,1420000
2020-01-18,1420000
2020-01-17,1420000
2020-01-16,1420000
2020-01-15,1420000
2020-01-14,1420000
2020-01-13,1420000
2020-01-12,1420000
2020-01-11,1420000
2020-01-10,1420000
2020-01-09,1420000
2020-01-08,1420000
2020-01-07,1420000
2020-01-06,1420000
2020-01-05,1420000
2020-01-04,1420000
2020-01-03,1420000
2020-01-02,1420000
2020-01-01,1420000
2019-12-31,1420000
2019-12-30,1420000
2019-12-29,1420000
2019-12-28,1410000
2019-12-27,1410000
2019-12-26,1410000
2019-12-25,1410000
2019-12-24,1410000
2019-12-23,1410000
2019-12-22,1410000
2019-12-21,1410000
2019-12-20,1410000
2019-12-19,1410000
2019-12-18,1410000
2019-12-17,1410000
2019-12-16,1410000
2019-12-15,1410000
2019-12-14,1410000
2019-12-13,1410000
2019-12-12,1410000
2019-12-11,1410000
2019-12-10,1410000
2019-12-09,1410000
2019-12-08,1410000
2019-12-07,1410000
2019-12-06,1410000
2019-12-05,1410000
2019-12-04,1410000
2019-12-03,1410000
2019-12-02,1410000
2019-12-01,1410000
2019-11-30,1410000
2019-11-29,1410000
2019-11-28,1410000
2019-11-27,1400000
2019-11-26,1400000
2019-11-25,1400000
2019-11-24,1400000
2019-11-23,1400000
2019-11-22,1400000
2019-11-21,1400000
2019-11-20,1400000
2019-11-19,1400000
2019-11-18,1400000
2019-11-17,1400000
2019-11-16,1400000
2019-11-15,1400000
2019-11-14,1400000
2019-11-13,1400000
2019-11-12,1400000
2019-11-11,1400000
2019-11-10,1400000
2019-11-09,1400000
2019-11-08,1400000
2019-11-07,1400000
2019-11-06,1400000
2019-11-05,1390000
2019-11-04,1390000
2019-11-03,1390000
2019-11-02,1390000
2019-11-01,1390000
2019-10-31,1390000
2019-10-30,1390000
2019-10-29,1390000
2019-10-28,1390000
2019-10-27,1390000
2019-10-26,1390000
2019-10-25,1390000
2019-10-24,1390000
2019-10-23,1390000
2019-10-22,1390000
2019-10-21,1390000
2019-10-20,1390000
2019-10-19,1390000
2019-10-18,1380000
2019-10-17,1380000
2019-10-16,1380000
2019-10-15,1380000
2019-10-14,1380000
2019-10-13,1380000
2019-10-12,1380000
2019-10-11,1380000
2019-10-10,1380000
2019-10-09,1380000
2019-10-08,1380000
2019-10-07,1380000
2019-10-06,1380000
2019-10-05,1380000
2019-10-04,1370000
2019-10-03,1370000
2019-10-02,1370000
2019-10-01,1370000
2019-09-30,1370000
2019-09-29,1370000
