Date,Followers
2020-05-07,9610000
2020-05-06,9600000
2020-05-05,9590000
2020-05-04,9580000
2020-05-03,9580000
2020-05-02,9570000
2020-05-01,9560000
2020-04-30,9550000
2020-04-29,9540000
2020-04-28,9540000
2020-04-27,9530000
2020-04-26,9520000
2020-04-25,9510000
2020-04-24,9500000
2020-04-23,9490000
2020-04-22,9480000
2020-04-21,9480000
2020-04-20,9470000
2020-04-19,9460000
2020-04-18,9450000
2020-04-17,9440000
2020-04-16,9430000
2020-04-15,9430000
2020-04-14,9420000
2020-04-13,9410000
2020-04-12,9400000
2020-04-11,9390000
2020-04-10,9380000
2020-04-09,9380000
2020-04-08,9370000
2020-04-07,9360000
2020-04-06,9360000
2020-04-05,9350000
2020-04-04,9340000
2020-04-03,9340000
2020-04-02,9330000
2020-04-01,9330000
2020-03-31,9320000
2020-03-30,9320000
2020-03-29,9310000
2020-03-28,9310000
2020-03-27,9300000
2020-03-26,9300000
2020-03-25,9290000
2020-03-24,9290000
2020-03-23,9290000
2020-03-22,9280000
2020-03-21,9280000
2020-03-20,9280000
2020-03-19,9270000
2020-03-18,9270000
2020-03-17,9270000
2020-03-16,9270000
2020-03-15,9260000
2020-03-14,9260000
2020-03-13,9260000
2020-03-12,9260000
2020-03-11,9250000
2020-03-10,9250000
2020-03-09,9250000
2020-03-08,9250000
2020-03-07,9240000
2020-03-06,9240000
2020-03-05,9240000
2020-03-04,9240000
2020-03-03,9230000
2020-03-02,9230000
2020-03-01,9230000
2020-02-29,9220000
2020-02-28,9220000
2020-02-27,9210000
2020-02-26,9210000
2020-02-25,9210000
2020-02-24,9200000
2020-02-23,9200000
2020-02-22,9190000
2020-02-21,9190000
2020-02-20,9180000
2020-02-19,9180000
2020-02-18,9180000
2020-02-17,9180000
2020-02-16,9170000
2020-02-15,9170000
2020-02-14,9170000
2020-02-13,9170000
2020-02-12,9160000
2020-02-11,9160000
2020-02-10,9160000
2020-02-09,9150000
2020-02-08,9150000
2020-02-07,9150000
2020-02-06,9140000
2020-02-05,9140000
2020-02-04,9140000
2020-02-03,9140000
2020-02-02,9130000
2020-02-01,9130000
2020-01-31,9130000
2020-01-30,9130000
2020-01-29,9120000
2020-01-28,9120000
2020-01-27,9120000
2020-01-26,9110000
2020-01-25,9110000
2020-01-24,9110000
2020-01-23,9100000
2020-01-22,9100000
2020-01-21,9100000
2020-01-20,9090000
2020-01-19,9090000
2020-01-18,9080000
2020-01-17,9080000
2020-01-16,9080000
2020-01-15,9070000
2020-01-14,9070000
2020-01-13,9070000
2020-01-12,9060000
2020-01-11,9060000
2020-01-10,9050000
2020-01-09,9050000
2020-01-08,9040000
2020-01-07,9040000
2020-01-06,9030000
2020-01-05,9030000
2020-01-04,9030000
2020-01-03,9020000
2020-01-02,9020000
2020-01-01,9010000
2019-12-31,9010000
2019-12-30,9000000
2019-12-29,9000000
2019-12-28,8990000
2019-12-27,8980000
2019-12-26,8970000
2019-12-25,8970000
2019-12-24,8970000
2019-12-23,8960000
2019-12-22,8950000
2019-12-21,8950000
2019-12-20,8940000
2019-12-19,8940000
2019-12-18,8930000
2019-12-17,8920000
2019-12-16,8920000
2019-12-15,8910000
2019-12-14,8910000
2019-12-13,8910000
2019-12-12,8900000
2019-12-11,8900000
2019-12-10,8890000
2019-12-09,8890000
2019-12-08,8890000
2019-12-07,8880000
2019-12-06,8880000
2019-12-05,8870000
2019-12-04,8870000
2019-12-03,8870000
2019-12-02,8860000
2019-12-01,8860000
2019-11-30,8850000
2019-11-29,8850000
2019-11-28,8840000
2019-11-27,8840000
2019-11-26,8830000
2019-11-25,8830000
2019-11-24,8820000
2019-11-23,8820000
2019-11-22,8810000
2019-11-21,8810000
2019-11-20,8810000
2019-11-19,8810000
2019-11-18,8800000
2019-11-17,8800000
2019-11-16,8800000
2019-11-15,8790000
2019-11-14,8790000
2019-11-13,8790000
2019-11-12,8790000
2019-11-11,8780000
2019-11-10,8780000
2019-11-09,8780000
2019-11-08,8770000
2019-11-07,8770000
2019-11-06,8770000
2019-11-05,8770000
2019-11-04,8760000
