Date,Followers
2020-05-07,3240000
2020-05-06,3240000
2020-05-05,3240000
2020-05-04,3240000
2020-05-03,3240000
2020-05-02,3240000
2020-05-01,3240000
2020-04-30,3240000
2020-04-29,3240000
2020-04-28,3240000
2020-04-27,3240000
2020-04-26,3240000
2020-04-25,3240000
2020-04-24,3240000
2020-04-23,3240000
2020-04-22,3240000
2020-04-21,3240000
2020-04-20,3240000
2020-04-19,3240000
2020-04-18,3230000
2020-04-17,3230000
2020-04-16,3230000
2020-04-15,3230000
2020-04-14,3230000
2020-04-13,3230000
2020-04-12,3230000
2020-04-11,3230000
2020-04-10,3230000
2020-04-09,3230000
2020-04-08,3230000
2020-04-07,3230000
2020-04-06,3230000
2020-04-05,3230000
2020-04-04,3230000
2020-04-03,3230000
2020-04-02,3230000
2020-04-01,3230000
2020-03-31,3230000
2020-03-30,3230000
2020-03-29,3230000
2020-03-28,3230000
2020-03-27,3230000
2020-03-26,3230000
2020-03-25,3230000
2020-03-24,3230000
2020-03-23,3230000
2020-03-22,3230000
2020-03-21,3220000
2020-03-20,3220000
2020-03-19,3220000
2020-03-18,3220000
2020-03-17,3220000
2020-03-16,3220000
2020-03-15,3220000
2020-03-14,3220000
2020-03-13,3220000
2020-03-12,3220000
2020-03-11,3220000
2020-03-10,3220000
2020-03-09,3220000
2020-03-08,3220000
2020-03-07,3220000
2020-03-06,3220000
2020-03-05,3220000
2020-03-04,3220000
2020-03-03,3220000
2020-03-02,3220000
2020-03-01,3220000
2020-02-29,3220000
2020-02-28,3220000
2020-02-27,3220000
2020-02-26,3220000
2020-02-25,3220000
2020-02-24,3220000
2020-02-23,3220000
2020-02-22,3220000
2020-02-21,3220000
2020-02-20,3220000
2020-02-19,3220000
2020-02-18,3220000
2020-02-17,3220000
2020-02-16,3220000
2020-02-15,3220000
2020-02-14,3220000
2020-02-13,3220000
2020-02-12,3220000
2020-02-11,3220000
2020-02-10,3220000
2020-02-09,3220000
2020-02-08,3220000
2020-02-07,3220000
2020-02-06,3220000
2020-02-05,3220000
2020-02-04,3220000
2020-02-03,3220000
2020-02-02,3220000
2020-02-01,3220000
2020-01-31,3210000
2020-01-30,3210000
2020-01-29,3220000
2020-01-28,3210000
2020-01-27,3210000
2020-01-26,3210000
2020-01-25,3210000
2020-01-24,3210000
2020-01-23,3210000
2020-01-22,3210000
2020-01-21,3210000
2020-01-20,3210000
2020-01-19,3210000
2020-01-18,3210000
2020-01-17,3210000
2020-01-16,3210000
2020-01-15,3210000
2020-01-14,3210000
2020-01-13,3210000
2020-01-12,3210000
2020-01-11,3210000
