Date,Followers
2020-05-07,1180000
2020-05-06,1180000
2020-05-05,1180000
2020-05-04,1180000
2020-05-03,1180000
2020-05-02,1180000
2020-05-01,1180000
2020-04-30,1180000
2020-04-29,1180000
2020-04-28,1180000
2020-04-27,1180000
2020-04-26,1180000
2020-04-25,1180000
2020-04-24,1180000
2020-04-23,1180000
2020-04-22,1180000
2020-04-21,1180000
2020-04-20,1180000
2020-04-19,1180000
2020-04-18,1180000
2020-04-17,1170000
2020-04-16,1170000
2020-04-15,1170000
2020-04-14,1170000
2020-04-13,1170000
2020-04-12,1170000
2020-04-11,1170000
2020-04-10,1170000
2020-04-09,1170000
2020-04-08,1170000
2020-04-07,1170000
2020-04-06,1170000
2020-04-05,1170000
2020-04-04,1170000
2020-04-03,1170000
2020-04-02,1180000
2020-04-01,1180000
2020-03-31,1180000
2020-03-30,1180000
2020-03-29,1180000
2020-03-28,1180000
2020-03-27,1180000
2020-03-26,1180000
2020-03-25,1180000
2020-03-24,1180000
2020-03-23,1180000
2020-03-22,1180000
2020-03-21,1180000
2020-03-20,1180000
2020-03-19,1180000
2020-03-18,1180000
2020-03-17,1180000
2020-03-16,1180000
2020-03-15,1180000
2020-03-14,1180000
2020-03-13,1180000
2020-03-12,1180000
2020-03-11,1180000
2020-03-10,1180000
2020-03-09,1180000
2020-03-08,1180000
2020-03-07,1180000
2020-03-06,1180000
2020-03-05,1180000
2020-03-04,1180000
2020-03-03,1180000
2020-03-02,1180000
2020-03-01,1180000
2020-02-29,1180000
2020-02-28,1180000
2020-02-27,1180000
2020-02-26,1180000
2020-02-25,1180000
2020-02-24,1180000
2020-02-23,1180000
2020-02-22,1180000
2020-02-21,1180000
2020-02-20,1180000
2020-02-19,1180000
2020-02-18,1180000
2020-02-17,1180000
2020-02-16,1180000
2020-02-15,1180000
2020-02-14,1180000
2020-02-13,1180000
2020-02-12,1180000
2020-02-11,1180000
2020-02-10,1180000
2020-02-09,1180000
2020-02-08,1180000
2020-02-07,1180000
2020-02-06,1180000
2020-02-05,1180000
2020-02-04,1180000
2020-02-03,1180000
2020-02-02,1180000
2020-02-01,1180000
2020-01-31,1180000
2020-01-30,1180000
2020-01-29,1180000
2020-01-28,1180000
2020-01-27,1180000
2020-01-26,1180000
2020-01-25,1180000
2020-01-24,1180000
2020-01-23,1180000
2020-01-22,1180000
2020-01-21,1180000
2020-01-20,1180000
2020-01-19,1180000
2020-01-18,1180000
2020-01-17,1180000
2020-01-16,1180000
2020-01-15,1180000
2020-01-14,1180000
2020-01-13,1180000
2020-01-12,1180000
2020-01-11,1180000
2020-01-10,1180000
2020-01-09,1180000
2020-01-08,1180000
2020-01-07,1180000
2020-01-06,1180000
2020-01-05,1180000
2020-01-04,1180000
2020-01-03,1180000
2020-01-02,1180000
2020-01-01,1180000
2019-12-31,1180000
2019-12-30,1180000
2019-12-29,1180000
2019-12-28,1180000
2019-12-27,1180000
2019-12-26,1180000
2019-12-25,1180000
2019-12-24,1180000
2019-12-23,1180000
2019-12-22,1180000
2019-12-21,1180000
2019-12-20,1180000
2019-12-19,1180000
2019-12-18,1180000
2019-12-17,1180000
2019-12-16,1180000
2019-12-15,1180000
2019-12-14,1180000
2019-12-13,1180000
2019-12-12,1180000
2019-12-11,1180000
2019-12-10,1180000
2019-12-09,1180000
2019-12-08,1180000
2019-12-07,1180000
2019-12-06,1180000
2019-12-05,1180000
2019-12-04,1180000
2019-12-03,1180000
2019-12-02,1180000
2019-12-01,1180000
2019-11-30,1180000
2019-11-29,1180000
2019-11-28,1180000
2019-11-27,1180000
2019-11-26,1180000
2019-11-25,1180000
2019-11-24,1180000
2019-11-23,1180000
2019-11-22,1180000
2019-11-21,1180000
2019-11-20,1180000
2019-11-19,1180000
2019-11-18,1180000
2019-11-17,1180000
2019-11-16,1180000
2019-11-15,1180000
2019-11-14,1180000
2019-11-13,1180000
2019-11-12,1170000
2019-11-11,1170000
2019-11-10,1170000
2019-11-09,1170000
2019-11-08,1170000
2019-11-07,1170000
2019-11-06,1170000
2019-11-05,1170000
2019-11-04,1170000
2019-11-03,1170000
2019-11-02,1170000
2019-11-01,1170000
2019-10-31,1170000
2019-10-30,1170000
2019-10-29,1170000
2019-10-28,1170000
2019-10-27,1180000
2019-10-26,1180000
2019-10-25,1180000
2019-10-24,1180000
2019-10-23,1180000
2019-10-22,1180000
2019-10-21,1180000
2019-10-20,1180000
2019-10-19,1180000
2019-10-18,1180000
2019-10-17,1180000
2019-10-16,1180000
2019-10-15,1180000
2019-10-14,1180000
2019-10-13,1180000
2019-10-12,1180000
2019-10-11,1180000
2019-10-10,1180000
2019-10-09,1180000
2019-10-08,1180000
2019-10-07,1180000
2019-10-06,1180000
2019-10-05,1180000
2019-10-04,1180000
2019-10-03,1180000
2019-10-02,1180000
2019-10-01,1180000
2019-09-30,1180000
2019-09-29,1180000
2019-09-28,1180000
2019-09-27,1180000
2019-09-26,1180000
2019-09-25,1180000
2019-09-24,1180000
2019-09-23,1180000
2019-09-22,1180000
2019-09-21,1180000
2019-09-20,1180000
2019-09-19,1180000
2019-09-18,1180000
2019-09-17,1181285
2019-09-16,1181260
2019-09-15,1181226
2019-09-14,1181160
2019-09-13,1180906
2019-09-12,1180599
2019-09-11,1180269
2019-09-10,1180072
2019-09-09,1179892
2019-09-08,1179831
2019-09-07,1179754
2019-09-06,1179668
2019-09-05,1179534
2019-09-04,1179325
2019-09-03,1178850
2019-09-02,1178471
2019-09-01,1177906
2019-08-31,1177406
2019-08-30,1176357
2019-08-29,1174973
2019-08-28,1174675
2019-08-27,1174494
2019-08-26,1174155
2019-08-25,1173728
2019-08-24,1172769
2019-08-23,1170590
2019-08-22,1170067
2019-08-21,1168971
2019-08-20,1168253
2019-08-19,1167224
2019-08-18,1167015
2019-08-17,1166916
2019-08-16,1166736
2019-08-15,1166274
2019-08-14,1165661
2019-08-13,1164801
2019-08-12,1162983
2019-08-11,1162619
2019-08-10,1162212
2019-08-09,1161772
2019-08-08,1161254
2019-08-07,1160247
2019-08-06,1159595
2019-08-05,1158516
2019-08-04,1158154
2019-08-03,1157719
2019-08-02,1157208
2019-08-01,1154943
2019-07-31,1151103
2019-07-30,1145372
2019-07-29,1136646
2019-07-28,1136022
2019-07-27,1135076
2019-07-26,1134236
2019-07-25,1132895
2019-07-24,1129403
2019-07-23,1125995
2019-07-22,1124340
2019-07-21,1122564
2019-07-20,1119070
2019-07-19,1114994
2019-07-18,1102474
2019-07-17,1091370
2019-07-16,1089088
2019-07-15,1088815
2019-07-14,1088489
2019-07-13,1087602
2019-07-12,1086973
2019-07-11,1085920
2019-07-10,1084510
2019-07-09,1082402
2019-07-08,1081345
2019-07-07,1081426
2019-07-06,1081440
2019-07-05,1081583
2019-07-04,1081574
2019-07-03,1081690
2019-07-02,1081678
2019-07-01,1081594
2019-06-30,1081660
2019-06-29,1081696
2019-06-28,1081748
2019-06-27,1081782
2019-06-26,1081902
2019-06-25,1081912
2019-06-24,1082081
2019-06-23,1082257
2019-06-22,1082267
2019-06-21,1082687
2019-06-20,1082875
2019-06-19,1082928
2019-06-18,1082902
2019-06-17,1082916
2019-06-16,1082948
2019-06-15,1083168
2019-06-14,1083309
2019-06-13,1083417
2019-06-12,1083505
2019-06-11,1083633
2019-06-10,1083635
2019-06-09,1083712
2019-06-08,1083808
2019-06-07,1083796
2019-06-06,1083703
2019-06-05,1083641
2019-06-04,1083589
2019-06-03,1083597
2019-06-02,1083756
2019-06-01,1083746
2019-05-31,1083752
2019-05-30,1083719
2019-05-29,1083879
2019-05-28,1083908
2019-05-27,1083914
2019-05-26,1083986
2019-05-25,1084148
2019-05-24,1084167
2019-05-23,1084238
2019-05-22,1084703
2019-05-21,1084728
2019-05-20,1084746
2019-05-19,1084739
2019-05-18,1084782
2019-05-17,1084835
2019-05-16,1084908
2019-05-15,1085649
2019-05-14,1086351
2019-05-13,1086343
2019-05-12,1086378
2019-05-11,1086439
2019-05-10,1086669
2019-05-09,1086794
2019-05-08,1086768
2019-05-07,1086760
2019-05-06,1086714
2019-05-05,1086720
2019-05-04,1086876
2019-05-03,1086850
2019-05-02,1086884
2019-05-01,1087021
2019-04-30,1086879
2019-04-29,1086888
2019-04-28,1086921
2019-04-27,1086930
2019-04-26,1087015
2019-04-25,1087191
2019-04-24,1087356
2019-04-23,1087653
2019-04-22,1087814
2019-04-21,1088106
2019-04-20,1088125
2019-04-19,1088154
2019-04-18,1088173
2019-04-17,1088377
2019-04-16,1088381
2019-04-15,1088393
2019-04-14,1088430
2019-04-13,1088446
2019-04-12,1088454
2019-04-11,1088493
2019-04-10,1088641
2019-04-09,1088664
2019-04-08,1088643
2019-04-07,1088697
2019-04-06,1088689
2019-04-05,1088684
2019-04-04,1088828
2019-04-03,1088915
2019-04-02,1088933
2019-04-01,1089156
2019-03-31,1089196
2019-03-30,1089258
2019-03-29,1089489
2019-03-28,1089755
2019-03-27,1089798
2019-03-26,1089786
2019-03-25,1089768
2019-03-24,1089758
2019-03-23,1089755
2019-03-22,1089693
2019-03-21,1089689
2019-03-20,1089718
2019-03-19,1089625
2019-03-18,1089550
2019-03-17,1089430
2019-03-16,1089476
2019-03-15,1089529
2019-03-14,1089613
2019-03-13,1089804
2019-03-12,1089951
2019-03-11,1089963
2019-03-10,1089992
2019-03-09,1090067
2019-03-08,1090182
2019-03-07,1090250
2019-03-06,1090287
2019-03-05,1090297
2019-03-04,1090280
2019-03-03,1090366
2019-03-02,1090650
2019-03-01,1090679
2019-02-28,1090758
2019-02-27,1090804
2019-02-26,1090811
2019-02-25,1090814
2019-02-24,1090902
2019-02-23,1090930
2019-02-22,1091193
2019-02-21,1091323
2019-02-20,1091458
2019-02-19,1091595
2019-02-18,1091652
2019-02-17,1091940
2019-02-16,1092608
2019-02-15,1093170
2019-02-14,1095142
2019-02-13,1095229
2019-02-12,1095336
2019-02-11,1095477
2019-02-10,1096105
2019-02-09,1096481
2019-02-08,1096501
2019-02-07,1096480
2019-02-06,1096882
2019-02-05,1096922
2019-02-04,1096976
2019-02-03,1097109
2019-02-02,1097138
2019-02-01,1097262
2019-01-31,1097274
2019-01-30,1097329
2019-01-29,1097287
2019-01-28,1097268
2019-01-27,1097318
2019-01-26,1097514
2019-01-25,1097779
2019-01-24,1098216
2019-01-23,1098614
2019-01-22,1098802
2019-01-21,1098802
2019-01-20,1098882
2019-01-19,1099331
2019-01-18,1099417
2019-01-17,1099556
2019-01-16,1099633
2019-01-15,1099672
2019-01-14,1100055
2019-01-13,1100445
2019-01-12,1100985
2019-01-11,1101305
2019-01-10,1101865
2019-01-09,1102443
2019-01-08,1102580
2019-01-07,1102734
2019-01-06,1102960
2019-01-05,1102951
2019-01-04,1102890
2019-01-03,1102758
2019-01-02,1102644
2019-01-01,1102693
2018-12-31,1102671
2018-12-30,1102689
2018-12-29,1102835
2018-12-28,1102809
2018-12-27,1102743
2018-12-26,1102724
2018-12-25,1102694
2018-12-24,1102772
2018-12-23,1102663
2018-12-22,1102680
2018-12-21,1102671
2018-12-20,1102638
2018-12-19,1102615
2018-12-18,1102603
2018-12-17,1102665
2018-12-16,1103049
2018-12-15,1103072
2018-12-14,1103628
2018-12-13,1103665
2018-12-12,1103619
2018-12-11,1103572
2018-12-10,1103446
2018-12-09,1103452
2018-12-08,1103556
2018-12-07,1103678
2018-12-06,1103758
2018-12-05,1103773
2018-12-04,1103808
2018-12-03,1103838
2018-12-02,1104042
2018-12-01,1104082
2018-11-30,1104184
2018-11-29,1104166
2018-11-28,1104177
2018-11-27,1104142
2018-11-26,1104111
2018-11-25,1104087
2018-11-24,1104072
2018-11-23,1104087
2018-11-22,1104073
2018-11-21,1104049
2018-11-20,1104016
2018-11-19,1103942
2018-11-18,1103899
2018-11-17,1103876
2018-11-16,1103806
2018-11-15,1103732
2018-11-14,1103589
2018-11-13,1103490
2018-11-12,1103328
2018-11-11,1103234
2018-11-10,1103201
2018-11-09,1103063
2018-11-08,1102893
2018-11-07,1102881
2018-11-06,1102955
2018-11-05,1102967
2018-11-04,1102869
2018-11-03,1102750
2018-11-02,1102618
2018-11-01,1102577
2018-10-31,1102534
2018-10-30,1102387
2018-10-29,1102188
2018-10-28,1102193
2018-10-27,1102434
2018-10-26,1102485
