Date,Followers
2020-05-07,2550000
2020-05-06,2550000
2020-05-05,2550000
2020-05-04,2540000
2020-05-03,2540000
2020-05-02,2540000
2020-05-01,2530000
2020-04-30,2530000
2020-04-29,2530000
2020-04-28,2530000
2020-04-27,2520000
2020-04-26,2520000
2020-04-25,2520000
2020-04-24,2510000
2020-04-23,2510000
2020-04-22,2510000
2020-04-21,2500000
2020-04-20,2500000
2020-04-19,2500000
2020-04-18,2500000
2020-04-17,2490000
2020-04-16,2490000
2020-04-15,2490000
2020-04-14,2490000
2020-04-13,2480000
2020-04-12,2480000
2020-04-11,2480000
2020-04-10,2470000
2020-04-09,2470000
2020-04-08,2470000
2020-04-07,2470000
2020-04-06,2460000
2020-04-05,2460000
2020-04-04,2460000
2020-04-03,2450000
2020-04-02,2450000
2020-04-01,2450000
2020-03-31,2450000
2020-03-30,2440000
2020-03-29,2440000
2020-03-28,2440000
2020-03-27,2440000
2020-03-26,2440000
2020-03-25,2430000
2020-03-24,2430000
2020-03-23,2430000
2020-03-22,2430000
2020-03-21,2430000
2020-03-20,2420000
2020-03-19,2420000
2020-03-18,2420000
2020-03-17,2420000
2020-03-16,2420000
2020-03-15,2410000
2020-03-14,2410000
2020-03-13,2410000
2020-03-12,2410000
2020-03-11,2400000
2020-03-10,2400000
2020-03-09,2400000
2020-03-08,2400000
2020-03-07,2400000
2020-03-06,2390000
2020-03-05,2390000
2020-03-04,2390000
2020-03-03,2390000
2020-03-02,2390000
2020-03-01,2390000
2020-02-29,2380000
2020-02-28,2380000
2020-02-27,2380000
2020-02-26,2380000
2020-02-25,2380000
2020-02-24,2370000
2020-02-23,2370000
2020-02-22,2370000
2020-02-21,2370000
2020-02-20,2370000
2020-02-19,2370000
2020-02-18,2360000
2020-02-17,2360000
2020-02-16,2360000
2020-02-15,2360000
2020-02-14,2360000
2020-02-13,2350000
2020-02-12,2350000
2020-02-11,2350000
2020-02-10,2350000
2020-02-09,2350000
2020-02-08,2340000
2020-02-07,2340000
2020-02-06,2340000
2020-02-05,2340000
2020-02-04,2330000
2020-02-03,2330000
2020-02-02,2330000
2020-02-01,2330000
2020-01-31,2320000
2020-01-30,2320000
2020-01-29,2320000
2020-01-28,2320000
2020-01-27,2320000
2020-01-26,2310000
2020-01-25,2310000
2020-01-24,2310000
2020-01-23,2310000
2020-01-22,2300000
2020-01-21,2300000
2020-01-20,2300000
2020-01-19,2300000
2020-01-18,2290000
2020-01-17,2290000
2020-01-16,2290000
2020-01-15,2290000
2020-01-14,2290000
2020-01-13,2280000
2020-01-12,2280000
2020-01-11,2280000
2020-01-10,2280000
2020-01-09,2280000
2020-01-08,2280000
2020-01-07,2270000
2020-01-06,2270000
2020-01-05,2270000
2020-01-04,2270000
2020-01-03,2270000
2020-01-02,2270000
2020-01-01,2260000
2019-12-31,2260000
2019-12-30,2260000
2019-12-29,2260000
2019-12-28,2260000
2019-12-27,2250000
2019-12-26,2250000
2019-12-25,2250000
2019-12-24,2250000
2019-12-23,2250000
2019-12-22,2250000
2019-12-21,2240000
2019-12-20,2240000
2019-12-19,2240000
