Date,Followers
2020-05-07,5590000
2020-05-06,5580000
2020-05-05,5580000
2020-05-04,5580000
2020-05-03,5580000
2020-05-02,5580000
2020-05-01,5580000
2020-04-30,5580000
2020-04-29,5570000
2020-04-28,5570000
2020-04-27,5570000
2020-04-26,5570000
2020-04-25,5570000
2020-04-24,5570000
2020-04-23,5560000
2020-04-22,5560000
2020-04-21,5560000
2020-04-20,5560000
2020-04-19,5560000
2020-04-18,5560000
2020-04-17,5550000
2020-04-16,5550000
2020-04-15,5550000
2020-04-14,5550000
2020-04-13,5550000
2020-04-12,5540000
2020-04-11,5540000
2020-04-10,5540000
2020-04-09,5540000
2020-04-08,5540000
2020-04-07,5530000
2020-04-06,5530000
2020-04-05,5530000
2020-04-04,5530000
2020-04-03,5520000
2020-04-02,5520000
2020-04-01,5520000
2020-03-31,5520000
2020-03-30,5520000
2020-03-29,5510000
2020-03-28,5510000
2020-03-27,5510000
2020-03-26,5510000
2020-03-25,5500000
2020-03-24,5500000
2020-03-23,5500000
2020-03-22,5500000
2020-03-21,5490000
2020-03-20,5490000
2020-03-19,5490000
2020-03-18,5480000
2020-03-17,5480000
2020-03-16,5480000
2020-03-15,5470000
2020-03-14,5470000
2020-03-13,5460000
2020-03-12,5460000
2020-03-11,5450000
2020-03-10,5450000
2020-03-09,5450000
2020-03-08,5440000
2020-03-07,5440000
2020-03-06,5430000
2020-03-05,5430000
2020-03-04,5430000
2020-03-03,5420000
2020-03-02,5420000
2020-03-01,5420000
2020-02-29,5410000
2020-02-28,5410000
2020-02-27,5400000
2020-02-26,5400000
2020-02-25,5400000
2020-02-24,5400000
2020-02-23,5390000
2020-02-22,5390000
2020-02-21,5380000
2020-02-20,5380000
2020-02-19,5380000
2020-02-18,5370000
2020-02-17,5370000
2020-02-16,5370000
2020-02-15,5360000
2020-02-14,5360000
2020-02-13,5350000
2020-02-12,5350000
2020-02-11,5350000
2020-02-10,5340000
2020-02-09,5340000
2020-02-08,5340000
2020-02-07,5330000
2020-02-06,5330000
2020-02-05,5330000
2020-02-04,5320000
2020-02-03,5320000
2020-02-02,5320000
2020-02-01,5310000
2020-01-31,5310000
2020-01-30,5300000
2020-01-29,5300000
2020-01-28,5300000
2020-01-27,5290000
2020-01-26,5290000
2020-01-25,5290000
2020-01-24,5280000
2020-01-23,5280000
2020-01-22,5270000
2020-01-21,5270000
2020-01-20,5270000
2020-01-19,5270000
2020-01-18,5260000
2020-01-17,5260000
2020-01-16,5250000
2020-01-15,5250000
2020-01-14,5240000
2020-01-13,5240000
2020-01-12,5240000
2020-01-11,5230000
2020-01-10,5230000
2020-01-09,5230000
2020-01-08,5220000
2020-01-07,5220000
2020-01-06,5220000
2020-01-05,5210000
2020-01-04,5210000
2020-01-03,5210000
2020-01-02,5200000
2020-01-01,5200000
2019-12-31,5190000
2019-12-30,5190000
2019-12-29,5180000
2019-12-28,5180000
2019-12-27,5180000
2019-12-26,5170000
2019-12-25,5170000
2019-12-24,5160000
2019-12-23,5160000
2019-12-22,5150000
2019-12-21,5150000
2019-12-20,5140000
2019-12-19,5140000
2019-12-18,5130000
2019-12-17,5130000
2019-12-16,5130000
2019-12-15,5120000
2019-12-14,5120000
2019-12-13,5110000
2019-12-12,5110000
2019-12-11,5100000
2019-12-10,5100000
2019-12-09,5100000
2019-12-08,5090000
2019-12-07,5090000
2019-12-06,5090000
2019-12-05,5080000
2019-12-04,5080000
2019-12-03,5090000
2019-12-02,5080000
2019-12-01,5080000
2019-11-30,5070000
2019-11-29,5070000
2019-11-28,5070000
2019-11-27,5060000
2019-11-26,5060000
2019-11-25,5050000
2019-11-24,5050000
2019-11-23,5040000
2019-11-22,5040000
2019-11-21,5040000
2019-11-20,5030000
2019-11-19,5030000
2019-11-18,5030000
2019-11-17,5020000
2019-11-16,5020000
2019-11-15,5010000
2019-11-14,5010000
2019-11-13,5010000
2019-11-12,5000000
2019-11-11,5000000
2019-11-10,5000000
2019-11-09,4990000
2019-11-08,4990000
2019-11-07,4980000
2019-11-06,4980000
2019-11-05,4980000
2019-11-04,4980000
2019-11-03,4970000
2019-11-02,4970000
2019-11-01,4970000
2019-10-31,4960000
2019-10-30,4960000
2019-10-29,4960000
2019-10-28,4950000
2019-10-27,4950000
2019-10-26,4950000
2019-10-25,4940000
2019-10-24,4940000
2019-10-23,4940000
2019-10-22,4930000
2019-10-21,4930000
2019-10-20,4930000
2019-10-19,4930000
2019-10-18,4920000
2019-10-17,4920000
2019-10-16,4920000
2019-10-15,4920000
2019-10-14,4910000
2019-10-13,4910000
2019-10-12,4910000
2019-10-11,4900000
2019-10-10,4900000
2019-10-09,4900000
2019-10-08,4900000
2019-10-07,4890000
2019-10-06,4890000
2019-10-05,4890000
2019-10-04,4880000
2019-10-03,4880000
2019-10-02,4880000
2019-10-01,4880000
2019-09-30,4870000
2019-09-29,4870000
2019-09-28,4870000
2019-09-27,4860000
2019-09-26,4860000
2019-09-25,4860000
2019-09-24,4860000
2019-09-23,4850000
2019-09-22,4850000
2019-09-21,4840000
2019-09-20,4840000
2019-09-19,4840000
2019-09-18,4840000
2019-09-17,4839098
2019-09-16,4836926
2019-09-15,4833672
2019-09-14,4829818
2019-09-13,4826534
2019-09-12,4824032
2019-09-11,4821528
2019-09-10,4819351
2019-09-09,4817446
2019-09-08,4814397
2019-09-07,4810780
2019-09-06,4808035
2019-09-05,4805870
2019-09-04,4803929
2019-09-03,4802163
2019-09-02,4800024
2019-09-01,4797023
2019-08-31,4793533
2019-08-30,4789768
2019-08-29,4787243
2019-08-28,4785119
2019-08-27,4783163
2019-08-26,4781115
2019-08-25,4778587
2019-08-24,4775383
2019-08-23,4772432
2019-08-22,4770969
2019-08-21,4768612
2019-08-20,4766198
2019-08-19,4763834
2019-08-18,4760979
2019-08-17,4757093
2019-08-16,4754093
2019-08-15,4751313
2019-08-14,4748924
2019-08-13,4746541
2019-08-12,4743895
2019-08-11,4741050
2019-08-10,4738365
2019-08-09,4735142
2019-08-08,4732641
2019-08-07,4729913
2019-08-06,4727344
2019-08-05,4725031
2019-08-04,4722515
2019-08-03,4719743
2019-08-02,4717049
2019-08-01,4714684
2019-07-31,4712316
2019-07-30,4710351
2019-07-29,4708115
2019-07-28,4705502
2019-07-27,4702509
