Date,Followers
2020-05-07,9330000
2020-05-06,9330000
2020-05-05,9330000
2020-05-04,9320000
2020-05-03,9320000
2020-05-02,9320000
2020-05-01,9320000
2020-04-30,9320000
2020-04-29,9320000
2020-04-28,9320000
2020-04-27,9320000
2020-04-26,9320000
2020-04-25,9320000
2020-04-24,9320000
2020-04-23,9320000
2020-04-22,9320000
2020-04-21,9320000
2020-04-20,9320000
2020-04-19,9310000
2020-04-18,9310000
2020-04-17,9310000
2020-04-16,9310000
2020-04-15,9310000
2020-04-14,9310000
2020-04-13,9310000
2020-04-12,9300000
2020-04-11,9300000
2020-04-10,9300000
2020-04-09,9300000
2020-04-08,9300000
2020-04-07,9300000
2020-04-06,9300000
2020-04-05,9300000
2020-04-04,9300000
2020-04-03,9300000
2020-04-02,9300000
2020-04-01,9300000
2020-03-31,9300000
2020-03-30,9300000
2020-03-29,9290000
2020-03-28,9290000
2020-03-27,9290000
2020-03-26,9290000
2020-03-25,9290000
2020-03-24,9290000
2020-03-23,9290000
2020-03-22,9290000
2020-03-21,9290000
2020-03-20,9290000
2020-03-19,9290000
2020-03-18,9290000
2020-03-17,9290000
2020-03-16,9290000
2020-03-15,9280000
2020-03-14,9280000
2020-03-13,9280000
2020-03-12,9280000
2020-03-11,9280000
2020-03-10,9280000
2020-03-09,9280000
2020-03-08,9280000
2020-03-07,9280000
2020-03-06,9280000
2020-03-05,9280000
2020-03-04,9280000
2020-03-03,9280000
2020-03-02,9280000
2020-03-01,9280000
2020-02-29,9280000
2020-02-28,9280000
2020-02-27,9280000
2020-02-26,9280000
2020-02-25,9280000
2020-02-24,9280000
2020-02-23,9270000
2020-02-22,9270000
2020-02-21,9270000
2020-02-20,9270000
2020-02-19,9270000
2020-02-18,9270000
2020-02-17,9270000
2020-02-16,9270000
2020-02-15,9270000
2020-02-14,9270000
2020-02-13,9270000
2020-02-12,9270000
2020-02-11,9270000
2020-02-10,9270000
2020-02-09,9270000
2020-02-08,9270000
2020-02-07,9270000
2020-02-06,9270000
2020-02-05,9270000
2020-02-04,9270000
2020-02-03,9270000
2020-02-02,9270000
2020-02-01,9260000
2020-01-31,9260000
2020-01-30,9260000
2020-01-29,9260000
2020-01-28,9260000
2020-01-27,9260000
2020-01-26,9260000
2020-01-25,9260000
2020-01-24,9260000
2020-01-23,9260000
2020-01-22,9260000
2020-01-21,9260000
2020-01-20,9260000
2020-01-19,9260000
2020-01-18,9260000
2020-01-17,9260000
2020-01-16,9260000
2020-01-15,9260000
2020-01-14,9260000
2020-01-13,9260000
2020-01-12,9260000
2020-01-11,9260000
2020-01-10,9260000
2020-01-09,9260000
2020-01-08,9260000
2020-01-07,9260000
2020-01-06,9260000
2020-01-05,9260000
2020-01-04,9260000
2020-01-03,9260000
2020-01-02,9260000
2020-01-01,9260000
2019-12-31,9260000
2019-12-30,9260000
2019-12-29,9260000
2019-12-28,9260000
2019-12-27,9260000
2019-12-26,9260000
2019-12-25,9260000
2019-12-24,9260000
2019-12-23,9260000
2019-12-22,9260000
2019-12-21,9260000
2019-12-20,9260000
2019-12-19,9260000
2019-12-18,9260000
2019-12-17,9260000
2019-12-16,9260000
2019-12-15,9260000
2019-12-14,9250000
2019-12-13,9250000
2019-12-12,9250000
2019-12-11,9250000
2019-12-10,9250000
2019-12-09,9250000
2019-12-08,9250000
2019-12-07,9250000
2019-12-06,9250000
2019-12-05,9250000
2019-12-04,9250000
2019-12-03,9320000
2019-12-02,9320000
2019-12-01,9320000
2019-11-30,9320000
2019-11-29,9320000
2019-11-28,9320000
2019-11-27,9320000
2019-11-26,9320000
2019-11-25,9320000
2019-11-24,9320000
2019-11-23,9320000
2019-11-22,9320000
2019-11-21,9320000
2019-11-20,9320000
2019-11-19,9320000
2019-11-18,9320000
2019-11-17,9320000
2019-11-16,9320000
2019-11-15,9320000
2019-11-14,9320000
2019-11-13,9320000
2019-11-12,9320000
2019-11-11,9320000
2019-11-10,9320000
2019-11-09,9320000
2019-11-08,9320000
2019-11-07,9320000
2019-11-06,9320000
2019-11-05,9320000
2019-11-04,9310000
2019-11-03,9310000
2019-11-02,9310000
2019-11-01,9300000
2019-10-31,9300000
2019-10-30,9300000
2019-10-29,9300000
2019-10-28,9300000
2019-10-27,9300000
2019-10-26,9300000
2019-10-25,9300000
2019-10-24,9300000
2019-10-23,9290000
2019-10-22,9290000
2019-10-21,9290000
2019-10-20,9280000
2019-10-19,9280000
2019-10-18,9280000
2019-10-17,9280000
2019-10-16,9280000
2019-10-15,9280000
2019-10-14,9280000
2019-10-13,9280000
2019-10-12,9270000
2019-10-11,9270000
2019-10-10,9270000
2019-10-09,9270000
2019-10-08,9270000
2019-10-07,9270000
2019-10-06,9270000
2019-10-05,9270000
2019-10-04,9270000
2019-10-03,9270000
2019-10-02,9270000
2019-10-01,9270000
2019-09-30,9270000
2019-09-29,9270000
2019-09-28,9270000
2019-09-27,9270000
2019-09-26,9270000
2019-09-25,9270000
2019-09-24,9270000
2019-09-23,9270000
2019-09-22,9270000
2019-09-21,9270000
2019-09-20,9270000
2019-09-19,9270000
2019-09-18,9270000
2019-09-17,9272260
2019-09-16,9271781
2019-09-15,9270824
2019-09-14,9270584
2019-09-13,9269997
2019-09-12,9269844
2019-09-11,9269695
2019-09-10,9268851
2019-09-09,9268316
2019-09-08,9267144
2019-09-07,9266080
2019-09-06,9266019
2019-09-05,9265285
2019-09-04,9264590
2019-09-03,9263744
2019-09-02,9262130
2019-09-01,9260169
2019-08-31,9258314
2019-08-30,9255775
2019-08-29,9254458
2019-08-28,9254292
2019-08-27,9253420
2019-08-26,9252349
2019-08-25,9251191
2019-08-24,9249723
2019-08-23,9248424
2019-08-22,9248185
2019-08-21,9247091
2019-08-20,9245763
2019-08-19,9244581
2019-08-18,9243140
2019-08-17,9241123
2019-08-16,9239602
2019-08-15,9237340
2019-08-14,9234268
2019-08-13,9226566
2019-08-12,9220527
2019-08-11,9211007
2019-08-10,9205362
2019-08-09,9196173
2019-08-08,9186232
2019-08-07,9176280
2019-08-06,9162079
2019-08-05,9157216
2019-08-04,9156028
2019-08-03,9154312
2019-08-02,9152722
2019-08-01,9151092
2019-07-31,9149288
2019-07-30,9148099
2019-07-29,9146536
2019-07-28,9144754
2019-07-27,9143029
2019-07-26,9141143
2019-07-25,9139517
2019-07-24,9138520
2019-07-23,9136782
2019-07-22,9135057
2019-07-21,9133195
2019-07-20,9131929
2019-07-19,9130432
2019-07-18,9128678
2019-07-17,9126973
2019-07-16,9125197
2019-07-15,9123428
2019-07-14,9122046
2019-07-13,9120786
