Date,Followers
2020-05-07,2971201
2020-05-06,2969084
2020-05-05,2967884
2020-05-04,2965374
2020-05-03,2963635
2020-05-02,2963426
2020-05-01,2961479
2020-04-30,2959022
2020-04-29,2957004
2020-04-28,2955385
2020-04-27,2953781
2020-04-26,2952228
2020-04-25,2952080
2020-04-24,2951040
2020-04-23,2949706
2020-04-22,2948428
2020-04-21,2947124
2020-04-20,2945630
2020-04-19,2944516
2020-04-18,2944238
2020-04-17,2946798
2020-04-16,2945196
2020-04-15,2941032
2020-04-14,2938549
2020-04-13,2935489
2020-04-12,2935175
2020-04-11,2933549
2020-04-10,2931612
2020-04-09,2928977
2020-04-08,2925874
2020-04-07,2923735
2020-04-06,2920868
2020-04-05,2920428
2020-04-04,2918625
2020-04-03,2916967
2020-04-02,2915650
2020-04-01,2913205
2020-03-31,2911327
2020-03-30,2910288
2020-03-29,2910185
2020-03-28,2909623
2020-03-27,2909535
2020-03-26,2909083
2020-03-25,2898208
2020-03-24,2896898
2020-03-23,2896426
2020-03-22,2896378
2020-03-21,2895829
2020-03-20,2895634
2020-03-19,2894966
2020-03-18,2894906
2020-03-17,2894337
2020-03-16,2893661
2020-03-15,2893484
2020-03-14,2893024
2020-03-13,2892824
2020-03-12,2892431
2020-03-11,2891738
2020-03-10,2890366
2020-03-09,2890365
2020-03-08,2888323
2020-03-07,2888324
2020-03-06,2888337
2020-03-05,2888337
2020-03-04,2888181
2020-03-03,2888219
2020-03-02,2888238
2020-03-01,2888259
2020-02-29,2888250
2020-02-28,2888252
2020-02-27,2888140
2020-02-26,2887753
2020-02-25,2887734
2020-02-24,2887416
2020-02-23,2887342
2020-02-22,2887412
2020-02-21,2887444
2020-02-20,2887505
2020-02-19,2887570
2020-02-18,2887415
2020-02-17,2887055
2020-02-16,2886287
2020-02-15,2885453
2020-02-14,2884952
2020-02-13,2884391
2020-02-12,2883889
2020-02-11,2883969
2020-02-10,2884013
2020-02-09,2884076
2020-02-08,2884122
2020-02-07,2884164
2020-02-06,2884219
2020-02-05,2884243
2020-02-04,2884257
2020-02-03,2884208
2020-02-02,2884154
2020-02-01,2884188
2020-01-31,2884190
2020-01-30,2884201
2020-01-29,2884168
2020-01-28,2884163
2020-01-27,2884108
2020-01-26,2884015
2020-01-25,2883844
2020-01-24,2883425
2020-01-23,2883416
2020-01-22,2883381
2020-01-21,2883223
2020-01-20,2883132
2020-01-19,2883155
2020-01-18,2883188
2020-01-17,2883223
2020-01-16,2882987
2020-01-15,2883013
2020-01-14,2882739
2020-01-13,2882593
2020-01-12,2882619
2020-01-11,2882600
