Date,Youtube,Twitter,Twitch
2017-12-22,6050132,693436.0,109562.0
2017-12-23,6058669,693101.0,109582.0
2017-12-24,6068275,693046.0,109612.0
2017-12-25,6076554,692812.0,109627.0
2017-12-26,6084896,692636.0,109647.0
2017-12-27,6093227,692614.0,109665.0
2017-12-28,6102805,695560.0,109704.0
2017-12-29,6108678,703000.0,109739.0
2017-12-30,6119895,702727.0,109785.0
2017-12-31,6129567,702472.0,109819.0
2018-01-01,6137762,701809.0,109850.0
2018-01-02,6145803,701678.0,109883.0
2018-01-03,6154505,702137.0,109926.0
2018-01-04,6161792,704037.0,109958.0
2018-01-05,6168207,711861.0,109985.0
2018-01-06,6176325,712537.0,110031.0
2018-01-07,6185599,713293.0,110069.0
2018-01-08,6195056,714207.0,110120.0
2018-01-09,6200967,716283.0,110143.0
2018-01-10,6206251,718057.0,110172.0
2018-01-11,6211215,720196.0,110209.0
2018-01-12,6211396,725848.0,110218.0
2018-01-13,6216244,725731.0,110261.0
2018-01-14,6223881,726328.0,110294.0
2018-01-15,6232889,727387.0,110343.0
2018-01-16,6244227,728389.0,110390.0
2018-01-17,6253409,729205.0,110424.0
2018-01-18,6261170,730065.0,110461.0
2018-01-19,6271457,736320.0,110499.0
2018-01-20,6277644,736056.0,110530.0
2018-01-21,6287098,737093.0,110581.0
2018-01-22,6296477,738051.0,110639.0
2018-01-23,6302048,738077.0,110664.0
2018-01-24,6308294,738257.0,110713.0
2018-01-25,6312653,738694.0,110753.0
2018-01-26,6319663,741801.0,110798.0
2018-01-27,6325393,742892.0,110842.0
2018-01-28,6336019,743901.0,110899.0
2018-01-29,6345354,744605.0,110952.0
2018-01-30,6351871,742643.0,111021.0
2018-01-31,6355909,739512.0,111077.0
2018-02-01,6359929,740468.0,111122.0
2018-02-02,6363987,737742.0,111160.0
2018-02-03,6370044,738816.0,111227.0
2018-02-04,6380582,743384.0,111284.0
2018-02-05,6391353,743995.0,111349.0
2018-02-06,6396498,744931.0,111402.0
2018-02-07,6402675,746024.0,111430.0
2018-02-08,6408083,747198.0,111479.0
2018-02-09,6414793,748224.0,111528.0
2018-02-10,6422338,747747.0,111561.0
2018-02-11,6431021,751318.0,111642.0
2018-02-12,6439045,753810.0,111711.0
2018-02-13,6444391,752792.0,111765.0
2018-02-14,6448931,752898.0,111797.0
2018-02-15,6453890,752845.0,111846.0
2018-02-16,6459118,750271.0,111892.0
2018-02-17,6465027,751101.0,111940.0
2018-02-18,6472814,751231.0,112003.0
2018-02-19,6480549,751840.0,112086.0
2018-02-20,6486406,752807.0,112147.0
2018-02-21,6491179,752625.0,112218.0
2018-02-22,6494934,753956.0,112259.0
2018-02-23,6499910,754936.0,112307.0
2018-02-24,6505441,756160.0,112353.0
2018-02-25,6512166,757678.0,112395.0
2018-02-26,6519182,758385.0,112445.0
2018-02-27,6523341,759670.0,112485.0
2018-02-28,6526590,759950.0,112531.0
2018-03-01,6530183,761447.0,112608.0
2018-03-02,6534907,760675.0,112703.0
2018-03-03,6539885,762162.0,112803.0
2018-03-04,6547179,764154.0,112925.0
2018-03-05,6553828,766017.0,113009.0
2018-03-06,6558320,767888.0,113090.0
2018-03-07,6562410,769536.0,113135.0
2018-03-08,6566919,770863.0,113188.0
2018-03-09,6574034,772061.0,113240.0
2018-03-10,6578928,773143.0,113312.0
2018-03-11,6587214,774489.0,113395.0
2018-03-12,6595873,775865.0,113475.0
2018-03-13,6600711,777652.0,113547.0
2018-03-14,6605842,779066.0,113598.0
2018-03-15,6610442,780573.0,113676.0
2018-03-16,6618403,784759.0,113752.0
2018-03-17,6624682,786810.0,113787.0
2018-03-18,6632795,788593.0,113837.0
2018-03-19,6640191,790349.0,113914.0
2018-03-20,6644676,791522.0,114008.0
2018-03-21,6647228,792792.0,114055.0
2018-03-22,6651262,794230.0,114103.0
2018-03-23,6654855,796035.0,114138.0
2018-03-24,6659218,797590.0,114181.0
2018-03-25,6666065,799091.0,114228.0
2018-03-26,6672918,800624.0,114261.0
2018-03-27,6678492,802375.0,114303.0
2018-03-28,6684321,803985.0,114332.0
2018-03-29,6689751,805965.0,114373.0
2018-03-30,6696797,807702.0,114409.0
2018-03-31,6703590,809439.0,114442.0
2018-04-01,6710019,811046.0,114482.0
2018-04-02,6718501,812523.0,114511.0
2018-04-03,6724128,813596.0,114562.0
2018-04-04,6729714,814024.0,114601.0
2018-04-05,6735594,815028.0,114627.0
2018-04-06,6739873,815781.0,114674.0
2018-04-07,6746182,817051.0,114711.0
2018-04-08,6753012,818036.0,114773.0
2018-04-09,6760675,819335.0,114849.0
2018-04-10,6764958,820690.0,114881.0
2018-04-11,6769082,822119.0,114922.0
2018-04-12,6773899,823842.0,114957.0
2018-04-13,6778560,825379.0,114976.0
2018-04-14,6782057,826614.0,115007.0
2018-04-15,6787638,828201.0,115052.0
2018-04-16,6793559,829813.0,115096.0
2018-04-17,6797709,831211.0,115119.0
2018-04-18,6801184,831443.0,115136.0
2018-04-19,6804480,832367.0,115191.0
2018-04-20,6807555,832926.0,115206.0
2018-04-21,6811689,833420.0,115221.0
2018-04-22,6817337,834021.0,115260.0
2018-04-23,6823367,834581.0,115292.0
2018-04-24,6828025,836818.0,115308.0
2018-04-25,6832311,837849.0,115326.0
2018-04-26,6836457,838271.0,115338.0
2018-04-27,6840214,838359.0,115358.0
2018-04-28,6842363,838722.0,115366.0
2018-04-29,6838334,839113.0,115407.0
2018-04-30,6843783,839503.0,115434.0
2018-05-01,6847100,838893.0,115444.0
2018-05-02,6860360,836887.0,115471.0
2018-05-03,6867710,837382.0,115494.0
2018-05-04,6872075,837642.0,115502.0
2018-05-05,6876011,837461.0,115520.0
2018-05-06,6880668,837431.0,115538.0
2018-05-07,6887376,837799.0,115551.0
2018-05-08,6891656,838010.0,115561.0
2018-05-09,6899872,838118.0,115586.0
2018-05-10,6903500,838400.0,115610.0
2018-05-11,6907123,838827.0,115628.0
2018-05-12,6912589,837707.0,115714.0
2018-05-13,6919457,840480.0,115747.0
2018-05-14,6924766,842011.0,115782.0
2018-05-15,6929597,839422.0,115802.0
2018-05-16,6933937,838423.0,115828.0
2018-05-17,6938707,837064.0,115861.0
2018-05-18,6947835,835683.0,115898.0
2018-05-19,6954679,836885.0,116244.0
2018-05-20,6968054,838620.0,116409.0
2018-05-21,6976240,838684.0,116473.0
2018-05-22,6980246,838963.0,116505.0
