Date,Followers
2020-05-07,129063
2020-05-06,129018
2020-05-05,128995
2020-05-04,128964
2020-05-03,128937
2020-05-02,128913
2020-05-01,128888
2020-04-30,128842
2020-04-29,128798
2020-04-28,128774
2020-04-27,128733
2020-04-26,128710
2020-04-25,128678
2020-04-24,128632
2020-04-23,128595
2020-04-22,128509
2020-04-21,128472
2020-04-20,128438
2020-04-19,128404
2020-04-18,128367
2020-04-17,128350
2020-04-16,128320
2020-04-15,128285
2020-04-14,128251
2020-04-13,128228
2020-04-12,128214
2020-04-11,128192
2020-04-10,128170
2020-04-09,128158
2020-04-08,128116
2020-04-07,128080
2020-04-06,128054
2020-04-05,128042
2020-04-04,128005
2020-04-03,127981
2020-04-02,127954
2020-04-01,127934
2020-03-31,127904
2020-03-30,127880
2020-03-29,127864
2020-03-28,127835
2020-03-27,127816
2020-03-26,127777
2020-03-25,127741
2020-03-24,127716
2020-03-23,127681
2020-03-22,127651
2020-03-21,127619
2020-03-20,127594
2020-03-19,127575
2020-03-18,127545
2020-03-17,127532
2020-03-16,127518
2020-03-15,127510
2020-03-14,127497
2020-03-13,127494
2020-03-12,127482
2020-03-11,127472
2020-03-10,127458
2020-03-09,127443
2020-03-08,127443
2020-03-07,127422
2020-03-06,127414
2020-03-05,127407
2020-03-04,127397
2020-03-03,127393
2020-03-02,127379
2020-03-01,127376
2020-02-29,127363
2020-02-28,127361
2020-02-27,127354
2020-02-26,127354
2020-02-25,127346
2020-02-24,127346
2020-02-23,127342
2020-02-22,127333
2020-02-21,127325
2020-02-20,127318
2020-02-19,127311
2020-02-18,127303
2020-02-17,127298
2020-02-16,127289
2020-02-15,127283
2020-02-14,127276
2020-02-13,127272
2020-02-12,127263
2020-02-11,127257
2020-02-10,127254
2020-02-09,127243
2020-02-08,127237
2020-02-07,127230
2020-02-06,127228
2020-02-05,127220
2020-02-04,127213
2020-02-03,127205
2020-02-02,127200
2020-02-01,127186
2020-01-31,127178
2020-01-30,127174
2020-01-29,127171
2020-01-28,127161
2020-01-27,127147
2020-01-26,127131
2020-01-25,127129
2020-01-24,127121
2020-01-23,127110
2020-01-22,127097
2020-01-21,127090
2020-01-20,127085
2020-01-19,127066
2020-01-18,127042
2020-01-17,127032
2020-01-16,127021
2020-01-15,127011
2020-01-14,127009
2020-01-13,127004
2020-01-12,126982
2020-01-11,126965
2020-01-10,126960
2020-01-09,126955
2020-01-08,126949
2020-01-07,126944
2020-01-06,126939
2020-01-05,126933
2020-01-04,126919
2020-01-03,126909
2020-01-02,126881
2020-01-01,126872
2019-12-31,126850
2019-12-30,126833
2019-12-29,126814
2019-12-28,126797
2019-12-27,126786
2019-12-26,126780
2019-12-25,126775
2019-12-24,126763
2019-12-23,126748
2019-12-22,126735
2019-12-21,126724
2019-12-20,126717
2019-12-19,126715
2019-12-18,126705
2019-12-17,126688
2019-12-16,126678
2019-12-15,126667
2019-12-14,126648
2019-12-13,126631
2019-12-12,126627
2019-12-11,126612
2019-12-10,126612
2019-12-09,126611
2019-12-08,126596
2019-12-07,126591
2019-12-06,126582
2019-12-05,126576
2019-12-04,126562
2019-12-03,126558
2019-12-02,126557
2019-12-01,126549
2019-11-30,126534
2019-11-29,126527
2019-11-28,126519
2019-11-27,126519
2019-11-26,126514
2019-11-25,126506
2019-11-24,126500
2019-11-23,126492
2019-11-22,126487
2019-11-21,126484
2019-11-20,126482
2019-11-19,126476
2019-11-18,126469
2019-11-17,126461
2019-11-16,126455
2019-11-15,126453
2019-11-14,126452
2019-11-13,126443
2019-11-12,126437
2019-11-11,126439
2019-11-10,126426
2019-11-09,126419
2019-11-08,126413
2019-11-07,126414
2019-11-06,126397
2019-11-05,126407
