Date,Followers
2020-05-07,9200000
2020-05-06,9200000
2020-05-05,9190000
2020-05-04,9190000
2020-05-03,9180000
2020-05-02,9180000
2020-05-01,9170000
2020-04-30,9170000
2020-04-29,9160000
2020-04-28,9160000
2020-04-27,9150000
2020-04-26,9150000
2020-04-25,9150000
2020-04-24,9140000
2020-04-23,9130000
2020-04-22,9130000
2020-04-21,9120000
2020-04-20,9110000
2020-04-19,9110000
2020-04-18,9110000
2020-04-17,9100000
2020-04-16,9100000
2020-04-15,9100000
2020-04-14,9090000
2020-04-13,9090000
2020-04-12,9090000
2020-04-11,9080000
2020-04-10,9080000
2020-04-09,9070000
2020-04-08,9070000
2020-04-07,9070000
2020-04-06,9060000
2020-04-05,9060000
2020-04-04,9060000
2020-04-03,9050000
2020-04-02,9050000
2020-04-01,9040000
2020-03-31,9040000
2020-03-30,9040000
2020-03-29,9030000
2020-03-28,9030000
2020-03-27,9020000
2020-03-26,9020000
2020-03-25,9020000
2020-03-24,9010000
2020-03-23,9010000
2020-03-22,9010000
2020-03-21,9000000
2020-03-20,9000000
2020-03-19,9000000
2020-03-18,8990000
2020-03-17,8980000
2020-03-16,8980000
2020-03-15,8980000
2020-03-14,8980000
2020-03-13,8970000
2020-03-12,8970000
2020-03-11,8970000
2020-03-10,8970000
2020-03-09,8970000
2020-03-08,8960000
2020-03-07,8960000
2020-03-06,8950000
2020-03-05,8950000
2020-03-04,8950000
2020-03-03,8950000
2020-03-02,8940000
2020-03-01,8940000
2020-02-29,8940000
2020-02-28,8940000
2020-02-27,8930000
2020-02-26,8930000
2020-02-25,8930000
2020-02-24,8930000
2020-02-23,8930000
2020-02-22,8930000
2020-02-21,8920000
2020-02-20,8910000
2020-02-19,8910000
2020-02-18,8910000
2020-02-17,8910000
2020-02-16,8910000
2020-02-15,8910000
2020-02-14,8900000
2020-02-13,8900000
2020-02-12,8900000
2020-02-11,8900000
2020-02-10,8900000
2020-02-09,8900000
2020-02-08,8900000
2020-02-07,8900000
2020-02-06,8890000
2020-02-05,8890000
2020-02-04,8890000
2020-02-03,8890000
2020-02-02,8890000
2020-02-01,8890000
2020-01-31,8890000
2020-01-30,8890000
2020-01-29,8890000
2020-01-28,8890000
2020-01-27,8880000
2020-01-26,8880000
2020-01-25,8880000
2020-01-24,8880000
2020-01-23,8880000
2020-01-22,8880000
2020-01-21,8880000
2020-01-20,8880000
2020-01-19,8870000
2020-01-18,8870000
2020-01-17,8870000
2020-01-16,8870000
2020-01-15,8870000
2020-01-14,8870000
2020-01-13,8870000
2020-01-12,8860000
2020-01-11,8860000
2020-01-10,8860000
2020-01-09,8860000
2020-01-08,8860000
2020-01-07,8860000
2020-01-06,8860000
2020-01-05,8850000
2020-01-04,8850000
2020-01-03,8850000
2020-01-02,8850000
2020-01-01,8850000
2019-12-31,8840000
2019-12-30,8840000
2019-12-29,8840000
2019-12-28,8840000
2019-12-27,8840000
2019-12-26,8830000
2019-12-25,8830000
2019-12-24,8830000
2019-12-23,8830000
2019-12-22,8820000
2019-12-21,8820000
2019-12-20,8820000
2019-12-19,8820000
2019-12-18,8820000
2019-12-17,8810000
2019-12-16,8810000
2019-12-15,8810000
2019-12-14,8800000
2019-12-13,8800000
2019-12-12,8790000
2019-12-11,8790000
2019-12-10,8790000
2019-12-09,8790000
2019-12-08,8790000
2019-12-07,8790000
2019-12-06,8790000
2019-12-05,8790000
2019-12-04,8780000
2019-12-03,8830000
2019-12-02,8830000
