Date,Followers
2020-05-07,2810000
2020-05-06,2810000
2020-05-05,2810000
2020-05-04,2810000
2020-05-03,2810000
2020-05-02,2810000
2020-05-01,2800000
2020-04-30,2800000
2020-04-29,2800000
2020-04-28,2800000
2020-04-27,2800000
2020-04-26,2800000
2020-04-25,2800000
2020-04-24,2790000
2020-04-23,2790000
2020-04-22,2790000
2020-04-21,2790000
2020-04-20,2790000
2020-04-19,2780000
2020-04-18,2780000
2020-04-17,2780000
2020-04-16,2780000
2020-04-15,2780000
2020-04-14,2770000
2020-04-13,2770000
2020-04-12,2770000
2020-04-11,2770000
2020-04-10,2770000
2020-04-09,2760000
2020-04-08,2760000
2020-04-07,2760000
2020-04-06,2760000
2020-04-05,2760000
2020-04-04,2760000
2020-04-03,2760000
2020-04-02,2750000
2020-04-01,2750000
2020-03-31,2750000
2020-03-30,2750000
2020-03-29,2750000
2020-03-28,2740000
2020-03-27,2740000
2020-03-26,2740000
2020-03-25,2740000
2020-03-24,2740000
2020-03-23,2740000
2020-03-22,2740000
2020-03-21,2740000
2020-03-20,2740000
2020-03-19,2730000
2020-03-18,2730000
2020-03-17,2730000
2020-03-16,2730000
2020-03-15,2730000
2020-03-14,2730000
2020-03-13,2730000
2020-03-12,2730000
2020-03-11,2730000
2020-03-10,2730000
2020-03-09,2730000
2020-03-08,2730000
2020-03-07,2730000
2020-03-06,2720000
2020-03-05,2720000
2020-03-04,2720000
2020-03-03,2720000
2020-03-02,2720000
2020-03-01,2720000
2020-02-29,2720000
2020-02-28,2720000
2020-02-27,2720000
2020-02-26,2720000
2020-02-25,2720000
2020-02-24,2710000
2020-02-23,2710000
2020-02-22,2710000
2020-02-21,2710000
2020-02-20,2710000
2020-02-19,2710000
2020-02-18,2710000
2020-02-17,2710000
2020-02-16,2710000
2020-02-15,2710000
2020-02-14,2710000
2020-02-13,2710000
2020-02-12,2700000
2020-02-11,2700000
2020-02-10,2700000
2020-02-09,2700000
2020-02-08,2700000
2020-02-07,2700000
2020-02-06,2700000
2020-02-05,2700000
2020-02-04,2700000
2020-02-03,2700000
2020-02-02,2690000
2020-02-01,2690000
2020-01-31,2690000
2020-01-30,2690000
2020-01-29,2690000
2020-01-28,2690000
2020-01-27,2690000
2020-01-26,2690000
2020-01-25,2690000
2020-01-24,2690000
2020-01-23,2690000
2020-01-22,2690000
2020-01-21,2680000
2020-01-20,2680000
2020-01-19,2680000
2020-01-18,2680000
2020-01-17,2680000
2020-01-16,2680000
2020-01-15,2680000
2020-01-14,2680000
2020-01-13,2680000
2020-01-12,2670000
2020-01-11,2670000
2020-01-10,2670000
2020-01-09,2670000
2020-01-08,2670000
2020-01-07,2670000
2020-01-06,2670000
2020-01-05,2660000
2020-01-04,2660000
2020-01-03,2660000
2020-01-02,2660000
2020-01-01,2660000
2019-12-31,2660000
2019-12-30,2660000
2019-12-29,2660000
2019-12-28,2650000
2019-12-27,2650000
2019-12-26,2650000
2019-12-25,2650000
2019-12-24,2650000
2019-12-23,2650000
2019-12-22,2650000
2019-12-21,2650000
2019-12-20,2650000
2019-12-19,2650000
2019-12-18,2650000
2019-12-17,2650000
2019-12-16,2650000
2019-12-15,2640000
2019-12-14,2640000
2019-12-13,2640000
2019-12-12,2640000
2019-12-11,2640000
2019-12-10,2640000
2019-12-09,2640000
2019-12-08,2640000
2019-12-07,2640000
2019-12-06,2630000
2019-12-05,2630000
2019-12-04,2630000
2019-12-03,2640000
2019-12-02,2640000
2019-12-01,2640000
2019-11-30,2630000
2019-11-29,2630000
2019-11-28,2630000
2019-11-27,2630000
2019-11-26,2630000
2019-11-25,2620000
2019-11-24,2620000
2019-11-23,2610000
2019-11-22,2610000
2019-11-21,2600000
2019-11-20,2600000
2019-11-19,2590000
2019-11-18,2590000
2019-11-17,2590000
2019-11-16,2590000
2019-11-15,2590000
2019-11-14,2590000
2019-11-13,2580000
2019-11-12,2580000
2019-11-11,2580000
2019-11-10,2580000
2019-11-09,2580000
2019-11-08,2580000
2019-11-07,2580000
2019-11-06,2580000
2019-11-05,2580000
2019-11-04,2580000
2019-11-03,2580000
2019-11-02,2580000
2019-11-01,2580000
2019-10-31,2580000
2019-10-30,2580000
2019-10-29,2570000
2019-10-28,2570000
2019-10-27,2570000
2019-10-26,2570000
2019-10-25,2570000
2019-10-24,2570000
2019-10-23,2570000
2019-10-22,2570000
2019-10-21,2570000
2019-10-20,2570000
2019-10-19,2560000
2019-10-18,2560000
2019-10-17,2560000
2019-10-16,2560000
2019-10-15,2560000
2019-10-14,2560000
2019-10-13,2560000
2019-10-12,2560000
2019-10-11,2560000
2019-10-10,2560000
2019-10-09,2560000
2019-10-08,2560000
2019-10-07,2560000
2019-10-06,2550000
2019-10-05,2550000
2019-10-04,2550000
2019-10-03,2550000
2019-10-02,2550000
2019-10-01,2550000
2019-09-30,2550000
2019-09-29,2550000
2019-09-28,2550000
2019-09-27,2550000
2019-09-26,2550000
2019-09-25,2540000
2019-09-24,2540000
2019-09-23,2540000
2019-09-22,2540000
2019-09-21,2540000
2019-09-20,2540000
2019-09-19,2540000
2019-09-18,2540000
2019-09-17,2543316
2019-09-16,2542680
2019-09-15,2541896
2019-09-14,2541225
2019-09-13,2540585
2019-09-12,2539886
2019-09-11,2538807
2019-09-10,2537663
2019-09-09,2536207
