Date,Followers
2020-05-07,1530000
2020-05-06,1530000
2020-05-05,1520000
2020-05-04,1520000
2020-05-03,1520000
2020-05-02,1520000
2020-05-01,1520000
2020-04-30,1520000
2020-04-29,1520000
2020-04-28,1520000
2020-04-27,1520000
2020-04-26,1520000
2020-04-25,1520000
2020-04-24,1520000
2020-04-23,1520000
2020-04-22,1510000
2020-04-21,1510000
2020-04-20,1510000
2020-04-19,1510000
2020-04-18,1510000
2020-04-17,1510000
2020-04-16,1510000
2020-04-15,1510000
2020-04-14,1510000
2020-04-13,1510000
2020-04-12,1500000
2020-04-11,1500000
2020-04-10,1500000
2020-04-09,1500000
2020-04-08,1500000
2020-04-07,1500000
2020-04-06,1500000
2020-04-05,1500000
2020-04-04,1500000
2020-04-03,1500000
2020-04-02,1500000
2020-04-01,1490000
2020-03-31,1490000
2020-03-30,1490000
2020-03-29,1490000
2020-03-28,1490000
2020-03-27,1490000
2020-03-26,1490000
2020-03-25,1490000
2020-03-24,1490000
2020-03-23,1490000
2020-03-22,1490000
2020-03-21,1490000
2020-03-20,1480000
2020-03-19,1480000
2020-03-18,1480000
2020-03-17,1480000
2020-03-16,1480000
2020-03-15,1480000
2020-03-14,1480000
2020-03-13,1480000
2020-03-12,1480000
2020-03-11,1480000
2020-03-10,1480000
2020-03-09,1480000
2020-03-08,1470000
2020-03-07,1470000
2020-03-06,1470000
2020-03-05,1470000
2020-03-04,1470000
2020-03-03,1470000
2020-03-02,1470000
2020-03-01,1470000
2020-02-29,1470000
2020-02-28,1470000
2020-02-27,1470000
2020-02-26,1470000
2020-02-25,1470000
2020-02-24,1470000
2020-02-23,1460000
2020-02-22,1460000
2020-02-21,1460000
2020-02-20,1460000
2020-02-19,1460000
2020-02-18,1460000
2020-02-17,1460000
2020-02-16,1460000
2020-02-15,1460000
2020-02-14,1460000
2020-02-13,1460000
2020-02-12,1460000
2020-02-11,1460000
2020-02-10,1460000
2020-02-09,1460000
2020-02-08,1450000
2020-02-07,1450000
2020-02-06,1450000
2020-02-05,1450000
2020-02-04,1450000
2020-02-03,1450000
2020-02-02,1450000
2020-02-01,1450000
2020-01-31,1450000
2020-01-30,1450000
2020-01-29,1450000
2020-01-28,1450000
2020-01-27,1450000
2020-01-26,1450000
2020-01-25,1440000
2020-01-24,1440000
2020-01-23,1440000
2020-01-22,1440000
2020-01-21,1440000
2020-01-20,1440000
2020-01-19,1440000
2020-01-18,1440000
2020-01-17,1430000
2020-01-16,1430000
2020-01-15,1430000
2020-01-14,1430000
2020-01-13,1430000
2020-01-12,1430000
2020-01-11,1430000
2020-01-10,1430000
2020-01-09,1430000
2020-01-08,1430000
2020-01-07,1430000
2020-01-06,1420000
2020-01-05,1420000
2020-01-04,1420000
2020-01-03,1420000
2020-01-02,1420000
2020-01-01,1420000
2019-12-31,1420000
2019-12-30,1420000
2019-12-29,1420000
2019-12-28,1420000
2019-12-27,1420000
2019-12-26,1410000
2019-12-25,1410000
2019-12-24,1410000
2019-12-23,1410000
2019-12-22,1410000
2019-12-21,1410000
2019-12-20,1410000
2019-12-19,1400000
2019-12-18,1400000
2019-12-17,1400000
2019-12-16,1400000
2019-12-15,1390000
2019-12-14,1390000
2019-12-13,1390000
2019-12-12,1390000
2019-12-11,1390000
2019-12-10,1390000
2019-12-09,1390000
2019-12-08,1380000
2019-12-07,1380000
2019-12-06,1380000
2019-12-05,1380000
2019-12-04,1380000
2019-12-03,1380000
2019-12-02,1380000
2019-12-01,1380000
2019-11-30,1380000
2019-11-29,1380000
2019-11-28,1380000
2019-11-27,1380000
2019-11-26,1380000
2019-11-25,1380000
2019-11-24,1370000
2019-11-23,1370000
2019-11-22,1370000
2019-11-21,1370000
2019-11-20,1370000
2019-11-19,1370000
2019-11-18,1370000
2019-11-17,1370000
2019-11-16,1370000
2019-11-15,1370000
2019-11-14,1360000
2019-11-13,1360000
2019-11-12,1360000
2019-11-11,1360000
2019-11-10,1360000
2019-11-09,1360000
2019-11-08,1360000
2019-11-07,1360000
2019-11-06,1360000
2019-11-05,1360000
2019-11-04,1360000
2019-11-03,1360000
2019-11-02,1360000
2019-11-01,1360000
2019-10-31,1360000
2019-10-30,1360000
2019-10-29,1350000
2019-10-28,1350000
2019-10-27,1350000
2019-10-26,1350000
2019-10-25,1350000
2019-10-24,1350000
2019-10-23,1350000
2019-10-22,1350000
2019-10-21,1350000
2019-10-20,1350000
2019-10-19,1350000
2019-10-18,1350000
2019-10-17,1350000
2019-10-16,1340000
2019-10-15,1340000
2019-10-14,1340000
2019-10-13,1340000
2019-10-12,1340000
2019-10-11,1340000
2019-10-10,1340000
2019-10-09,1340000
2019-10-08,1340000
2019-10-07,1340000
2019-10-06,1340000
2019-10-05,1340000
2019-10-04,1330000
2019-10-03,1330000
2019-10-02,1330000
2019-10-01,1330000
2019-09-30,1330000
2019-09-29,1330000
2019-09-28,1330000
2019-09-27,1330000
2019-09-26,1330000
2019-09-25,1330000
2019-09-24,1330000
2019-09-23,1330000
2019-09-22,1330000
2019-09-21,1320000
2019-09-20,1320000
2019-09-19,1320000
2019-09-18,1320000
2019-09-17,1325239
2019-09-16,1324484
2019-09-15,1323559
2019-09-14,1322747
2019-09-13,1322086
2019-09-12,1321486
2019-09-11,1320866
2019-09-10,1320245
2019-09-09,1319346
2019-09-08,1318187
2019-09-07,1316884
2019-09-06,1316011
2019-09-05,1315156
2019-09-04,1314213
2019-09-03,1313288
2019-09-02,1312314
2019-09-01,1311346
2019-08-31,1310252
2019-08-30,1309086
2019-08-29,1307950
2019-08-28,1306824
2019-08-27,1305587
2019-08-26,1304320
2019-08-25,1302929
2019-08-24,1301490
2019-08-23,1300195
2019-08-22,1299390
2019-08-21,1298327
2019-08-20,1297144
2019-08-19,1295886
2019-08-18,1294537
2019-08-17,1293182
2019-08-16,1292059
2019-08-15,1291011
2019-08-14,1289978
