Date,Followers
2020-05-07,1340000
2020-05-06,1340000
2020-05-05,1340000
2020-05-04,1340000
2020-05-03,1340000
2020-05-02,1340000
2020-05-01,1340000
2020-04-30,1340000
2020-04-29,1340000
2020-04-28,1340000
2020-04-27,1330000
2020-04-26,1330000
2020-04-25,1330000
2020-04-24,1320000
2020-04-23,1320000
2020-04-22,1320000
2020-04-21,1320000
2020-04-20,1320000
2020-04-19,1320000
2020-04-18,1320000
2020-04-17,1320000
2020-04-16,1320000
2020-04-15,1320000
2020-04-14,1320000
2020-04-13,1320000
2020-04-12,1320000
2020-04-11,1310000
2020-04-10,1310000
2020-04-09,1310000
2020-04-08,1310000
2020-04-07,1310000
2020-04-06,1310000
2020-04-05,1310000
2020-04-04,1310000
2020-04-03,1310000
2020-04-02,1310000
2020-04-01,1310000
2020-03-31,1300000
2020-03-30,1300000
2020-03-29,1300000
2020-03-28,1300000
2020-03-27,1300000
2020-03-26,1300000
2020-03-25,1300000
2020-03-24,1300000
2020-03-23,1300000
2020-03-22,1300000
2020-03-21,1300000
2020-03-20,1300000
2020-03-19,1300000
2020-03-18,1300000
2020-03-17,1290000
2020-03-16,1290000
2020-03-15,1290000
2020-03-14,1290000
2020-03-13,1290000
2020-03-12,1290000
2020-03-11,1290000
2020-03-10,1290000
2020-03-09,1290000
2020-03-08,1280000
2020-03-07,1280000
2020-03-06,1280000
2020-03-05,1280000
2020-03-04,1280000
2020-03-03,1280000
2020-03-02,1280000
2020-03-01,1280000
2020-02-29,1280000
2020-02-28,1280000
2020-02-27,1280000
2020-02-26,1280000
2020-02-25,1280000
2020-02-24,1270000
2020-02-23,1270000
2020-02-22,1270000
2020-02-21,1270000
2020-02-20,1270000
2020-02-19,1270000
2020-02-18,1270000
2020-02-17,1270000
2020-02-16,1270000
2020-02-15,1270000
2020-02-14,1270000
2020-02-13,1260000
2020-02-12,1260000
2020-02-11,1260000
2020-02-10,1260000
2020-02-09,1260000
2020-02-08,1260000
2020-02-07,1260000
2020-02-06,1260000
2020-02-05,1250000
2020-02-04,1250000
2020-02-03,1250000
2020-02-02,1250000
2020-02-01,1250000
2020-01-31,1250000
2020-01-30,1250000
2020-01-29,1250000
2020-01-28,1250000
2020-01-27,1240000
2020-01-26,1240000
2020-01-25,1240000
2020-01-24,1240000
2020-01-23,1240000
2020-01-22,1240000
2020-01-21,1230000
2020-01-20,1230000
2020-01-19,1230000
2020-01-18,1230000
2020-01-17,1230000
2020-01-16,1230000
2020-01-15,1230000
2020-01-14,1220000
2020-01-13,1220000
2020-01-12,1220000
2020-01-11,1220000
2020-01-10,1210000
2020-01-09,1210000
2020-01-08,1210000
2020-01-07,1210000
2020-01-06,1210000
2020-01-05,1210000
2020-01-04,1200000
2020-01-03,1200000
2020-01-02,1200000
2020-01-01,1200000
2019-12-31,1190000
2019-12-30,1180000
2019-12-29,1170000
2019-12-28,1170000
2019-12-27,1160000
2019-12-26,1160000
2019-12-25,1160000
2019-12-24,1160000
2019-12-23,1160000
2019-12-22,1150000
2019-12-21,1150000
2019-12-20,1150000
2019-12-19,1150000
2019-12-18,1150000
2019-12-17,1150000
2019-12-16,1150000
2019-12-15,1140000
2019-12-14,1140000
2019-12-13,1140000
2019-12-12,1140000
2019-12-11,1140000
2019-12-10,1140000
2019-12-09,1140000
2019-12-08,1140000
2019-12-07,1140000
2019-12-06,1130000
2019-12-05,1130000
2019-12-04,1130000
2019-12-03,1130000
2019-12-02,1130000
2019-12-01,1120000
2019-11-30,1120000
2019-11-29,1120000
2019-11-28,1120000
2019-11-27,1110000
2019-11-26,1110000
2019-11-25,1110000
2019-11-24,1110000
2019-11-23,1110000
2019-11-22,1110000
2019-11-21,1110000
2019-11-20,1100000
2019-11-19,1100000
2019-11-18,1100000
2019-11-17,1100000
2019-11-16,1100000
2019-11-15,1100000
2019-11-14,1100000
2019-11-13,1100000
2019-11-12,1100000
2019-11-11,1100000
2019-11-10,1100000
2019-11-09,1100000
2019-11-08,1090000
2019-11-07,1090000
2019-11-06,1090000
2019-11-05,1090000
2019-11-04,1090000
2019-11-03,1090000
2019-11-02,1090000
2019-11-01,1090000
2019-10-31,1090000
2019-10-30,1090000
2019-10-29,1080000
2019-10-28,1080000
2019-10-27,1080000
2019-10-26,1080000
