Date,Followers
2020-05-08,18578056
2020-05-07,18581918
2020-05-06,18586942
2020-05-05,18589859
2020-05-04,18593157
2020-05-03,18595741
2020-05-02,18598364
2020-05-01,18600662
2020-04-30,18603583
2020-04-29,18606017
2020-04-28,18608646
2020-04-27,18611435
2020-04-26,18614213
2020-04-25,18609656
2020-04-24,18612033
2020-04-23,18613969
2020-04-22,18615118
2020-04-21,18619183
2020-04-20,18621762
2020-04-19,18624210
2020-04-18,18628291
2020-04-17,18631554
2020-04-16,18632930
2020-04-15,18633851
2020-04-14,18638002
2020-04-13,18641520
2020-04-12,18644787
2020-04-11,18647914
2020-04-10,18649068
2020-04-09,18652898
2020-04-08,18655778
2020-04-07,18658268
2020-04-06,18660637
2020-04-05,18662822
2020-04-04,18665091
2020-04-03,18667371
2020-04-02,18669991
2020-04-01,18672506
2020-03-31,18675033
2020-03-30,18678794
2020-03-29,18680892
2020-03-28,18685413
2020-03-27,18692838
2020-03-26,18697951
2020-03-25,18700179
2020-03-24,18703778
2020-03-23,18705804
2020-03-22,18709298
2020-03-21,18714659
2020-03-20,18716386
2020-03-19,18720841
2020-03-18,18723047
2020-03-17,18728000
2020-03-16,18730802
2020-03-15,18733123
2020-03-14,18734406
2020-03-13,18737905
2020-03-12,18739832
2020-03-11,18741704
2020-03-10,18742941
2020-03-09,18745394
2020-03-08,18749040
2020-03-07,18751606
2020-03-06,18752853
2020-03-05,18754664
2020-03-04,18757773
2020-03-03,18759255
2020-03-02,18761210
2020-03-01,18762600
2020-02-29,18764207
2020-02-28,18766411
2020-02-27,18769920
2020-02-26,18771928
2020-02-25,18773394
2020-02-24,18774991
2020-02-23,18776380
2020-02-22,18777370
2020-02-21,18778196
2020-02-20,18780140
2020-02-19,18781938
2020-02-18,18783417
2020-02-17,18784768
2020-02-16,18787115
2020-02-15,18788917
2020-02-14,18789819
2020-02-13,18791968
2020-02-12,18793420
2020-02-11,18795084
2020-02-10,18796652
2020-02-09,18798198
2020-02-08,18799274
2020-02-07,18799989
2020-02-06,18801748
2020-02-05,18803194
2020-02-04,18806024
2020-02-03,18807782
2020-02-02,18810826
2020-02-01,18813755
2020-01-31,18814954
2020-01-30,18817118
2020-01-29,18818563
2020-01-28,18820362
2020-01-27,18823139
2020-01-26,18825347
2020-01-25,18826220
2020-01-24,18827397
2020-01-23,18829050
2020-01-22,18830445
2020-01-21,18831928
2020-01-20,18833374
2020-01-19,18834885
2020-01-18,18836212
2020-01-17,18837990
2020-01-16,18839312
2020-01-15,18840786
2020-01-14,18842268
2020-01-13,18843765
2020-01-12,18845559
2020-01-11,18847237
2020-01-10,18848630
2020-01-09,18850151
2020-01-08,18851955
2020-01-07,18853637
2020-01-06,18855213
2020-01-05,18856959
2020-01-04,18858686
2020-01-03,18860743
2020-01-02,18862493
2020-01-01,18863960
2019-12-31,18864861
2019-12-30,18867880
2019-12-29,18873018
2019-12-28,18875184
2019-12-27,18877103
2019-12-26,18881952
2019-12-25,18883183
2019-12-24,18884127
2019-12-23,18885174
2019-12-22,18886449
2019-12-21,18887562
2019-12-20,18888858
2019-12-19,18889915
2019-12-18,18890973
2019-12-17,18891952
2019-12-16,18894028
2019-12-15,18895228
2019-12-14,18896272
2019-12-13,18897279
2019-12-12,18900088
2019-12-11,18901141
2019-12-10,18902355
2019-12-09,18902304
2019-12-08,18903578
2019-12-07,18906581
2019-12-06,18909316
2019-12-05,18913754
2019-12-04,18916269
2019-12-03,18919261
2019-12-02,18922025
2019-12-01,18924213
2019-11-30,18925777
2019-11-29,18927289
2019-11-28,18929266
2019-11-27,18931027
2019-11-26,18933714
2019-11-25,18936901
2019-11-24,18939107
2019-11-23,18940070
2019-11-22,18941447
2019-11-21,18940540
2019-11-20,18941412
2019-11-19,18943382
2019-11-18,18944478
2019-11-17,18945799
2019-11-16,18947053
2019-11-15,18948199
2019-11-14,18949462
2019-11-13,18951165
2019-11-12,18952808
2019-11-11,18954440
2019-11-10,18955687
2019-11-09,18956608
2019-11-08,18957625
2019-11-07,18958683
2019-11-06,18959991
2019-11-05,18961298
2019-11-04,18962705
2019-11-03,18964051
2019-11-02,18965277
2019-11-01,18966602
2019-10-31,18968008
2019-10-30,18969300
2019-10-29,18970541
2019-10-28,18972402
2019-10-27,18973893
2019-10-26,18975130
2019-10-25,18976493
2019-10-24,18977654
2019-10-23,18979092
2019-10-22,18980749
2019-10-21,18982097
2019-10-20,18983850
2019-10-19,18985629
2019-10-18,18987034
2019-10-17,18988301
2019-10-16,18989948
2019-10-15,18991463
2019-10-14,18993024
2019-10-13,18994393
2019-10-12,18995808
2019-10-11,18997274
2019-10-10,18998755
2019-10-09,19000689
2019-10-08,19002754
2019-10-07,19004716
2019-10-06,19005991
2019-10-05,19006991
2019-10-04,19007995
2019-10-03,19009021
2019-10-02,19010667
2019-10-01,19011940
2019-09-30,19013485
2019-09-29,19014978
2019-09-28,19016395
2019-09-27,19018810
2019-09-26,19020337
2019-09-25,19021584
2019-09-24,19022890
2019-09-23,19024401
2019-09-22,19026243
2019-09-21,19027546
2019-09-20,19028261
2019-09-19,19029925
2019-09-18,19031083
2019-09-17,19032517
2019-09-16,19033749
2019-09-15,19035159
2019-09-14,19036243
2019-09-13,19037267
2019-09-12,19039019
2019-09-11,19040690
2019-09-10,19042338
2019-09-09,19043706
2019-09-08,19045042
2019-09-07,19046107
2019-09-06,19046818
2019-09-05,19048451
2019-09-04,19049642
2019-09-03,19051031
2019-09-02,19052287
2019-09-01,19053114
2019-08-31,19055111
2019-08-30,19055986
2019-08-29,19056949
2019-08-28,19057848
2019-08-27,19058578
2019-08-26,19059681
2019-08-25,19060817
2019-08-24,19061259
2019-08-23,19061568
2019-08-22,19063176
2019-08-21,19064133
2019-08-20,19065635
2019-08-19,19066981
2019-08-18,19068145
2019-08-17,19069512
2019-08-16,19069865
2019-08-15,19071532
2019-08-14,19072883
2019-08-13,19074410
2019-08-12,19075715
2019-08-11,19077437
2019-08-10,19079035
2019-08-09,19079953
2019-08-08,19081147
2019-08-07,19082421
2019-08-06,19084046
2019-08-05,19085333
2019-08-04,19086578
2019-08-03,19087364
2019-08-02,19087976
2019-08-01,19088911
2019-07-31,19089669
2019-07-30,19090918
2019-07-29,19091858
2019-07-28,19093036
2019-07-27,19093987
2019-07-26,19095073
2019-07-25,19096173
2019-07-24,19097117
2019-07-23,19098242
2019-07-22,19099265
2019-07-21,19100221
2019-07-20,19101118
2019-07-19,19101604
2019-07-18,19102886
2019-07-17,19103690
2019-07-16,19104561
2019-07-15,19106220
2019-07-14,19106598
2019-07-13,19106238
2019-07-12,19099090
2019-07-11,19100228
2019-07-10,19101650
2019-07-09,19102782
2019-07-08,19103327
2019-07-07,19103812
2019-07-06,19104404
2019-07-05,19104195
2019-07-04,19104720
2019-07-03,19105707
2019-07-02,19107292
2019-07-01,19108647
2019-06-30,19109010
2019-06-29,19109105
2019-06-28,19108513
2019-06-27,19110324
2019-06-26,19111586
2019-06-25,19113047
2019-06-24,19115752
2019-06-23,19116907
2019-06-22,19118204
2019-06-21,19119950
2019-06-20,19121475
2019-06-19,19122875
2019-06-18,19121752
2019-06-17,19122911
2019-06-16,19123906
2019-06-15,19124517
2019-06-14,19124402
2019-06-13,19126474
2019-06-12,19127409
2019-06-11,19127993
2019-06-10,19128895
2019-06-09,19129515
2019-06-08,19130282
2019-06-07,19129979
2019-06-06,19131921
2019-06-05,19132403
2019-06-04,19132648
2019-06-03,19132678
2019-06-02,19133077
2019-06-01,19133999
2019-05-31,19133128
2019-05-30,19134103
2019-05-29,19134201
2019-05-28,19134816
2019-05-27,19135001
2019-05-26,19135410
2019-05-25,19135271
2019-05-24,19134824
2019-05-23,19133726
2019-05-22,19131747
2019-05-21,19130059
2019-05-20,19126641
2019-05-19,19124184
2019-05-18,19123886
2019-05-17,19123844
2019-05-16,19122957
2019-05-15,19121748
2019-05-14,19125121
2019-05-13,19127123
2019-05-12,19128107
2019-05-11,19129204
2019-05-10,19128357
2019-05-09,19129912
2019-05-08,19130907
2019-05-07,19131423
2019-05-06,19133451
2019-05-05,19135187
2019-05-04,19137437
2019-05-03,19138886
2019-05-02,19140279
2019-05-01,19141470
2019-04-30,19140927
2019-04-29,19140835
2019-04-28,19138926
2019-04-27,19135076
2019-04-26,19135038
2019-04-25,19137072
2019-04-24,19138507
2019-04-23,19139888
2019-04-22,19141416
2019-04-21,19142727
2019-04-20,19143584
2019-04-19,19143381
2019-04-18,19145522
2019-04-17,19146726
2019-04-16,19148039
2019-04-15,19149315
2019-04-14,19150500
2019-04-13,19151162
2019-04-12,19149491
2019-04-11,19150388
2019-04-10,19151617
2019-04-09,19153167
2019-04-08,19154360
2019-04-07,19155682
2019-04-06,19156677
2019-04-05,19157961
2019-04-04,19159187
2019-04-03,19160660
2019-04-02,19162112
2019-04-01,19163978
2019-03-31,19165296
2019-03-30,19166371
2019-03-29,19169082
2019-03-28,19170455
2019-03-27,19172422
2019-03-26,19174945
2019-03-25,19176608
2019-03-24,19177972
2019-03-23,19177408
2019-03-22,19178054
2019-03-21,19179493
2019-03-20,19180724
2019-03-19,19183098
2019-03-18,19185472
