Date,Followers
2020-05-08,44300000
2020-05-07,44300000
2020-05-06,44300000
2020-05-05,44300000
2020-05-04,44300000
2020-05-03,44300000
2020-05-02,44300000
2020-05-01,44300000
2020-04-30,44200000
2020-04-29,44200000
2020-04-28,44200000
2020-04-27,44200000
2020-04-26,44200000
2020-04-25,44200000
2020-04-24,44200000
2020-04-23,44200000
2020-04-22,44200000
2020-04-21,44200000
2020-04-20,44200000
2020-04-19,44100000
2020-04-18,44100000
2020-04-17,44100000
2020-04-16,44100000
2020-04-15,44100000
2020-04-14,44100000
2020-04-13,44100000
2020-04-12,44100000
2020-04-11,44100000
2020-04-10,44100000
2020-04-09,44000000
2020-04-08,44000000
2020-04-07,44000000
2020-04-06,44000000
2020-04-05,44000000
2020-04-04,44000000
2020-04-03,44000000
2020-04-02,44000000
2020-04-01,44000000
2020-03-31,44000000
2020-03-30,44000000
2020-03-29,43900000
2020-03-28,43900000
2020-03-27,43900000
2020-03-26,43900000
2020-03-25,43900000
2020-03-24,43900000
2020-03-23,43900000
2020-03-22,43900000
2020-03-21,43900000
2020-03-20,43900000
2020-03-19,43800000
2020-03-18,43800000
2020-03-17,43800000
2020-03-16,43800000
2020-03-15,43800000
2020-03-14,43800000
2020-03-13,43800000
2020-03-12,43800000
2020-03-11,43800000
2020-03-10,43800000
2020-03-09,43800000
2020-03-08,43700000
2020-03-07,43700000
2020-03-06,43700000
2020-03-05,43700000
2020-03-04,43700000
2020-03-03,43700000
2020-03-02,43700000
2020-03-01,43700000
2020-02-29,43700000
2020-02-28,43700000
2020-02-27,43600000
2020-02-26,43600000
2020-02-25,43600000
2020-02-24,43600000
2020-02-23,43600000
2020-02-22,43600000
2020-02-21,43600000
2020-02-20,43600000
2020-02-19,43600000
2020-02-18,43600000
2020-02-17,43600000
2020-02-16,43600000
2020-02-15,43600000
2020-02-14,43500000
2020-02-13,43500000
2020-02-12,43500000
2020-02-11,43500000
2020-02-10,43500000
2020-02-09,43500000
2020-02-08,43500000
2020-02-07,43500000
2020-02-06,43500000
2020-02-05,43500000
2020-02-04,43500000
2020-02-03,43500000
2020-02-02,43400000
2020-02-01,43400000
2020-01-31,43400000
2020-01-30,43400000
2020-01-29,43400000
2020-01-28,43400000
2020-01-27,43400000
2020-01-26,43400000
2020-01-25,43400000
2020-01-24,43400000
2020-01-23,43300000
2020-01-22,43300000
2020-01-21,43300000
2020-01-20,43300000
2020-01-19,43300000
2020-01-18,43300000
2020-01-17,43300000
2020-01-16,43300000
2020-01-15,43300000
2020-01-14,43200000
2020-01-13,43200000
2020-01-12,43200000
2020-01-11,43200000
2020-01-10,43200000
2020-01-09,43200000
2020-01-08,43200000
2020-01-07,43200000
2020-01-06,43200000
2020-01-05,43200000
2020-01-04,43200000
2020-01-03,43200000
2020-01-02,43100000
2020-01-01,43100000
2019-12-31,43100000
2019-12-30,43100000
2019-12-29,43100000
2019-12-28,43100000
2019-12-27,43100000
2019-12-26,43100000
2019-12-25,43100000
2019-12-24,43000000
2019-12-23,43000000
2019-12-22,43000000
2019-12-21,43000000
2019-12-20,43000000
2019-12-19,43000000
2019-12-18,43000000
2019-12-17,43000000
2019-12-16,43000000
2019-12-15,42900000
2019-12-14,42900000
2019-12-13,42900000
2019-12-12,42900000
2019-12-11,42900000
2019-12-10,42900000
2019-12-09,42900000
2019-12-08,42900000
2019-12-07,42800000
2019-12-06,42800000
2019-12-05,42800000
2019-12-04,42800000
2019-12-03,42900000
2019-12-02,42800000
2019-12-01,42800000
2019-11-30,42800000
2019-11-29,42800000
2019-11-28,42800000
2019-11-27,42800000
2019-11-26,42800000
2019-11-25,42800000
2019-11-24,42800000
2019-11-23,42800000
2019-11-22,42800000
2019-11-21,42700000
2019-11-20,42700000
2019-11-19,42700000
2019-11-18,42700000
2019-11-17,42700000
2019-11-16,42700000
2019-11-15,42700000
2019-11-14,42700000
2019-11-13,42700000
2019-11-12,42700000
2019-11-11,42700000
2019-11-10,42600000
2019-11-09,42600000
2019-11-08,42600000
2019-11-07,42600000
2019-11-06,42600000
2019-11-05,42600000
2019-11-04,42600000
2019-11-03,42600000
2019-11-02,42600000
2019-11-01,42600000
2019-10-31,42500000
2019-10-30,42500000
2019-10-29,42500000
2019-10-28,42500000
2019-10-27,42500000
2019-10-26,42500000
2019-10-25,42500000
2019-10-24,42500000
2019-10-23,42500000
2019-10-22,42400000
2019-10-21,42400000
2019-10-20,42400000
2019-10-19,42400000
2019-10-18,42400000
2019-10-17,42400000
2019-10-16,42400000
2019-10-15,42400000
2019-10-14,42400000
2019-10-13,42300000
2019-10-12,42300000
2019-10-11,42300000
2019-10-10,42300000
2019-10-09,42300000
2019-10-08,42300000
2019-10-07,42300000
2019-10-06,42200000
2019-10-05,42200000
2019-10-04,42200000
2019-10-03,42200000
2019-10-02,42200000
2019-10-01,42100000
2019-09-30,42100000
2019-09-29,42100000
2019-09-28,42100000
2019-09-27,42100000
2019-09-26,42100000
2019-09-25,42100000
2019-09-24,42100000
2019-09-23,42000000
2019-09-22,42000000
2019-09-21,42000000
2019-09-20,42000000
2019-09-19,42000000
2019-09-18,42000000
2019-09-17,42008476
2019-09-16,41996366
2019-09-15,41982625
2019-09-14,41965944
2019-09-13,41950297
2019-09-12,41936361
2019-09-11,41921431
2019-09-10,41907689
2019-09-09,41894871
2019-09-08,41879452
2019-09-07,41862099
2019-09-06,41844789
2019-09-05,41827756
2019-09-04,41811553
2019-09-03,41796117
2019-09-02,41780763
2019-09-01,41763004
2019-08-31,41741950
2019-08-30,41719439
2019-08-29,41699814
2019-08-28,41681199
2019-08-27,41663538
2019-08-26,41645664
2019-08-25,41626493
2019-08-24,41601495
2019-08-23,41579051
2019-08-22,41566066
2019-08-21,41551198
2019-08-20,41534761
2019-08-19,41519295
2019-08-18,41502254
2019-08-17,41481881
2019-08-16,41462710
2019-08-15,41443841
2019-08-14,41424132
2019-08-13,41402751
2019-08-12,41378492
2019-08-11,41347017
2019-08-10,41309112
2019-08-09,41266385
2019-08-08,41232743
2019-08-07,41216877
2019-08-06,41201601
2019-08-05,41186659
2019-08-04,41170731
2019-08-03,41152605
2019-08-02,41134366
2019-08-01,41117387
2019-07-31,41100293
2019-07-30,41085145
2019-07-29,41067415
2019-07-28,41048067
2019-07-27,41026911
2019-07-26,41006040
2019-07-25,40985138
2019-07-24,40964483
2019-07-23,40943611
2019-07-22,40922937
2019-07-21,40900332
2019-07-20,40873122
2019-07-19,40845963
2019-07-18,40817096
2019-07-17,40787192
2019-07-16,40756342
2019-07-15,40720190
2019-07-14,40668025
2019-07-13,40597005
2019-07-12,40486979
2019-07-11,40458335
2019-07-10,40433741
2019-07-09,40411653
2019-07-08,40388121
2019-07-07,40362698
2019-07-06,40327722
2019-07-05,40266758
2019-07-04,40236036
2019-07-03,40198928
2019-07-02,40159572
2019-07-01,40124107
2019-06-30,40087278
2019-06-29,40037791
2019-06-28,39974919
2019-06-27,39954170
2019-06-26,39933281
2019-06-25,39911001
2019-06-24,39887766
2019-06-23,39860529
2019-06-22,39830947
2019-06-21,39803941
2019-06-20,39783321
2019-06-19,39763284
2019-06-18,39743743
2019-06-17,39726787
2019-06-16,39708169
2019-06-15,39688796
2019-06-14,39668250
2019-06-13,39649649
2019-06-12,39630038
2019-06-11,39609725
2019-06-10,39590944
2019-06-09,39572710
2019-06-08,39551279
2019-06-07,39531897
2019-06-06,39515160
2019-06-05,39497878
2019-06-04,39480246
2019-06-03,39463937
2019-06-02,39442707
2019-06-01,39420512
2019-05-31,39400755
2019-05-30,39379908
2019-05-29,39359029
2019-05-28,39340124
2019-05-27,39317848
2019-05-26,39292184
2019-05-25,39257710
2019-05-24,39206565
2019-05-23,39173701
2019-05-22,39133229
2019-05-21,39093222
2019-05-20,39051368
2019-05-19,38997641
2019-05-18,38919739
2019-05-17,38852865
2019-05-16,38824738
2019-05-15,38794282
2019-05-14,38759950
2019-05-13,38721316
2019-05-12,38669721
2019-05-11,38593411
2019-05-10,38470180
2019-05-09,38448356
2019-05-08,38431440
2019-05-07,38417343
2019-05-06,38409287
2019-05-05,38396225
2019-05-04,38379639
2019-05-03,38363220
2019-05-02,38347862
2019-05-01,38330997
2019-04-30,38315191
2019-04-29,38300943
2019-04-28,38284568
2019-04-27,38266580
2019-04-26,38251378
2019-04-25,38237643
2019-04-24,38223512
2019-04-23,38209293
2019-04-22,38195416
2019-04-21,38180708
2019-04-20,38164579
2019-04-19,38148925
2019-04-18,38133604
2019-04-17,38119366
2019-04-16,38105742
2019-04-15,38092395
2019-04-14,38077671
2019-04-13,38061526
2019-04-12,38046121
2019-04-11,38031805
2019-04-10,38017465
2019-04-09,38003997
2019-04-08,37990251
2019-04-07,37975849
2019-04-06,37958849
2019-04-05,37946237
2019-04-04,37933034
2019-04-03,37921451
2019-04-02,37912907
2019-04-01,37900644
2019-03-31,37884521
2019-03-30,37866306
2019-03-29,37851282
2019-03-28,37833396
2019-03-27,37815386
2019-03-26,37797201
2019-03-25,37778041
2019-03-24,37756274
2019-03-23,37739957
2019-03-22,37722194
2019-03-21,37703589
2019-03-20,37686257
2019-03-19,37669693
2019-03-18,37653614
2019-03-17,37635250
2019-03-16,37615861
2019-03-15,37597284
2019-03-14,37579389
2019-03-13,37562650
2019-03-12,37549044
2019-03-11,37536103
2019-03-10,37518501
2019-03-09,37497393
2019-03-08,37478559
2019-03-07,37460495
2019-03-06,37446986
2019-03-05,37432735
2019-03-04,37418973
2019-03-03,37401370
2019-03-02,37383195
2019-03-01,37370077
2019-02-28,37353930
2019-02-27,37338884
2019-02-26,37323571
2019-02-25,37305341
2019-02-24,37282638
2019-02-23,37257647
2019-02-22,37240328
2019-02-21,37217402
2019-02-20,37195229
2019-02-19,37179725
2019-02-18,37161381
2019-02-17,37134546
2019-02-16,37106297
2019-02-15,37086384
2019-02-14,37071419
2019-02-13,37052489
2019-02-12,37032580
2019-02-11,37013277
2019-02-10,36997180
2019-02-09,36983505
2019-02-08,36965588
2019-02-07,36941387
2019-02-06,36917433
2019-02-05,36892153
2019-02-04,36870834
2019-02-03,36851769
2019-02-02,36829611
2019-02-01,36808748
2019-01-31,36790512
2019-01-30,36773578
2019-01-29,36756231
2019-01-28,36739736
2019-01-27,36721350
2019-01-26,36700980
2019-01-25,36683032
2019-01-24,36668516
2019-01-23,36650475
2019-01-22,36632637
2019-01-21,36615702
2019-01-20,36597119
2019-01-19,36574748
2019-01-18,36553295
2019-01-17,36530585
2019-01-16,36500316
2019-01-15,36482949
2019-01-14,36465577
2019-01-13,36446593
2019-01-12,36425339
2019-01-11,36404216
2019-01-10,36385036
2019-01-09,36366083
2019-01-08,36345874
2019-01-07,36327342
2019-01-06,36307309
2019-01-05,36285566
2019-01-04,36265412
2019-01-03,36245914
2019-01-02,36228266
2019-01-01,36211511
2018-12-31,36191859
2018-12-30,36174594
2018-12-29,36156116
2018-12-28,36137582
2018-12-27,36120963
2018-12-26,36102182
2018-12-25,36084387
2018-12-24,36065120
2018-12-23,36045460
2018-12-22,36017807
2018-12-21,36008284
2018-12-20,35990479
2018-12-19,35972749
2018-12-18,35956513
2018-12-17,35940666
2018-12-16,35923355
2018-12-15,35901386
2018-12-14,35946363
2018-12-13,35926732
2018-12-12,35908060
2018-12-11,35890422
2018-12-10,35876345
2018-12-09,35858367
2018-12-08,35836822
2018-12-07,35817271
2018-12-06,35797350
2018-12-05,35777937
2018-12-04,35760325
2018-12-03,35742705
2018-12-02,35723210
2018-12-01,35702170
2018-11-30,35686525
2018-11-29,35668296
2018-11-28,35650130
2018-11-27,35631720
2018-11-26,35614202
2018-11-25,35594288
2018-11-24,35572255
2018-11-23,35550635
2018-11-22,35529766
2018-11-21,35514613
2018-11-20,35492707
2018-11-19,35471406
2018-11-18,35453681
2018-11-17,35430524
2018-11-16,35414618
2018-11-15,35397799
2018-11-14,35378053
2018-11-13,35363642
2018-11-12,35345166
2018-11-11,35323117
2018-11-10,35290721
2018-11-09,35274647
2018-11-08,35254205
2018-11-07,35238840
2018-11-06,35218986
2018-11-05,35198737
2018-11-04,35176707
2018-11-03,35159836
2018-11-02,35142579
2018-11-01,35127287
2018-10-31,35107444
2018-10-30,35093248
2018-10-29,35078447
2018-10-28,35058313
2018-10-27,35034061
2018-10-26,35012616
2018-10-25,34990807
2018-10-24,34969503
2018-10-23,34949708
2018-10-22,34928701
2018-10-21,34904978
2018-10-20,34879962
2018-10-19,34853181
2018-10-18,34828243
2018-10-17,34810832
2018-10-16,34790445
2018-10-15,34765592
2018-10-14,34741409
2018-10-13,34720541
2018-10-12,34690499
2018-10-11,34670393
2018-10-10,34652594
2018-10-09,34636298
2018-10-08,34621768
2018-10-07,34604989
2018-10-06,34587212
2018-10-05,34568920
2018-10-04,34547448
2018-10-03,34526481
2018-10-02,34506487
2018-10-01,34487018
2018-09-30,34463739
2018-09-29,34437793
2018-09-28,34414271
2018-09-27,34391436
2018-09-26,34368226
2018-09-25,34348577
2018-09-24,34328912
2018-09-23,34304500
2018-09-22,34277606
2018-09-21,34255497
2018-09-20,34233760
2018-09-19,34216262
2018-09-18,34194122
2018-09-17,34170102
2018-09-16,34143655
2018-09-15,34113210
2018-09-14,34083605
2018-09-13,34058788
2018-09-12,34032908
2018-09-11,34009097
2018-09-10,33984890
2018-09-09,33958089
2018-09-08,33927925
2018-09-07,33900940
2018-09-06,33876087
2018-09-05,33851950
2018-09-04,33827445
2018-09-03,33800732
2018-09-02,33772395
2018-09-01,33740556
2018-08-31,33710668
2018-08-30,33683101
2018-08-29,33656007
2018-08-28,33629120
2018-08-27,33604163
2018-08-26,33578101
2018-08-25,33547898
2018-08-24,33519128
2018-08-23,33493759
2018-08-22,33467898
2018-08-21,33443830
2018-08-20,33420716
2018-08-19,33395681
2018-08-18,33367900
2018-08-17,33345749
2018-08-16,33331111
2018-08-15,33310140
2018-08-14,33287570
2018-08-13,33265809
2018-08-12,33241071
2018-08-11,33214615
2018-08-10,33197155
2018-08-09,33180874
2018-08-08,33156816
2018-08-07,33134172
2018-08-06,33119302
2018-08-05,33096155
2018-08-04,33078793
2018-08-03,33057769
2018-08-02,33032883
2018-08-01,33009147
2018-07-31,32984800
2018-07-30,32967944
2018-07-29,32950300
2018-07-28,32931300
2018-07-27,32904931
2018-07-26,32879387
2018-07-25,32852936
2018-07-24,32827203
2018-07-23,32802340
2018-07-22,32776271
2018-07-21,32747229
2018-07-20,32718859
2018-07-19,32688113
2018-07-18,32669461
2018-07-17,32647670
2018-07-16,32622517
2018-07-15,32593795
2018-07-14,32561206
2018-07-13,32528220
2018-07-12,32499175
2018-07-11,32470169
2018-07-10,32441474
2018-07-09,32412861
2018-07-08,32383324
2018-07-07,32352649
2018-07-06,32322410
2018-07-05,32293083
2018-07-04,32264130
2018-07-03,32236528
2018-07-02,32210980
2018-07-01,32182476
2018-06-30,32150367
2018-06-29,32119741
2018-06-28,32088645
2018-06-27,32060920
2018-06-26,32037705
2018-06-25,32014565
2018-06-24,31990002
2018-06-23,31971122
2018-06-22,31945884
2018-06-21,31919723
2018-06-20,31892990
2018-06-19,31865696
2018-06-18,31840576
2018-06-17,31812329
2018-06-16,31783156
2018-06-15,31755256
2018-06-14,31729220
2018-06-13,31702526
2018-06-12,31676110
2018-06-11,31649188
2018-06-10,31619557
2018-06-09,31587143
2018-06-08,31556708
2018-06-07,31526856
2018-06-06,31497293
2018-06-05,31469355
2018-06-04,31442965
2018-06-03,31413071
2018-06-02,31380368
2018-06-01,31349999
2018-05-31,31319846
2018-05-30,31289826
2018-05-29,31262368
2018-05-28,31235386
2018-05-27,31206340
2018-05-26,31176767
2018-05-25,31148798
2018-05-24,31122836
2018-05-23,31095133
2018-05-22,31067616
2018-05-21,31040116
2018-05-20,31019549
2018-05-19,30987731
2018-05-18,30957602
2018-05-17,30928773
2018-05-16,30898465
2018-05-15,30872910
2018-05-14,30848268
2018-05-13,30816371
2018-05-12,30779248
2018-05-11,30741920
2018-05-10,30709864
2018-05-09,30686748
2018-05-08,30654116
2018-05-07,30622456
2018-05-06,30594325
2018-05-05,30550576
2018-05-04,30510119
2018-05-03,30470248
2018-05-02,30429863
2018-05-01,30383992
2018-04-30,30338351
2018-04-29,30279180
2018-04-28,30207172
2018-04-27,30137798
2018-04-26,30111521
2018-04-25,30090957
2018-04-24,30065805
2018-04-23,30040201
2018-04-22,30010008
2018-04-21,29974828
2018-04-20,29945520
2018-04-19,29920284
2018-04-18,29894722
2018-04-17,29865772
2018-04-16,29841488
2018-04-15,29820170
2018-04-14,29787697
2018-04-13,29754346
2018-04-12,29733558
2018-04-11,29703155
2018-04-10,29673334
2018-04-09,29645670
2018-04-08,29614619
2018-04-07,29579869
2018-04-06,29544195
2018-04-05,29521052
2018-04-04,29491167
2018-04-03,29458177
2018-04-02,29431132
2018-04-01,29400546
2018-03-31,29366891
2018-03-30,29332227
2018-03-29,29297904
2018-03-28,29265689
2018-03-27,29235463
2018-03-26,29203364
2018-03-25,29168439
2018-03-24,29129183
2018-03-23,29091999
2018-03-22,29056349
2018-03-21,29023712
2018-03-20,28991435
2018-03-19,28960760
2018-03-18,28936488
2018-03-17,28894908
2018-03-16,28856546
2018-03-15,28821848
2018-03-14,28786708
2018-03-13,28751679
2018-03-12,28715987
2018-03-11,28679552
2018-03-10,28649053
2018-03-09,28612490
2018-03-08,28578942
2018-03-07,28546982
2018-03-06,28517242
2018-03-05,28493813
2018-03-04,28467067
2018-03-03,28436121
2018-03-02,28410675
2018-03-01,28385331
2018-02-28,28349783
2018-02-27,28313243
2018-02-26,28275250
2018-02-25,28231867
2018-02-24,28196640
2018-02-23,28164564
2018-02-22,28139748
2018-02-21,28103290
2018-02-20,28066220
2018-02-19,28026789
2018-02-18,27982243
2018-02-17,27929482
2018-02-16,27882081
2018-02-15,27837438
2018-02-14,27793893
2018-02-13,27755169
2018-02-12,27728520
2018-02-11,27686875
2018-02-10,27653452
2018-02-09,27624046
2018-02-08,27596362
2018-02-07,27569226
2018-02-06,27527353
2018-02-05,27497575
2018-02-04,27463962
2018-02-03,27428470
2018-02-02,27398345
2018-02-01,27368102
2018-01-31,27339998
2018-01-30,27309558
2018-01-29,27277922
2018-01-28,27218292
2018-01-27,27172072
2018-01-26,27103386
2018-01-25,27063229
2018-01-24,26618974
2018-01-23,26575809
2018-01-22,26519224
2018-01-21,26453258
2018-01-20,26373432
2018-01-19,26329175
2018-01-18,26289526
2018-01-17,26250838
2018-01-16,26210684
2018-01-15,26145985
2018-01-14,26096229
2018-01-13,26022836
2018-01-12,25970828
2018-01-11,25922020
2018-01-10,25879934
2018-01-09,25839293
2018-01-08,25783811
2018-01-07,25713411
2018-01-06,25645894
2018-01-05,25584248
2018-01-04,25538334
2018-01-03,25492433
2018-01-02,25433596
2018-01-01,25393985
2017-12-31,25342386
2017-12-30,25296059
2017-12-29,25243783
2017-12-28,25203076
2017-12-27,25142155
2017-12-26,25093661
2017-12-25,25039122
2017-12-24,24987156
