Date,Followers
2020-05-18,23015072
2020-05-18,23015067
2020-05-18,23015041
2020-05-18,23015035
2020-05-18,23015019
2020-05-18,23014994
2020-05-18,23014973
2020-05-18,23015318
2020-05-17,23015312
2020-05-17,23015236
2020-05-17,23015279
2020-05-17,23015972
2020-05-17,23015972
2020-05-17,23015952
2020-05-17,23015930
2020-05-17,23015929
2020-05-17,23015909
2020-05-17,23015889
2020-05-17,23016618
2020-05-17,23016609
2020-05-17,23016588
2020-05-17,23016545
2020-05-17,23016679
2020-05-17,23016644
2020-05-17,23016611
2020-05-17,23016602
2020-05-17,23016709
2020-05-17,23016688
2020-05-17,23016682
2020-05-17,23016677
2020-05-17,23016677
2020-05-17,23016673
2020-05-17,23016658
2020-05-17,23016655
2020-05-17,23016626
2020-05-17,23016747
2020-05-17,23016732
2020-05-17,23016725
2020-05-17,23016726
2020-05-17,23016713
2020-05-17,23016688
2020-05-17,23016681
2020-05-17,23016672
2020-05-17,23016668
2020-05-17,23016647
2020-05-17,23016913
2020-05-17,23016906
2020-05-17,23016902
2020-05-17,23016881
2020-05-17,23016872
2020-05-17,23016863
2020-05-17,23016852
2020-05-17,23016852
2020-05-17,23016852
2020-05-17,23017126
2020-05-17,23017126
2020-05-17,23017099
2020-05-17,23017091
2020-05-17,23017087
2020-05-17,23017075
2020-05-17,23016975
2020-05-17,23017353
2020-05-17,23017350
2020-05-17,23017544
2020-05-16,23017972
2020-05-16,23018493
2020-05-08,23033168
2020-05-07,23035652
2020-05-06,23037259
2020-05-05,23038439
2020-05-04,23039824
2020-05-03,23040134
2020-05-02,23040401
2020-05-01,23039850
2020-04-30,23041018
2020-04-29,23040770
2020-04-28,23040928
2020-04-27,23041240
2020-04-26,23041414
2020-04-25,23030747
2020-04-24,23030882
2020-04-23,23031130
2020-04-22,23030951
2020-04-21,23026347
2020-04-20,23027372
2020-04-19,23028608
2020-04-18,23029668
2020-04-17,23030488
2020-04-16,23029597
2020-04-15,23028861
2020-04-14,23029681
2020-04-13,23030543
2020-04-12,23031598
2020-04-11,23033291
2020-04-10,23032889
2020-04-09,23033795
2020-04-08,23033582
2020-04-07,23033659
2020-04-06,23032922
2020-04-05,23031872
2020-04-04,23030769
2020-04-03,23030482
2020-04-02,23030114
2020-04-01,23028660
2020-03-31,23027387
2020-03-30,23028122
2020-03-29,23026465
2020-03-28,23025692
2020-03-27,23027044
2020-03-26,23026042
2020-03-25,23024306
2020-03-24,23024880
2020-03-23,23022638
2020-03-22,23022202
2020-03-21,23023849
2020-03-20,23021974
2020-03-19,23023973
2020-03-18,23023219
2020-03-17,23022050
2020-03-16,23020352
2020-03-15,23019224
2020-03-14,23017372
2020-03-13,23018180
2020-03-12,23016814
2020-03-11,23016049
2020-03-10,23014104
2020-03-09,23013275
2020-03-08,23014964
2020-03-07,23014514
2020-03-06,23012859
2020-03-05,23012292
2020-03-04,23013534
2020-03-03,23013917
2020-03-02,23014956
2020-03-01,23012440
2020-02-29,23012370
2020-02-28,23012597
2020-02-27,23013502
2020-02-26,23007571
2020-02-25,23004411
2020-02-24,23005122
2020-02-23,23002184
2020-02-22,22999030
2020-02-21,22999225
2020-02-20,22996054
2020-02-19,22993013
2020-02-18,22993130
2020-02-17,22993407
2020-02-16,22994156
2020-02-15,22991843
2020-02-14,22991763
2020-02-13,22988209
2020-02-12,22985087
2020-02-11,22977970
2020-02-10,22938612
2020-02-09,22919028
2020-02-08,22919119
2020-02-07,22917400
2020-02-06,22915305
2020-02-05,22913311
2020-02-04,22913103
2020-02-03,22911407
2020-02-02,22910173
2020-02-01,22909641
2020-01-31,22906514
2020-01-30,22903482
2020-01-29,22899975
2020-01-28,22896599
2020-01-27,22893693
2020-01-26,22886899
2020-01-25,22870176
2020-01-24,22853298
2020-01-23,22848742
2020-01-22,22845917
2020-01-21,22842832
2020-01-20,22838707
2020-01-19,22834190
2020-01-18,22828254
2020-01-17,22782231
2020-01-16,22782302
2020-01-15,22782278
2020-01-14,22782703
2020-01-13,22782798
2020-01-12,22783706
2020-01-11,22784168
2020-01-10,22784493
2020-01-09,22784791
2020-01-08,22784894
2020-01-07,22785381
2020-01-06,22785846
