Date,Followers
2020-05-08,42500000
2020-05-07,42500000
2020-05-06,42500000
2020-05-05,42500000
2020-05-04,42500000
2020-05-03,42400000
2020-05-02,42400000
2020-05-01,42400000
2020-04-30,42400000
2020-04-29,42400000
2020-04-28,42400000
2020-04-27,42400000
2020-04-26,42400000
2020-04-25,42300000
2020-04-24,42300000
2020-04-23,42300000
2020-04-22,42300000
2020-04-21,42300000
2020-04-20,42300000
2020-04-19,42300000
2020-04-18,42200000
2020-04-17,42200000
2020-04-16,42200000
2020-04-15,42200000
2020-04-14,42200000
2020-04-13,42200000
2020-04-12,42200000
2020-04-11,42200000
2020-04-10,42100000
2020-04-09,42100000
2020-04-08,42100000
2020-04-07,42100000
2020-04-06,42100000
2020-04-05,42100000
2020-04-04,42100000
2020-04-03,42000000
2020-04-02,42000000
2020-04-01,42000000
2020-03-31,42000000
2020-03-30,42000000
2020-03-29,42000000
2020-03-28,42000000
2020-03-27,41900000
2020-03-26,41900000
2020-03-25,41900000
2020-03-24,41900000
2020-03-23,41900000
2020-03-22,41900000
2020-03-21,41800000
2020-03-20,41800000
2020-03-19,41800000
2020-03-18,41800000
2020-03-17,41800000
2020-03-16,41700000
2020-03-15,41700000
2020-03-14,41700000
2020-03-13,41700000
2020-03-12,41700000
2020-03-11,41600000
2020-03-10,41600000
2020-03-09,41600000
2020-03-08,41600000
2020-03-07,41500000
2020-03-06,41500000
2020-03-05,41500000
2020-03-04,41500000
2020-03-03,41400000
2020-03-02,41400000
2020-03-01,41400000
2020-02-29,41400000
2020-02-28,41400000
2020-02-27,41300000
2020-02-26,41300000
2020-02-25,41300000
2020-02-24,41300000
2020-02-23,41300000
2020-02-22,41200000
2020-02-21,41200000
2020-02-20,41200000
2020-02-19,41200000
2020-02-18,41200000
2020-02-17,41100000
2020-02-16,41100000
2020-02-15,41100000
2020-02-14,41100000
2020-02-13,41000000
2020-02-12,41000000
2020-02-11,41000000
2020-02-10,41000000
2020-02-09,40900000
2020-02-08,40900000
2020-02-07,40900000
2020-02-06,40900000
2020-02-05,40900000
2020-02-04,40900000
2020-02-03,40800000
2020-02-02,40800000
2020-02-01,40800000
2020-01-31,40800000
2020-01-30,40800000
2020-01-29,40700000
2020-01-28,40800000
