Date,Followers
2020-05-07,5780000
2020-05-06,5780000
2020-05-05,5780000
2020-05-04,5780000
2020-05-03,5770000
2020-05-02,5770000
2020-05-01,5770000
2020-04-30,5760000
2020-04-29,5760000
2020-04-28,5760000
2020-04-27,5750000
2020-04-26,5750000
2020-04-25,5750000
2020-04-24,5750000
2020-04-23,5740000
2020-04-22,5740000
2020-04-21,5740000
2020-04-20,5730000
2020-04-19,5730000
2020-04-18,5730000
2020-04-17,5720000
2020-04-16,5720000
2020-04-15,5720000
2020-04-14,5710000
2020-04-13,5710000
2020-04-12,5700000
2020-04-11,5700000
2020-04-10,5690000
2020-04-09,5690000
2020-04-08,5680000
2020-04-07,5670000
2020-04-06,5670000
2020-04-05,5670000
2020-04-04,5660000
2020-04-03,5660000
2020-04-02,5660000
2020-04-01,5650000
2020-03-31,5650000
2020-03-30,5650000
2020-03-29,5640000
2020-03-28,5640000
2020-03-27,5630000
2020-03-26,5630000
2020-03-25,5630000
2020-03-24,5620000
2020-03-23,5620000
2020-03-22,5620000
2020-03-21,5610000
2020-03-20,5610000
2020-03-19,5610000
2020-03-18,5600000
2020-03-17,5600000
2020-03-16,5600000
2020-03-15,5590000
2020-03-14,5590000
2020-03-13,5580000
2020-03-12,5580000
2020-03-11,5580000
2020-03-10,5570000
2020-03-09,5570000
2020-03-08,5570000
2020-03-07,5570000
2020-03-06,5560000
2020-03-05,5560000
2020-03-04,5560000
2020-03-03,5560000
2020-03-02,5560000
2020-03-01,5550000
2020-02-29,5550000
2020-02-28,5550000
2020-02-27,5540000
2020-02-26,5540000
2020-02-25,5540000
2020-02-24,5540000
2020-02-23,5540000
2020-02-22,5530000
2020-02-21,5530000
2020-02-20,5530000
2020-02-19,5530000
2020-02-18,5520000
2020-02-17,5520000
2020-02-16,5520000
2020-02-15,5520000
2020-02-14,5510000
2020-02-13,5510000
2020-02-12,5510000
2020-02-11,5510000
2020-02-10,5500000
2020-02-09,5500000
2020-02-08,5500000
2020-02-07,5500000
2020-02-06,5500000
2020-02-05,5490000
2020-02-04,5490000
2020-02-03,5490000
2020-02-02,5490000
2020-02-01,5480000
2020-01-31,5480000
2020-01-30,5480000
2020-01-29,5470000
2020-01-28,5470000
2020-01-27,5470000
2020-01-26,5460000
2020-01-25,5460000
2020-01-24,5460000
2020-01-23,5460000
2020-01-22,5450000
2020-01-21,5450000
2020-01-20,5450000
2020-01-19,5450000
2020-01-18,5450000
2020-01-17,5440000
2020-01-16,5440000
2020-01-15,5440000
2020-01-14,5440000
2020-01-13,5440000
2020-01-12,5430000
2020-01-11,5430000
2020-01-10,5430000
2020-01-09,5430000
2020-01-08,5430000
2020-01-07,5420000
2020-01-06,5420000
2020-01-05,5420000
2020-01-04,5420000
2020-01-03,5420000
2020-01-02,5420000
2020-01-01,5410000
2019-12-31,5410000
2019-12-30,5410000
2019-12-29,5400000
2019-12-28,5400000
2019-12-27,5400000
2019-12-26,5400000
2019-12-25,5390000
2019-12-24,5390000
2019-12-23,5390000
2019-12-22,5390000
2019-12-21,5380000
2019-12-20,5380000
2019-12-19,5380000
2019-12-18,5380000
2019-12-17,5380000
2019-12-16,5370000
2019-12-15,5370000
2019-12-14,5370000
2019-12-13,5370000
2019-12-12,5360000
2019-12-11,5360000
2019-12-10,5360000
2019-12-09,5360000
2019-12-08,5360000
2019-12-07,5360000
2019-12-06,5350000
2019-12-05,5350000
2019-12-04,5350000
2019-12-03,5360000
2019-12-02,5360000
2019-12-01,5360000
2019-11-30,5360000
2019-11-29,5350000
2019-11-28,5350000
2019-11-27,5350000
2019-11-26,5350000
2019-11-25,5340000
2019-11-24,5340000
2019-11-23,5340000
2019-11-22,5340000
2019-11-21,5330000
2019-11-20,5330000
2019-11-19,5330000
2019-11-18,5320000
2019-11-17,5320000
2019-11-16,5310000
2019-11-15,5310000
2019-11-14,5310000
2019-11-13,5310000
2019-11-12,5300000
2019-11-11,5300000
2019-11-10,5300000
2019-11-09,5300000
2019-11-08,5300000
2019-11-07,5290000
2019-11-06,5290000
2019-11-05,5290000
2019-11-04,5290000
2019-11-03,5290000
2019-11-02,5290000
2019-11-01,5280000
2019-10-31,5280000
2019-10-30,5280000
2019-10-29,5280000
2019-10-28,5280000
2019-10-27,5270000
2019-10-26,5270000
2019-10-25,5270000
2019-10-24,5270000
2019-10-23,5270000
2019-10-22,5260000
2019-10-21,5260000
2019-10-20,5260000
2019-10-19,5260000
2019-10-18,5260000
2019-10-17,5260000
2019-10-16,5260000
2019-10-15,5250000
2019-10-14,5250000
2019-10-13,5250000
2019-10-12,5250000
2019-10-11,5240000
2019-10-10,5240000
2019-10-09,5240000
2019-10-08,5230000
2019-10-07,5230000
2019-10-06,5230000
2019-10-05,5230000
2019-10-04,5230000
2019-10-03,5230000
2019-10-02,5230000
2019-10-01,5220000
2019-09-30,5220000
2019-09-29,5220000
2019-09-28,5220000
2019-09-27,5220000
2019-09-26,5220000
2019-09-25,5220000
2019-09-24,5220000
2019-09-23,5220000
2019-09-22,5210000
2019-09-21,5210000
2019-09-20,5210000
2019-09-19,5210000
2019-09-18,5210000
2019-09-17,5213360
2019-09-16,5211943
2019-09-15,5209931
2019-09-14,5208268
2019-09-13,5206765
2019-09-12,5205473
2019-09-11,5204021
2019-09-10,5203057
2019-09-09,5202055
2019-09-08,5200896
2019-09-07,5199854
2019-09-06,5198872
2019-09-05,5197822
2019-09-04,5196605
2019-09-03,5195501
2019-09-02,5193931
2019-09-01,5192320
2019-08-31,5190628
2019-08-30,5188996
2019-08-29,5187221
2019-08-28,5184937
2019-08-27,5182006
2019-08-26,5180141
2019-08-25,5178502
2019-08-24,5176789
2019-08-23,5175376
2019-08-22,5174302
2019-08-21,5173325
2019-08-20,5172316
2019-08-19,5171090
2019-08-18,5169863
2019-08-17,5168599
2019-08-16,5167148
2019-08-15,5166242
2019-08-14,5165250
2019-08-13,5164212
2019-08-12,5163124
2019-08-11,5161878
2019-08-10,5160908
2019-08-09,5159614
2019-08-08,5158557
2019-08-07,5157511
2019-08-06,5156382
2019-08-05,5155407
2019-08-04,5154416
2019-08-03,5153111
2019-08-02,5151650
2019-08-01,5150464
2019-07-31,5149138
2019-07-30,5147937
2019-07-29,5146413
