Date,Followers
2020-05-07,2250835
2020-05-06,2246944
2020-05-05,2243258
2020-05-04,2238781
2020-05-03,2235162
2020-05-02,2229426
2020-05-01,2225005
2020-04-30,2222202
2020-04-29,2218567
2020-04-28,2217536
2020-04-27,2214431
2020-04-26,2210430
2020-04-25,2209502
2020-04-24,2208379
2020-04-23,2203516
2020-04-22,2200087
2020-04-21,2198887
2020-04-20,2195555
2020-04-19,2190428
2020-04-18,2185062
2020-04-17,2179795
2020-04-16,2176168
2020-04-15,2172631
2020-04-14,2167262
2020-04-13,2158291
2020-04-12,2150968
2020-04-11,2141806
2020-04-10,2135890
2020-04-09,2128438
2020-04-08,2115540
2020-04-07,2095672
2020-04-06,2087301
2020-04-05,2085030
2020-04-04,2082314
2020-04-03,2074124
2020-04-02,2070713
2020-04-01,2069846
2020-03-31,2068765
2020-03-30,2065671
2020-03-29,2064580
2020-03-28,2062668
2020-03-27,2061426
2020-03-26,2057609
2020-03-25,2054305
2020-03-24,2051105
2020-03-23,2047760
2020-03-22,2046693
2020-03-21,2045455
2020-03-20,2043552
2020-03-19,2042139
2020-03-18,2041327
2020-03-17,2039621
2020-03-16,2037698
2020-03-15,2036118
2020-03-14,2034859
2020-03-13,2034242
2020-03-12,2033289
2020-03-11,2032681
2020-03-10,2032112
2020-03-09,2031722
2020-03-08,2029136
2020-03-07,2028595
2020-03-06,2028067
2020-03-05,2027461
2020-03-04,2026849
2020-03-03,2026221
2020-03-02,2025852
2020-03-01,2025065
2020-02-29,2023587
2020-02-28,2023261
2020-02-27,2020818
2020-02-26,2019644
2020-02-25,2018699
2020-02-24,2015182
2020-02-23,2013920
2020-02-22,2013126
2020-02-21,2012819
2020-02-20,2010937
2020-02-19,2010402
2020-02-18,2010047
2020-02-17,2009360
2020-02-16,2008900
2020-02-15,2008148
2020-02-14,2007989
2020-02-13,2007465
2020-02-12,2006841
2020-02-11,2006260
2020-02-10,1996772
2020-02-09,1996017
2020-02-08,1995149
2020-02-07,1994678
2020-02-06,1993510
2020-02-05,1992618
2020-02-04,1991690
2020-02-03,1990603
2020-02-02,1989881
2020-02-01,1989261
2020-01-31,1988757
2020-01-30,1987719
2020-01-29,1986929
2020-01-28,1986137
2020-01-27,1985590
2020-01-26,1984853
2020-01-25,1984010
2020-01-24,1983446
2020-01-23,1982819
2020-01-22,1981889
2020-01-21,1981591
2020-01-20,1980756
2020-01-19,1980431
2020-01-18,1980097
2020-01-17,1979099
2020-01-16,1977489
2020-01-15,1976302
2020-01-14,1975664
2020-01-13,1974303
2020-01-12,1972622
2020-01-11,1971410
2020-01-10,1969850
2020-01-09,1967581
2020-01-08,1963603
2020-01-07,1962800
2020-01-06,1960335
2020-01-05,1956875
2020-01-04,1956217
2020-01-03,1953433
2020-01-02,1949833
2020-01-01,1949389
2019-12-31,1948752
2019-12-30,1946565
2019-12-29,1944880
2019-12-28,1944518
2019-12-27,1943286
2019-12-26,1941739
2019-12-25,1941134
2019-12-24,1940842
2019-12-23,1939957
2019-12-22,1938600
2019-12-21,1937832
2019-12-20,1937388
2019-12-19,1935793
2019-12-18,1935493
2019-12-17,1935178
2019-12-16,1933879
2019-12-15,1933489
2019-12-14,1933207
2019-12-13,1931331
2019-12-12,1930334
2019-12-11,1929733
2019-12-10,1928913
2019-12-09,1927729
2019-12-08,1926490
2019-12-07,1925182
2019-12-06,1924724
2019-12-05,1923555
2019-12-04,1922985
2019-12-03,1922194
2019-12-02,1921438
2019-12-01,1919963
2019-11-30,1919718
2019-11-29,1918491
2019-11-28,1917571
2019-11-27,1916776
2019-11-26,1915477
2019-11-25,1913522
2019-11-24,1913048
2019-11-23,1911721
2019-11-22,1911481
2019-11-21,1908906
2019-11-20,1908197
2019-11-19,1907223
2019-11-18,1905876
2019-11-17,1904062
2019-11-16,1902270
2019-11-15,1899944
2019-11-14,1899711
2019-11-13,1899478
2019-11-12,1899201
2019-11-11,1896770
2019-11-10,1896414
2019-11-09,1896086
2019-11-08,1895464
2019-11-07,1894661
2019-11-06,1893804
2019-11-05,1893993
2019-11-04,1891837
2019-11-03,1890491
2019-11-02,1889579
2019-11-01,1888487
2019-10-31,1887182
2019-10-30,1886701
2019-10-29,1886255
2019-10-28,1882012
2019-10-27,1880826
2019-10-26,1878744
2019-10-25,1876241
2019-10-24,1872294
2019-10-23,1870207
2019-10-22,1868755
2019-10-21,1866595
2019-10-20,1865443
2019-10-19,1864597
2019-10-18,1863792
2019-10-17,1862586
2019-10-16,1861080
2019-10-15,1858914
2019-10-14,1856872
2019-10-13,1856194
2019-10-12,1855646
2019-10-11,1854176
2019-10-10,1853902
2019-10-09,1852337
2019-10-08,1851936
2019-10-07,1849552
2019-10-06,1849053
2019-10-05,1847598
2019-10-04,1846902
2019-10-03,1845786
2019-10-02,1844630
2019-10-01,1843291
2019-09-30,1840501
2019-09-29,1840027
2019-09-28,1839320
2019-09-27,1838395
2019-09-26,1838026
2019-09-25,1837010
2019-09-24,1836146
2019-09-23,1832727
2019-09-22,1824622
2019-09-21,1817822
2019-09-20,1812180
2019-09-19,1811580
2019-09-18,1810623
2019-09-17,1808755
2019-09-16,1804905
2019-09-15,1804583
2019-09-12,1799302
2019-09-11,1797598
2019-09-10,1795731
2019-09-09,1788784
2019-09-08,1786902
2019-09-07,1786130
2019-09-05,1782344
2019-09-04,1780655
2019-09-03,1779919
2019-09-02,1778776
2019-09-01,1778560
2019-08-31,1778338
2019-08-30,1776104
2019-08-29,1774712
2019-08-28,1772666
2019-08-27,1771277
2019-08-26,1769980
2019-08-25,1769640
2019-08-24,1768652
2019-08-22,1767811
2019-08-21,1767469
2019-08-20,1766834
2019-08-19,1766543
2019-08-18,1766310
2019-08-17,1766064
2019-08-16,1765841
2019-08-15,1765547
2019-08-14,1765298
2019-08-13,1764985
2019-08-12,1764633
2019-08-11,1764219
2019-08-10,1762957
2019-08-09,1761243
2019-08-08,1760998
2019-08-07,1760778
2019-08-06,1760535
2019-08-05,1760352
2019-08-04,1760155
2019-08-03,1759920
2019-08-02,1759625
2019-08-01,1757638
2019-07-31,1756889
2019-07-30,1756299
2019-07-29,1756027
2019-07-28,1755735
2019-07-27,1755258
2019-07-26,1754534
2019-07-25,1754177
2019-07-24,1753763
2019-07-23,1753040
2019-07-22,1752229
2019-07-21,1751145
2019-07-20,1750792
2019-07-19,1749424
2019-07-18,1748096
2019-07-17,1746802
2019-07-16,1746060
2019-07-15,1744729
2019-07-14,1743697
2019-07-13,1742771
2019-07-12,1740938
2019-07-11,1739706
2019-07-10,1736236
2019-07-09,1734494
2019-07-08,1732389
2019-07-07,1730993
2019-07-06,1729080
2019-07-05,1728532
2019-07-04,1727373
2019-07-03,1725748
2019-07-02,1725169
2019-07-01,1724278
2019-06-30,1723382
2019-06-29,1723113
2019-06-28,1720668
2019-06-27,1719658
2019-06-26,1718846
2019-06-25,1718048
2019-06-24,1715701
2019-06-23,1714412
2019-06-22,1712637
2019-06-21,1711686
2019-06-20,1710164
2019-06-19,1709905
2019-06-18,1709590
2019-06-17,1707823
2019-06-16,1705847
2019-06-15,1705407
2019-06-14,1705091
2019-06-13,1704530
2019-06-12,1703395
2019-06-11,1702257
2019-06-10,1699264
2019-06-09,1698742
2019-06-08,1697861
2019-06-07,1696894
2019-06-06,1696517
2019-06-05,1696216
2019-06-04,1695562
2019-06-03,1695709
2019-06-02,1694311
2019-06-01,1692503
2019-05-31,1687684
2019-05-30,1686722
2019-05-29,1685762
2019-05-28,1684781
2019-05-27,1683261
2019-05-26,1681477
2019-05-25,1681017
2019-05-24,1680005
2019-05-23,1678007
2019-05-22,1676229
2019-05-21,1675403
2019-05-20,1672083
2019-05-19,1671573
2019-05-18,1669138
2019-05-17,1667304
2019-05-16,1665433
2019-05-15,1664430
2019-05-14,1663287
2019-05-13,1660719
2019-05-12,1660236
2019-05-11,1658723
2019-05-10,1657323
2019-05-09,1654757
2019-05-08,1654130
2019-05-07,1648584
2019-05-06,1645870
2019-05-05,1645367
2019-05-04,1644939
2019-05-03,1644578
2019-05-02,1644120
2019-05-01,1643655
2019-04-30,1641998
2019-04-29,1639450
2019-04-28,1638925
2019-04-27,1637023
2019-04-26,1636622
2019-04-25,1636168
2019-04-24,1635646
2019-04-23,1634367
2019-04-22,1629468
2019-04-21,1628605
2019-04-20,1627922
2019-04-19,1625875
2019-04-18,1623368
2019-04-17,1622031
2019-04-16,1620430
2019-04-15,1616526
2019-04-14,1615845
2019-04-13,1614562
2019-04-12,1613435
2019-04-11,1611306
2019-04-10,1610108
2019-04-09,1608635
2019-04-08,1605250
2019-04-07,1604459
2019-04-06,1603147
2019-04-05,1602684
2019-04-04,1601981
2019-04-03,1600122
2019-04-02,1598767
2019-04-01,1593400
2019-03-31,1591830
2019-03-30,1590201
2019-03-29,1588895
2019-03-28,1588538
2019-03-27,1587076
2019-03-26,1586284
2019-03-25,1583157
2019-03-24,1582131
2019-03-23,1581815
2019-03-22,1581568
2019-03-21,1580758
2019-03-20,1579436
2019-03-19,1578513
2019-03-18,1575687
2019-03-17,1575227
2019-03-16,1574766
2019-03-15,1574407
2019-03-14,1574079
2019-03-13,1573682
2019-03-12,1573266
2019-03-11,1572642
2019-03-10,1571970
2019-03-09,1571244
2019-03-08,1570190
2019-03-07,1550609
2019-03-06,1547695
2019-03-05,1546648
2019-03-04,1542747
2019-03-03,1536704
2019-03-02,1530664
2019-03-01,1523629
2019-02-28,1521220
2019-02-27,1519705
2019-02-26,1518204
2019-02-25,1512525
2019-02-24,1511757
2019-02-23,1510212
2019-02-22,1507663
2019-02-21,1505748
2019-02-20,1504989
2019-02-19,1503623
2019-02-18,1498245
2019-02-17,1488400
2019-02-16,1476437
2019-02-15,1474821
2019-02-14,1473900
2019-02-13,1472790
2019-02-12,1469379
2019-02-11,1465458
2019-02-10,1464413
2019-02-09,1461900
2019-02-08,1459711
2019-02-07,1457445
2019-02-06,1454924
2019-02-05,1452868
2019-02-04,1448163
2019-02-03,1447493
2019-02-02,1446401
2019-02-01,1445748
2019-01-31,1444194
2019-01-30,1443350
2019-01-29,1441663
2019-01-28,1436529
2019-01-27,1435670
2019-01-26,1434363
2019-01-25,1432889
2019-01-24,1431384
2019-01-23,1430581
2019-01-22,1429377
2019-01-21,1425246
2019-01-20,1424404
2019-01-19,1423726
2019-01-18,1423239
2019-01-17,1421310
2019-01-16,1419821
2019-01-15,1417306
2019-01-14,1408239
2019-01-13,1407350
2019-01-12,1406508
2019-01-11,1405537
2019-01-10,1403338
2019-01-09,1401361
2019-01-08,1400531
2019-01-07,1398041
2019-01-06,1396700
2019-01-05,1392609
2019-01-04,1390351
2019-01-03,1384698
2019-01-02,1383658
2019-01-01,1382392
2018-12-31,1381310
2018-12-30,1379640
2018-12-29,1378613
2018-12-28,1377598
2018-12-27,1376348
2018-12-26,1375191
2018-12-25,1373616
2018-12-24,1366934
2018-12-23,1364242
2018-12-22,1363665
2018-12-21,1363219
2018-12-20,1361375
2018-12-19,1360697
2018-12-18,1358880
2018-12-17,1354616
2018-12-16,1353888
2018-12-15,1352832
2018-12-14,1352208
2018-12-13,1350797
2018-12-12,1349518
2018-12-11,1348096
2018-12-10,1342149
2018-12-09,1341308
2018-12-08,1340507
2018-12-07,1340013
2018-12-06,1337702
2018-12-05,1336736
2018-12-04,1335718
2018-12-03,1332326
2018-12-02,1331417
2018-12-01,1330582
2018-11-30,1329606
2018-11-29,1328940
2018-11-28,1328248
2018-11-27,1327637
2018-11-26,1323163
2018-11-25,1319336
2018-11-24,1316735
2018-11-23,1315242
2018-11-22,1312827
2018-11-21,1310881
2018-11-20,1309942
2018-11-19,1306465
2018-11-18,1304001
2018-11-17,1301278
2018-11-16,1300128
2018-11-15,1297495
2018-11-14,1295352
2018-11-13,1294267
2018-11-12,1292417
2018-11-11,1285958
2018-11-10,1277752
2018-11-09,1272096
2018-11-08,1270310
2018-11-07,1269442
2018-11-06,1268056
2018-11-05,1263826
2018-11-04,1262588
2018-11-03,1261440
2018-11-02,1259450
2018-11-01,1255235
2018-10-31,1253514
2018-10-30,1251786
2018-10-29,1246201
2018-10-28,1244310
2018-10-27,1243005
2018-10-26,1241592
2018-10-25,1238918
2018-10-24,1237347
2018-10-23,1235305
2018-10-22,1229330
2018-10-21,1227604
2018-10-20,1226270
2018-10-19,1225440
2018-10-18,1223130
2018-10-17,1221921
2018-10-16,1220565
2018-10-15,1216919
2018-10-14,1216085
2018-10-13,1215234
2018-10-12,1213056
2018-10-11,1211569
2018-10-10,1210878
2018-10-09,1209060
2018-10-08,1206083
2018-10-07,1204744
2018-10-06,1203921
2018-10-05,1202926
2018-10-04,1202505
2018-10-03,1201295
2018-10-02,1199551
2018-10-01,1196769
2018-09-30,1194139
2018-09-29,1192085
2018-09-28,1190925
2018-09-27,1188726
2018-09-26,1185848
2018-09-25,1183409
2018-09-24,1175730
2018-09-23,1174948
2018-09-22,1173281
2018-09-21,1171736
2018-09-20,1170628
2018-09-19,1170056
2018-09-18,1168427
2018-09-17,1166733
2018-09-16,1165447
2018-09-15,1164372
2018-09-14,1163397
2018-09-13,1161815
2018-09-12,1161180
2018-09-11,1160216
2018-09-10,1158582
2018-09-09,1157866
2018-09-08,1156372
2018-09-07,1155746
2018-09-06,1154099
2018-09-05,1153317
2018-09-04,1152766
2018-09-03,1151249
2018-09-02,1150072
2018-09-01,1148728
2018-08-31,1147941
2018-08-30,1146626
2018-08-29,1144697
2018-08-28,1143517
2018-08-27,1140842
2018-08-26,1138624
2018-08-25,1136634
2018-08-24,1133773
2018-08-23,1131896
2018-08-22,1129825
2018-08-21,1128496
2018-08-20,1126780
2018-08-19,1125662
2018-08-18,1122994
2018-08-17,1120451
2018-08-16,1119112
2018-08-15,1118084
2018-08-14,1117304
2018-08-13,1116466
2018-08-12,1115698
2018-08-11,1114903
2018-08-10,1114050
2018-08-09,1113086
2018-08-08,1112045
2018-08-07,1110464
2018-08-06,1109410
2018-08-05,1107994
2018-08-04,1106316
2018-08-03,1102533
2018-08-02,1101031
2018-08-01,1097303
2018-07-31,1095126
2018-07-30,1093212
2018-07-29,1091444
2018-07-28,1088534
2018-07-27,1087584
2018-07-26,1085533
2018-07-25,1083112
2018-07-24,1080925
2018-07-23,1079004
2018-07-22,1077749
2018-07-21,1076304
2018-07-20,1075218
2018-07-19,1073118
2018-07-18,1071568
2018-07-17,1070316
2018-07-16,1068745
2018-07-15,1068036
2018-07-14,1065996
2018-07-13,1063766
2018-07-12,1061823
2018-07-11,1060563
2018-07-10,1059280
2018-07-09,1057875
2018-07-08,1056914
2018-07-07,1055730
2018-07-06,1052519
2018-07-05,1051372
2018-07-04,1049590
2018-07-03,1047961
2018-07-02,1046334
2018-07-01,1044745
2018-06-30,1042347
2018-06-29,1019799
2018-06-28,1017286
2018-06-27,1015309
2018-06-26,1013932
2018-06-25,1010475
2018-06-24,1008618
2018-06-23,1007037
2018-06-22,1004812
2018-06-21,1003604
2018-06-20,1002145
2018-06-19,1001040
2018-06-18,996679
2018-06-17,995531
2018-06-16,994544
2018-06-15,993730
2018-06-14,992510
2018-06-13,990068
2018-06-12,984027
2018-06-11,982734
2018-06-10,981521
2018-06-09,980407
2018-06-08,979212
2018-06-07,977590
2018-06-06,976447
2018-06-05,974440
2018-06-04,970972
2018-06-03,967394
2018-06-02,961221
2018-06-01,959761
2018-05-31,957607
2018-05-30,956640
2018-05-29,954434
2018-05-28,950239
2018-05-27,948824
2018-05-26,946566
2018-05-25,945472
2018-05-24,943223
2018-05-23,940460
2018-05-22,938735
2018-05-21,931055
2018-05-20,928983
2018-05-19,922406
2018-05-18,919322
2018-05-17,915562
2018-05-16,913323
2018-05-15,910268
2018-05-14,905367
2018-05-13,901595
2018-05-12,897432
2018-05-11,893830
2018-05-10,881747
2018-05-09,874951
2018-05-08,869998
2018-05-07,865437
2018-05-06,862659
2018-05-05,860687
2018-05-04,859619
2018-05-03,856903
2018-05-02,853483
2018-05-01,850312
2018-04-30,845743
2018-04-29,843678
2018-04-28,839034
2018-04-27,836256
2018-04-26,835032
2018-04-25,832485
2018-04-24,830744
2018-04-23,826223
2018-04-22,824051
2018-04-21,822419
2018-04-20,819299
2018-04-19,818257
2018-04-18,816751
2018-04-17,814541
2018-04-16,809413
2018-04-15,807585
2018-04-14,804216
2018-04-13,802954
2018-04-12,801598
2018-04-11,799591
2018-04-10,796700
2018-04-09,792927
2018-04-08,790819
2018-04-07,789532
2018-04-06,787695
2018-04-05,785106
2018-04-04,782953
2018-04-03,780257
2018-04-02,775284
2018-04-01,765941
2018-03-31,752400
2018-03-30,750612
2018-03-29,747562
2018-03-28,745880
2018-03-27,743016
2018-03-26,738497
2018-03-25,735664
2018-03-24,733541
2018-03-23,731748
2018-03-22,729663
2018-03-21,726500
2018-03-20,723508
2018-03-19,716341
2018-03-18,713344
2018-03-17,710945
2018-03-16,708421
2018-03-15,705215
2018-03-14,700934
2018-03-13,696362
2018-03-12,684503
2018-03-11,676493
2018-03-10,672579
2018-03-09,657243
2018-03-08,653196
2018-03-07,649623
2018-03-06,643243
2018-03-05,632072
2018-03-04,627423
2018-03-03,619750
2018-03-02,611781
2018-03-01,600979
2018-02-28,593220
2018-02-27,587744
2018-02-26,575341
2018-02-25,572491
2018-02-24,569910
2018-02-23,568120
2018-02-22,564967
2018-02-21,562348
2018-02-20,560027
2018-02-19,553271
2018-02-18,541163
2018-02-17,518469
2018-02-16,514843
2018-02-15,512616
2018-02-14,510442
2018-02-13,509039
2018-02-12,505543
2018-02-11,503462
2018-02-10,501203
2018-02-09,499014
2018-02-08,497163
2018-02-07,496318
2018-02-06,495276
2018-02-05,493249
2018-02-04,491943
2018-02-03,491427
2018-02-02,490295
2018-02-01,489404
2018-01-31,488377
2018-01-30,487677
2018-01-29,485786
2018-01-28,484409
2018-01-27,483884
2018-01-26,483460
2018-01-25,482742
2018-01-24,482145
2018-01-23,481535
2018-01-22,480811
2018-01-21,479441
2018-01-20,478358
2018-01-19,477438
2018-01-18,472550
2018-01-17,467738
2018-01-16,463210
2018-01-15,455487
2018-01-14,449568
2018-01-13,444442
2018-01-12,439720
2018-01-11,439001
2018-01-10,438281
2018-01-09,436961
2018-01-08,433807
2018-01-07,432244
2018-01-06,430873
2018-01-05,428838
2018-01-04,427326
2018-01-03,426677
2018-01-02,424908
2018-01-01,421836
2017-12-31,421406
2017-12-30,420659
2017-12-29,419998
2017-12-28,418311
2017-12-27,417642
2017-12-26,416841
2017-12-25,414183
2017-12-24,413647
2017-12-23,413126
2017-12-22,412337
2017-12-21,411647
2017-12-20,409630
2017-12-19,408902
2017-12-18,406964
2017-12-17,406427
2017-12-16,405752
2017-12-15,404485
2017-12-14,403454
