Date,Followers
2020-05-07,3600000
2020-05-06,3600000
2020-05-05,3600000
2020-05-04,3600000
2020-05-03,3590000
2020-05-02,3590000
2020-05-01,3590000
2020-04-30,3590000
2020-04-29,3590000
2020-04-28,3590000
2020-04-27,3590000
2020-04-26,3590000
2020-04-25,3580000
2020-04-24,3580000
2020-04-23,3580000
2020-04-22,3580000
2020-04-21,3580000
2020-04-20,3580000
2020-04-19,3570000
2020-04-18,3570000
2020-04-17,3570000
2020-04-16,3570000
2020-04-15,3570000
2020-04-14,3570000
2020-04-13,3570000
2020-04-12,3570000
2020-04-11,3570000
2020-04-10,3570000
2020-04-09,3570000
2020-04-08,3570000
2020-04-07,3570000
2020-04-06,3560000
2020-04-05,3560000
2020-04-04,3560000
2020-04-03,3560000
2020-04-02,3560000
2020-04-01,3560000
2020-03-31,3560000
2020-03-30,3560000
2020-03-29,3560000
2020-03-28,3550000
2020-03-27,3550000
2020-03-26,3550000
2020-03-25,3550000
2020-03-24,3550000
2020-03-23,3550000
2020-03-22,3550000
2020-03-21,3550000
2020-03-20,3550000
2020-03-19,3550000
2020-03-18,3550000
2020-03-17,3540000
2020-03-16,3540000
2020-03-15,3540000
2020-03-14,3540000
2020-03-13,3540000
2020-03-12,3540000
2020-03-11,3540000
2020-03-10,3540000
2020-03-09,3540000
2020-03-08,3540000
2020-03-07,3540000
2020-03-06,3540000
2020-03-05,3540000
2020-03-04,3540000
2020-03-03,3540000
2020-03-02,3540000
2020-03-01,3540000
2020-02-29,3540000
2020-02-28,3540000
2020-02-27,3530000
2020-02-26,3530000
2020-02-25,3530000
2020-02-24,3530000
2020-02-23,3530000
2020-02-22,3530000
2020-02-21,3530000
2020-02-20,3530000
2020-02-19,3530000
2020-02-18,3530000
2020-02-17,3530000
2020-02-16,3530000
2020-02-15,3520000
2020-02-14,3520000
2020-02-13,3520000
2020-02-12,3520000
2020-02-11,3520000
2020-02-10,3520000
2020-02-09,3520000
2020-02-08,3520000
2020-02-07,3520000
2020-02-06,3520000
2020-02-05,3520000
2020-02-04,3520000
2020-02-03,3520000
2020-02-02,3520000
2020-02-01,3520000
2020-01-31,3520000
2020-01-30,3520000
2020-01-29,3520000
2020-01-28,3520000
2020-01-27,3520000
2020-01-26,3520000
2020-01-25,3520000
2020-01-24,3520000
2020-01-23,3520000
2020-01-22,3520000
2020-01-21,3520000
2020-01-20,3520000
2020-01-19,3520000
2020-01-18,3520000
2020-01-17,3520000
2020-01-16,3520000
2020-01-15,3520000
2020-01-14,3520000
2020-01-13,3520000
2020-01-12,3520000
2020-01-11,3520000
2020-01-10,3520000
2020-01-09,3520000
2020-01-08,3520000
2020-01-07,3520000
2020-01-06,3520000
2020-01-05,3520000
2020-01-04,3520000
2020-01-03,3520000
2020-01-02,3520000
2020-01-01,3520000
2019-12-31,3520000
2019-12-30,3520000
2019-12-29,3520000
2019-12-28,3520000
2019-12-27,3520000
2019-12-26,3520000
2019-12-25,3510000
2019-12-24,3510000
2019-12-23,3510000
2019-12-22,3510000
2019-12-21,3510000
2019-12-20,3510000
2019-12-19,3510000
2019-12-18,3510000
2019-12-17,3510000
2019-12-16,3510000
2019-12-15,3510000
2019-12-14,3510000
2019-12-13,3510000
2019-12-12,3510000
2019-12-11,3510000
2019-12-10,3510000
2019-12-09,3510000
2019-12-08,3510000
2019-12-07,3510000
2019-12-06,3510000
2019-12-05,3510000
2019-12-04,3510000
2019-12-03,3510000
2019-12-02,3510000
2019-12-01,3510000
2019-11-30,3510000
2019-11-29,3510000
2019-11-28,3510000
2019-11-27,3510000
2019-11-26,3510000
2019-11-25,3510000
2019-11-24,3510000
2019-11-23,3510000
2019-11-22,3510000
2019-11-21,3510000
2019-11-20,3510000
2019-11-19,3510000
2019-11-18,3510000
2019-11-17,3510000
2019-11-16,3510000
2019-11-15,3510000
2019-11-14,3510000
2019-11-13,3510000
2019-11-12,3510000
2019-11-11,3510000
2019-11-10,3500000
2019-11-09,3500000
2019-11-08,3500000
2019-11-07,3500000
2019-11-06,3500000
2019-11-05,3500000
2019-11-04,3500000
2019-11-03,3500000
2019-11-02,3500000
2019-11-01,3500000
2019-10-31,3500000
2019-10-30,3500000
2019-10-29,3490000
2019-10-28,3490000
2019-10-27,3490000
2019-10-26,3490000
2019-10-25,3490000
2019-10-24,3490000
2019-10-23,3490000
2019-10-22,3490000
2019-10-21,3490000
2019-10-20,3490000
2019-10-19,3490000
2019-10-18,3490000
2019-10-17,3480000
2019-10-16,3480000
2019-10-15,3480000
2019-10-14,3480000
2019-10-13,3480000
2019-10-12,3480000
2019-10-11,3480000
2019-10-10,3480000
2019-10-09,3480000
2019-10-08,3480000
2019-10-07,3480000
2019-10-06,3480000
2019-10-05,3480000
2019-10-04,3480000
2019-10-03,3480000
2019-10-02,3480000
2019-10-01,3480000
2019-09-30,3480000
2019-09-29,3480000
2019-09-28,3470000
