Date,Followers
2020-05-08,1000703
2020-05-07,1000805
2020-05-06,1000895
2020-05-05,1000925
2020-05-04,1000991
2020-05-03,1001001
2020-05-02,1001009
2020-05-01,1001008
2020-04-30,1001061
2020-04-29,1001075
2020-04-28,1001127
2020-04-27,1001145
2020-04-26,1001109
2020-04-25,1001003
2020-04-24,1000967
2020-04-23,1001002
2020-04-22,1001026
2020-04-21,1001101
2020-04-20,1001178
2020-04-19,1001232
2020-04-18,1001292
2020-04-17,1001323
2020-04-16,1001331
2020-04-15,1001372
2020-04-14,1001403
2020-04-13,1001433
2020-04-12,1001461
2020-04-11,1001491
2020-04-10,1001555
2020-04-09,1001581
2020-04-08,1001583
2020-04-07,1001646
2020-04-06,1001696
2020-04-05,1001721
2020-04-04,1001748
2020-04-03,1001767
2020-04-02,1001793
2020-04-01,1001835
2020-03-31,1001889
2020-03-30,1001981
2020-03-29,1002025
2020-03-28,1002050
2020-03-27,1002080
2020-03-26,1002105
2020-03-25,1002176
2020-03-24,1002224
2020-03-23,1002273
2020-03-22,1002316
2020-03-21,1002429
2020-03-20,1002460
2020-03-19,1002582
2020-03-18,1002624
2020-03-17,1002717
2020-03-16,1002786
2020-03-15,1002847
2020-03-14,1002863
2020-03-13,1002938
2020-03-12,1002997
2020-03-11,1003050
2020-03-10,1003076
2020-03-09,1003116
2020-03-08,1003231
2020-03-07,1003289
2020-03-06,1003315
2020-03-05,1003352
2020-03-04,1003436
2020-03-03,1003462
2020-03-02,1003511
2020-03-01,1003551
2020-02-29,1003574
2020-02-28,1003627
2020-02-27,1003707
2020-02-26,1003767
2020-02-25,1003798
2020-02-24,1003820
2020-02-23,1003852
2020-02-22,1003865
2020-02-21,1003883
2020-02-20,1003905
2020-02-19,1003947
2020-02-18,1004005
2020-02-17,1004041
2020-02-16,1004082
2020-02-15,1004131
2020-02-14,1004174
2020-02-13,1004203
2020-02-12,1004234
2020-02-11,1004285
2020-02-10,1004318
2020-02-09,1004337
2020-02-08,1004347
2020-02-07,1004366
2020-02-06,1004385
2020-02-05,1004413
2020-02-04,1004474
2020-02-03,1004580
2020-02-02,1004628
2020-02-01,1004746
2020-01-31,1004789
2020-01-30,1004826
2020-01-29,1004869
2020-01-28,1004894
2020-01-27,1004941
2020-01-26,1005002
2020-01-25,1005031
2020-01-24,1005042
2020-01-23,1005069
2020-01-22,1005100
2020-01-21,1005139
2020-01-20,1005156
2020-01-19,1005176
2020-01-18,1005192
2020-01-17,1005218
2020-01-16,1005254
2020-01-15,1005266
2020-01-14,1005289
2020-01-13,1005300
2020-01-12,1005318
2020-01-11,1005352
2020-01-10,1005385
2020-01-09,1005426
2020-01-08,1005473
2020-01-07,1005480
2020-01-06,1005501
2020-01-05,1005538
2020-01-04,1005570
2020-01-03,1005613
2020-01-02,1005661
2020-01-01,1005683
2019-12-31,1005695
2019-12-30,1005767
2019-12-29,1005882
2019-12-28,1006017
2019-12-27,1006038
2019-12-26,1006152
2019-12-25,1006222
2019-12-24,1006227
2019-12-23,1006245
2019-12-22,1006248
2019-12-21,1006251
2019-12-20,1006293
2019-12-19,1006304
2019-12-18,1006312
2019-12-17,1006374
2019-12-16,1006420
2019-12-15,1006449
2019-12-14,1006461
2019-12-13,1006481
2019-12-12,1006584
2019-12-11,1006605
2019-12-10,1006622
2019-12-09,1006641
2019-12-08,1006658
2019-12-07,1006717
2019-12-06,1006839
2019-12-05,1006969
2019-12-04,1007057
2019-12-03,1007122
2019-12-02,1007188
2019-12-01,1007243
2019-11-30,1007288
2019-11-29,1007343
2019-11-28,1007419
2019-11-27,1007517
2019-11-26,1007579
2019-11-25,1007770
2019-11-24,1007869
2019-11-23,1007875
2019-11-22,1007924
2019-11-21,1007947
2019-11-20,1007971
2019-11-19,1008011
2019-11-18,1008026
2019-11-17,1008043
2019-11-16,1008075
2019-11-15,1008113
2019-11-14,1008141
2019-11-13,1008205
2019-11-12,1008234
2019-11-11,1008285
2019-11-10,1008300
2019-11-09,1008297
2019-11-08,1008309
2019-11-07,1008317
2019-11-06,1008340
2019-11-05,1008374
2019-11-04,1008385
2019-11-03,1008407
2019-11-02,1008410
2019-11-01,1008422
2019-10-31,1008437
2019-10-30,1008464
2019-10-29,1008478
2019-10-28,1008501
2019-10-27,1008513
2019-10-26,1008534
2019-10-25,1008553
2019-10-24,1008554
2019-10-23,1008570
2019-10-22,1008594
2019-10-21,1008612
2019-10-20,1008638
2019-10-19,1008663
2019-10-18,1008678
2019-10-17,1008687
2019-10-16,1008730
2019-10-15,1008765
2019-10-14,1008790
2019-10-13,1008810
2019-10-12,1008833
2019-10-11,1008865
2019-10-10,1008897
2019-10-09,1008938
2019-10-08,1008984
2019-10-07,1009013
2019-10-06,1009034
2019-10-05,1009044
2019-10-04,1009060
2019-10-03,1009090
2019-10-02,1009119
2019-10-01,1009146
2019-09-30,1009182
2019-09-29,1009220
