Date,Followers
2020-05-08,30122
2020-05-07,30132
2020-05-06,30145
2020-05-05,30152
2020-05-04,30159
2020-05-03,30159
2020-05-02,30164
2020-05-01,30172
2020-04-30,30180
2020-04-29,30182
2020-04-28,30183
2020-04-27,30186
2020-04-26,30195
2020-04-25,30197
2020-04-24,30160
2020-04-23,30160
2020-04-22,30166
2020-04-21,30172
2020-04-20,30176
2020-04-19,30185
2020-04-18,30190
2020-04-17,30211
2020-04-16,30205
2020-04-15,30208
2020-04-14,30213
2020-04-13,30216
2020-04-12,30224
2020-04-11,30230
2020-04-10,30243
2020-04-09,30245
2020-04-08,30251
2020-04-07,30266
2020-04-06,30271
2020-04-05,30277
2020-04-04,30284
2020-04-03,30283
2020-04-02,30287
2020-04-01,30272
2020-03-31,30245
2020-03-30,30184
2020-03-29,30183
2020-03-28,30183
2020-03-27,30191
2020-03-26,30194
2020-03-25,30195
2020-03-24,30200
2020-03-23,30213
2020-03-22,30210
2020-03-21,30228
2020-03-20,30229
2020-03-19,30230
2020-03-18,30237
2020-03-17,30247
2020-03-16,30255
2020-03-15,30266
2020-03-14,30264
2020-03-13,30269
2020-03-12,30279
2020-03-11,30276
2020-03-10,30276
2020-03-09,30281
2020-03-08,30303
2020-03-07,30308
2020-03-06,30311
2020-03-05,30314
2020-03-04,30329
2020-03-03,30333
2020-03-02,30342
2020-03-01,30347
2020-02-29,30348
2020-02-28,30370
2020-02-27,30376
2020-02-26,30384
2020-02-25,30388
2020-02-24,30389
2020-02-23,30393
2020-02-22,30396
2020-02-21,30396
2020-02-20,30396
2020-02-19,30398
2020-02-18,30398
2020-02-17,30404
2020-02-16,30402
2020-02-15,30412
2020-02-14,30413
2020-02-13,30417
2020-02-12,30422
2020-02-11,30422
2020-02-10,30431
2020-02-09,30427
2020-02-08,30426
2020-02-07,30424
2020-02-06,30427
2020-02-05,30434
2020-02-04,30442
2020-02-03,30447
2020-02-02,30452
2020-02-01,30474
2020-01-31,30491
2020-01-30,30490
2020-01-29,30499
2020-01-28,30501
2020-01-27,30502
