Date,Followers
2020-05-07,4530000
2020-05-06,4520000
2020-05-05,4520000
2020-05-04,4510000
2020-05-03,4500000
2020-05-02,4500000
2020-05-01,4490000
2020-04-30,4480000
2020-04-29,4480000
2020-04-28,4470000
2020-04-27,4470000
2020-04-26,4460000
2020-04-25,4460000
2020-04-24,4450000
2020-04-23,4440000
2020-04-22,4440000
2020-04-21,4430000
2020-04-20,4420000
2020-04-19,4420000
2020-04-18,4410000
2020-04-17,4400000
2020-04-16,4390000
2020-04-15,4390000
2020-04-14,4380000
2020-04-13,4370000
2020-04-12,4360000
2020-04-11,4350000
2020-04-10,4340000
2020-04-09,4330000
2020-04-08,4320000
2020-04-07,4310000
2020-04-06,4300000
2020-04-05,4290000
2020-04-04,4280000
2020-04-03,4280000
2020-04-02,4270000
2020-04-01,4260000
2020-03-31,4260000
2020-03-30,4250000
2020-03-29,4240000
2020-03-28,4240000
2020-03-27,4230000
2020-03-26,4220000
2020-03-25,4210000
2020-03-24,4210000
2020-03-23,4200000
2020-03-22,4200000
2020-03-21,4190000
2020-03-20,4190000
2020-03-19,4180000
2020-03-18,4180000
2020-03-17,4180000
2020-03-16,4170000
2020-03-15,4170000
2020-03-14,4170000
2020-03-13,4160000
2020-03-12,4160000
2020-03-11,4160000
2020-03-10,4160000
2020-03-09,4150000
2020-03-08,4150000
2020-03-07,4150000
2020-03-06,4150000
2020-03-05,4150000
2020-03-04,4140000
2020-03-03,4140000
2020-03-02,4140000
2020-03-01,4140000
2020-02-29,4130000
2020-02-28,4130000
2020-02-27,4130000
2020-02-26,4130000
2020-02-25,4120000
2020-02-24,4120000
2020-02-23,4120000
2020-02-22,4120000
2020-02-21,4110000
2020-02-20,4110000
2020-02-19,4110000
2020-02-18,4110000
2020-02-17,4100000
2020-02-16,4100000
2020-02-15,4100000
2020-02-14,4100000
2020-02-13,4090000
2020-02-12,4090000
2020-02-11,4090000
2020-02-10,4080000
2020-02-09,4080000
2020-02-08,4070000
2020-02-07,4070000
2020-02-06,4070000
2020-02-05,4070000
2020-02-04,4060000
2020-02-03,4060000
2020-02-02,4060000
2020-02-01,4050000
2020-01-31,4050000
2020-01-30,4050000
2020-01-29,4050000
2020-01-28,4050000
2020-01-27,4050000
2020-01-26,4040000
2020-01-25,4040000
2020-01-24,4040000
2020-01-23,4040000
2020-01-22,4030000
2020-01-21,4030000
2020-01-20,4030000
2020-01-19,4030000
2020-01-18,4020000
2020-01-17,4020000
2020-01-16,4020000
2020-01-15,4020000
2020-01-14,4010000
2020-01-13,4010000
2020-01-12,4010000
2020-01-11,4000000
2020-01-10,4000000
2020-01-09,4000000
2020-01-08,4000000
2020-01-07,3990000
2020-01-06,3990000
2020-01-05,3990000
2020-01-04,3990000
2020-01-03,3980000
2020-01-02,3980000
2020-01-01,3980000
2019-12-31,3980000
2019-12-30,3970000
2019-12-29,3970000
2019-12-28,3970000
2019-12-27,3970000
2019-12-26,3970000
2019-12-25,3960000
2019-12-24,3960000
2019-12-23,3960000
2019-12-22,3960000
2019-12-21,3960000
2019-12-20,3950000
2019-12-19,3950000
2019-12-18,3950000
2019-12-17,3950000
2019-12-16,3950000
2019-12-15,3940000
2019-12-14,3940000
2019-12-13,3940000
2019-12-12,3940000
2019-12-11,3940000
2019-12-10,3930000
2019-12-09,3930000
2019-12-08,3930000
2019-12-07,3930000
2019-12-06,3930000
2019-12-05,3920000
2019-12-04,3920000
2019-12-03,3920000
2019-12-02,3920000
2019-12-01,3920000
2019-11-30,3920000
2019-11-29,3910000
2019-11-28,3910000
2019-11-27,3910000
2019-11-26,3910000
2019-11-25,3910000
2019-11-24,3900000
2019-11-23,3900000
2019-11-22,3900000
2019-11-21,3900000
2019-11-20,3900000
2019-11-19,3890000
2019-11-18,3890000
2019-11-17,3890000
2019-11-16,3890000
2019-11-15,3880000
2019-11-14,3880000
2019-11-13,3880000
2019-11-12,3880000
2019-11-11,3880000
2019-11-10,3870000
2019-11-09,3870000
2019-11-08,3870000
2019-11-07,3870000
2019-11-06,3870000
2019-11-05,3860000
2019-11-04,3860000
