Date,Followers
2020-05-07,5731731
2020-05-06,5724812
2020-05-05,5715535
2020-05-04,5708677
2020-05-03,5701470
2020-05-02,5694698
2020-05-01,5688223
2020-04-30,5681763
2020-04-29,5674444
2020-04-28,5667238
2020-04-27,5659359
2020-04-26,5649678
2020-04-25,5626523
2020-04-24,5614442
2020-04-23,5606476
2020-04-22,5598868
2020-04-21,5592122
2020-04-20,5585508
2020-04-19,5578693
2020-04-18,5572365
2020-04-17,5564724
2020-04-16,5557254
2020-04-15,5549018
2020-04-14,5538187
2020-04-13,5515863
2020-04-12,5499822
2020-04-11,5493911
2020-04-10,5487524
2020-04-09,5479958
2020-04-08,5472010
2020-04-07,5462770
2020-04-06,5454669
2020-04-05,5447049
2020-04-04,5439346
2020-04-03,5431183
2020-04-02,5422439
2020-04-01,5410210
2020-03-31,5402246
2020-03-30,5393917
2020-03-29,5384720
2020-03-28,5375485
2020-03-27,5360823
2020-03-26,5351091
2020-03-25,5342518
2020-03-24,5335084
2020-03-23,5327455
2020-03-22,5316098
2020-03-21,5308207
2020-03-20,5301538
2020-03-19,5295273
2020-03-18,5288605
2020-03-17,5281930
2020-03-16,5274762
2020-03-15,5268372
2020-03-14,5261647
2020-03-13,5255435
2020-03-12,5248648
2020-03-11,5242514
2020-03-10,5237028
2020-03-09,5231243
2020-03-08,5224181
2020-03-07,5217319
2020-03-06,5211201
2020-03-05,5206964
2020-03-04,5201949
2020-03-03,5195628
2020-03-02,5189518
2020-03-01,5181986
2020-02-29,5175856
2020-02-28,5172732
2020-02-27,5166161
2020-02-26,5158648
2020-02-25,5150691
2020-02-24,5144187
2020-02-23,5136896
2020-02-22,5130064
2020-02-21,5124483
2020-02-20,5118404
2020-02-19,5111433
2020-02-18,5104730
2020-02-17,5097747
2020-02-16,5090453
2020-02-15,5084217
2020-02-14,5079156
2020-02-13,5070259
2020-02-12,5057722
2020-02-11,5042754
2020-02-10,5026461
2020-02-09,5008000
2020-02-08,4930504
2020-02-07,4886073
2020-02-06,4880297
2020-02-05,4875096
2020-02-04,4869898
2020-02-03,4863409
2020-02-02,4856946
2020-02-01,4850845
2020-01-31,4845361
2020-01-30,4839795
2020-01-29,4834441
2020-01-28,4829146
2020-01-27,4824498
2020-01-26,4817167
2020-01-25,4813010
2020-01-24,4808613
2020-01-23,4804712
2020-01-22,4799228
2020-01-21,4793118
2020-01-20,4787440
2020-01-19,4783037
2020-01-18,4777650
2020-01-17,4773723
2020-01-16,4769328
2020-01-15,4764610
2020-01-14,4758584
2020-01-13,4753462
2020-01-12,4747054
2020-01-11,4741080
2020-01-10,4735402
2020-01-09,4729349
2020-01-08,4721387
2020-01-07,4712914
2020-01-06,4704466
2020-01-05,4693836
2020-01-04,4681253
2020-01-03,4668729
2020-01-02,4659443
2020-01-01,4651341
2019-12-31,4644348
2019-12-30,4636221
2019-12-29,4628288
2019-12-28,4619626
2019-12-27,4611228
2019-12-26,4602840
2019-12-25,4593679
2019-12-24,4583955
2019-12-23,4573277
2019-12-22,4563295
2019-12-21,4556175
2019-12-20,4549302
2019-12-19,4535142
2019-12-18,4527307
2019-12-17,4518831
2019-12-16,4512181
2019-12-15,4504299
2019-12-14,4494968
2019-12-13,4487469
2019-12-12,4479922
2019-12-11,4472757
2019-12-10,4465566
2019-12-09,4457157
2019-12-08,4449268
2019-12-07,4443703
2019-12-06,4439130
2019-12-05,4433504
2019-12-04,4428191
2019-12-03,4422835
2019-12-02,4417598
2019-12-01,4411602
2019-11-30,4405294
2019-11-29,4399743
2019-11-28,4395040
2019-11-27,4389449
2019-11-26,4383653
2019-11-25,4377794
2019-11-24,4371981
2019-11-23,4364776
2019-11-22,4359916
2019-11-21,4354983
2019-11-20,4349235
2019-11-19,4343782
2019-11-18,4339748
2019-11-17,4334291
2019-11-16,4328080
2019-11-15,4314009
2019-11-14,4308726
2019-11-13,4305089
2019-11-12,4302239
2019-11-11,4286677
2019-11-10,4253865
2019-11-09,4073479
2019-11-08,4016541
2019-11-07,4012407
2019-11-06,4006652
2019-11-05,4001314
2019-11-04,3996284
2019-11-03,3990149
2019-11-02,3983567
2019-11-01,3976272
2019-10-31,3966391
2019-10-30,3946418
2019-10-29,3911445
2019-10-28,3900740
2019-10-27,3888953
2019-10-26,3872979
2019-10-25,3857306
2019-10-24,3853059
2019-10-23,3847699
2019-10-22,3838036
2019-10-21,3834887
2019-10-20,3829794
2019-10-19,3826014
2019-10-18,3822388
2019-10-17,3817988
2019-10-16,3813244
2019-10-15,3808429
2019-10-14,3797565
2019-10-13,3770619
2019-10-12,3766589
2019-10-11,3761414
2019-10-10,3757165
2019-10-09,3752563
2019-10-08,3748456
2019-10-07,3742562
2019-10-06,3736782
2019-10-05,3731308
2019-10-04,3727012
2019-10-03,3722404
2019-10-02,3718203
2019-10-01,3714103
2019-09-30,3708617
2019-09-29,3703558
2019-09-28,3698192
2019-09-27,3692880
2019-09-26,3688685
2019-09-25,3684483
2019-09-24,3680175
2019-09-23,3675551
2019-09-22,3669320
2019-09-21,3663934
2019-09-20,3659230
2019-09-19,3654211
2019-09-18,3648727
2019-09-17,3643860
2019-09-16,3639223
2019-09-15,3634306
2019-09-14,3629344
2019-09-13,3623805
2019-09-12,3619783
2019-09-11,3614496
2019-09-10,3606095
2019-09-09,3599123
2019-09-08,3593415
2019-09-07,3587678
2019-09-06,3581810
2019-09-05,3576398
2019-09-04,3570686
2019-09-03,3562838
2019-09-02,3556536
2019-09-01,3550594
2019-08-31,3543638
2019-08-30,3537177
2019-08-29,3530699
2019-08-28,3525150
2019-08-27,3518943
2019-08-26,3512133
2019-08-25,3501916
2019-08-24,3490756
2019-08-23,3485834
2019-08-22,3480960
2019-08-21,3475288
2019-08-20,3465615
2019-08-19,3459599
2019-08-18,3454284
2019-08-17,3449212
2019-08-16,3444761
2019-08-15,3440477
2019-08-14,3435834
2019-08-13,3430795
2019-08-12,3424774
2019-08-11,3418387
2019-08-10,3412333
2019-08-09,3406008
2019-08-08,3399269
2019-08-07,3391411
2019-08-06,3385346
2019-08-05,3379038
2019-08-04,3371904
2019-08-03,3361778
2019-08-02,3357117
2019-08-01,3352045
2019-07-31,3346331
2019-07-30,3341825
2019-07-29,3338687
2019-07-28,3336370
2019-07-27,3329403
2019-07-26,3318585
2019-07-25,3286502
2019-07-24,3029148
2019-07-23,2943616
2019-07-22,2939554
2019-07-21,2935124
2019-07-20,2930984
2019-07-19,2926680
2019-07-18,2921806
2019-07-17,2916793
2019-07-16,2911100
2019-07-15,2905940
2019-07-14,2901018
2019-07-13,2896261
2019-07-12,2890675
2019-07-11,2887347
2019-07-10,2881833
2019-07-09,2877085
2019-07-08,2871410
2019-07-07,2865574
2019-07-06,2860530
2019-07-05,2854223
2019-07-04,2850246
2019-07-03,2845380
2019-07-02,2840141
2019-07-01,2836302
2019-06-30,2831388
2019-06-29,2826587
2019-06-28,2821779
2019-06-27,2816483
2019-06-26,2811621
2019-06-25,2805954
2019-06-24,2800576
2019-06-23,2793848
2019-06-22,2786124
2019-06-21,2780818
2019-06-20,2776417
2019-06-19,2771677
2019-06-18,2767131
2019-06-17,2762079
2019-06-16,2755832
2019-06-15,2749020
2019-06-14,2744722
2019-06-13,2738087
2019-06-12,2730255
2019-06-11,2724798
2019-06-10,2719535
2019-06-09,2711895
2019-06-08,2700005
2019-06-07,2694505
2019-06-06,2687735
2019-06-05,2682639
2019-06-04,2677564
2019-06-03,2671711
2019-06-02,2665619
2019-06-01,2658126
2019-05-31,2649437
2019-05-30,2644908
2019-05-29,2642555
2019-05-28,2638214
2019-05-27,2632849
2019-05-26,2626174
2019-05-25,2618815
2019-05-24,2613247
2019-05-23,2605788
2019-05-22,2597870
2019-05-21,2593654
2019-05-20,2583187
2019-05-19,2575927
2019-05-18,2576491
2019-05-17,2578944
2019-05-16,2583234
2019-05-15,2608848
2019-05-14,2613617
2019-05-13,2615318
