Date,Followers
2020-05-07,34700000
2020-05-06,34700000
2020-05-05,34700000
2020-05-04,34600000
2020-05-03,34600000
2020-05-02,34600000
2020-05-01,34500000
2020-04-30,34500000
2020-04-29,34400000
2020-04-28,34400000
2020-04-27,34300000
2020-04-26,34300000
2020-04-25,34200000
2020-04-24,34200000
2020-04-23,34200000
2020-04-22,34200000
2020-04-21,34100000
2020-04-20,34100000
2020-04-19,34100000
2020-04-18,34100000
2020-04-17,34000000
2020-04-16,34000000
2020-04-15,34000000
2020-04-14,33900000
2020-04-13,33900000
2020-04-12,33800000
2020-04-11,33700000
2020-04-10,33700000
2020-04-09,33600000
2020-04-08,33600000
2020-04-07,33600000
2020-04-06,33600000
2020-04-05,33500000
2020-04-04,33500000
2020-04-03,33500000
2020-04-02,33500000
2020-04-01,33400000
2020-03-31,33400000
2020-03-30,33400000
2020-03-29,33300000
2020-03-28,33200000
2020-03-27,33200000
2020-03-26,33100000
2020-03-25,33000000
2020-03-24,33000000
2020-03-23,32900000
2020-03-22,32700000
2020-03-21,32600000
2020-03-20,32500000
2020-03-19,32400000
2020-03-18,32300000
2020-03-17,32200000
2020-03-16,32100000
2020-03-15,32100000
2020-03-14,32000000
2020-03-13,32000000
2020-03-12,31900000
2020-03-11,31900000
2020-03-10,31800000
2020-03-09,31700000
2020-03-08,31500000
2020-03-07,31400000
2020-03-06,31400000
2020-03-05,31300000
2020-03-04,31300000
2020-03-03,31300000
2020-03-02,31200000
2020-03-01,31100000
2020-02-29,31000000
2020-02-28,30900000
2020-02-27,30800000
2020-02-26,30700000
2020-02-25,30600000
2020-02-24,30600000
2020-02-23,30500000
2020-02-22,30400000
2020-02-21,30400000
2020-02-20,30300000
2020-02-19,30300000
2020-02-18,30300000
2020-02-17,30200000
2020-02-16,30100000
2020-02-15,30000000
2020-02-14,29900000
2020-02-13,29900000
2020-02-12,29900000
2020-02-11,29800000
2020-02-10,29800000
2020-02-09,29700000
2020-02-08,29600000
2020-02-07,29600000
2020-02-06,29500000
2020-02-05,29500000
2020-02-04,29400000
2020-02-03,29400000
2020-02-02,29300000
2020-02-01,29200000
2020-01-31,29200000
2020-01-30,29200000
2020-01-29,29100000
2020-01-28,29100000
2020-01-27,29100000
2020-01-26,29000000
2020-01-25,28900000
2020-01-24,28900000
2020-01-23,28900000
2020-01-22,28900000
2020-01-21,28800000
2020-01-20,28800000
2020-01-19,28800000
2020-01-18,28800000
2020-01-17,28800000
2020-01-16,28700000
2020-01-15,28700000
2020-01-14,28700000
2020-01-13,28700000
2020-01-12,28700000
2020-01-11,28700000
2020-01-10,28600000
2020-01-09,28600000
2020-01-08,28600000
2020-01-07,28600000
2020-01-06,28600000
2020-01-05,28500000
2020-01-04,28500000
2020-01-03,28400000
2020-01-02,28400000
2020-01-01,28400000
2019-12-31,28300000
2019-12-30,28300000
2019-12-29,28200000
2019-12-28,28100000
2019-12-27,28100000
2019-12-26,28000000
2019-12-25,27900000
2019-12-24,27800000
2019-12-23,27600000
2019-12-22,27500000
2019-12-21,27400000
2019-12-20,27300000
2019-12-19,27200000
2019-12-18,27200000
2019-12-17,27200000
2019-12-16,27100000
2019-12-15,27100000
2019-12-14,27000000
2019-12-13,27000000
2019-12-12,27000000
2019-12-11,26900000
2019-12-10,26900000
2019-12-09,26800000
2019-12-08,26800000
2019-12-07,26700000
2019-12-06,26600000
2019-12-05,26500000
2019-12-04,26500000
2019-12-03,26500000
2019-12-02,26500000
2019-12-01,26400000
2019-11-30,26400000
2019-11-29,26300000
2019-11-28,26300000
2019-11-27,26300000
2019-11-26,26300000
2019-11-25,26300000
2019-11-24,26200000
2019-11-23,26200000
2019-11-22,26200000
2019-11-21,26200000
2019-11-20,26100000
2019-11-19,26100000
2019-11-18,26100000
2019-11-17,26100000
2019-11-16,26000000
2019-11-15,25900000
2019-11-14,25900000
2019-11-13,25800000
2019-11-12,25800000
2019-11-11,25800000
2019-11-10,25700000
2019-11-09,25700000
2019-11-08,25700000
2019-11-07,25600000
2019-11-06,25600000
2019-11-05,25600000
