Date,Followers
2020-05-07,1100000
2020-05-06,1100000
2020-05-05,1100000
2020-05-04,1100000
2020-05-03,1100000
2020-05-02,1100000
2020-05-01,1100000
2020-04-30,1100000
2020-04-29,1100000
2020-04-28,1100000
2020-04-27,1100000
2020-04-26,1100000
2020-04-25,1100000
2020-04-24,1100000
2020-04-23,1100000
2020-04-22,1100000
2020-04-21,1100000
2020-04-20,1100000
2020-04-19,1100000
2020-04-18,1100000
2020-04-17,1100000
2020-04-16,1100000
2020-04-15,1100000
2020-04-14,1100000
2020-04-13,1100000
2020-04-12,1100000
2020-04-11,1100000
2020-04-10,1100000
2020-04-09,1100000
2020-04-08,1100000
2020-04-07,1100000
2020-04-06,1100000
2020-04-05,1100000
2020-04-04,1100000
2020-04-03,1100000
2020-04-02,1100000
2020-04-01,1100000
2020-03-31,1100000
2020-03-30,1100000
2020-03-29,1100000
2020-03-28,1100000
2020-03-27,1100000
2020-03-26,1100000
2020-03-25,1100000
2020-03-24,1100000
2020-03-23,1100000
2020-03-22,1100000
2020-03-21,1100000
2020-03-20,1100000
2020-03-19,1100000
2020-03-18,1100000
2020-03-17,1100000
2020-03-16,1100000
2020-03-15,1100000
2020-03-14,1100000
2020-03-13,1100000
2020-03-12,1100000
2020-03-11,1100000
2020-03-10,1100000
2020-03-09,1100000
2020-03-08,1100000
2020-03-07,1100000
2020-03-06,1100000
2020-03-05,1100000
2020-03-04,1100000
2020-03-03,1100000
2020-03-02,1100000
2020-03-01,1100000
2020-02-29,1100000
2020-02-28,1100000
2020-02-27,1100000
2020-02-26,1100000
2020-02-25,1100000
2020-02-24,1100000
2020-02-23,1100000
2020-02-22,1100000
2020-02-21,1100000
2020-02-20,1100000
2020-02-19,1100000
2020-02-18,1100000
2020-02-17,1100000
2020-02-16,1100000
2020-02-15,1100000
2020-02-14,1100000
2020-02-13,1100000
2020-02-12,1100000
2020-02-11,1100000
2020-02-10,1100000
2020-02-09,1100000
2020-02-08,1100000
2020-02-07,1100000
2020-02-06,1100000
2020-02-05,1100000
2020-02-04,1100000
2020-02-03,1100000
2020-02-02,1100000
2020-02-01,1100000
2020-01-31,1100000
2020-01-30,1100000
2020-01-29,1100000
2020-01-28,1100000
