Date,Youtube,Twitter,Twitch
2018-03-19,5088473.0,989714.0,3722591.0
2018-03-20,5234127.0,1018270.0,3774898.0
2018-03-21,5337626.0,1039320.0,3858901.0
2018-03-22,5476555.0,1055722.0,3951332.0
2018-03-23,5617393.0,1069971.0,4031639.0
2018-03-24,5764913.0,1094760.0,4093131.0
2018-03-25,5910756.0,1119771.0,4174271.0
2018-03-26,5967411.0,1137858.0,4272569.0
2018-03-27,6165218.0,1155111.0,4342413.0
2018-03-28,6246487.0,1178978.0,4409640.0
2018-03-29,6396876.0,1204253.0,4449266.0
2018-03-30,6548840.0,1231392.0,4523273.0
2018-03-31,6602511.0,1257210.0,4595851.0
2018-04-01,6787173.0,1281664.0,4680224.0
2018-04-02,6842097.0,1310876.0,4756969.0
2018-04-03,6953184.0,1331701.0,4833748.0
2018-04-04,7081510.0,1347700.0,4899702.0
2018-04-05,7210812.0,1367405.0,4974701.0
2018-04-06,7322630.0,1379997.0,5042793.0
2018-04-07,7421182.0,1389233.0,5095281.0
2018-04-08,7538131.0,1405664.0,5138825.0
2018-04-09,7647351.0,1425152.0,5228846.0
2018-04-10,7763217.0,1441234.0,5304565.0
2018-04-11,7871935.0,1459651.0,5375542.0
2018-04-12,7987045.0,1512554.0,5436130.0
2018-04-13,8029225.0,1552977.0,5498019.0
2018-04-14,8123555.0,1575386.0,5535675.0
2018-04-15,8219618.0,1591319.0,5606304.0
2018-04-16,8348357.0,1607982.0,5678603.0
2018-04-17,8477544.0,1621001.0,5730337.0
2018-04-18,8517045.0,1638374.0,5781968.0
2018-04-19,8630033.0,1663562.0,5832786.0
2018-04-20,8745471.0,1678378.0,5877177.0
2018-04-21,8783499.0,1689816.0,5909787.0
2018-04-22,8887950.0,1707665.0,5980427.0
2018-04-23,9053604.0,1725738.0,6028552.0
2018-04-24,9168513.0,1743053.0,6058345.0
2018-04-25,9266493.0,1761208.0,6103828.0
2018-04-26,9346138.0,1790299.0,6151393.0
2018-04-27,9419384.0,1813436.0,6192190.0
2018-04-28,9495495.0,1827809.0,6232030.0
2018-04-29,9578620.0,1843175.0,6286512.0
2018-04-30,9676207.0,1866083.0,6338786.0
2018-05-01,9719200.0,1903043.0,6387234.0
2018-05-02,9834439.0,1915329.0,6445834.0
2018-05-03,9956749.0,1930588.0,6470654.0
2018-05-04,10070470.0,1945009.0,6515601.0
2018-05-05,10120301.0,1960429.0,6553844.0
2018-05-06,10232183.0,1973353.0,6592578.0
2018-05-07,10369998.0,1984756.0,6638267.0
