Date,Followers
2020-05-07,14680658
2020-05-06,14682782
2020-05-05,14683103
2020-05-04,14683385
2020-05-03,14678873
2020-05-02,14684540
2020-05-01,14684838
2020-04-30,14688510
2020-04-29,14688804
2020-04-28,14688867
2020-04-27,14689151
2020-04-26,14689432
2020-04-25,14689156
2020-04-24,14689142
2020-04-23,14689013
2020-04-22,14688871
2020-04-21,14704604
2020-04-20,14698408
2020-04-19,14698922
2020-04-18,14699057
2020-04-17,14708001
2020-04-16,14708229
2020-04-15,14708361
2020-04-14,14709005
2020-04-13,14709805
2020-04-12,14710677
2020-04-11,14711558
2020-04-10,14712299
2020-04-09,14712922
2020-04-08,14713713
2020-04-07,14715446
2020-04-06,14716011
2020-04-05,14715541
2020-04-04,14716412
2020-04-03,14718017
2020-04-02,14718373
2020-04-01,14718856
2020-03-31,14719516
2020-03-30,14720079
2020-03-29,14720591
2020-03-28,14721262
2020-03-27,14721787
2020-03-26,14722045
2020-03-25,14711508
2020-03-24,14711744
2020-03-23,14711973
2020-03-22,14712155
2020-03-21,14712333
2020-03-20,14712470
2020-03-19,14712607
2020-03-18,14712831
2020-03-17,14713015
2020-03-16,14712711
2020-03-15,14712714
2020-03-14,14712852
2020-03-13,14712961
2020-03-12,14712921
2020-03-11,14713011
2020-03-10,14713543
2020-03-09,14713782
2020-03-08,14710819
2020-03-07,14710892
2020-03-06,14711038
2020-03-05,14711158
2020-03-04,14711449
2020-03-03,14711727
2020-03-02,14711928
2020-03-01,14712181
2020-02-29,14712314
2020-02-28,14712454
2020-02-27,14712374
2020-02-26,14712306
2020-02-25,14728961
2020-02-24,14729545
2020-02-23,14729429
2020-02-22,14728691
2020-02-21,14727592
2020-02-20,14727284
2020-02-19,14727485
2020-02-18,14727690
2020-02-17,14727869
2020-02-16,14682828
2020-02-15,14683461
2020-02-14,14684115
2020-02-13,14684506
2020-02-12,14684831
2020-02-11,14685147
2020-02-10,14685932
2020-02-09,14687020
2020-02-08,14687467
2020-02-07,14687632
2020-02-06,14687860
2020-02-05,14688574
2020-02-04,14689344
2020-02-03,14689497
2020-02-02,14689603
2020-02-01,14689715
2020-01-31,14689928
2020-01-30,14690300
2020-01-29,14690377
2020-01-28,14691003
2020-01-27,14691776
2020-01-26,14692696
2020-01-25,14692698
2020-01-24,14692445
2020-01-23,14692674
2020-01-22,14693114
2020-01-21,14693040
2020-01-20,14693540
2020-01-19,14693448
2020-01-18,14691862
2020-01-17,14691221
2020-01-16,14690495
2020-01-15,14690656
2020-01-14,14691733
2020-01-13,14692809
2020-01-12,14694020
2020-01-11,14695219
2020-01-10,14697677
2020-01-09,14698705
2020-01-08,14698733
2020-01-07,14699605
2020-01-06,14700860
