Date,Followers
2020-05-07,5771544
2020-05-06,5766778
2020-05-05,5761168
2020-05-04,5754797
2020-05-03,5750743
2020-05-02,5746895
2020-05-01,5742594
2020-04-30,5738281
2020-04-29,5733248
2020-04-28,5727651
2020-04-27,5722735
2020-04-26,5716881
2020-04-25,5706170
2020-04-24,5700638
2020-04-23,5695980
2020-04-22,5691643
2020-04-21,5687832
2020-04-20,5682115
2020-04-19,5679106
2020-04-18,5675711
2020-04-17,5671343
2020-04-16,5668640
2020-04-15,5664731
2020-04-14,5659144
2020-04-13,5655755
2020-04-12,5653034
2020-04-11,5650776
2020-04-10,5647728
2020-04-09,5644858
2020-04-08,5641097
2020-04-07,5637528
2020-04-06,5634186
2020-04-05,5631027
2020-04-04,5627714
2020-04-03,5621798
2020-04-02,5618499
2020-04-01,5614999
2020-03-31,5611965
2020-03-30,5608690
2020-03-29,5605606
2020-03-28,5602670
2020-03-27,5600014
2020-03-26,5597001
2020-03-25,5593628
2020-03-24,5590249
2020-03-23,5586924
2020-03-22,5583975
2020-03-21,5581890
2020-03-20,5580702
2020-03-19,5578572
2020-03-18,5577315
2020-03-17,5575007
2020-03-16,5572732
2020-03-15,5570098
2020-03-14,5567602
2020-03-13,5565143
2020-03-12,5562980
2020-03-11,5561595
2020-03-10,5559923
2020-03-09,5558142
2020-03-08,5556176
2020-03-07,5554219
2020-03-06,5552212
2020-03-05,5550210
2020-03-04,5547752
2020-03-03,5544503
2020-03-02,5541411
2020-03-01,5538061
2020-02-29,5534534
2020-02-28,5531593
2020-02-27,5529372
2020-02-26,5526969
2020-02-25,5524613
2020-02-24,5521327
2020-02-23,5514801
2020-02-22,5510364
2020-02-21,5508056
2020-02-20,5505475
2020-02-19,5498394
2020-02-18,5493122
2020-02-17,5488604
2020-02-16,5485079
2020-02-15,5482825
2020-02-14,5481043
2020-02-13,5479251
2020-02-12,5477461
2020-02-11,5476035
2020-02-10,5474098
2020-02-09,5472124
2020-02-08,5470213
2020-02-07,5468476
2020-02-06,5466778
2020-02-05,5464626
2020-02-04,5462337
2020-02-03,5459935
2020-02-02,5458017
2020-02-01,5455555
2020-01-31,5453027
2020-01-30,5449891
2020-01-29,5447602
2020-01-28,5445475
2020-01-27,5443188
2020-01-26,5439679
2020-01-25,5437065
2020-01-24,5434338
2020-01-23,5431980
2020-01-22,5429603
2020-01-21,5426892
2020-01-20,5422970
2020-01-19,5419909
2020-01-18,5415921
2020-01-17,5412381
2020-01-16,5408454
2020-01-15,5401102
2020-01-14,5398950
2020-01-13,5397336
2020-01-12,5395727
2020-01-11,5393827
2020-01-10,5392051
2020-01-09,5390531
2020-01-08,5388746
2020-01-07,5386500
2020-01-06,5384883
2020-01-05,5382909
2020-01-04,5380452
2020-01-03,5378415
2020-01-02,5376534
2020-01-01,5374411
2019-12-31,5372759
2019-12-30,5371419
2019-12-29,5369822
2019-12-28,5368366
2019-12-27,5366601
2019-12-26,5364762
2019-12-25,5362520
2019-12-24,5360189
2019-12-23,5358466
2019-12-22,5356354
2019-12-21,5354158
2019-12-20,5351864
2019-12-19,5349896
2019-12-18,5347258
2019-12-17,5343475
2019-12-16,5340958
2019-12-15,5338466
2019-12-14,5334876
2019-12-13,5332569
2019-12-12,5330579
2019-12-11,5328539
2019-12-10,5325873
2019-12-09,5323060
2019-12-08,5319740
2019-12-07,5317574
2019-12-06,5315934
2019-12-05,5314281
2019-12-04,5313043
2019-12-03,5311326
2019-12-02,5309492
2019-12-01,5307415
2019-11-30,5305252
2019-11-29,5303598
2019-11-28,5303167
2019-11-27,5302015
2019-11-26,5300366
2019-11-25,5298613
2019-11-24,5297325
2019-11-23,5295346
2019-11-22,5293465
2019-11-21,5291826
2019-11-20,5290109
2019-11-19,5287996
2019-11-18,5286385
2019-11-17,5284827
2019-11-16,5283745
2019-11-15,5282271
2019-11-14,5280638
2019-11-13,5279615
2019-11-12,5277843
2019-11-11,5276573
2019-11-10,5274317
2019-11-09,5270831
2019-11-08,5268395
2019-11-07,5266484
2019-11-06,5264723
2019-11-05,5262687
2019-11-04,5260184
2019-11-03,5256912
2019-11-02,5253941
2019-11-01,5250947
2019-10-31,5248611
2019-10-30,5244940
2019-10-29,5240908
2019-10-28,5236757
2019-10-27,5232186
2019-10-26,5227349
2019-10-25,5223675
2019-10-24,5218957
2019-10-23,5215700
2019-10-22,5211561
2019-10-21,5207634
2019-10-20,5203869
2019-10-19,5199520
2019-10-18,5194390
2019-10-17,5186143
2019-10-16,5172887
2019-10-15,5164443
2019-10-14,5094941
2019-10-13,4918301
2019-10-12,4914274
2019-10-11,4911359
2019-10-10,4908537
2019-10-09,4906025
2019-10-08,4904066
2019-10-07,4902175
2019-10-06,4899918
2019-10-05,4896948
2019-10-04,4894039
2019-10-03,4891132
2019-10-02,4888795
2019-10-01,4886354
2019-09-30,4883734
2019-09-29,4880855
2019-09-28,4877415
2019-09-27,4875078
2019-09-26,4871677
2019-09-25,4866957
2019-09-24,4863725
2019-09-23,4861126
2019-09-22,4856674
2019-09-21,4854493
2019-09-20,4852180
2019-09-19,4850250
2019-09-18,4848212
2019-09-17,4845779
2019-09-16,4844066
2019-09-15,4841788
2019-09-14,4839049
2019-09-13,4836821
2019-09-12,4835312
2019-09-11,4833287
2019-09-10,4830907
2019-09-09,4827924
2019-09-08,4825107
2019-09-07,4821985
2019-09-06,4818735
2019-09-05,4815413
2019-09-04,4812131
2019-09-03,4808358
2019-09-02,4804712
2019-09-01,4800870
2019-08-31,4794340
2019-08-30,4790188
2019-08-29,4784933
2019-08-28,4776991
2019-08-27,4763903
2019-08-26,4758585
2019-08-25,4754761
2019-08-24,4750300
2019-08-23,4746342
2019-08-22,4742541
2019-08-21,4738207
2019-08-20,4733482
2019-08-19,4728599
2019-08-18,4724025
2019-08-17,4719583
2019-08-16,4715556
2019-08-15,4710838
2019-08-14,4705424
2019-08-13,4698180
2019-08-12,4687602
2019-08-11,4665956
2019-08-10,4660926
2019-08-09,4655261
2019-08-08,4650148
2019-08-07,4643584
2019-08-06,4638092
2019-08-05,4632296
2019-08-04,4626581
2019-08-03,4620948
2019-08-02,4612554
2019-08-01,4591786
2019-07-31,4580257
2019-07-30,4573658
2019-07-29,4566565
2019-07-28,4558934
2019-07-27,4552541
2019-07-26,4547592
2019-07-25,4543331
2019-07-24,4538998
2019-07-23,4536022
2019-07-22,4533028
2019-07-21,4530211
2019-07-20,4526820
2019-07-19,4523798
2019-07-18,4520588
2019-07-17,4516188
2019-07-16,4511720
2019-07-15,4508894
2019-07-14,4506063
2019-07-13,4503489
2019-07-12,4499562
2019-07-11,4497510
2019-07-10,4494344
2019-07-09,4491353
2019-07-08,4487391
2019-07-07,4484623
2019-07-06,4482215
2019-07-05,4479711
2019-07-04,4477342
2019-07-03,4474356
2019-07-02,4472063
2019-07-01,4470023
2019-06-30,4467232
2019-06-29,4463226
2019-06-28,4460352
2019-06-27,4457734
2019-06-26,4454726
2019-06-25,4451541
2019-06-24,4448279
2019-06-23,4445099
2019-06-22,4442480
2019-06-21,4439246
2019-06-20,4437102
2019-06-19,4434349
2019-06-18,4431918
2019-06-17,4428483
2019-06-16,4424501
2019-06-15,4421709
2019-06-14,4419053
2019-06-13,4415039
2019-06-12,4411715
2019-06-11,4408378
2019-06-10,4404639
2019-06-09,4401376
2019-06-08,4397559
2019-06-07,4394149
2019-06-06,4391473
2019-06-05,4386764
2019-06-04,4382828
2019-06-03,4379553
