Date,Youtube,Twitter,Twitch
2017-10-28,57657284.0,12827011.0,883855.0
2017-10-29,57670550.0,12846893.0,883971.0
2017-10-30,57683752.0,12866533.0,884094.0
2017-10-31,57696815.0,12880943.0,884216.0
2017-11-01,57707734.0,12897666.0,884305.0
2017-11-02,57718654.0,12929690.0,884411.0
2017-11-03,57731078.0,12953127.0,884527.0
2017-11-04,57744023.0,12967643.0,884604.0
2017-11-05,57757988.0,12985816.0,884681.0
2017-11-06,57771327.0,13006387.0,884785.0
2017-11-07,57779918.0,13025203.0,884916.0
2017-11-08,57792415.0,13042545.0,885036.0
2017-11-09,57801847.0,13070327.0,885119.0
2017-11-10,57814116.0,13078969.0,885320.0
2017-11-11,57825998.0,13091557.0,885400.0
2017-11-12,57841277.0,13105065.0,885531.0
2017-11-13,57854247.0,13121959.0,885656.0
2017-11-14,57864770.0,13136032.0,885765.0
2017-11-15,57875149.0,13150076.0,885829.0
2017-11-16,57889644.0,13193495.0,886013.0
2017-11-17,57900634.0,13223836.0,886159.0
2017-11-18,57913908.0,13242655.0,886240.0
2017-11-19,57929066.0,13261049.0,886353.0
2017-11-20,57941847.0,13280593.0,886467.0
2017-11-21,57951182.0,13298576.0,886538.0
2017-11-22,57963888.0,13316350.0,886675.0
2017-11-23,57977786.0,13333377.0,886776.0
2017-11-24,57990268.0,13349634.0,886853.0
2017-11-25,58006334.0,13371180.0,886933.0
2017-11-26,58023962.0,13406146.0,887045.0
2017-11-27,58044903.0,13434105.0,887193.0
2017-11-28,58056985.0,13452909.0,887341.0
2017-11-29,58069884.0,13473616.0,887526.0
2017-11-30,58081370.0,13491595.0,887659.0
2017-12-01,58094175.0,13506010.0,887774.0
2017-12-02,58105859.0,13523428.0,887917.0
2017-12-03,58118482.0,13596725.0,888111.0
2017-12-04,58130076.0,13609591.0,888242.0
2017-12-05,58139031.0,13623064.0,888352.0
2017-12-06,58145931.0,13637346.0,888457.0
2017-12-07,58156018.0,13663868.0,888662.0
2017-12-08,58177466.0,13676241.0,888825.0
2017-12-09,58209922.0,13690277.0,888972.0
2017-12-10,58261418.0,13704875.0,889155.0
2017-12-11,58299828.0,13721086.0,889388.0
2017-12-12,58351848.0,13736699.0,889600.0
2017-12-13,58390057.0,13756175.0,889772.0
2017-12-14,58409091.0,13785813.0,890036.0
2017-12-15,58435837.0,13843092.0,890212.0
2017-12-16,58455551.0,13851404.0,890402.0
2017-12-17,58476569.0,13858790.0,890614.0
2017-12-18,58492650.0,13866414.0,890845.0
2017-12-19,58508215.0,13873186.0,891097.0
2017-12-20,58527182.0,13879786.0,891274.0
2017-12-21,58541748.0,13892300.0,891436.0
2017-12-22,58563111.0,13929951.0,891599.0
2017-12-23,58584010.0,13935405.0,891747.0
2017-12-24,58605515.0,13943647.0,891881.0
2017-12-25,58629826.0,13953074.0,891984.0
2017-12-26,58650893.0,13963846.0,892280.0
2017-12-27,58676981.0,13975497.0,892488.0
2017-12-28,58701106.0,13992918.0,892687.0
2017-12-29,58722880.0,14043004.0,892873.0
2017-12-30,58748678.0,14054014.0,893060.0
2017-12-31,58773397.0,14064223.0,893245.0
2018-01-01,58799477.0,14074277.0,893439.0
2018-01-02,58821860.0,14088345.0,893641.0
2018-01-03,58871625.0,14122921.0,893928.0
2018-01-04,58953524.0,14147821.0,894207.0
2018-01-05,59059120.0,14208417.0,894528.0
2018-01-06,59141174.0,14227983.0,894817.0
2018-01-07,59227927.0,14248976.0,895313.0
2018-01-08,59300286.0,14269853.0,895778.0
2018-01-09,59382237.0,14336545.0,896427.0
2018-01-10,59461192.0,14377778.0,896973.0
2018-01-11,59557877.0,14400613.0,897335.0
2018-01-12,59582584.0,14446706.0,897696.0
2018-01-13,59630974.0,14456631.0,898028.0
2018-01-14,59674237.0,14469324.0,898496.0
2018-01-15,59717140.0,14481901.0,898795.0
2018-01-16,59780872.0,14494365.0,899135.0
2018-01-17,59817374.0,14506795.0,899427.0
2018-01-18,59872321.0,14533077.0,899730.0
2018-01-19,59913737.0,14575863.0,900010.0
2018-01-20,59965744.0,14577134.0,900222.0
2018-01-21,60006162.0,14585510.0,900632.0
2018-01-22,60052979.0,14602416.0,901000.0
2018-01-23,60093689.0,14610945.0,902009.0
2018-01-24,60133022.0,14618676.0,902364.0
2018-01-25,60195888.0,14626165.0,902723.0
2018-01-26,60223431.0,14646190.0,902995.0
2018-01-27,60260022.0,14656605.0,903277.0
2018-01-28,60296073.0,14667437.0,903647.0
2018-01-29,60329832.0,14673589.0,904194.0
2018-01-30,60359375.0,14675183.0,904629.0
2018-01-31,60391011.0,14660731.0,905178.0
2018-02-01,60418028.0,14664860.0,905610.0
2018-02-02,60447920.0,14665964.0,905895.0
2018-02-03,60474259.0,14668662.0,906179.0
2018-02-04,60513621.0,14702620.0,906452.0
2018-02-05,60550474.0,14729268.0,906740.0
2018-02-06,60588978.0,14747611.0,907007.0
2018-02-07,60615218.0,14764775.0,907230.0
2018-02-08,60643304.0,14780348.0,907408.0
2018-02-09,60670014.0,14795612.0,907612.0
2018-02-10,60697648.0,14802905.0,907819.0
2018-02-11,60730329.0,14830211.0,908067.0
2018-02-12,60759701.0,14865959.0,908289.0
2018-02-13,60785254.0,14868142.0,908488.0
2018-02-14,60814411.0,14873650.0,908694.0
2018-02-15,60836435.0,14880144.0,908857.0
2018-02-16,60856583.0,14879982.0,909062.0
2018-02-17,60879545.0,14887122.0,909329.0
2018-02-18,60911117.0,14890915.0,909601.0
2018-02-19,60944748.0,14903981.0,909933.0
2018-02-20,60964358.0,14916342.0,910167.0
2018-02-21,60990051.0,14923182.0,910375.0
2018-02-22,61007326.0,14936646.0,910588.0
2018-02-23,61031154.0,14952084.0,910766.0
2018-02-24,61049207.0,14967743.0,910985.0
2018-02-25,61075826.0,14985361.0,911231.0
2018-02-26,61103690.0,14999883.0,911536.0
2018-02-27,61129252.0,15016713.0,911762.0
2018-02-28,61148648.0,15028698.0,911958.0
2018-03-01,61170790.0,15041996.0,912239.0
2018-03-02,61191723.0,15052054.0,912481.0
2018-03-03,61218352.0,15056510.0,912758.0
2018-03-04,61240232.0,15074061.0,913030.0
2018-03-05,61266756.0,15096228.0,913290.0
2018-03-06,61282670.0,15116801.0,913549.0
2018-03-07,61298284.0,15137116.0,913749.0
2018-03-08,61317710.0,15154832.0,913988.0
2018-03-09,61335122.0,15170052.0,914239.0
2018-03-10,61348889.0,15183923.0,914443.0
2018-03-11,61373147.0,15200563.0,914714.0
2018-03-12,61392802.0,15217510.0,915024.0
2018-03-13,61411178.0,15238276.0,915267.0
2018-03-14,61428634.0,15257773.0,915410.0
2018-03-15,61441736.0,15277983.0,915592.0
2018-03-16,61460258.0,15295293.0,915873.0
2018-03-17,61481000.0,15331305.0,916041.0
2018-03-18,61503759.0,15364492.0,916275.0
2018-03-19,61520831.0,15386991.0,916531.0
2018-03-20,61539094.0,15406090.0,916920.0
2018-03-21,61554290.0,15422112.0,917220.0
2018-03-22,61575946.0,15440073.0,917533.0
2018-03-23,61596856.0,15457905.0,917778.0
2018-03-24,61618657.0,15472825.0,918036.0
2018-03-25,61647211.0,15489355.0,919786.0
2018-03-26,61673028.0,15505968.0,920833.0
2018-03-27,61697414.0,15520996.0,921291.0
2018-03-28,61715796.0,15531881.0,921611.0
