Date,Followers
2020-05-08,166456
2020-05-07,166069
2020-05-06,165529
2020-05-05,164976
2020-05-04,164343
2020-05-03,163905
2020-05-02,163427
2020-05-01,163017
2020-04-30,162563
2020-04-29,162020
2020-04-28,161607
2020-04-27,161166
2020-04-26,160706
2020-04-25,160181
2020-04-24,159744
2020-04-23,159197
2020-04-22,158777
2020-04-21,158396
2020-04-20,157968
2020-04-19,157558
2020-04-18,157263
2020-04-17,156900
2020-04-16,156572
2020-04-15,156169
2020-04-14,155790
2020-04-13,155369
2020-04-12,155062
2020-04-11,154805
2020-04-10,154494
2020-04-09,154241
2020-04-08,153944
2020-04-07,153514
2020-04-06,153132
2020-04-05,152759
2020-04-04,152365
2020-04-03,151944
2020-04-02,151001
2020-04-01,148474
2020-03-31,147782
2020-03-30,147075
2020-03-29,146567
2020-03-28,145973
2020-03-27,145700
2020-03-26,145383
2020-03-25,144671
2020-03-24,143892
2020-03-23,143016
2020-03-22,142265
2020-03-21,141567
2020-03-20,140810
2020-03-19,140033
2020-03-18,139305
2020-03-17,138452
2020-03-16,137671
2020-03-15,136805
2020-03-14,136060
2020-03-13,135372
2020-03-12,134636
2020-03-11,133894
2020-03-10,133163
2020-03-09,132463
2020-03-08,131640
2020-03-07,130788
2020-03-06,130066
2020-03-05,129417
2020-03-04,128664
2020-03-03,127751
2020-03-02,126832
2020-03-01,125536
2020-02-29,124552
2020-02-28,123611
2020-02-27,122622
2020-02-26,121532
2020-02-25,120579
2020-02-24,119442
2020-02-23,117959
2020-02-22,115337
2020-02-21,106843
2020-02-20,105409
2020-02-19,104538
2020-02-18,103668
2020-02-17,102817
2020-02-16,101932
2020-02-15,101080
2020-02-14,100253
2020-02-13,99456
2020-02-12,98637
2020-02-11,97731
2020-02-10,96842
2020-02-09,95963
2020-02-08,95083
2020-02-07,94226
2020-02-06,93233
2020-02-05,92468
2020-02-04,90469
2020-02-03,89589
2020-02-02,88516
2020-02-01,87599
2020-01-31,86859
2020-01-30,86120
2020-01-29,85318
2020-01-28,84611
2020-01-27,83847
2020-01-26,82953
2020-01-25,82219
2020-01-24,81533
2020-01-23,80647
2020-01-22,79824
2020-01-21,78962
2020-01-20,77959
2020-01-19,76809
2020-01-18,75865
2020-01-17,74619
2020-01-16,72899
2020-01-15,71199
2020-01-14,70350
2020-01-13,69363
2020-01-12,67331
2020-01-11,66225
2020-01-10,65160
2020-01-09,64105
2020-01-08,62880
2020-01-07,61630
2020-01-06,60297
2020-01-05,58823
2020-01-04,56972
2020-01-03,55172
2020-01-02,53762
2020-01-01,52410
2019-12-31,50974
2019-12-30,49305
2019-12-29,47366
2019-12-28,45406
2019-12-27,43016
2019-12-26,41260
2019-12-25,38768
2019-12-24,37384
2019-12-23,35718
2019-12-22,33577
2019-12-21,30537
2019-12-20,29266
2019-12-19,27256
2019-12-18,24217
2019-12-17,17435
2019-12-16,19341994
2019-12-15,19335151
2019-12-14,19328698
2019-12-13,19322437
2019-12-12,19316515
2019-12-11,19309695
2019-12-10,19302723
2019-12-09,19291151
2019-12-08,19281451
2019-12-07,19275212
2019-12-06,19270931
2019-12-05,19264452
2019-12-04,19258926
2019-12-03,19254773
2019-12-02,19248636
2019-12-01,19240957
2019-11-30,19232854
2019-11-29,19219636
2019-11-28,19213088
2019-11-27,19209387
2019-11-26,19206369
2019-11-25,19201517
2019-11-24,19194871
2019-11-23,19187945
2019-11-22,19183112
2019-11-21,19177185
2019-11-20,19171535
2019-11-19,19168220
2019-11-18,19164492
2019-11-17,19160149
2019-11-16,19156467
2019-11-15,19152643
2019-11-14,19148898
2019-11-13,19144840
2019-11-12,19141113
2019-11-11,19136229
2019-11-10,19126769
2019-11-09,19116976
2019-11-08,19112006
2019-11-07,19106738
2019-11-06,19101213
2019-11-05,19095231
2019-11-04,19088311
2019-11-03,19079682
2019-11-02,19071684
2019-11-01,19060053
2019-10-31,19051090
2019-10-30,19042513
2019-10-29,19030706
2019-10-28,19020089
2019-10-27,19009066
2019-10-26,18999968
2019-10-25,18993829
2019-10-24,18987586
2019-10-23,18981418
2019-10-22,18974649
2019-10-21,18968107
2019-10-20,18959858
2019-10-19,18954059
2019-10-18,18948749
2019-10-17,18942374
2019-10-16,18935833
2019-10-15,18929234
2019-10-14,18916417
2019-10-13,18898253
2019-10-12,18892651
2019-10-11,18887511
2019-10-10,18881439
2019-10-09,18875738
2019-10-08,18868219
2019-10-07,18861063
2019-10-06,18853421
2019-10-05,18846455
2019-10-04,18840799
2019-10-03,18834955
2019-10-02,18829422
