Date,Youtube,Twitter,Twitch
2018-07-31,1883190,484199.0,1797967.0
2018-08-01,1895534,489998.0,1802384.0
2018-08-02,1906540,494473.0,1806431.0
2018-08-03,1916968,496253.0,1810769.0
2018-08-04,1926910,497421.0,1814723.0
2018-08-05,1934743,498566.0,1818142.0
2018-08-06,1941834,499624.0,1829553.0
2018-08-07,1948882,500618.0,1839252.0
2018-08-08,1955894,501841.0,1843445.0
2018-08-09,1962517,502677.0,1853425.0
2018-08-10,1969046,503754.0,1856963.0
2018-08-11,1976373,504645.0,1863445.0
2018-08-12,1983084,505059.0,1870294.0
2018-08-13,1990201,506120.0,1875082.0
2018-08-14,1997129,507511.0,1878917.0
2018-08-15,2004244,508531.0,1893246.0
2018-08-16,2010032,509555.0,1897261.0
2018-08-17,2016537,510329.0,1905750.0
2018-08-18,2023544,511184.0,1909468.0
2018-08-19,2031415,512987.0,1921517.0
2018-08-20,2049356,516197.0,1931417.0
2018-08-21,2065955,517958.0,1938558.0
2018-08-22,2076185,518934.0,1948958.0
2018-08-23,2084151,520405.0,1954578.0
2018-08-24,2090808,521592.0,1964514.0
2018-08-25,2097219,522401.0,1974267.0
2018-08-26,2103637,523660.0,1977900.0
2018-08-27,2111036,525008.0,1992743.0
2018-08-28,2118382,526642.0,1996828.0
2018-08-29,2126430,528305.0,2004994.0
2018-08-30,2134434,530167.0,2008635.0
2018-08-31,2145884,531874.0,2020671.0
2018-09-01,2162257,533548.0,2030750.0
2018-09-02,2186653,535177.0,2042490.0
2018-09-03,2211840,536862.0,2050136.0
2018-09-04,2233119,538537.0,2056634.0
2018-09-05,2247023,541033.0,2070145.0
2018-09-06,2258001,542659.0,2078946.0
2018-09-07,2267119,543626.0,2082115.0
2018-09-08,2276645,544517.0,2085148.0
2018-09-09,2286767,546119.0,2093491.0
2018-09-10,2297509,547681.0,2101288.0
2018-09-11,2307588,548431.0,2105014.0
2018-09-12,2314656,549156.0,2107997.0
2018-09-13,2321687,549754.0,2113733.0
2018-09-14,2328759,550253.0,2126236.0
2018-09-15,2336815,551637.0,2129627.0
2018-09-16,2348741,552882.0,2142076.0
2018-09-17,2359146,553621.0,2151122.0
2018-09-18,2366630,554532.0,2153906.0
2018-09-19,2373173,555526.0,2161791.0
2018-09-20,2378263,556291.0,2168801.0
2018-09-21,2383563,557276.0,2171008.0
2018-09-22,2388855,560485.0,2173476.0
2018-09-23,2396959,562711.0,2181839.0
2018-09-24,2404836,564601.0,2189235.0
2018-09-25,2410618,565933.0,2195172.0
2018-09-26,2415862,567032.0,2197611.0
2018-09-27,2420700,567894.0,2207351.0
2018-09-28,2424452,569629.0,2211969.0
2018-09-29,2428773,571654.0,2213838.0
2018-09-30,2435358,572647.0,2222957.0
2018-10-01,2442483,573721.0,2230337.0
2018-10-02,2447559,574867.0,2233034.0
2018-10-03,2452704,575573.0,2237510.0
2018-10-04,2457908,576545.0,2244486.0
2018-10-05,2464102,577674.0,2251814.0
2018-10-06,2472653,578600.0,2254396.0
2018-10-07,2481023,579252.0,2263315.0
2018-10-08,2491421,580813.0,2266994.0
2018-10-09,2503265,581716.0,2269938.0
2018-10-10,2517661,583389.0,2280456.0
2018-10-11,2529172,584704.0,2286335.0
2018-10-12,2537881,585881.0,2294483.0
2018-10-13,2547127,586701.0,2296534.0
2018-10-14,2553869,586329.0,2302630.0
2018-10-15,2561690,587904.0,2305223.0
2018-10-16,2569265,588848.0,2313240.0
2018-10-17,2574942,589517.0,2315518.0
2018-10-18,2580129,590200.0,2321760.0
2018-10-19,2586644,591496.0,2326673.0
2018-10-20,2594310,592217.0,2328501.0
