Date,Followers
2020-05-08,30485
2020-05-07,30487
2020-05-06,30483
2020-05-05,30475
2020-05-04,30481
2020-05-03,30483
2020-05-02,30487
2020-05-01,30490
2020-04-30,30503
2020-04-29,30499
2020-04-28,30492
2020-04-27,30491
2020-04-26,30496
2020-04-25,30501
2020-04-24,30500
2020-04-23,30503
2020-04-22,30493
2020-04-21,30485
2020-04-20,30516
2020-04-19,30510
2020-04-18,30516
2020-04-17,30519
2020-04-16,30526
2020-04-15,30530
2020-04-14,30535
2020-04-13,30534
2020-04-12,30544
2020-04-11,30535
2020-04-10,30540
2020-04-09,30554
2020-04-08,30568
2020-04-07,30570
2020-04-06,30576
2020-04-05,30575
2020-04-04,30575
2020-04-03,30576
2020-04-02,30580
2020-04-01,30587
2020-03-31,30595
2020-03-30,30586
2020-03-29,30583
2020-03-28,30558
2020-03-27,30523
2020-03-26,30530
2020-03-25,30542
2020-03-24,30549
2020-03-23,30565
2020-03-22,30570
2020-03-21,30566
2020-03-20,30569
2020-03-19,30580
2020-03-18,30588
2020-03-17,30598
2020-03-16,30609
2020-03-15,30616
2020-03-14,30613
2020-03-13,30615
2020-03-12,30625
2020-03-11,30628
2020-03-10,30634
2020-03-09,30638
2020-03-08,30633
2020-03-07,30626
2020-03-06,30627
2020-03-05,30617
2020-03-04,30628
2020-03-03,30621
2020-03-02,30622
2020-03-01,30627
2020-02-29,30622
2020-02-28,30619
2020-02-27,30631
2020-02-26,30624
2020-02-25,30628
2020-02-24,30622
2020-02-23,30635
2020-02-22,30642
2020-02-21,30627
2020-02-20,30636
2020-02-19,30626
2020-02-18,30620
2020-02-17,30626
2020-02-16,30640
2020-02-15,30644
2020-02-14,30650
2020-02-13,30652
2020-02-12,30647
2020-02-11,30648
2020-02-10,30651
2020-02-09,30651
2020-02-08,30648
2020-02-07,30636
2020-02-06,30637
2020-02-05,30637
2020-02-04,30665
2020-02-03,30660
2020-02-02,30673
2020-02-01,30676
2020-01-31,30664
2020-01-30,30652
2020-01-29,30663
2020-01-28,30676
2020-01-27,30682
2020-01-26,30676
2020-01-25,30678
2020-01-24,30671
2020-01-23,30694
2020-01-22,30692
2020-01-21,30738
2020-01-20,30728
2020-01-19,30713
2020-01-18,30753
2020-01-17,30753
2020-01-16,30747
2020-01-15,30732
2020-01-14,30736
2020-01-13,30729
2020-01-12,30723
2020-01-11,30728
2020-01-10,30713
2020-01-09,30706
2020-01-08,30735
2020-01-07,30761
2020-01-06,30777
2020-01-05,30792
2020-01-04,30811
2020-01-03,30841
2020-01-02,30845
2020-01-01,30834
2019-12-31,30834
2019-12-30,30845
2019-12-29,30850
2019-12-28,30850
2019-12-27,30857
2019-12-26,30864
2019-12-25,30875
2019-12-24,30881
2019-12-23,30879
2019-12-22,30883
2019-12-21,30869
2019-12-20,30882
2019-12-19,30877
2019-12-18,30878
2019-12-17,30866
2019-12-16,30906
2019-12-15,30914
2019-12-14,30915
2019-12-13,30978
2019-12-12,30990
2019-12-11,30992
2019-12-10,30996
2019-12-09,30823
2019-12-08,30831
2019-12-07,30824
2019-12-06,30795
2019-12-05,30801
2019-12-04,30808
2019-12-03,30931
2019-12-02,30949
2019-12-01,30966
2019-11-30,30966
2019-11-29,30961
2019-11-28,30965
2019-11-27,30971
2019-11-26,30978
2019-11-25,30981
2019-11-24,30988
2019-11-23,30978
2019-11-22,30984
2019-11-21,30982
2019-11-20,30979
2019-11-19,30985
2019-11-18,30974
2019-11-17,30979
2019-11-16,30984
2019-11-15,31002
2019-11-14,31015
2019-11-13,31019
2019-11-12,31028
2019-11-11,31042
2019-11-10,31034
2019-11-09,31033
2019-11-08,31032
2019-11-07,31016
2019-11-06,31028
2019-11-05,31037
2019-11-04,31036
2019-11-03,31046
2019-11-02,31042
2019-11-01,31037
2019-10-31,31046
2019-10-30,31039
2019-10-29,31051
2019-10-28,31061
2019-10-27,31035
2019-10-26,30997
2019-10-25,31025
2019-10-24,31009
2019-10-23,31032
2019-10-22,31049
2019-10-21,31049
2019-10-20,31009
2019-10-19,31021
2019-10-18,31023
2019-10-17,31013
2019-10-16,31020
2019-10-15,31024
2019-10-14,31045
2019-10-13,30996
2019-10-12,31007
2019-10-11,31009
2019-10-10,31007
2019-10-09,31026
2019-10-08,31019
2019-10-07,31024
2019-10-06,31026
2019-10-05,31030
2019-10-04,31037
2019-10-03,31032
2019-10-02,31049
2019-10-01,31033
2019-09-30,31017
2019-09-29,31022
2019-09-28,31009
2019-09-27,31018
2019-09-26,31047
2019-09-25,31031
2019-09-24,30984
2019-09-23,30985
2019-09-22,30994
2019-09-21,31001
2019-09-20,30995
2019-09-19,30995
2019-09-18,31010
2019-09-17,31004
2019-09-16,31006
2019-09-15,31020
2019-09-14,31025
2019-09-13,31019
2019-09-12,31012
2019-09-11,31016
2019-09-10,30998
2019-09-09,31008
2019-09-08,31015
2019-09-07,31021
2019-09-06,31017
2019-09-05,31034
2019-09-04,31046
2019-09-03,31059
2019-09-02,31059
2019-09-01,31061
2019-08-31,31057
2019-08-30,31062
2019-08-29,31070
2019-08-28,31031
2019-08-27,31071
2019-08-26,31082
2019-08-25,31093
2019-08-24,31084
2019-08-23,31047
2019-08-22,31063
2019-08-21,31072
2019-08-20,31078
2019-08-19,31061
2019-08-18,31066
2019-08-17,31070
2019-08-16,31081
2019-08-15,31094
2019-08-14,31092
2019-08-13,31093
2019-08-12,31092
2019-08-11,31089
2019-08-10,31094
2019-08-09,31094
2019-08-08,31091
2019-08-07,31096
2019-08-06,31076
2019-08-05,31084
2019-08-04,31082
2019-08-03,31081
2019-08-02,31090
2019-08-01,31087
2019-07-31,31093
2019-07-30,31093
2019-07-29,31093
2019-07-28,31095
2019-07-27,31106
2019-07-26,31106
2019-07-25,31099
2019-07-24,31114
2019-07-23,31112
2019-07-22,31115
2019-07-21,31109
2019-07-20,31108
2019-07-19,31115
2019-07-18,31115
2019-07-17,31122
2019-07-16,31125
2019-07-15,31119
2019-07-14,31128
2019-07-13,31148
2019-07-12,31141
2019-07-11,31152
2019-07-10,31156
2019-07-09,31138
2019-07-08,31136
2019-07-07,31145
2019-07-06,31155
2019-07-05,31146
2019-07-04,31159
2019-07-03,31152
2019-07-02,31154
2019-07-01,31157
2019-06-30,31160
2019-06-29,31161
2019-06-28,31158
2019-06-27,31160
2019-06-26,31171
2019-06-25,31168
2019-06-24,31185
2019-06-23,31171
2019-06-22,31174
2019-06-21,31173
2019-06-20,31181
2019-06-19,31170
2019-06-18,31157
2019-06-17,31140
2019-06-16,31121
2019-06-15,31122
2019-06-14,31131
2019-06-13,31118
2019-06-12,31188
2019-06-11,31183
2019-06-10,31184
2019-06-09,31185
2019-06-08,31161
2019-06-07,31165
2019-06-06,31152
2019-06-05,31152
2019-06-04,31151
2019-06-03,31128
2019-06-02,31111
2019-06-01,31109
2019-05-31,31067
2019-05-30,31038
2019-05-29,31029
